Date,Time,Values
04/04/2015,10:00:00,20.28
04/04/2015,11:00:00,22.28
04/04/2015,12:00:00,24.33
04/04/2015,13:00:00,24.35
04/04/2015,14:00:00,26.49
04/04/2015,15:00:00,26.79
04/04/2015,16:00:00,25.87
04/04/2015,17:00:00,25.15
04/04/2015,18:00:00,23.30
04/04/2015,19:00:00,22.41
04/04/2015,20:00:00,21.98
04/04/2015,21:00:00,21.32
04/04/2015,22:00:00,20.48
04/04/2015,23:00:00,20.12
05/04/2015,00:00:00,19.91
05/04/2015,01:00:00,19.43
05/04/2015,02:00:00,18.31
05/04/2015,03:00:00,18.36
05/04/2015,04:00:00,17.98
05/04/2015,05:00:00,17.53
05/04/2015,06:00:00,18.32
05/04/2015,07:00:00,23.34
05/04/2015,08:00:00,26.19
05/04/2015,09:00:00,26.39
05/04/2015,10:00:00,27.53
09/04/2015,13:00:00,33.54
09/04/2015,14:00:00,33.86
09/04/2015,15:00:00,33.93
09/04/2015,16:00:00,33.56
09/04/2015,17:00:00,32.31
09/04/2015,18:00:00,30.27
09/04/2015,19:00:00,28.78
09/04/2015,20:00:00,27.58
09/04/2015,21:00:00,26.72
09/04/2015,22:00:00,26.56
09/04/2015,23:00:00,26.07
10/04/2015,00:00:00,25.55
10/04/2015,01:00:00,24.81
10/04/2015,02:00:00,24.27
10/04/2015,03:00:00,23.61
10/04/2015,04:00:00,23.28
10/04/2015,05:00:00,22.58
10/04/2015,06:00:00,23.92
10/04/2015,07:00:00,28.03
10/04/2015,08:00:00,30.05
10/04/2015,09:00:00,31.65
10/04/2015,10:00:00,33.12
10/04/2015,11:00:00,35.02
10/04/2015,12:00:00,35.73
10/04/2015,13:00:00,36.32
10/04/2015,14:00:00,36.43
10/04/2015,15:00:00,36.48
10/04/2015,16:00:00,35.63
10/04/2015,17:00:00,34.42
10/04/2015,18:00:00,32.27
10/04/2015,19:00:00,30.46
10/04/2015,20:00:00,29.01
10/04/2015,21:00:00,28.30
10/04/2015,22:00:00,27.20
10/04/2015,23:00:00,27.51
11/04/2015,00:00:00,26.27
11/04/2015,01:00:00,24.86
11/04/2015,02:00:00,24.10
11/04/2015,03:00:00,23.88
11/04/2015,04:00:00,23.56
11/04/2015,05:00:00,23.07
11/04/2015,06:00:00,23.73
11/04/2015,07:00:00,28.52
11/04/2015,08:00:00,31.95
11/04/2015,09:00:00,33.46
11/04/2015,10:00:00,36.41
11/04/2015,11:00:00,37.32
11/04/2015,12:00:00,38.19
11/04/2015,13:00:00,37.89
11/04/2015,15:00:00,37.79
11/04/2015,16:00:00,36.37
11/04/2015,18:00:00,31.80
11/04/2015,19:00:00,31.02
11/04/2015,20:00:00,30.47
11/04/2015,21:00:00,29.78
11/04/2015,22:00:00,28.39
11/04/2015,23:00:00,25.86
12/04/2015,00:00:00,25.96
12/04/2015,01:00:00,25.21
12/04/2015,02:00:00,24.31
12/04/2015,03:00:00,21.80
12/04/2015,04:00:00,22.08
12/04/2015,05:00:00,22.27
12/04/2015,06:00:00,22.21
12/04/2015,07:00:00,22.80
12/04/2015,08:00:00,23.04
12/04/2015,09:00:00,24.43
12/04/2015,10:00:00,26.65
12/04/2015,11:00:00,27.25
12/04/2015,12:00:00,27.53
12/04/2015,13:00:00,28.23
12/04/2015,20:00:00,24.63
12/04/2015,21:00:00,24.32
12/04/2015,22:00:00,23.29
12/04/2015,23:00:00,23.02
13/04/2015,00:00:00,22.64
13/04/2015,01:00:00,21.92
13/04/2015,02:00:00,21.20
13/04/2015,03:00:00,20.92
13/04/2015,04:00:00,20.92
13/04/2015,05:00:00,20.97
13/04/2015,06:00:00,21.47
13/04/2015,07:00:00,22.43
13/04/2015,08:00:00,23.56
13/04/2015,09:00:00,26.43
13/04/2015,10:00:00,28.15
13/04/2015,11:00:00,29.23
13/04/2015,12:00:00,30.25
13/04/2015,13:00:00,30.56
13/04/2015,14:00:00,31.34
13/04/2015,15:00:00,31.04
13/04/2015,16:00:00,27.18
13/04/2015,17:00:00,25.38
13/04/2015,18:00:00,23.19
13/04/2015,19:00:00,23.67
13/04/2015,20:00:00,24.21
13/04/2015,21:00:00,24.27
13/04/2015,22:00:00,23.87
13/04/2015,23:00:00,23.44
14/04/2015,00:00:00,23.10
14/04/2015,01:00:00,23.03
14/04/2015,02:00:00,23.07
14/04/2015,03:00:00,22.72
14/04/2015,04:00:00,22.35
14/04/2015,05:00:00,22.06
14/04/2015,06:00:00,22.12
14/04/2015,07:00:00,24.12
14/04/2015,08:00:00,25.36
14/04/2015,09:00:00,27.10
14/04/2015,10:00:00,28.33
14/04/2015,11:00:00,29.85
14/04/2015,12:00:00,30.67
14/04/2015,13:00:00,31.57
14/04/2015,14:00:00,32.15
14/04/2015,15:00:00,31.89
14/04/2015,16:00:00,31.77
14/04/2015,17:00:00,30.96
14/04/2015,18:00:00,29.71
14/04/2015,19:00:00,28.90
14/04/2015,20:00:00,28.05
14/04/2015,21:00:00,27.23
14/04/2015,22:00:00,26.15
14/04/2015,23:00:00,26.07
15/04/2015,00:00:00,25.24
15/04/2015,01:00:00,24.85
15/04/2015,02:00:00,24.49
15/04/2015,18:00:00,29.16
15/04/2015,19:00:00,28.70
15/04/2015,20:00:00,28.31
15/04/2015,21:00:00,27.81
15/04/2015,22:00:00,27.20
15/04/2015,23:00:00,26.59
16/04/2015,00:00:00,26.85
16/04/2015,01:00:00,26.32
16/04/2015,02:00:00,25.23
16/04/2015,03:00:00,24.43
16/04/2015,04:00:00,23.94
16/04/2015,05:00:00,23.63
16/04/2015,06:00:00,24.32
16/04/2015,07:00:00,26.43
16/04/2015,08:00:00,29.35
16/04/2015,09:00:00,32.20
16/04/2015,10:00:00,29.36
16/04/2015,11:00:00,31.93
16/04/2015,12:00:00,32.58
16/04/2015,13:00:00,29.54
16/04/2015,14:00:00,28.87
16/04/2015,15:00:00,29.37
16/04/2015,16:00:00,29.15
16/04/2015,17:00:00,27.67
16/04/2015,18:00:00,25.51
16/04/2015,19:00:00,24.44
16/04/2015,20:00:00,24.02
16/04/2015,21:00:00,23.25
16/04/2015,22:00:00,22.76
16/04/2015,23:00:00,22.56
17/04/2015,00:00:00,22.35
17/04/2015,01:00:00,22.11
17/04/2015,02:00:00,21.95
17/04/2015,03:00:00,21.71
17/04/2015,04:00:00,21.46
17/04/2015,05:00:00,21.44
17/04/2015,06:00:00,22.21
17/04/2015,07:00:00,25.66
17/04/2015,08:00:00,28.50
17/04/2015,09:00:00,31.63
17/04/2015,10:00:00,33.24
17/04/2015,11:00:00,34.81
17/04/2015,12:00:00,35.69
17/04/2015,13:00:00,36.21
17/04/2015,14:00:00,36.44
17/04/2015,15:00:00,36.42
17/04/2015,16:00:00,35.80
17/04/2015,17:00:00,34.80
17/04/2015,18:00:00,32.98
17/04/2015,19:00:00,31.31
17/04/2015,20:00:00,30.34
17/04/2015,21:00:00,29.34
17/04/2015,22:00:00,28.88
17/04/2015,23:00:00,28.63
18/04/2015,00:00:00,27.83
18/04/2015,01:00:00,27.48
18/04/2015,02:00:00,27.06
18/04/2015,03:00:00,26.22
18/04/2015,04:00:00,25.32
18/04/2015,05:00:00,24.93
18/04/2015,06:00:00,25.50
18/04/2015,07:00:00,29.46
18/04/2015,08:00:00,32.50
18/04/2015,09:00:00,34.19
18/04/2015,10:00:00,36.18
18/04/2015,11:00:00,37.69
18/04/2015,12:00:00,39.15
18/04/2015,13:00:00,40.22
18/04/2015,14:00:00,40.28
18/04/2015,15:00:00,39.97
18/04/2015,16:00:00,39.06
18/04/2015,17:00:00,37.69
18/04/2015,18:00:00,35.29
18/04/2015,19:00:00,33.03
18/04/2015,20:00:00,31.99
18/04/2015,21:00:00,31.77
18/04/2015,22:00:00,31.29
18/04/2015,23:00:00,30.32
19/04/2015,00:00:00,28.59
19/04/2015,01:00:00,27.30
19/04/2015,02:00:00,26.71
19/04/2015,03:00:00,26.53
19/04/2015,04:00:00,25.61
19/04/2015,05:00:00,25.47
19/04/2015,06:00:00,26.12
19/04/2015,07:00:00,31.27
19/04/2015,10:00:00,39.96
19/04/2015,11:00:00,41.45
19/04/2015,12:00:00,42.43
19/04/2015,13:00:00,43.48
19/04/2015,14:00:00,43.33
19/04/2015,15:00:00,42.57
19/04/2015,16:00:00,41.73
19/04/2015,17:00:00,39.78
19/04/2015,18:00:00,36.88
19/04/2015,19:00:00,35.94
19/04/2015,20:00:00,35.93
19/04/2015,21:00:00,34.85
19/04/2015,22:00:00,34.10
19/04/2015,23:00:00,33.16
20/04/2015,00:00:00,32.11
20/04/2015,01:00:00,31.11
20/04/2015,02:00:00,29.94
20/04/2015,03:00:00,28.81
20/04/2015,04:00:00,28.53
20/04/2015,05:00:00,29.28
20/04/2015,06:00:00,29.47
20/04/2015,07:00:00,29.28
20/04/2015,08:00:00,30.08
20/04/2015,09:00:00,31.44
20/04/2015,10:00:00,33.72
20/04/2015,11:00:00,36.03
20/04/2015,12:00:00,37.97
20/04/2015,13:00:00,38.88
20/04/2015,14:00:00,38.95
20/04/2015,15:00:00,39.15
20/04/2015,16:00:00,38.90
20/04/2015,17:00:00,38.13
20/04/2015,18:00:00,36.83
20/04/2015,19:00:00,35.65
20/04/2015,20:00:00,34.72
20/04/2015,21:00:00,34.13
20/04/2015,22:00:00,33.37
20/04/2015,23:00:00,31.78
21/04/2015,00:00:00,31.92
21/04/2015,01:00:00,30.73
21/04/2015,02:00:00,29.36
21/04/2015,03:00:00,29.04
21/04/2015,04:00:00,29.04
21/04/2015,05:00:00,27.89
21/04/2015,06:00:00,27.62
21/04/2015,07:00:00,30.24
21/04/2015,08:00:00,33.22
21/04/2015,09:00:00,36.27
21/04/2015,10:00:00,38.21
21/04/2015,11:00:00,39.48
21/04/2015,12:00:00,40.60
21/04/2015,13:00:00,40.63
21/04/2015,14:00:00,40.63
21/04/2015,15:00:00,40.05
21/04/2015,16:00:00,38.92
21/04/2015,17:00:00,37.52
21/04/2015,18:00:00,35.96
21/04/2015,19:00:00,34.32
21/04/2015,20:00:00,33.36
21/04/2015,21:00:00,31.98
21/04/2015,22:00:00,31.48
21/04/2015,23:00:00,30.54
22/04/2015,00:00:00,29.58
22/04/2015,01:00:00,29.08
22/04/2015,02:00:00,28.31
22/04/2015,03:00:00,27.37
22/04/2015,04:00:00,26.52
22/04/2015,05:00:00,26.23
22/04/2015,06:00:00,28.18
22/04/2015,07:00:00,32.17
22/04/2015,08:00:00,33.73
22/04/2015,09:00:00,35.84
22/04/2015,10:00:00,38.02
22/04/2015,11:00:00,39.19
22/04/2015,12:00:00,40.18
22/04/2015,13:00:00,40.76
22/04/2015,14:00:00,40.73
22/04/2015,15:00:00,40.02
22/04/2015,16:00:00,39.22
22/04/2015,17:00:00,37.73
22/04/2015,18:00:00,35.78
22/04/2015,19:00:00,34.05
