Date,Time,Values
24/03/2017,11:00:00,452.00
24/03/2017,12:00:00,370.50
24/03/2017,13:00:00,227.87
24/03/2017,14:00:00,187.91
24/03/2017,15:00:00,174.22
24/03/2017,16:00:00,115.90
24/03/2017,17:00:00,104.52
24/03/2017,18:00:00,116.81
24/03/2017,19:00:00,125.69
24/03/2017,20:00:00,115.32
24/03/2017,21:00:00,88.94
24/03/2017,22:00:00,83.54
24/03/2017,23:00:00,91.65
25/03/2017,00:00:00,91.48
25/03/2017,01:00:00,99.82
25/03/2017,02:00:00,95.64
25/03/2017,03:00:00,94.04
25/03/2017,04:00:00,88.63
25/03/2017,05:00:00,82.49
25/03/2017,06:00:00,87.44
25/03/2017,07:00:00,89.79
25/03/2017,08:00:00,83.71
25/03/2017,09:00:00,83.03
25/03/2017,10:00:00,69.54
25/03/2017,11:00:00,62.38
25/03/2017,12:00:00,75.70
25/03/2017,13:00:00,74.15
25/03/2017,14:00:00,79.24
25/03/2017,15:00:00,83.72
25/03/2017,16:00:00,63.56
25/03/2017,17:00:00,63.72
25/03/2017,18:00:00,76.92
25/03/2017,19:00:00,81.20
25/03/2017,20:00:00,89.43
25/03/2017,21:00:00,76.28
25/03/2017,22:00:00,74.11
25/03/2017,23:00:00,70.99
26/03/2017,00:00:00,69.90
26/03/2017,01:00:00,82.75
26/03/2017,02:00:00,84.97
26/03/2017,03:00:00,85.11
26/03/2017,04:00:00,87.93
26/03/2017,05:00:00,69.81
26/03/2017,06:00:00,80.41
26/03/2017,07:00:00,84.44
26/03/2017,08:00:00,76.07
26/03/2017,09:00:00,72.35
26/03/2017,10:00:00,61.28
26/03/2017,11:00:00,62.78
26/03/2017,12:00:00,76.47
26/03/2017,13:00:00,73.52
26/03/2017,14:00:00,78.58
26/03/2017,15:00:00,80.07
26/03/2017,16:00:00,59.81
26/03/2017,17:00:00,58.88
26/03/2017,18:00:00,68.95
26/03/2017,19:00:00,72.39
26/03/2017,20:00:00,92.84
26/03/2017,21:00:00,78.78
26/03/2017,22:00:00,74.79
26/03/2017,23:00:00,72.65
27/03/2017,00:00:00,73.12
27/03/2017,01:00:00,80.77
27/03/2017,02:00:00,80.68
27/03/2017,03:00:00,82.32
27/03/2017,04:00:00,85.83
27/03/2017,05:00:00,67.15
27/03/2017,06:00:00,78.12
27/03/2017,07:00:00,78.80
27/03/2017,08:00:00,69.67
27/03/2017,09:00:00,68.86
27/03/2017,10:00:00,53.30
27/03/2017,11:00:00,51.00
27/03/2017,12:00:00,71.28
27/03/2017,13:00:00,76.26
27/03/2017,14:00:00,88.19
27/03/2017,15:00:00,94.43
27/03/2017,16:00:00,71.30
27/03/2017,17:00:00,60.02
27/03/2017,18:00:00,68.12
27/03/2017,19:00:00,77.97
27/03/2017,20:00:00,107.18
27/03/2017,21:00:00,91.44
27/03/2017,22:00:00,94.07
27/03/2017,23:00:00,93.77
28/03/2017,00:00:00,76.74
28/03/2017,01:00:00,84.61
28/03/2017,02:00:00,90.56
28/03/2017,03:00:00,92.52
28/03/2017,04:00:00,104.05
28/03/2017,05:00:00,82.69
28/03/2017,06:00:00,81.87
28/03/2017,07:00:00,90.34
28/03/2017,08:00:00,74.75
28/03/2017,09:00:00,67.80
28/03/2017,10:00:00,54.88
28/03/2017,11:00:00,53.13
28/03/2017,12:00:00,81.78
28/03/2017,13:00:00,84.16
28/03/2017,14:00:00,94.35
28/03/2017,15:00:00,102.51
28/03/2017,16:00:00,75.28
28/03/2017,17:00:00,55.42
28/03/2017,18:00:00,71.23
28/03/2017,19:00:00,79.88
28/03/2017,20:00:00,105.80
23/07/2012,13:00:00,53.89
23/07/2012,14:00:00,55.00
23/07/2012,15:00:00,59.55
23/07/2012,16:00:00,75.81
23/07/2012,17:00:00,131.29
23/07/2012,18:00:00,81.00
23/07/2012,19:00:00,77.26
23/07/2012,20:00:00,56.39
23/07/2012,21:00:00,51.08
23/07/2012,22:00:00,70.73
23/07/2012,23:00:00,70.14
24/07/2012,00:00:00,92.55
24/07/2012,01:00:00,87.27
24/07/2012,02:00:00,79.22
24/07/2012,03:00:00,78.38
24/07/2012,04:00:00,63.23
24/07/2012,05:00:00,58.64
24/07/2012,06:00:00,64.72
24/07/2012,07:00:00,67.67
24/07/2012,08:00:00,120.45
24/07/2012,09:00:00,91.40
24/07/2012,10:00:00,83.11
24/07/2012,11:00:00,81.31
24/07/2012,12:00:00,53.82
24/07/2012,13:00:00,45.88
24/07/2012,21:00:00,89.84
24/07/2012,22:00:00,106.10
24/07/2012,23:00:00,92.38
25/07/2012,00:00:00,89.75
25/07/2012,01:00:00,83.50
25/07/2012,02:00:00,80.22
25/07/2012,03:00:00,77.93
25/07/2012,04:00:00,58.61
25/07/2012,05:00:00,57.70
25/07/2012,06:00:00,55.46
25/07/2012,07:00:00,52.73
25/07/2012,08:00:00,63.70
25/07/2012,09:00:00,62.21
25/07/2012,10:00:00,57.32
25/07/2012,11:00:00,55.22
25/07/2012,12:00:00,42.20
25/07/2012,13:00:00,41.85
25/07/2012,14:00:00,40.22
25/07/2012,15:00:00,40.17
25/07/2012,16:00:00,45.23
25/07/2012,17:00:00,42.72
25/07/2012,18:00:00,43.33
25/07/2012,19:00:00,42.28
25/07/2012,20:00:00,37.94
25/07/2012,21:00:00,40.26
25/07/2012,22:00:00,43.05
25/07/2012,23:00:00,46.12
26/07/2012,00:00:00,56.39
26/07/2012,01:00:00,57.72
26/07/2012,02:00:00,51.24
26/07/2012,03:00:00,47.40
26/07/2012,04:00:00,39.57
26/07/2012,05:00:00,38.94
26/07/2012,06:00:00,43.92
26/07/2012,07:00:00,45.70
26/07/2012,08:00:00,55.40
26/07/2012,09:00:00,50.15
26/07/2012,10:00:00,45.79
26/07/2012,11:00:00,41.33
26/07/2012,12:00:00,33.91
26/07/2012,13:00:00,34.71
26/07/2012,14:00:00,41.34
26/07/2012,15:00:00,42.42
26/07/2012,16:00:00,57.26
26/07/2012,17:00:00,52.58
26/07/2012,18:00:00,47.05
26/07/2012,19:00:00,45.21
26/07/2012,20:00:00,40.18
26/07/2012,21:00:00,40.48
26/07/2012,22:00:00,43.60
26/07/2012,23:00:00,48.10
27/07/2012,00:00:00,63.11
27/07/2012,01:00:00,65.02
27/07/2012,02:00:00,61.82
27/07/2012,03:00:00,63.95
27/07/2012,04:00:00,54.70
27/07/2012,05:00:00,51.32
27/07/2012,06:00:00,56.38
27/07/2012,07:00:00,69.32
27/07/2012,08:00:00,99.44
27/07/2012,09:00:00,84.84
27/07/2012,10:00:00,73.58
27/07/2012,11:00:00,64.38
27/07/2012,12:00:00,46.39
27/07/2012,13:00:00,37.23
27/07/2012,14:00:00,33.25
29/07/2012,17:00:00,68.43
29/07/2012,18:00:00,71.21
29/07/2012,19:00:00,75.34
29/07/2012,20:00:00,57.41
29/07/2012,21:00:00,67.46
29/07/2012,22:00:00,83.49
29/07/2012,23:00:00,95.52
30/07/2012,00:00:00,134.48
30/07/2012,01:00:00,120.92
30/07/2012,02:00:00,104.88
30/07/2012,03:00:00,101.23
30/07/2012,04:00:00,76.53
30/07/2012,05:00:00,76.38
30/07/2012,06:00:00,83.58
30/07/2012,07:00:00,95.90
30/07/2012,08:00:00,159.33
30/07/2012,09:00:00,119.72
30/07/2012,10:00:00,99.27
30/07/2012,11:00:00,90.39
30/07/2012,12:00:00,58.53
