Date,Time,Values
23/07/2012,13:00:00,1.41
23/07/2012,14:00:00,1.48
23/07/2012,15:00:00,1.03
23/07/2012,16:00:00,1.41
23/07/2012,17:00:00,1.64
23/07/2012,18:00:00,1.43
23/07/2012,19:00:00,1.66
23/07/2012,20:00:00,1.50
23/07/2012,21:00:00,1.25
23/07/2012,22:00:00,1.67
23/07/2012,23:00:00,0.97
24/07/2012,00:00:00,0.93
24/07/2012,01:00:00,0.99
24/07/2012,02:00:00,1.00
24/07/2012,03:00:00,0.92
24/07/2012,04:00:00,0.88
24/07/2012,05:00:00,0.76
24/07/2012,06:00:00,0.87
24/07/2012,07:00:00,1.15
24/07/2012,08:00:00,1.37
24/07/2012,09:00:00,1.74
24/07/2012,10:00:00,1.44
24/07/2012,11:00:00,1.16
24/07/2012,12:00:00,1.03
24/07/2012,13:00:00,0.78
24/07/2012,21:00:00,4.58
24/07/2012,22:00:00,2.53
24/07/2012,23:00:00,2.49
25/07/2012,00:00:00,2.60
25/07/2012,01:00:00,0.83
25/07/2012,02:00:00,0.62
25/07/2012,03:00:00,0.65
25/07/2012,04:00:00,0.58
25/07/2012,05:00:00,0.85
25/07/2012,06:00:00,1.70
25/07/2012,07:00:00,1.91
25/07/2012,08:00:00,2.49
25/07/2012,09:00:00,3.19
25/07/2012,10:00:00,3.54
25/07/2012,11:00:00,4.77
25/07/2012,12:00:00,4.48
25/07/2012,13:00:00,3.61
25/07/2012,14:00:00,3.56
25/07/2012,15:00:00,2.78
25/07/2012,16:00:00,2.38
25/07/2012,17:00:00,0.93
25/07/2012,18:00:00,1.47
25/07/2012,19:00:00,1.67
25/07/2012,20:00:00,5.91
25/07/2012,21:00:00,4.75
25/07/2012,22:00:00,3.86
25/07/2012,23:00:00,2.98
26/07/2012,00:00:00,2.38
26/07/2012,01:00:00,2.69
26/07/2012,02:00:00,2.99
26/07/2012,03:00:00,3.68
26/07/2012,04:00:00,3.37
26/07/2012,05:00:00,2.94
26/07/2012,06:00:00,3.14
26/07/2012,07:00:00,3.90
26/07/2012,08:00:00,2.32
26/07/2012,09:00:00,2.73
26/07/2012,10:00:00,3.26
26/07/2012,11:00:00,2.82
26/07/2012,12:00:00,2.40
26/07/2012,13:00:00,2.14
26/07/2012,14:00:00,2.00
26/07/2012,15:00:00,1.97
26/07/2012,16:00:00,1.94
26/07/2012,17:00:00,1.38
26/07/2012,18:00:00,1.75
26/07/2012,19:00:00,3.58
26/07/2012,20:00:00,6.02
26/07/2012,21:00:00,5.88
26/07/2012,22:00:00,4.67
26/07/2012,23:00:00,4.23
27/07/2012,00:00:00,3.56
27/07/2012,01:00:00,4.64
27/07/2012,02:00:00,4.73
27/07/2012,03:00:00,2.57
27/07/2012,04:00:00,2.56
27/07/2012,05:00:00,4.81
27/07/2012,06:00:00,4.46
27/07/2012,07:00:00,4.11
27/07/2012,08:00:00,5.16
27/07/2012,09:00:00,4.06
27/07/2012,10:00:00,4.25
27/07/2012,11:00:00,3.58
27/07/2012,12:00:00,2.84
27/07/2012,13:00:00,1.33
27/07/2012,14:00:00,1.28
29/07/2012,17:00:00,1.80
29/07/2012,18:00:00,4.13
29/07/2012,19:00:00,5.20
29/07/2012,20:00:00,5.84
29/07/2012,21:00:00,4.98
29/07/2012,22:00:00,2.57
29/07/2012,23:00:00,2.53
30/07/2012,00:00:00,1.97
30/07/2012,01:00:00,1.80
30/07/2012,02:00:00,1.63
30/07/2012,03:00:00,1.61
30/07/2012,04:00:00,1.65
30/07/2012,05:00:00,1.83
30/07/2012,06:00:00,2.42
30/07/2012,07:00:00,3.00
30/07/2012,08:00:00,2.88
