Date,Time,Values
23/07/2012,13:00:00,28.27
23/07/2012,14:00:00,9.52
23/07/2012,15:00:00,10.67
23/07/2012,16:00:00,14.65
23/07/2012,17:00:00,14.55
23/07/2012,18:00:00,18.28
23/07/2012,19:00:00,20.16
23/07/2012,20:00:00,33.22
23/07/2012,21:00:00,21.12
23/07/2012,22:00:00,17.50
23/07/2012,23:00:00,9.71
24/07/2012,00:00:00,5.63
24/07/2012,01:00:00,4.23
24/07/2012,02:00:00,16.58
24/07/2012,03:00:00,6.48
24/07/2012,04:00:00,7.46
24/07/2012,05:00:00,11.98
24/07/2012,06:00:00,17.84
24/07/2012,07:00:00,26.05
24/07/2012,08:00:00,20.61
24/07/2012,09:00:00,76.31
24/07/2012,10:00:00,122.55
24/07/2012,11:00:00,50.52
24/07/2012,12:00:00,49.43
24/07/2012,13:00:00,25.78
24/07/2012,21:00:00,9.90
24/07/2012,22:00:00,7.43
24/07/2012,23:00:00,3.33
25/07/2012,00:00:00,2.21
25/07/2012,01:00:00,1.25
25/07/2012,02:00:00,0.59
25/07/2012,03:00:00,1.31
25/07/2012,04:00:00,6.19
25/07/2012,05:00:00,7.16
25/07/2012,06:00:00,3.88
25/07/2012,07:00:00,7.35
25/07/2012,08:00:00,10.02
25/07/2012,09:00:00,10.90
25/07/2012,10:00:00,9.18
25/07/2012,11:00:00,21.18
25/07/2012,12:00:00,18.60
25/07/2012,13:00:00,20.70
25/07/2012,14:00:00,12.48
25/07/2012,15:00:00,13.89
25/07/2012,16:00:00,34.95
25/07/2012,17:00:00,20.44
25/07/2012,18:00:00,18.31
25/07/2012,19:00:00,13.93
25/07/2012,20:00:00,21.16
25/07/2012,21:00:00,14.76
25/07/2012,22:00:00,14.47
25/07/2012,23:00:00,7.49
26/07/2012,00:00:00,5.84
26/07/2012,01:00:00,5.20
26/07/2012,02:00:00,13.36
26/07/2012,03:00:00,7.16
26/07/2012,04:00:00,4.90
26/07/2012,05:00:00,7.41
26/07/2012,06:00:00,10.37
26/07/2012,07:00:00,20.51
26/07/2012,08:00:00,38.70
26/07/2012,09:00:00,55.21
26/07/2012,10:00:00,33.90
26/07/2012,11:00:00,20.38
26/07/2012,12:00:00,18.34
26/07/2012,13:00:00,15.62
26/07/2012,14:00:00,16.68
26/07/2012,15:00:00,19.97
26/07/2012,16:00:00,21.37
26/07/2012,17:00:00,26.87
26/07/2012,18:00:00,27.14
26/07/2012,19:00:00,42.94
26/07/2012,20:00:00,20.74
26/07/2012,21:00:00,30.48
26/07/2012,22:00:00,29.33
26/07/2012,23:00:00,14.74
27/07/2012,00:00:00,23.97
27/07/2012,01:00:00,35.58
27/07/2012,02:00:00,18.45
27/07/2012,03:00:00,19.07
27/07/2012,04:00:00,42.59
27/07/2012,05:00:00,69.65
27/07/2012,06:00:00,38.96
27/07/2012,07:00:00,18.44
27/07/2012,08:00:00,15.03
27/07/2012,09:00:00,8.93
27/07/2012,10:00:00,4.63
27/07/2012,11:00:00,6.35
27/07/2012,12:00:00,4.06
27/07/2012,13:00:00,80.88
27/07/2012,14:00:00,112.92
29/07/2012,17:00:00,7.90
29/07/2012,18:00:00,17.45
29/07/2012,19:00:00,37.05
29/07/2012,20:00:00,17.82
29/07/2012,21:00:00,26.70
29/07/2012,22:00:00,34.27
29/07/2012,23:00:00,18.05
30/07/2012,00:00:00,5.28
30/07/2012,01:00:00,10.35
30/07/2012,02:00:00,6.99
30/07/2012,03:00:00,31.49
30/07/2012,04:00:00,44.86
30/07/2012,05:00:00,101.67
30/07/2012,06:00:00,157.94
30/07/2012,07:00:00,112.55
30/07/2012,08:00:00,86.78
30/07/2012,09:00:00,100.77
30/07/2012,10:00:00,97.76
30/07/2012,11:00:00,74.02
30/07/2012,12:00:00,62.08
30/07/2012,13:00:00,44.50
30/07/2012,14:00:00,42.73
30/07/2012,15:00:00,20.93
30/07/2012,16:00:00,35.52
30/07/2012,17:00:00,24.24
30/07/2012,18:00:00,45.71
30/07/2012,19:00:00,73.08
30/07/2012,20:00:00,77.76
30/07/2012,21:00:00,51.97
30/07/2012,22:00:00,64.07
30/07/2012,23:00:00,56.18
31/07/2012,00:00:00,57.25
31/07/2012,01:00:00,63.02
31/07/2012,02:00:00,31.01
31/07/2012,03:00:00,47.13
31/07/2012,04:00:00,38.05
31/07/2012,05:00:00,108.22
31/07/2012,06:00:00,191.69
31/07/2012,07:00:00,195.30
31/07/2012,08:00:00,247.29
31/07/2012,09:00:00,137.95
31/07/2012,10:00:00,108.25
31/07/2012,11:00:00,181.51
31/07/2012,12:00:00,182.20
31/07/2012,16:00:00,223.10
31/07/2012,17:00:00,181.78
31/07/2012,18:00:00,173.57
31/07/2012,19:00:00,262.16
31/07/2012,20:00:00,247.25
31/07/2012,21:00:00,353.76
31/07/2012,22:00:00,237.01
31/07/2012,23:00:00,272.68
01/08/2012,00:00:00,240.17
01/08/2012,01:00:00,329.10
01/08/2012,02:00:00,197.49
01/08/2012,03:00:00,98.88
01/08/2012,04:00:00,109.37
01/08/2012,05:00:00,188.18
01/08/2012,06:00:00,168.71
01/08/2012,07:00:00,258.97
01/08/2012,08:00:00,522.32
01/08/2012,09:00:00,153.95
01/08/2012,10:00:00,175.42
01/08/2012,11:00:00,119.99
01/08/2012,12:00:00,142.72
01/08/2012,13:00:00,162.31
01/08/2012,14:00:00,188.53
01/08/2012,15:00:00,84.53
01/08/2012,16:00:00,92.43
01/08/2012,17:00:00,98.82
01/08/2012,18:00:00,75.71
01/08/2012,19:00:00,151.26
01/08/2012,20:00:00,139.84
01/08/2012,21:00:00,118.65
01/08/2012,22:00:00,171.29
01/08/2012,23:00:00,203.06
02/08/2012,00:00:00,261.73
02/08/2012,09:00:00,265.97
02/08/2012,10:00:00,233.10
02/08/2012,11:00:00,142.51
02/08/2012,12:00:00,125.36
02/08/2012,13:00:00,85.51
02/08/2012,14:00:00,27.32
02/08/2012,15:00:00,36.06
02/08/2012,16:00:00,21.23
02/08/2012,17:00:00,127.18
02/08/2012,18:00:00,17.64
02/08/2012,19:00:00,19.91
02/08/2012,20:00:00,19.78
02/08/2012,21:00:00,24.37
02/08/2012,22:00:00,67.98
02/08/2012,23:00:00,69.47
03/08/2012,00:00:00,36.05
