Date,Time,Values
23/07/2012,13:00:00,92.16
23/07/2012,14:00:00,67.29
23/07/2012,15:00:00,82.61
23/07/2012,16:00:00,130.10
23/07/2012,17:00:00,117.39
23/07/2012,18:00:00,110.15
23/07/2012,19:00:00,98.28
23/07/2012,20:00:00,91.81
23/07/2012,21:00:00,88.04
23/07/2012,22:00:00,124.57
23/07/2012,23:00:00,83.73
24/07/2012,00:00:00,67.12
24/07/2012,01:00:00,63.98
24/07/2012,02:00:00,78.92
24/07/2012,03:00:00,63.73
24/07/2012,04:00:00,54.76
24/07/2012,05:00:00,53.07
24/07/2012,06:00:00,48.34
24/07/2012,07:00:00,53.56
24/07/2012,08:00:00,90.44
24/07/2012,09:00:00,162.32
24/07/2012,10:00:00,102.98
24/07/2012,11:00:00,77.35
24/07/2012,12:00:00,59.83
24/07/2012,13:00:00,52.34
24/07/2012,21:00:00,111.78
24/07/2012,22:00:00,139.93
24/07/2012,23:00:00,64.90
25/07/2012,00:00:00,45.50
25/07/2012,01:00:00,42.02
25/07/2012,02:00:00,44.16
25/07/2012,03:00:00,41.13
25/07/2012,04:00:00,65.18
25/07/2012,05:00:00,57.98
25/07/2012,06:00:00,38.69
25/07/2012,07:00:00,45.98
25/07/2012,08:00:00,46.25
25/07/2012,09:00:00,51.89
25/07/2012,10:00:00,56.23
25/07/2012,11:00:00,70.17
25/07/2012,12:00:00,63.40
25/07/2012,13:00:00,77.00
25/07/2012,14:00:00,63.91
25/07/2012,15:00:00,72.95
25/07/2012,16:00:00,88.39
25/07/2012,17:00:00,83.72
25/07/2012,18:00:00,73.33
25/07/2012,19:00:00,64.37
25/07/2012,20:00:00,70.15
25/07/2012,21:00:00,58.56
25/07/2012,22:00:00,64.60
25/07/2012,23:00:00,56.63
26/07/2012,00:00:00,58.23
26/07/2012,01:00:00,48.03
26/07/2012,02:00:00,74.86
26/07/2012,03:00:00,50.89
26/07/2012,04:00:00,42.02
26/07/2012,05:00:00,40.28
26/07/2012,06:00:00,43.73
26/07/2012,07:00:00,49.87
26/07/2012,08:00:00,68.43
26/07/2012,09:00:00,78.49
26/07/2012,10:00:00,71.17
26/07/2012,11:00:00,62.77
26/07/2012,12:00:00,59.17
26/07/2012,13:00:00,66.02
26/07/2012,14:00:00,60.02
26/07/2012,15:00:00,68.43
26/07/2012,16:00:00,65.82
26/07/2012,17:00:00,83.48
26/07/2012,18:00:00,87.21
26/07/2012,19:00:00,92.28
26/07/2012,20:00:00,80.41
26/07/2012,21:00:00,91.69
26/07/2012,22:00:00,81.97
26/07/2012,23:00:00,68.16
27/07/2012,00:00:00,77.34
27/07/2012,01:00:00,67.48
27/07/2012,02:00:00,58.91
27/07/2012,03:00:00,59.46
27/07/2012,04:00:00,54.23
27/07/2012,05:00:00,64.51
27/07/2012,06:00:00,53.37
27/07/2012,07:00:00,54.64
27/07/2012,08:00:00,54.50
27/07/2012,09:00:00,51.43
27/07/2012,10:00:00,40.04
27/07/2012,11:00:00,43.47
27/07/2012,12:00:00,32.73
27/07/2012,13:00:00,77.21
27/07/2012,14:00:00,92.68
29/07/2012,17:00:00,74.17
29/07/2012,18:00:00,70.18
29/07/2012,19:00:00,87.62
29/07/2012,20:00:00,62.82
29/07/2012,21:00:00,65.42
29/07/2012,22:00:00,70.59
29/07/2012,23:00:00,66.83
30/07/2012,00:00:00,50.76
30/07/2012,01:00:00,56.68
30/07/2012,02:00:00,46.07
30/07/2012,03:00:00,70.19
30/07/2012,04:00:00,59.94
30/07/2012,05:00:00,64.90
30/07/2012,06:00:00,62.08
30/07/2012,07:00:00,68.11
30/07/2012,08:00:00,68.76
30/07/2012,09:00:00,67.16
30/07/2012,10:00:00,80.97
30/07/2012,11:00:00,73.98
30/07/2012,12:00:00,73.27
30/07/2012,13:00:00,73.53
30/07/2012,14:00:00,76.02
30/07/2012,15:00:00,64.98
30/07/2012,16:00:00,89.28
30/07/2012,17:00:00,93.64
30/07/2012,18:00:00,98.38
30/07/2012,19:00:00,101.07
30/07/2012,20:00:00,99.52
30/07/2012,21:00:00,79.77
30/07/2012,22:00:00,75.23
30/07/2012,23:00:00,76.47
31/07/2012,00:00:00,81.15
31/07/2012,01:00:00,72.58
31/07/2012,02:00:00,63.69
31/07/2012,03:00:00,62.08
31/07/2012,04:00:00,57.03
31/07/2012,05:00:00,69.83
31/07/2012,06:00:00,75.06
31/07/2012,07:00:00,88.13
31/07/2012,08:00:00,101.93
31/07/2012,09:00:00,89.33
31/07/2012,10:00:00,66.01
31/07/2012,11:00:00,74.38
31/07/2012,12:00:00,80.87
31/07/2012,16:00:00,177.70
31/07/2012,17:00:00,198.72
31/07/2012,18:00:00,183.48
