Date,Time,Values
24/03/2017,11:00:00,373.90
24/03/2017,12:00:00,915.21
24/03/2017,13:00:00,776.18
24/03/2017,14:00:00,490.34
24/03/2017,15:00:00,402.13
24/03/2017,16:00:00,269.55
24/03/2017,17:00:00,269.42
24/03/2017,18:00:00,329.77
24/03/2017,19:00:00,382.20
24/03/2017,20:00:00,348.35
24/03/2017,21:00:00,278.93
24/03/2017,22:00:00,263.92
24/03/2017,23:00:00,244.74
25/03/2017,00:00:00,200.31
25/03/2017,01:00:00,163.03
25/03/2017,02:00:00,149.10
25/03/2017,03:00:00,149.67
25/03/2017,04:00:00,188.93
25/03/2017,05:00:00,345.79
25/03/2017,06:00:00,488.97
25/03/2017,07:00:00,471.93
25/03/2017,08:00:00,418.48
25/03/2017,09:00:00,254.96
25/03/2017,10:00:00,252.28
25/03/2017,11:00:00,244.78
25/03/2017,12:00:00,220.38
25/03/2017,13:00:00,236.67
25/03/2017,14:00:00,230.89
25/03/2017,15:00:00,229.12
25/03/2017,16:00:00,248.42
25/03/2017,17:00:00,243.20
25/03/2017,18:00:00,336.15
25/03/2017,19:00:00,315.39
25/03/2017,20:00:00,299.07
25/03/2017,21:00:00,275.99
25/03/2017,22:00:00,284.09
25/03/2017,23:00:00,226.20
26/03/2017,00:00:00,179.38
26/03/2017,01:00:00,159.57
26/03/2017,02:00:00,160.59
26/03/2017,03:00:00,173.28
26/03/2017,04:00:00,200.37
26/03/2017,05:00:00,268.41
26/03/2017,06:00:00,407.52
26/03/2017,07:00:00,454.68
26/03/2017,08:00:00,368.82
26/03/2017,09:00:00,293.50
26/03/2017,10:00:00,243.36
26/03/2017,11:00:00,230.93
26/03/2017,12:00:00,233.82
26/03/2017,13:00:00,248.13
26/03/2017,14:00:00,235.55
26/03/2017,15:00:00,214.11
26/03/2017,16:00:00,193.31
26/03/2017,17:00:00,204.31
26/03/2017,18:00:00,247.90
26/03/2017,19:00:00,239.95
26/03/2017,20:00:00,258.65
26/03/2017,21:00:00,250.14
26/03/2017,22:00:00,226.02
26/03/2017,23:00:00,222.33
27/03/2017,00:00:00,210.03
27/03/2017,01:00:00,173.87
27/03/2017,02:00:00,152.50
27/03/2017,03:00:00,140.58
27/03/2017,04:00:00,153.34
27/03/2017,05:00:00,198.83
27/03/2017,06:00:00,299.51
27/03/2017,07:00:00,341.51
27/03/2017,08:00:00,329.10
27/03/2017,09:00:00,305.53
27/03/2017,10:00:00,241.32
27/03/2017,11:00:00,218.74
27/03/2017,12:00:00,215.99
27/03/2017,13:00:00,194.89
27/03/2017,14:00:00,209.05
27/03/2017,15:00:00,216.53
27/03/2017,16:00:00,232.47
27/03/2017,17:00:00,219.42
27/03/2017,18:00:00,271.63
27/03/2017,19:00:00,283.94
27/03/2017,20:00:00,268.99
27/03/2017,21:00:00,281.56
27/03/2017,22:00:00,280.54
27/03/2017,23:00:00,295.82
28/03/2017,00:00:00,239.83
28/03/2017,01:00:00,176.25
28/03/2017,02:00:00,185.74
28/03/2017,03:00:00,246.29
28/03/2017,04:00:00,270.72
28/03/2017,05:00:00,364.91
28/03/2017,06:00:00,381.94
28/03/2017,07:00:00,410.47
28/03/2017,08:00:00,356.54
28/03/2017,09:00:00,276.46
28/03/2017,10:00:00,205.84
28/03/2017,11:00:00,184.87
28/03/2017,12:00:00,210.83
28/03/2017,13:00:00,266.99
28/03/2017,14:00:00,241.54
28/03/2017,15:00:00,246.83
28/03/2017,16:00:00,265.86
28/03/2017,17:00:00,216.48
28/03/2017,18:00:00,277.34
28/03/2017,19:00:00,357.90
28/03/2017,20:00:00,382.19
23/07/2012,13:00:00,124.66
23/07/2012,14:00:00,75.34
23/07/2012,15:00:00,91.05
23/07/2012,16:00:00,140.36
23/07/2012,17:00:00,128.56
23/07/2012,18:00:00,127.14
23/07/2012,19:00:00,118.85
23/07/2012,20:00:00,131.30
23/07/2012,21:00:00,110.80
23/07/2012,22:00:00,139.30
23/07/2012,23:00:00,90.71
24/07/2012,00:00:00,69.73
24/07/2012,01:00:00,64.83
24/07/2012,02:00:00,96.00
24/07/2012,03:00:00,67.80
24/07/2012,04:00:00,60.93
24/07/2012,05:00:00,65.75
24/07/2012,06:00:00,69.66
24/07/2012,07:00:00,86.04
24/07/2012,08:00:00,112.27
24/07/2012,09:00:00,257.09
24/07/2012,10:00:00,266.87
24/07/2012,11:00:00,142.43
24/07/2012,12:00:00,124.74
24/07/2012,13:00:00,84.46
24/07/2012,21:00:00,116.86
24/07/2012,22:00:00,139.24
