Date,Time,Values
23/07/2012,13:00:00,63.07
23/07/2012,14:00:00,81.84
23/07/2012,15:00:00,136.93
23/07/2012,16:00:00,106.93
23/07/2012,17:00:00,53.55
23/07/2012,18:00:00,43.68
23/07/2012,19:00:00,38.16
23/07/2012,20:00:00,67.62
23/07/2012,21:00:00,76.11
23/07/2012,22:00:00,90.67
23/07/2012,23:00:00,90.75
24/07/2012,00:00:00,42.56
24/07/2012,01:00:00,36.55
24/07/2012,02:00:00,20.72
24/07/2012,03:00:00,20.84
24/07/2012,04:00:00,40.38
24/07/2012,05:00:00,109.12
24/07/2012,06:00:00,67.64
24/07/2012,07:00:00,109.26
24/07/2012,08:00:00,28.87
24/07/2012,09:00:00,29.89
24/07/2012,10:00:00,27.69
24/07/2012,11:00:00,88.84
24/07/2012,12:00:00,117.03
24/07/2012,13:00:00,289.83
24/07/2012,21:00:00,55.27
24/07/2012,22:00:00,71.39
24/07/2012,23:00:00,43.30
25/07/2012,00:00:00,53.37
25/07/2012,01:00:00,41.07
25/07/2012,02:00:00,39.24
25/07/2012,03:00:00,43.00
25/07/2012,04:00:00,46.07
25/07/2012,05:00:00,33.21
25/07/2012,06:00:00,42.45
25/07/2012,07:00:00,28.32
25/07/2012,08:00:00,30.82
25/07/2012,09:00:00,35.21
25/07/2012,10:00:00,42.73
25/07/2012,11:00:00,48.54
25/07/2012,12:00:00,48.54
25/07/2012,13:00:00,60.30
25/07/2012,14:00:00,55.35
25/07/2012,15:00:00,68.79
25/07/2012,16:00:00,21.43
25/07/2012,17:00:00,41.91
25/07/2012,18:00:00,31.03
25/07/2012,19:00:00,36.90
25/07/2012,20:00:00,55.44
25/07/2012,21:00:00,52.11
25/07/2012,22:00:00,54.40
25/07/2012,23:00:00,31.62
26/07/2012,00:00:00,29.51
26/07/2012,01:00:00,29.03
26/07/2012,02:00:00,21.96
26/07/2012,03:00:00,23.06
26/07/2012,04:00:00,40.70
26/07/2012,05:00:00,50.87
26/07/2012,06:00:00,50.16
26/07/2012,07:00:00,30.72
26/07/2012,08:00:00,38.45
26/07/2012,09:00:00,20.85
26/07/2012,10:00:00,21.16
26/07/2012,11:00:00,50.56
26/07/2012,12:00:00,51.90
26/07/2012,13:00:00,99.62
26/07/2012,14:00:00,61.73
26/07/2012,15:00:00,46.60
26/07/2012,16:00:00,31.40
26/07/2012,17:00:00,32.83
26/07/2012,18:00:00,25.67
26/07/2012,19:00:00,18.55
26/07/2012,20:00:00,39.55
26/07/2012,21:00:00,67.85
26/07/2012,22:00:00,81.74
26/07/2012,23:00:00,79.60
27/07/2012,00:00:00,15.18
27/07/2012,01:00:00,25.60
27/07/2012,02:00:00,15.30
27/07/2012,03:00:00,17.05
27/07/2012,04:00:00,41.67
27/07/2012,05:00:00,71.40
27/07/2012,06:00:00,50.34
27/07/2012,07:00:00,82.06
27/07/2012,08:00:00,22.03
27/07/2012,09:00:00,33.12
27/07/2012,10:00:00,58.17
27/07/2012,11:00:00,53.59
27/07/2012,12:00:00,60.74
27/07/2012,13:00:00,179.55
27/07/2012,14:00:00,50.08
29/07/2012,17:00:00,40.53
29/07/2012,18:00:00,34.09
29/07/2012,19:00:00,16.83
29/07/2012,20:00:00,60.70
29/07/2012,21:00:00,124.82
29/07/2012,22:00:00,75.62
29/07/2012,23:00:00,78.84
30/07/2012,00:00:00,33.67
30/07/2012,01:00:00,23.68
30/07/2012,02:00:00,21.39
30/07/2012,03:00:00,22.39
30/07/2012,04:00:00,55.68
30/07/2012,05:00:00,117.84
30/07/2012,06:00:00,106.53
30/07/2012,07:00:00,125.93
30/07/2012,08:00:00,45.76
30/07/2012,09:00:00,37.75
30/07/2012,10:00:00,47.88
30/07/2012,11:00:00,33.66
30/07/2012,12:00:00,65.08
30/07/2012,13:00:00,72.07
30/07/2012,14:00:00,65.70
30/07/2012,15:00:00,72.89
30/07/2012,16:00:00,21.31
30/07/2012,17:00:00,36.56
30/07/2012,18:00:00,17.80
30/07/2012,19:00:00,17.54
30/07/2012,20:00:00,44.22
30/07/2012,21:00:00,62.76
30/07/2012,22:00:00,106.67
30/07/2012,23:00:00,93.76
31/07/2012,00:00:00,36.05
31/07/2012,01:00:00,19.57
31/07/2012,02:00:00,34.22
31/07/2012,03:00:00,21.40
31/07/2012,04:00:00,63.47
31/07/2012,05:00:00,85.04
31/07/2012,06:00:00,86.52
31/07/2012,07:00:00,74.05
31/07/2012,08:00:00,38.07
31/07/2012,09:00:00,22.93
31/07/2012,10:00:00,10.74
31/07/2012,11:00:00,32.09
31/07/2012,12:00:00,40.27
31/07/2012,16:00:00,19.40
31/07/2012,17:00:00,17.23
31/07/2012,18:00:00,19.63
31/07/2012,19:00:00,14.60
