Date,Time,Values
23/07/2012,13:00:00,0.17
23/07/2012,14:00:00,0.38
23/07/2012,15:00:00,0.18
23/07/2012,16:00:00,0.29
23/07/2012,17:00:00,0.26
23/07/2012,18:00:00,0.21
23/07/2012,19:00:00,0.37
23/07/2012,20:00:00,0.28
23/07/2012,21:00:00,0.10
23/07/2012,22:00:00,0.19
23/07/2012,23:00:00,0.10
24/07/2012,00:00:00,0.10
24/07/2012,01:00:00,0.10
24/07/2012,02:00:00,0.26
24/07/2012,03:00:00,0.19
24/07/2012,04:00:00,0.10
24/07/2012,06:00:00,0.10
24/07/2012,07:00:00,0.10
24/07/2012,08:00:00,0.12
24/07/2012,09:00:00,0.35
24/07/2012,10:00:00,0.24
24/07/2012,11:00:00,0.18
24/07/2012,12:00:00,0.13
24/07/2012,13:00:00,0.10
24/07/2012,21:00:00,2.36
24/07/2012,22:00:00,0.98
24/07/2012,23:00:00,0.58
25/07/2012,00:00:00,0.79
25/07/2012,01:00:00,0.18
25/07/2012,02:00:00,0.15
25/07/2012,03:00:00,0.10
25/07/2012,05:00:00,0.27
25/07/2012,07:00:00,0.23
25/07/2012,08:00:00,0.22
25/07/2012,09:00:00,0.29
25/07/2012,10:00:00,0.48
25/07/2012,11:00:00,0.75
25/07/2012,12:00:00,0.66
25/07/2012,13:00:00,0.49
25/07/2012,14:00:00,0.46
25/07/2012,15:00:00,0.43
25/07/2012,16:00:00,0.51
25/07/2012,17:00:00,0.10
25/07/2012,18:00:00,0.22
25/07/2012,19:00:00,0.34
25/07/2012,20:00:00,2.01
25/07/2012,21:00:00,1.17
25/07/2012,22:00:00,0.41
25/07/2012,23:00:00,0.26
26/07/2012,00:00:00,0.22
26/07/2012,01:00:00,0.23
26/07/2012,02:00:00,0.30
26/07/2012,03:00:00,0.26
26/07/2012,04:00:00,0.15
26/07/2012,06:00:00,0.20
26/07/2012,07:00:00,0.23
26/07/2012,08:00:00,0.16
26/07/2012,09:00:00,0.28
26/07/2012,10:00:00,0.25
26/07/2012,11:00:00,0.32
26/07/2012,12:00:00,0.40
26/07/2012,13:00:00,0.55
26/07/2012,14:00:00,0.40
26/07/2012,15:00:00,0.64
