Date,Time,Values
23/03/2017,00:00:00,398.00
23/03/2017,01:00:00,468.00
23/03/2017,02:00:00,813.83
23/03/2017,03:00:00,853.50
23/03/2017,04:00:00,"1,183.00"
23/03/2017,05:00:00,"1,303.00"
23/03/2017,06:00:00,"1,228.00"
23/03/2017,07:00:00,"1,214.83"
23/03/2017,08:00:00,"1,116.33"
23/03/2017,09:00:00,885.00
23/03/2017,10:00:00,537.33
23/03/2017,11:00:00,491.91
23/03/2017,12:00:00,429.00
23/03/2017,13:00:00,469.00
23/03/2017,14:00:00,444.50
23/03/2017,15:00:00,314.33
23/03/2017,16:00:00,287.50
23/03/2017,17:00:00,350.09
23/03/2017,18:00:00,379.83
23/03/2017,19:00:00,417.83
23/03/2017,20:00:00,459.33
23/03/2017,21:00:00,556.33
23/03/2017,22:00:00,472.00
23/03/2017,23:00:00,410.45
24/03/2017,00:00:00,381.00
24/03/2017,01:00:00,346.00
24/03/2017,02:00:00,344.83
24/03/2017,03:00:00,370.33
24/03/2017,04:00:00,566.83
24/03/2017,05:00:00,696.73
24/03/2017,06:00:00,383.67
24/03/2017,07:00:00,389.83
24/03/2017,08:00:00,453.50
24/03/2017,09:00:00,453.17
24/03/2017,10:00:00,462.55
24/03/2017,11:00:00,446.00
24/03/2017,12:00:00,423.33
24/03/2017,13:00:00,367.67
24/03/2017,14:00:00,385.00
24/03/2017,15:00:00,311.50
24/03/2017,16:00:00,446.27
24/03/2017,17:00:00,335.67
24/03/2017,18:00:00,297.83
24/03/2017,19:00:00,322.17
24/03/2017,20:00:00,343.00
24/03/2017,21:00:00,307.83
24/03/2017,22:00:00,261.55
24/03/2017,23:00:00,274.00
25/03/2017,00:00:00,229.64
25/03/2017,01:00:00,198.17
25/03/2017,02:00:00,140.00
25/03/2017,03:00:00,135.00
25/03/2017,04:00:00,102.64
25/03/2017,05:00:00,261.67
25/03/2017,06:00:00,718.83
25/03/2017,07:00:00,995.17
25/03/2017,08:00:00,843.83
25/03/2017,09:00:00,519.27
25/03/2017,10:00:00,389.83
25/03/2017,11:00:00,415.17
25/03/2017,12:00:00,345.50
25/03/2017,13:00:00,352.33
25/03/2017,14:00:00,399.00
25/03/2017,15:00:00,412.67
25/03/2017,16:00:00,455.33
25/03/2017,17:00:00,326.83
25/03/2017,18:00:00,329.00
