Date,Time,Values
23/03/2017,00:00:00,132.45
23/03/2017,01:00:00,180.50
23/03/2017,02:00:00,200.83
23/03/2017,03:00:00,172.83
23/03/2017,04:00:00,215.33
23/03/2017,05:00:00,227.67
23/03/2017,06:00:00,221.27
23/03/2017,07:00:00,291.33
23/03/2017,08:00:00,311.17
23/03/2017,09:00:00,354.17
23/03/2017,10:00:00,228.00
23/03/2017,11:00:00,169.73
23/03/2017,12:00:00,129.50
23/03/2017,13:00:00,139.33
23/03/2017,14:00:00,121.50
23/03/2017,15:00:00,96.50
23/03/2017,16:00:00,83.83
23/03/2017,17:00:00,83.55
23/03/2017,18:00:00,87.09
23/03/2017,19:00:00,96.17
23/03/2017,20:00:00,128.67
23/03/2017,21:00:00,183.91
23/03/2017,22:00:00,149.17
23/03/2017,23:00:00,134.36
24/03/2017,00:00:00,157.33
24/03/2017,01:00:00,177.50
24/03/2017,02:00:00,197.17
24/03/2017,03:00:00,220.33
24/03/2017,04:00:00,279.83
24/03/2017,05:00:00,239.00
24/03/2017,06:00:00,121.36
24/03/2017,07:00:00,132.67
24/03/2017,08:00:00,138.33
24/03/2017,09:00:00,149.33
24/03/2017,10:00:00,144.55
24/03/2017,11:00:00,126.33
24/03/2017,12:00:00,104.17
24/03/2017,13:00:00,86.83
24/03/2017,14:00:00,95.00
24/03/2017,15:00:00,86.17
24/03/2017,16:00:00,64.45
24/03/2017,17:00:00,51.64
24/03/2017,18:00:00,39.67
24/03/2017,19:00:00,50.50
24/03/2017,20:00:00,63.17
24/03/2017,21:00:00,62.00
24/03/2017,22:00:00,56.55
24/03/2017,23:00:00,76.83
25/03/2017,00:00:00,77.67
25/03/2017,01:00:00,80.50
25/03/2017,02:00:00,52.67
25/03/2017,03:00:00,48.83
25/03/2017,04:00:00,39.00
25/03/2017,05:00:00,50.67
25/03/2017,06:00:00,104.83
25/03/2017,07:00:00,197.67
25/03/2017,08:00:00,253.17
25/03/2017,09:00:00,181.91
25/03/2017,10:00:00,109.33
25/03/2017,11:00:00,97.67
25/03/2017,12:00:00,74.50
25/03/2017,13:00:00,45.50
25/03/2017,14:00:00,62.67
25/03/2017,15:00:00,60.45
25/03/2017,16:00:00,55.67
25/03/2017,17:00:00,43.67
25/03/2017,18:00:00,45.83
25/03/2017,19:00:00,64.17
25/03/2017,20:00:00,59.83
25/03/2017,21:00:00,64.17
25/03/2017,22:00:00,89.27
25/03/2017,23:00:00,82.33
26/03/2017,00:00:00,66.83
26/03/2017,01:00:00,79.00
26/03/2017,02:00:00,66.17
26/03/2017,03:00:00,61.17
26/03/2017,04:00:00,99.17
26/03/2017,05:00:00,68.83
26/03/2017,06:00:00,135.00
26/03/2017,07:00:00,236.50
26/03/2017,08:00:00,189.00
26/03/2017,09:00:00,156.67
26/03/2017,10:00:00,116.50
26/03/2017,11:00:00,94.09
26/03/2017,12:00:00,70.50
26/03/2017,13:00:00,67.50
26/03/2017,14:00:00,90.33
26/03/2017,15:00:00,89.00
26/03/2017,16:00:00,65.58
26/03/2017,17:00:00,58.67
26/03/2017,18:00:00,51.83
26/03/2017,19:00:00,50.33
26/03/2017,20:00:00,49.73
26/03/2017,21:00:00,60.73
26/03/2017,22:00:00,57.00
26/03/2017,23:00:00,68.36
27/03/2017,00:00:00,84.82
27/03/2017,01:00:00,106.50
27/03/2017,02:00:00,80.00
27/03/2017,03:00:00,57.83
27/03/2017,04:00:00,45.67
27/03/2017,05:00:00,39.67
27/03/2017,06:00:00,55.50
27/03/2017,07:00:00,117.50
27/03/2017,08:00:00,119.55
27/03/2017,09:00:00,132.18
27/03/2017,10:00:00,96.27
27/03/2017,11:00:00,89.18
27/03/2017,12:00:00,71.27
27/03/2017,13:00:00,69.45
27/03/2017,14:00:00,73.50
27/03/2017,15:00:00,64.83
27/03/2017,16:00:00,80.33
27/03/2017,17:00:00,61.00
27/03/2017,18:00:00,57.33
27/03/2017,19:00:00,64.83
27/03/2017,20:00:00,70.67
27/03/2017,21:00:00,77.00
27/03/2017,22:00:00,71.17
27/03/2017,23:00:00,93.27
28/03/2017,00:00:00,99.83
28/03/2017,01:00:00,98.83
28/03/2017,02:00:00,74.60
28/03/2017,03:00:00,90.83
28/03/2017,04:00:00,144.00
28/03/2017,05:00:00,171.64
28/03/2017,06:00:00,205.50
28/03/2017,07:00:00,198.64
28/03/2017,08:00:00,181.36
28/03/2017,09:00:00,185.45
28/03/2017,10:00:00,149.27
28/03/2017,11:00:00,119.91
28/03/2017,12:00:00,121.45
28/03/2017,13:00:00,105.27
28/03/2017,14:00:00,82.00
28/03/2017,15:00:00,72.64
28/03/2017,16:00:00,72.09
28/03/2017,17:00:00,72.27
28/03/2017,18:00:00,53.91
28/03/2017,19:00:00,73.17
28/03/2017,20:00:00,104.00
04/04/2015,10:00:00,20.89
04/04/2015,11:00:00,20.09
04/04/2015,12:00:00,33.00
04/04/2015,13:00:00,30.83
04/04/2015,14:00:00,46.17
04/04/2015,15:00:00,51.67
04/04/2015,16:00:00,44.91
04/04/2015,17:00:00,23.67
04/04/2015,18:00:00,34.50
04/04/2015,19:00:00,52.50
04/04/2015,20:00:00,94.50
04/04/2015,21:00:00,152.00
04/04/2015,22:00:00,75.50
04/04/2015,23:00:00,66.83
05/04/2015,00:00:00,58.50
05/04/2015,01:00:00,48.55
05/04/2015,02:00:00,60.33
