Date,Time,Values
04/04/2015,10:00:00,74.89
04/04/2015,11:00:00,65.75
04/04/2015,12:00:00,57.08
04/04/2015,13:00:00,56.33
04/04/2015,14:00:00,50.67
04/04/2015,15:00:00,48.17
04/04/2015,16:00:00,49.42
04/04/2015,17:00:00,50.75
04/04/2015,18:00:00,56.75
04/04/2015,19:00:00,59.92
04/04/2015,20:00:00,62.33
04/04/2015,21:00:00,67.58
04/04/2015,22:00:00,70.42
04/04/2015,23:00:00,71.83
05/04/2015,00:00:00,72.25
05/04/2015,01:00:00,73.75
05/04/2015,02:00:00,77.42
05/04/2015,03:00:00,79.75
05/04/2015,04:00:00,80.75
05/04/2015,05:00:00,80.92
05/04/2015,06:00:00,78.33
05/04/2015,07:00:00,60.67
05/04/2015,08:00:00,50.33
05/04/2015,09:00:00,48.25
05/04/2015,10:00:00,45.67
09/04/2015,13:00:00,28.00
09/04/2015,14:00:00,26.25
09/04/2015,15:00:00,24.17
09/04/2015,16:00:00,24.58
09/04/2015,17:00:00,25.17
09/04/2015,18:00:00,28.92
09/04/2015,19:00:00,33.33
09/04/2015,20:00:00,36.25
09/04/2015,21:00:00,38.08
09/04/2015,22:00:00,37.92
09/04/2015,23:00:00,39.83
10/04/2015,00:00:00,42.83
10/04/2015,01:00:00,46.00
10/04/2015,02:00:00,48.83
10/04/2015,03:00:00,51.17
10/04/2015,04:00:00,52.83
10/04/2015,05:00:00,54.83
10/04/2015,06:00:00,53.00
10/04/2015,07:00:00,44.50
10/04/2015,08:00:00,39.67
10/04/2015,09:00:00,36.45
10/04/2015,10:00:00,33.67
10/04/2015,11:00:00,29.33
10/04/2015,12:00:00,25.33
10/04/2015,13:00:00,22.42
10/04/2015,14:00:00,22.50
10/04/2015,15:00:00,21.83
10/04/2015,16:00:00,21.25
10/04/2015,17:00:00,22.33
10/04/2015,18:00:00,23.25
10/04/2015,19:00:00,29.25
10/04/2015,20:00:00,34.08
10/04/2015,21:00:00,36.83
10/04/2015,22:00:00,40.58
10/04/2015,23:00:00,35.67
11/04/2015,00:00:00,37.42
11/04/2015,01:00:00,41.67
11/04/2015,02:00:00,43.33
11/04/2015,03:00:00,43.75
11/04/2015,04:00:00,45.33
11/04/2015,05:00:00,47.58
11/04/2015,06:00:00,47.25
11/04/2015,07:00:00,41.17
11/04/2015,08:00:00,34.08
11/04/2015,09:00:00,32.10
11/04/2015,10:00:00,22.90
11/04/2015,11:00:00,24.33
11/04/2015,12:00:00,27.50
11/04/2015,13:00:00,26.67
11/04/2015,15:00:00,25.00
11/04/2015,16:00:00,26.33
11/04/2015,18:00:00,32.00
11/04/2015,19:00:00,34.75
11/04/2015,20:00:00,36.08
11/04/2015,21:00:00,39.00
11/04/2015,22:00:00,37.25
11/04/2015,23:00:00,44.67
12/04/2015,00:00:00,42.42
12/04/2015,01:00:00,47.25
12/04/2015,02:00:00,50.50
12/04/2015,03:00:00,64.42
12/04/2015,04:00:00,59.42
12/04/2015,05:00:00,59.00
12/04/2015,06:00:00,58.50
12/04/2015,07:00:00,54.92
12/04/2015,08:00:00,55.33
12/04/2015,09:00:00,50.75
12/04/2015,10:00:00,46.58
12/04/2015,11:00:00,44.58
12/04/2015,12:00:00,47.33
12/04/2015,13:00:00,46.43
12/04/2015,20:00:00,50.89
12/04/2015,21:00:00,54.00
12/04/2015,22:00:00,58.67
12/04/2015,23:00:00,61.17
13/04/2015,00:00:00,63.75
13/04/2015,01:00:00,67.50
13/04/2015,02:00:00,70.50
13/04/2015,03:00:00,70.33
13/04/2015,04:00:00,70.25
13/04/2015,05:00:00,69.83
13/04/2015,06:00:00,68.75
13/04/2015,07:00:00,67.33
13/04/2015,08:00:00,64.08
13/04/2015,09:00:00,55.17
13/04/2015,10:00:00,49.42
13/04/2015,11:00:00,43.64
13/04/2015,12:00:00,40.17
13/04/2015,13:00:00,38.58
13/04/2015,14:00:00,36.75
13/04/2015,15:00:00,36.83
13/04/2015,16:00:00,52.42
13/04/2015,17:00:00,57.58
13/04/2015,18:00:00,63.75
13/04/2015,19:00:00,59.67
13/04/2015,20:00:00,58.73
13/04/2015,21:00:00,60.67
13/04/2015,22:00:00,62.42
13/04/2015,23:00:00,64.83
14/04/2015,00:00:00,66.75
14/04/2015,01:00:00,66.83
14/04/2015,02:00:00,67.00
14/04/2015,03:00:00,68.42
14/04/2015,04:00:00,68.08
14/04/2015,05:00:00,66.42
14/04/2015,06:00:00,66.08
14/04/2015,07:00:00,59.67
14/04/2015,08:00:00,54.92
14/04/2015,09:00:00,48.83
