Date,Time,Values
04/04/2015,10:00:00,435.11
04/04/2015,11:00:00,468.17
04/04/2015,12:00:00,461.83
04/04/2015,13:00:00,422.08
04/04/2015,14:00:00,451.42
04/04/2015,15:00:00,430.25
04/04/2015,16:00:00,414.92
04/04/2015,17:00:00,377.75
04/04/2015,18:00:00,107.58
04/04/2015,19:00:00,13.00
04/04/2015,20:00:00,13.00
04/04/2015,21:00:00,13.00
04/04/2015,22:00:00,12.92
04/04/2015,23:00:00,13.00
05/04/2015,00:00:00,13.00
05/04/2015,01:00:00,12.92
05/04/2015,02:00:00,13.08
05/04/2015,03:00:00,12.75
05/04/2015,04:00:00,12.92
05/04/2015,05:00:00,15.58
05/04/2015,06:00:00,267.67
05/04/2015,07:00:00,428.83
05/04/2015,08:00:00,440.83
05/04/2015,09:00:00,458.33
05/04/2015,10:00:00,460.00
09/04/2015,13:00:00,435.57
09/04/2015,14:00:00,445.33
09/04/2015,15:00:00,433.17
09/04/2015,16:00:00,406.17
09/04/2015,17:00:00,359.42
09/04/2015,18:00:00,106.33
09/04/2015,19:00:00,13.00
09/04/2015,20:00:00,12.92
09/04/2015,21:00:00,12.75
09/04/2015,22:00:00,13.00
09/04/2015,23:00:00,12.58
10/04/2015,00:00:00,12.75
10/04/2015,01:00:00,12.83
10/04/2015,02:00:00,12.92
10/04/2015,03:00:00,12.92
10/04/2015,04:00:00,12.92
10/04/2015,05:00:00,19.33
10/04/2015,06:00:00,299.67
10/04/2015,07:00:00,415.00
10/04/2015,08:00:00,432.75
10/04/2015,09:00:00,442.18
10/04/2015,10:00:00,447.08
10/04/2015,11:00:00,449.75
10/04/2015,12:00:00,450.50
10/04/2015,13:00:00,436.42
10/04/2015,14:00:00,437.67
10/04/2015,15:00:00,425.17
10/04/2015,16:00:00,399.83
10/04/2015,17:00:00,359.00
10/04/2015,18:00:00,115.92
10/04/2015,19:00:00,13.00
10/04/2015,20:00:00,13.00
10/04/2015,21:00:00,12.83
10/04/2015,22:00:00,12.92
10/04/2015,23:00:00,12.83
11/04/2015,00:00:00,12.92
11/04/2015,01:00:00,12.83
11/04/2015,02:00:00,13.00
11/04/2015,03:00:00,13.00
11/04/2015,04:00:00,12.67
11/04/2015,05:00:00,16.58
11/04/2015,06:00:00,266.17
11/04/2015,07:00:00,400.50
11/04/2015,08:00:00,424.50
11/04/2015,09:00:00,431.80
11/04/2015,10:00:00,438.50
11/04/2015,11:00:00,432.00
11/04/2015,12:00:00,430.30
11/04/2015,13:00:00,422.25
11/04/2015,15:00:00,411.58
11/04/2015,16:00:00,388.11
11/04/2015,18:00:00,13.00
11/04/2015,19:00:00,12.67
11/04/2015,20:00:00,12.75
11/04/2015,21:00:00,12.83
11/04/2015,22:00:00,12.92
11/04/2015,23:00:00,12.83
12/04/2015,00:00:00,13.00
12/04/2015,01:00:00,12.75
12/04/2015,02:00:00,12.92
12/04/2015,03:00:00,13.00
12/04/2015,04:00:00,12.83
12/04/2015,05:00:00,13.67
12/04/2015,06:00:00,74.08
12/04/2015,07:00:00,351.42
12/04/2015,08:00:00,392.00
12/04/2015,09:00:00,428.33
12/04/2015,10:00:00,432.58
12/04/2015,11:00:00,414.75
12/04/2015,12:00:00,415.33
12/04/2015,13:00:00,424.00
12/04/2015,20:00:00,12.89
12/04/2015,21:00:00,12.83
12/04/2015,22:00:00,12.75
12/04/2015,23:00:00,12.75
13/04/2015,00:00:00,13.00
13/04/2015,01:00:00,12.83
13/04/2015,02:00:00,12.75
13/04/2015,03:00:00,13.00
13/04/2015,04:00:00,12.83
13/04/2015,05:00:00,16.67
13/04/2015,06:00:00,209.25
13/04/2015,07:00:00,383.67
13/04/2015,08:00:00,420.33
13/04/2015,09:00:00,452.75
13/04/2015,10:00:00,462.25
13/04/2015,11:00:00,466.27
13/04/2015,12:00:00,458.42
13/04/2015,13:00:00,448.33
13/04/2015,14:00:00,448.75
13/04/2015,15:00:00,412.83
13/04/2015,16:00:00,410.25
13/04/2015,17:00:00,394.42
13/04/2015,18:00:00,183.50
13/04/2015,19:00:00,13.00
13/04/2015,20:00:00,12.91
13/04/2015,21:00:00,13.00
13/04/2015,22:00:00,12.92
13/04/2015,23:00:00,12.92
14/04/2015,00:00:00,12.92
14/04/2015,01:00:00,12.83
14/04/2015,02:00:00,13.00
14/04/2015,03:00:00,12.92
14/04/2015,04:00:00,12.83
14/04/2015,05:00:00,20.67
14/04/2015,06:00:00,241.58
14/04/2015,07:00:00,421.75
14/04/2015,08:00:00,442.92
14/04/2015,09:00:00,458.33
14/04/2015,10:00:00,464.83
14/04/2015,11:00:00,465.58
14/04/2015,12:00:00,460.67
14/04/2015,13:00:00,449.17
14/04/2015,14:00:00,447.92
14/04/2015,15:00:00,424.25
14/04/2015,16:00:00,409.33
14/04/2015,17:00:00,358.58
14/04/2015,18:00:00,141.75
14/04/2015,19:00:00,12.75
14/04/2015,20:00:00,12.83
14/04/2015,21:00:00,12.83
14/04/2015,22:00:00,12.92
14/04/2015,23:00:00,12.92
15/04/2015,00:00:00,13.08
15/04/2015,01:00:00,12.92
15/04/2015,02:00:00,12.71
15/04/2015,18:00:00,27.40
15/04/2015,19:00:00,12.75
15/04/2015,20:00:00,12.83
15/04/2015,21:00:00,12.92
15/04/2015,22:00:00,12.92
15/04/2015,23:00:00,12.83
16/04/2015,00:00:00,12.92
16/04/2015,01:00:00,12.83
16/04/2015,02:00:00,12.92
