Date,Time,Values
23/03/2017,00:00:00,23.45
23/03/2017,01:00:00,24.38
23/03/2017,02:00:00,24.26
23/03/2017,03:00:00,26.06
23/03/2017,04:00:00,27.03
23/03/2017,05:00:00,30.09
23/03/2017,06:00:00,22.46
23/03/2017,07:00:00,20.10
23/03/2017,08:00:00,18.86
23/03/2017,09:00:00,29.67
23/03/2017,10:00:00,44.12
23/03/2017,11:00:00,61.97
23/03/2017,12:00:00,58.92
23/03/2017,13:00:00,58.66
23/03/2017,14:00:00,50.19
23/03/2017,15:00:00,49.13
23/03/2017,16:00:00,44.39
23/03/2017,17:00:00,40.04
23/03/2017,18:00:00,43.52
23/03/2017,19:00:00,40.91
23/03/2017,20:00:00,39.42
23/03/2017,21:00:00,33.44
23/03/2017,22:00:00,29.59
23/03/2017,23:00:00,25.40
24/03/2017,00:00:00,26.63
24/03/2017,01:00:00,25.93
24/03/2017,02:00:00,25.17
24/03/2017,03:00:00,25.14
24/03/2017,04:00:00,26.99
24/03/2017,05:00:00,24.62
24/03/2017,06:00:00,23.26
24/03/2017,07:00:00,23.21
24/03/2017,08:00:00,24.76
24/03/2017,09:00:00,28.65
24/03/2017,10:00:00,29.00
24/03/2017,11:00:00,53.28
24/03/2017,12:00:00,52.29
24/03/2017,13:00:00,54.78
24/03/2017,14:00:00,61.38
24/03/2017,15:00:00,53.88
24/03/2017,16:00:00,40.33
24/03/2017,17:00:00,34.64
24/03/2017,18:00:00,31.53
24/03/2017,19:00:00,31.03
24/03/2017,20:00:00,29.74
24/03/2017,21:00:00,27.72
24/03/2017,22:00:00,26.74
24/03/2017,23:00:00,25.75
25/03/2017,00:00:00,21.97
25/03/2017,01:00:00,19.74
25/03/2017,02:00:00,19.37
25/03/2017,03:00:00,19.02
25/03/2017,04:00:00,20.23
25/03/2017,05:00:00,21.75
25/03/2017,06:00:00,23.44
25/03/2017,07:00:00,22.90
25/03/2017,08:00:00,24.63
25/03/2017,09:00:00,30.23
25/03/2017,10:00:00,37.44
25/03/2017,11:00:00,39.98
25/03/2017,12:00:00,39.60
25/03/2017,13:00:00,36.89
25/03/2017,14:00:00,36.29
25/03/2017,15:00:00,36.94
25/03/2017,16:00:00,34.39
25/03/2017,17:00:00,33.45
25/03/2017,18:00:00,31.47
25/03/2017,19:00:00,29.24
25/03/2017,20:00:00,25.98
25/03/2017,21:00:00,23.90
25/03/2017,22:00:00,23.49
25/03/2017,23:00:00,22.47
26/03/2017,00:00:00,23.05
26/03/2017,01:00:00,22.21
26/03/2017,02:00:00,22.03
26/03/2017,03:00:00,21.42
26/03/2017,04:00:00,22.07
26/03/2017,05:00:00,23.77
26/03/2017,06:00:00,25.16
26/03/2017,07:00:00,23.79
26/03/2017,08:00:00,25.19
26/03/2017,09:00:00,31.23
26/03/2017,10:00:00,32.28
26/03/2017,11:00:00,38.82
26/03/2017,12:00:00,36.43
26/03/2017,13:00:00,35.75
26/03/2017,14:00:00,33.97
26/03/2017,15:00:00,32.57
26/03/2017,16:00:00,33.87
26/03/2017,17:00:00,32.90
26/03/2017,18:00:00,28.58
26/03/2017,19:00:00,26.19
26/03/2017,20:00:00,25.05
26/03/2017,21:00:00,23.33
26/03/2017,22:00:00,22.42
26/03/2017,23:00:00,22.15
27/03/2017,00:00:00,20.82
27/03/2017,01:00:00,19.44
27/03/2017,02:00:00,19.63
27/03/2017,03:00:00,19.28
27/03/2017,04:00:00,19.53
27/03/2017,05:00:00,19.74
27/03/2017,06:00:00,23.65
27/03/2017,07:00:00,24.85
27/03/2017,08:00:00,32.16
27/03/2017,09:00:00,50.76
27/03/2017,10:00:00,40.26
27/03/2017,11:00:00,46.19
27/03/2017,12:00:00,44.97
27/03/2017,13:00:00,43.32
27/03/2017,14:00:00,40.44
27/03/2017,15:00:00,37.88
27/03/2017,16:00:00,39.93
27/03/2017,17:00:00,39.10
27/03/2017,18:00:00,32.81
27/03/2017,19:00:00,29.83
27/03/2017,20:00:00,27.45
27/03/2017,21:00:00,25.09
27/03/2017,22:00:00,23.94
27/03/2017,23:00:00,22.77
28/03/2017,00:00:00,23.28
28/03/2017,01:00:00,22.57
28/03/2017,02:00:00,21.72
28/03/2017,03:00:00,22.24
28/03/2017,04:00:00,23.11
28/03/2017,05:00:00,25.12
28/03/2017,06:00:00,21.03
28/03/2017,07:00:00,19.67
28/03/2017,08:00:00,23.40
28/03/2017,09:00:00,34.75
28/03/2017,10:00:00,38.10
28/03/2017,11:00:00,51.15
28/03/2017,12:00:00,57.23
28/03/2017,13:00:00,45.55
28/03/2017,14:00:00,42.34
28/03/2017,15:00:00,41.00
28/03/2017,16:00:00,35.83
28/03/2017,17:00:00,35.05
28/03/2017,18:00:00,35.73
28/03/2017,19:00:00,34.53
28/03/2017,20:00:00,32.01
23/07/2012,13:00:00,8.16
23/07/2012,14:00:00,8.31
23/07/2012,15:00:00,9.09
23/07/2012,16:00:00,8.95
23/07/2012,17:00:00,9.23
23/07/2012,18:00:00,11.93
23/07/2012,19:00:00,13.18
23/07/2012,20:00:00,10.44
23/07/2012,21:00:00,8.93
23/07/2012,22:00:00,9.26
23/07/2012,23:00:00,11.03
24/07/2012,00:00:00,7.14
24/07/2012,01:00:00,11.92
24/07/2012,02:00:00,15.97
24/07/2012,03:00:00,11.13
24/07/2012,04:00:00,5.47
24/07/2012,05:00:00,2.77
24/07/2012,06:00:00,3.73
24/07/2012,07:00:00,2.43
24/07/2012,08:00:00,3.67
24/07/2012,10:00:00,15.24
24/07/2012,11:00:00,13.28
24/07/2012,12:00:00,10.34
24/07/2012,13:00:00,10.40
25/07/2012,00:00:00,6.56
25/07/2012,01:00:00,9.83
25/07/2012,02:00:00,56.13
25/07/2012,03:00:00,10.99
25/07/2012,04:00:00,58.33
25/07/2012,05:00:00,8.41
25/07/2012,06:00:00,9.05
25/07/2012,07:00:00,7.85
25/07/2012,08:00:00,11.47
25/07/2012,09:00:00,91.82
25/07/2012,10:00:00,169.97
25/07/2012,11:00:00,21.22
25/07/2012,12:00:00,6.56
25/07/2012,13:00:00,10.95
25/07/2012,14:00:00,8.31
25/07/2012,15:00:00,5.70
25/07/2012,16:00:00,10.25
25/07/2012,17:00:00,11.77
25/07/2012,18:00:00,9.36
25/07/2012,19:00:00,123.08
25/07/2012,20:00:00,176.31
25/07/2012,21:00:00,172.37
25/07/2012,22:00:00,87.38
25/07/2012,23:00:00,5.70
26/07/2012,00:00:00,7.63
26/07/2012,01:00:00,54.52
26/07/2012,02:00:00,174.37
26/07/2012,03:00:00,170.62
26/07/2012,04:00:00,6.95
26/07/2012,05:00:00,6.70
26/07/2012,06:00:00,6.73
26/07/2012,07:00:00,6.76
26/07/2012,08:00:00,8.45
26/07/2012,09:00:00,127.61
26/07/2012,10:00:00,211.18
26/07/2012,11:00:00,201.35
26/07/2012,12:00:00,177.13
26/07/2012,13:00:00,173.50
26/07/2012,14:00:00,172.11
26/07/2012,15:00:00,172.40
26/07/2012,16:00:00,174.99
26/07/2012,17:00:00,106.29
26/07/2012,18:00:00,8.33
26/07/2012,19:00:00,13.50
26/07/2012,20:00:00,7.47
26/07/2012,21:00:00,5.58
26/07/2012,22:00:00,5.95
27/07/2012,00:00:00,10.30
27/07/2012,01:00:00,14.45
27/07/2012,02:00:00,243.68
27/07/2012,03:00:00,240.58
27/07/2012,04:00:00,208.67
27/07/2012,05:00:00,200.81
27/07/2012,06:00:00,199.64
27/07/2012,07:00:00,59.46
27/07/2012,08:00:00,10.78
27/07/2012,09:00:00,13.58
27/07/2012,10:00:00,217.18
27/07/2012,11:00:00,12.43
27/07/2012,12:00:00,4.40
27/07/2012,13:00:00,2.28
27/07/2012,14:00:00,2.84
29/07/2012,17:00:00,155.27
29/07/2012,18:00:00,152.85
29/07/2012,19:00:00,152.97
29/07/2012,20:00:00,148.22
29/07/2012,21:00:00,145.56
29/07/2012,22:00:00,146.42
29/07/2012,23:00:00,147.32
30/07/2012,00:00:00,13.87
30/07/2012,01:00:00,14.37
30/07/2012,02:00:00,18.02
30/07/2012,03:00:00,14.32
30/07/2012,04:00:00,5.97
30/07/2012,08:00:00,4.92
30/07/2012,09:00:00,9.85
30/07/2012,10:00:00,7.93
30/07/2012,11:00:00,9.40
30/07/2012,12:00:00,1.20
31/07/2012,00:00:00,3.30
31/07/2012,04:00:00,6.71
31/07/2012,05:00:00,7.52
31/07/2012,06:00:00,6.44
31/07/2012,07:00:00,7.26
31/07/2012,08:00:00,10.63
31/07/2012,10:00:00,181.70
31/07/2012,11:00:00,173.62
31/07/2012,12:00:00,169.51
31/07/2012,16:00:00,172.00
31/07/2012,17:00:00,169.63
31/07/2012,18:00:00,159.03
31/07/2012,19:00:00,167.37
31/07/2012,20:00:00,167.73
31/07/2012,21:00:00,170.27
31/07/2012,22:00:00,169.08
31/07/2012,23:00:00,168.33
01/08/2012,00:00:00,123.50
01/08/2012,08:00:00,6.10
01/08/2012,09:00:00,4.35
01/08/2012,10:00:00,1.30
02/08/2012,00:00:00,0.80
02/08/2012,22:00:00,0.10
03/08/2012,00:00:00,2.90
03/08/2012,01:00:00,4.60
03/08/2012,02:00:00,13.68
03/08/2012,03:00:00,12.29
03/08/2012,04:00:00,3.44
03/08/2012,05:00:00,0.30
03/08/2012,06:00:00,1.86
03/08/2012,07:00:00,1.65
03/08/2012,08:00:00,2.07
03/08/2012,09:00:00,2.42
03/08/2012,10:00:00,1.70
03/08/2012,11:00:00,1.00
03/08/2012,14:00:00,1.00
03/08/2012,15:00:00,1.30
03/08/2012,16:00:00,0.10
03/08/2012,22:00:00,0.30
04/08/2012,00:00:00,1.37
04/08/2012,04:00:00,8.78
04/08/2012,05:00:00,5.24
04/08/2012,06:00:00,4.38
04/08/2012,07:00:00,5.38
04/08/2012,08:00:00,6.27
04/08/2012,09:00:00,8.76
04/08/2012,10:00:00,8.84
04/08/2012,12:00:00,6.41
04/08/2012,13:00:00,5.57
04/08/2012,14:00:00,5.63
04/08/2012,15:00:00,6.12
04/08/2012,16:00:00,7.59
04/08/2012,17:00:00,8.62
04/08/2012,20:00:00,8.37
04/08/2012,21:00:00,8.50
04/08/2012,22:00:00,7.61
04/08/2012,23:00:00,5.46
05/08/2012,00:00:00,3.35
05/08/2012,02:00:00,15.14
05/08/2012,03:00:00,11.47
05/08/2012,04:00:00,2.67
05/08/2012,05:00:00,1.83
05/08/2012,06:00:00,1.47
05/08/2012,07:00:00,1.70
05/08/2012,08:00:00,2.00
06/08/2012,13:00:00,13.67
06/08/2012,14:00:00,16.71
06/08/2012,15:00:00,13.61
06/08/2012,16:00:00,15.99
06/08/2012,17:00:00,17.17
06/08/2012,18:00:00,19.11
06/08/2012,19:00:00,22.26
07/08/2012,00:00:00,14.85
07/08/2012,01:00:00,17.38
07/08/2012,02:00:00,14.49
07/08/2012,03:00:00,12.51
07/08/2012,04:00:00,10.56
07/08/2012,05:00:00,10.14
07/08/2012,06:00:00,10.16
07/08/2012,07:00:00,10.18
07/08/2012,08:00:00,10.46
07/08/2012,09:00:00,13.03
07/08/2012,10:00:00,10.96
07/08/2012,11:00:00,8.53
07/08/2012,12:00:00,24.70
07/08/2012,13:00:00,188.62
07/08/2012,14:00:00,121.87
07/08/2012,15:00:00,18.82
07/08/2012,16:00:00,36.63
07/08/2012,17:00:00,273.57
07/08/2012,18:00:00,212.44
07/08/2012,19:00:00,19.62
07/08/2012,20:00:00,22.43
07/08/2012,21:00:00,19.57
07/08/2012,22:00:00,17.59
07/08/2012,23:00:00,17.58
08/08/2012,00:00:00,12.82
08/08/2012,01:00:00,11.85
08/08/2012,02:00:00,135.73
08/08/2012,04:00:00,8.57
08/08/2012,05:00:00,7.57
08/08/2012,06:00:00,116.93
08/08/2012,07:00:00,254.98
08/08/2012,08:00:00,213.17
08/08/2012,09:00:00,7.42
08/08/2012,10:00:00,8.88
08/08/2012,11:00:00,10.52
08/08/2012,12:00:00,12.21
08/08/2012,13:00:00,8.70
08/08/2012,14:00:00,40.24
08/08/2012,15:00:00,184.03
08/08/2012,16:00:00,9.35
08/08/2012,17:00:00,10.40
08/08/2012,18:00:00,9.74
08/08/2012,19:00:00,10.33
08/08/2012,20:00:00,108.95
09/08/2012,00:00:00,10.35
09/08/2012,01:00:00,11.87
09/08/2012,02:00:00,6.89
09/08/2012,03:00:00,5.02
09/08/2012,04:00:00,3.64
09/08/2012,05:00:00,1.64
09/08/2012,06:00:00,1.33
09/08/2012,07:00:00,0.82
09/08/2012,08:00:00,0.70
09/08/2012,09:00:00,0.70
09/08/2012,10:00:00,0.70
09/08/2012,11:00:00,0.70
09/08/2012,12:00:00,0.70
09/08/2012,13:00:00,14.78
09/08/2012,14:00:00,11.99
09/08/2012,15:00:00,8.60
09/08/2012,16:00:00,12.58
09/08/2012,17:00:00,15.85
09/08/2012,18:00:00,25.40
09/08/2012,19:00:00,4.70
10/08/2012,00:00:00,100.47
10/08/2012,01:00:00,81.45
10/08/2012,02:00:00,96.10
10/08/2012,03:00:00,61.57
10/08/2012,04:00:00,50.41
10/08/2012,05:00:00,35.97
10/08/2012,12:00:00,31.24
10/08/2012,15:00:00,33.60
10/08/2012,20:00:00,27.04
10/08/2012,21:00:00,18.72
11/08/2012,15:00:00,18.10
11/08/2012,16:00:00,57.68
11/08/2012,17:00:00,51.09
11/08/2012,18:00:00,36.25
11/08/2012,20:00:00,87.04
11/08/2012,21:00:00,83.50
11/08/2012,22:00:00,82.22
11/08/2012,23:00:00,84.19
12/08/2012,00:00:00,95.47
12/08/2012,02:00:00,71.22
12/08/2012,03:00:00,57.33
12/08/2012,04:00:00,21.30
12/08/2012,06:00:00,13.34
12/08/2012,07:00:00,13.43
12/08/2012,08:00:00,60.88
12/08/2012,09:00:00,78.65
12/08/2012,12:00:00,90.19
12/08/2012,13:00:00,97.20
12/08/2012,14:00:00,94.56
12/08/2012,15:00:00,91.02
12/08/2012,16:00:00,112.22
12/08/2012,17:00:00,143.29
12/08/2012,18:00:00,29.19
12/08/2012,19:00:00,1.60
13/08/2012,10:00:00,6.38
13/08/2012,12:00:00,4.50
13/08/2012,13:00:00,13.80
13/08/2012,14:00:00,10.55
13/08/2012,15:00:00,12.35
13/08/2012,16:00:00,9.85
13/08/2012,17:00:00,48.20
13/08/2012,18:00:00,55.87
14/08/2012,00:00:00,9.54
14/08/2012,01:00:00,12.00
14/08/2012,09:00:00,297.65
14/08/2012,10:00:00,303.13
14/08/2012,11:00:00,315.83
14/08/2012,12:00:00,112.80
14/08/2012,13:00:00,0.67
14/08/2012,16:00:00,7.68
14/08/2012,17:00:00,22.71
14/08/2012,18:00:00,24.54
14/08/2012,19:00:00,20.22
14/08/2012,20:00:00,7.82
14/08/2012,21:00:00,6.31
15/08/2012,07:00:00,21.80
15/08/2012,08:00:00,20.50
15/08/2012,10:00:00,20.40
15/08/2012,12:00:00,207.13
15/08/2012,13:00:00,72.16
15/08/2012,14:00:00,52.14
15/08/2012,15:00:00,215.66
15/08/2012,16:00:00,99.98
15/08/2012,17:00:00,8.50
15/08/2012,18:00:00,9.68
15/08/2012,19:00:00,12.13
15/08/2012,20:00:00,158.22
15/08/2012,21:00:00,68.97
15/08/2012,22:00:00,183.03
15/08/2012,23:00:00,187.93
16/08/2012,00:00:00,48.70
16/08/2012,01:00:00,13.70
16/08/2012,02:00:00,4.47
16/08/2012,03:00:00,2.20
16/08/2012,04:00:00,10.64
16/08/2012,05:00:00,10.82
16/08/2012,06:00:00,9.82
16/08/2012,08:00:00,17.46
16/08/2012,09:00:00,17.92
16/08/2012,10:00:00,12.66
16/08/2012,12:00:00,15.05
16/08/2012,13:00:00,16.32
16/08/2012,14:00:00,15.73
16/08/2012,15:00:00,17.49
16/08/2012,16:00:00,22.05
16/08/2012,17:00:00,18.83
16/08/2012,18:00:00,9.08
16/08/2012,19:00:00,6.10
17/08/2012,00:00:00,6.40
17/08/2012,03:00:00,4.56
17/08/2012,06:00:00,8.50
17/08/2012,07:00:00,8.50
17/08/2012,08:00:00,8.50
17/08/2012,09:00:00,8.50
17/08/2012,10:00:00,8.50
17/08/2012,11:00:00,8.50
17/08/2012,12:00:00,133.26
17/08/2012,13:00:00,215.63
17/08/2012,14:00:00,217.94
17/08/2012,15:00:00,46.53
17/08/2012,16:00:00,10.46
17/08/2012,17:00:00,11.94
17/08/2012,18:00:00,8.92
17/08/2012,19:00:00,7.86
17/08/2012,20:00:00,7.30
17/08/2012,21:00:00,108.38
17/08/2012,22:00:00,195.89
17/08/2012,23:00:00,198.86
18/08/2012,00:00:00,198.60
18/08/2012,02:00:00,1.90
18/08/2012,03:00:00,1.10
18/08/2012,06:00:00,8.48
18/08/2012,07:00:00,8.48
18/08/2012,08:00:00,9.76
18/08/2012,09:00:00,8.84
18/08/2012,10:00:00,11.03
18/08/2012,11:00:00,9.50
18/08/2012,12:00:00,53.93
18/08/2012,13:00:00,8.50
18/08/2012,14:00:00,9.16
18/08/2012,15:00:00,47.86
18/08/2012,16:00:00,60.27
18/08/2012,17:00:00,7.30
18/08/2012,18:00:00,81.90
18/08/2012,19:00:00,8.86
18/08/2012,20:00:00,213.38
18/08/2012,21:00:00,216.55
18/08/2012,22:00:00,198.42
18/08/2012,23:00:00,225.12
19/08/2012,00:00:00,36.37
19/08/2012,01:00:00,26.00
19/08/2012,02:00:00,30.56
19/08/2012,03:00:00,33.03
19/08/2012,04:00:00,24.64
19/08/2012,05:00:00,26.99
19/08/2012,06:00:00,12.07
19/08/2012,12:00:00,130.46
19/08/2012,13:00:00,219.75
19/08/2012,14:00:00,223.03
19/08/2012,15:00:00,66.34
19/08/2012,16:00:00,64.16
19/08/2012,17:00:00,218.21
19/08/2012,18:00:00,8.69
19/08/2012,19:00:00,8.50
19/08/2012,20:00:00,170.63
19/08/2012,21:00:00,215.72
19/08/2012,22:00:00,215.94
19/08/2012,23:00:00,215.78
20/08/2012,00:00:00,208.40
20/08/2012,01:00:00,6.37
20/08/2012,02:00:00,31.60
20/08/2012,06:00:00,3.35
20/08/2012,07:00:00,2.27
20/08/2012,08:00:00,2.51
20/08/2012,12:00:00,213.05
20/08/2012,13:00:00,220.00
20/08/2012,14:00:00,219.12
20/08/2012,15:00:00,201.96
20/08/2012,16:00:00,9.08
20/08/2012,17:00:00,9.37
20/08/2012,18:00:00,187.21
20/08/2012,19:00:00,223.11
20/08/2012,20:00:00,202.65
20/08/2012,21:00:00,203.77
20/08/2012,22:00:00,206.93
20/08/2012,23:00:00,199.87
21/08/2012,00:00:00,137.80
21/08/2012,02:00:00,2.73
21/08/2012,06:00:00,8.47
21/08/2012,07:00:00,8.55
21/08/2012,08:00:00,11.42
21/08/2012,10:00:00,8.60
21/08/2012,11:00:00,9.47
21/08/2012,12:00:00,7.82
21/08/2012,13:00:00,8.01
21/08/2012,18:00:00,8.50
21/08/2012,19:00:00,8.50
21/08/2012,20:00:00,176.21
21/08/2012,21:00:00,186.17
21/08/2012,22:00:00,185.74
21/08/2012,23:00:00,186.01
22/08/2012,00:00:00,30.86
22/08/2012,01:00:00,20.88
22/08/2012,02:00:00,30.84
22/08/2012,03:00:00,22.10
22/08/2012,04:00:00,12.17
22/08/2012,05:00:00,11.26
22/08/2012,06:00:00,5.10
22/08/2012,07:00:00,6.25
22/08/2012,08:00:00,18.63
22/08/2012,09:00:00,25.86
22/08/2012,10:00:00,16.79
22/08/2012,12:00:00,181.75
22/08/2012,13:00:00,187.12
22/08/2012,14:00:00,182.48
22/08/2012,15:00:00,184.50
22/08/2012,16:00:00,168.97
22/08/2012,17:00:00,194.39
22/08/2012,18:00:00,32.73
22/08/2012,19:00:00,8.98
22/08/2012,20:00:00,7.80
23/08/2012,00:00:00,109.80
23/08/2012,01:00:00,16.67
23/08/2012,02:00:00,208.56
23/08/2012,03:00:00,62.14
23/08/2012,04:00:00,10.86
23/08/2012,05:00:00,9.50
23/08/2012,06:00:00,8.86
23/08/2012,07:00:00,8.49
23/08/2012,08:00:00,173.84
23/08/2012,09:00:00,189.27
23/08/2012,10:00:00,193.50
23/08/2012,11:00:00,214.23
23/08/2012,12:00:00,69.87
23/08/2012,16:00:00,4.83
23/08/2012,17:00:00,9.58
23/08/2012,18:00:00,12.76
23/08/2012,19:00:00,16.67
23/08/2012,20:00:00,16.25
23/08/2012,21:00:00,13.77
23/08/2012,22:00:00,12.88
24/08/2012,00:00:00,14.54
24/08/2012,01:00:00,15.17
24/08/2012,02:00:00,7.09
24/08/2012,03:00:00,5.91
24/08/2012,04:00:00,7.75
24/08/2012,05:00:00,7.27
24/08/2012,06:00:00,7.61
24/08/2012,07:00:00,7.60
24/08/2012,08:00:00,8.04
24/08/2012,09:00:00,9.03
24/08/2012,10:00:00,8.80
24/08/2012,11:00:00,8.47
24/08/2012,12:00:00,7.54
24/08/2012,13:00:00,8.29
24/08/2012,14:00:00,5.74
24/08/2012,15:00:00,5.10
24/08/2012,16:00:00,176.93
24/08/2012,17:00:00,187.93
24/08/2012,18:00:00,128.28
24/08/2012,19:00:00,194.74
24/08/2012,20:00:00,195.32
24/08/2012,21:00:00,188.97
24/08/2012,22:00:00,152.24
24/08/2012,23:00:00,6.98
25/08/2012,00:00:00,5.70
25/08/2012,06:00:00,8.50
25/08/2012,07:00:00,8.50
25/08/2012,08:00:00,8.50
25/08/2012,09:00:00,8.50
25/08/2012,10:00:00,8.50
25/08/2012,11:00:00,11.65
25/08/2012,12:00:00,9.09
25/08/2012,13:00:00,8.77
25/08/2012,14:00:00,10.01
25/08/2012,15:00:00,10.33
25/08/2012,16:00:00,9.03
25/08/2012,17:00:00,11.03
25/08/2012,18:00:00,10.08
25/08/2012,19:00:00,10.53
25/08/2012,20:00:00,9.38
25/08/2012,21:00:00,9.76
25/08/2012,22:00:00,12.02
25/08/2012,23:00:00,15.62
26/08/2012,00:00:00,14.32
26/08/2012,01:00:00,16.12
26/08/2012,02:00:00,47.63
26/08/2012,03:00:00,24.68
26/08/2012,04:00:00,8.90
26/08/2012,05:00:00,7.08
26/08/2012,06:00:00,7.47
26/08/2012,07:00:00,7.75
26/08/2012,08:00:00,18.80
26/08/2012,09:00:00,33.58
26/08/2012,10:00:00,25.71
26/08/2012,11:00:00,17.02
26/08/2012,12:00:00,11.21
26/08/2012,13:00:00,9.83
26/08/2012,14:00:00,8.92
26/08/2012,15:00:00,10.27
26/08/2012,16:00:00,10.43
26/08/2012,17:00:00,10.04
26/08/2012,18:00:00,10.97
26/08/2012,19:00:00,11.82
26/08/2012,20:00:00,9.30
26/08/2012,21:00:00,9.56
26/08/2012,22:00:00,12.38
26/08/2012,23:00:00,47.42
27/08/2012,00:00:00,124.37
27/08/2012,01:00:00,81.17
27/08/2012,02:00:00,48.99
27/08/2012,03:00:00,58.83
27/08/2012,04:00:00,10.75
27/08/2012,06:00:00,5.35
27/08/2012,07:00:00,5.67
27/08/2012,08:00:00,8.77
27/08/2012,09:00:00,27.81
27/08/2012,10:00:00,24.91
27/08/2012,11:00:00,15.36
27/08/2012,12:00:00,4.44
27/08/2012,13:00:00,11.69
27/08/2012,14:00:00,8.61
27/08/2012,15:00:00,6.25
27/08/2012,16:00:00,5.38
27/08/2012,17:00:00,6.18
27/08/2012,18:00:00,3.20
28/08/2012,00:00:00,14.44
28/08/2012,01:00:00,23.27
28/08/2012,02:00:00,25.61
28/08/2012,03:00:00,21.03
28/08/2012,04:00:00,11.48
28/08/2012,05:00:00,10.54
28/08/2012,06:00:00,8.02
28/08/2012,07:00:00,7.13
28/08/2012,08:00:00,9.31
28/08/2012,09:00:00,14.42
28/08/2012,10:00:00,12.79
28/08/2012,11:00:00,10.41
28/08/2012,12:00:00,8.62
28/08/2012,13:00:00,8.83
28/08/2012,14:00:00,9.33
28/08/2012,15:00:00,9.10
28/08/2012,16:00:00,9.35
28/08/2012,17:00:00,10.83
28/08/2012,18:00:00,10.25
28/08/2012,19:00:00,9.97
28/08/2012,20:00:00,8.69
28/08/2012,21:00:00,8.45
28/08/2012,22:00:00,8.30
28/08/2012,23:00:00,9.06
29/08/2012,00:00:00,9.80
29/08/2012,01:00:00,11.85
29/08/2012,02:00:00,14.33
29/08/2012,03:00:00,15.63
29/08/2012,04:00:00,9.78
29/08/2012,05:00:00,8.13
29/08/2012,06:00:00,9.42
29/08/2012,07:00:00,8.61
29/08/2012,08:00:00,17.99
29/08/2012,09:00:00,17.78
29/08/2012,10:00:00,12.20
29/08/2012,11:00:00,10.14
29/08/2012,12:00:00,5.47
29/08/2012,13:00:00,4.10
29/08/2012,14:00:00,3.72
29/08/2012,15:00:00,4.45
29/08/2012,16:00:00,5.51
29/08/2012,17:00:00,7.11
29/08/2012,18:00:00,9.09
29/08/2012,19:00:00,10.58
29/08/2012,20:00:00,9.26
29/08/2012,21:00:00,8.71
29/08/2012,22:00:00,8.69
29/08/2012,23:00:00,8.73
30/08/2012,00:00:00,11.03
30/08/2012,01:00:00,12.65
30/08/2012,02:00:00,15.38
30/08/2012,03:00:00,17.16
30/08/2012,04:00:00,10.92
30/08/2012,05:00:00,9.42
30/08/2012,06:00:00,6.37
30/08/2012,07:00:00,5.80
30/08/2012,08:00:00,16.93
30/08/2012,09:00:00,21.05
30/08/2012,10:00:00,14.30
30/08/2012,11:00:00,10.16
30/08/2012,12:00:00,10.19
30/08/2012,13:00:00,9.65
30/08/2012,14:00:00,9.57
30/08/2012,15:00:00,9.19
30/08/2012,16:00:00,9.49
30/08/2012,17:00:00,12.18
30/08/2012,18:00:00,13.82
30/08/2012,19:00:00,10.65
30/08/2012,20:00:00,7.78
30/08/2012,21:00:00,7.05
30/08/2012,22:00:00,6.69
30/08/2012,23:00:00,7.99
31/08/2012,00:00:00,26.84
31/08/2012,01:00:00,77.92
31/08/2012,02:00:00,62.17
31/08/2012,03:00:00,37.96
31/08/2012,04:00:00,11.35
31/08/2012,05:00:00,8.79
31/08/2012,06:00:00,8.36
31/08/2012,07:00:00,8.16
31/08/2012,08:00:00,20.54
31/08/2012,09:00:00,31.87
31/08/2012,10:00:00,15.54
31/08/2012,11:00:00,11.46
31/08/2012,12:00:00,10.45
31/08/2012,13:00:00,9.44
31/08/2012,14:00:00,9.76
31/08/2012,15:00:00,9.68
31/08/2012,16:00:00,11.37
31/08/2012,17:00:00,12.46
31/08/2012,20:00:00,9.91
31/08/2012,21:00:00,9.68
31/08/2012,22:00:00,9.68
31/08/2012,23:00:00,9.88
01/09/2012,00:00:00,10.77
01/09/2012,01:00:00,57.80
01/09/2012,02:00:00,93.11
01/09/2012,03:00:00,150.41
01/09/2012,04:00:00,20.98
01/09/2012,05:00:00,12.38
01/09/2012,06:00:00,4.09
01/09/2012,08:00:00,0.93
01/09/2012,09:00:00,20.82
