Date,Time,Values
24/07/2012,22:00:00,27.9
24/07/2012,23:00:00,27.48
25/07/2012,00:00:00,26.96
25/07/2012,01:00:00,26.41
25/07/2012,02:00:00,25.85
25/07/2012,03:00:00,25.26
25/07/2012,04:00:00,25.68
25/07/2012,05:00:00,25.25
25/07/2012,06:00:00,25.13
25/07/2012,07:00:00,26.07
25/07/2012,08:00:00,27.41
25/07/2012,09:00:00,28.19
25/07/2012,10:00:00,29.15
25/07/2012,11:00:00,27.83
25/07/2012,12:00:00,28.81
25/07/2012,13:00:00,30.07
25/07/2012,14:00:00,30.16
25/07/2012,15:00:00,29.82
25/07/2012,16:00:00,30.69
25/07/2012,17:00:00,30.06
25/07/2012,18:00:00,29.08
25/07/2012,19:00:00,28.48
25/07/2012,20:00:00,27.82
25/07/2012,21:00:00,26.73
25/07/2012,22:00:00,26.27
25/07/2012,23:00:00,26.12
26/07/2012,00:00:00,25.87
26/07/2012,01:00:00,25.72
26/07/2012,02:00:00,25.62
26/07/2012,03:00:00,25.55
26/07/2012,04:00:00,25.58
26/07/2012,05:00:00,25.7
26/07/2012,06:00:00,25.78
26/07/2012,07:00:00,26.06
26/07/2012,08:00:00,26.19
26/07/2012,09:00:00,26.53
26/07/2012,10:00:00,27.41
26/07/2012,11:00:00,28.38
26/07/2012,12:00:00,30.26
26/07/2012,13:00:00,31.23
26/07/2012,14:00:00,30.84
26/07/2012,15:00:00,31.18
26/07/2012,16:00:00,31.28
26/07/2012,17:00:00,29.84
26/07/2012,18:00:00,29.27
26/07/2012,19:00:00,28.83
26/07/2012,20:00:00,28.6
26/07/2012,21:00:00,28.62
26/07/2012,22:00:00,28.34
26/07/2012,23:00:00,27.84
27/07/2012,00:00:00,27.89
27/07/2012,01:00:00,27.15
27/07/2012,02:00:00,26.76
27/07/2012,03:00:00,26.43
27/07/2012,04:00:00,26.45
27/07/2012,05:00:00,26.63
27/07/2012,06:00:00,26.99
27/07/2012,07:00:00,28.04
27/07/2012,08:00:00,29.04
27/07/2012,09:00:00,31.67
27/07/2012,10:00:00,31.93
27/07/2012,11:00:00,32.93
27/07/2012,12:00:00,34.97
27/07/2012,13:00:00,33.98
27/07/2012,14:00:00,32.93
29/07/2012,17:00:00,29.33
29/07/2012,18:00:00,28.38
29/07/2012,19:00:00,27.42
29/07/2012,20:00:00,26.93
29/07/2012,21:00:00,26.78
29/07/2012,22:00:00,26.8
29/07/2012,23:00:00,26.71
30/07/2012,00:00:00,26.41
30/07/2012,01:00:00,26.23
30/07/2012,02:00:00,26.07
30/07/2012,03:00:00,25.9
30/07/2012,04:00:00,25.72
30/07/2012,05:00:00,25.9
30/07/2012,06:00:00,26.29
30/07/2012,07:00:00,26.2
30/07/2012,08:00:00,25.72
30/07/2012,09:00:00,25.59
30/07/2012,10:00:00,25.41
30/07/2012,11:00:00,25.63
30/07/2012,12:00:00,26.19
30/07/2012,13:00:00,26.52
30/07/2012,14:00:00,28.38
30/07/2012,15:00:00,29.22
30/07/2012,16:00:00,30.94
30/07/2012,17:00:00,29.4
30/07/2012,18:00:00,28.66
30/07/2012,19:00:00,28.33
30/07/2012,20:00:00,28.03
30/07/2012,21:00:00,27.77
30/07/2012,22:00:00,27.5
30/07/2012,23:00:00,27.24
31/07/2012,00:00:00,26.98
31/07/2012,01:00:00,26.65
31/07/2012,02:00:00,26.38
31/07/2012,03:00:00,26.5
31/07/2012,04:00:00,26.42
31/07/2012,05:00:00,26.29
31/07/2012,06:00:00,26.2
31/07/2012,07:00:00,24.48
31/07/2012,08:00:00,24.34
31/07/2012,09:00:00,24.19
31/07/2012,10:00:00,24.0
31/07/2012,11:00:00,24.14
31/07/2012,12:00:00,24.41
31/07/2012,16:00:00,26.0
31/07/2012,17:00:00,26.4
31/07/2012,18:00:00,26.24
31/07/2012,19:00:00,25.67
31/07/2012,20:00:00,25.7
31/07/2012,21:00:00,25.43
31/07/2012,22:00:00,25.57
31/07/2012,23:00:00,25.67
01/08/2012,00:00:00,25.58
01/08/2012,01:00:00,25.38
01/08/2012,02:00:00,25.15
01/08/2012,03:00:00,25.06
01/08/2012,04:00:00,24.95
01/08/2012,05:00:00,24.59
01/08/2012,06:00:00,24.54
01/08/2012,07:00:00,24.81
01/08/2012,08:00:00,24.83
01/08/2012,09:00:00,24.19
01/08/2012,10:00:00,23.88
01/08/2012,11:00:00,24.93
01/08/2012,12:00:00,25.9
01/08/2012,13:00:00,26.63
01/08/2012,14:00:00,26.82
01/08/2012,15:00:00,26.98
01/08/2012,16:00:00,27.3
01/08/2012,17:00:00,27.18
01/08/2012,18:00:00,26.95
01/08/2012,19:00:00,26.57
01/08/2012,20:00:00,26.58
01/08/2012,21:00:00,26.68
01/08/2012,22:00:00,26.47
01/08/2012,23:00:00,26.28
02/08/2012,00:00:00,26.17
02/08/2012,09:00:00,32.17
02/08/2012,10:00:00,33.0
02/08/2012,11:00:00,32.76
02/08/2012,12:00:00,34.97
02/08/2012,13:00:00,35.89
02/08/2012,14:00:00,35.27
02/08/2012,15:00:00,36.0
02/08/2012,16:00:00,34.97
02/08/2012,17:00:00,31.05
02/08/2012,18:00:00,30.6
02/08/2012,19:00:00,29.72
02/08/2012,20:00:00,29.53
02/08/2012,21:00:00,29.11
02/08/2012,22:00:00,29.17
02/08/2012,23:00:00,29.21
03/08/2012,00:00:00,28.83
03/08/2012,01:00:00,28.6
03/08/2012,02:00:00,28.56
03/08/2012,03:00:00,28.38
03/08/2012,04:00:00,27.8
03/08/2012,05:00:00,27.45
03/08/2012,06:00:00,27.51
03/08/2012,07:00:00,27.85
03/08/2012,08:00:00,29.15
03/08/2012,09:00:00,30.44
03/08/2012,10:00:00,32.29
03/08/2012,11:00:00,34.32
03/08/2012,12:00:00,35.56
03/08/2012,13:00:00,36.47
03/08/2012,14:00:00,37.17
03/08/2012,15:00:00,35.67
03/08/2012,16:00:00,33.01
03/08/2012,17:00:00,32.68
03/08/2012,18:00:00,31.32
03/08/2012,19:00:00,30.19
03/08/2012,20:00:00,29.54
03/08/2012,21:00:00,29.12
03/08/2012,22:00:00,28.22
03/08/2012,23:00:00,27.56
04/08/2012,00:00:00,26.98
04/08/2012,01:00:00,26.49
04/08/2012,02:00:00,26.01
04/08/2012,03:00:00,25.75
04/08/2012,04:00:00,25.33
04/08/2012,05:00:00,25.34
04/08/2012,06:00:00,25.43
04/08/2012,07:00:00,26.18
04/08/2012,08:00:00,27.08
04/08/2012,09:00:00,28.46
04/08/2012,10:00:00,29.16
04/08/2012,11:00:00,29.23
04/08/2012,12:00:00,30.54
04/08/2012,13:00:00,31.22
04/08/2012,14:00:00,31.05
04/08/2012,15:00:00,30.58
04/08/2012,16:00:00,29.72
04/08/2012,17:00:00,29.45
04/08/2012,18:00:00,28.4
04/08/2012,19:00:00,27.47
04/08/2012,20:00:00,26.86
04/08/2012,21:00:00,26.4
04/08/2012,22:00:00,26.12
04/08/2012,23:00:00,25.96
05/08/2012,00:00:00,25.67
05/08/2012,01:00:00,25.21
05/08/2012,02:00:00,25.03
05/08/2012,03:00:00,24.97
05/08/2012,04:00:00,24.88
05/08/2012,05:00:00,24.76
05/08/2012,06:00:00,25.11
05/08/2012,07:00:00,25.6
05/08/2012,08:00:00,26.07
06/08/2012,13:00:00,32.86
06/08/2012,14:00:00,32.33
06/08/2012,15:00:00,31.73
06/08/2012,16:00:00,31.8
06/08/2012,17:00:00,30.93
06/08/2012,18:00:00,30.55
06/08/2012,19:00:00,30.33
06/08/2012,20:00:00,29.56
06/08/2012,21:00:00,29.24
06/08/2012,22:00:00,28.15
06/08/2012,23:00:00,27.4
07/08/2012,00:00:00,26.88
07/08/2012,01:00:00,26.48
07/08/2012,02:00:00,26.58
07/08/2012,03:00:00,26.62
07/08/2012,04:00:00,26.84
07/08/2012,05:00:00,26.85
07/08/2012,06:00:00,26.75
07/08/2012,07:00:00,27.55
07/08/2012,08:00:00,28.15
07/08/2012,09:00:00,23.02
07/08/2012,10:00:00,23.67
07/08/2012,11:00:00,25.79
07/08/2012,12:00:00,27.97
07/08/2012,13:00:00,29.22
07/08/2012,14:00:00,30.05
07/08/2012,15:00:00,29.78
07/08/2012,16:00:00,29.08
07/08/2012,17:00:00,29.19
07/08/2012,18:00:00,28.63
07/08/2012,19:00:00,27.8
07/08/2012,20:00:00,27.38
07/08/2012,21:00:00,27.1
07/08/2012,22:00:00,27.09
07/08/2012,23:00:00,26.97
08/08/2012,00:00:00,26.68
08/08/2012,01:00:00,26.17
08/08/2012,02:00:00,25.92
08/08/2012,03:00:00,26.3
08/08/2012,04:00:00,26.41
08/08/2012,05:00:00,26.18
08/08/2012,06:00:00,26.18
08/08/2012,07:00:00,26.89
08/08/2012,08:00:00,29.11
08/08/2012,09:00:00,30.38
08/08/2012,10:00:00,32.12
08/08/2012,11:00:00,32.51
08/08/2012,12:00:00,32.2
08/08/2012,13:00:00,29.99
08/08/2012,14:00:00,28.17
08/08/2012,15:00:00,27.53
08/08/2012,16:00:00,25.88
08/08/2012,17:00:00,25.27
08/08/2012,18:00:00,24.96
08/08/2012,19:00:00,24.57
08/08/2012,20:00:00,24.39
08/08/2012,21:00:00,24.38
08/08/2012,22:00:00,24.23
08/08/2012,23:00:00,24.28
09/08/2012,00:00:00,24.27
09/08/2012,01:00:00,24.48
09/08/2012,02:00:00,24.78
09/08/2012,03:00:00,24.6
09/08/2012,04:00:00,24.08
09/08/2012,05:00:00,24.12
09/08/2012,06:00:00,25.32
09/08/2012,07:00:00,27.27
09/08/2012,08:00:00,28.06
09/08/2012,09:00:00,27.36
09/08/2012,10:00:00,28.38
09/08/2012,11:00:00,28.58
09/08/2012,12:00:00,27.94
09/08/2012,13:00:00,27.47
09/08/2012,14:00:00,28.17
09/08/2012,15:00:00,28.91
09/08/2012,16:00:00,28.33
09/08/2012,17:00:00,27.91
09/08/2012,18:00:00,27.42
09/08/2012,19:00:00,26.95
09/08/2012,20:00:00,26.17
09/08/2012,21:00:00,25.61
09/08/2012,22:00:00,25.07
09/08/2012,23:00:00,24.86
10/08/2012,00:00:00,24.65
10/08/2012,01:00:00,24.61
10/08/2012,02:00:00,24.56
10/08/2012,03:00:00,24.59
10/08/2012,04:00:00,24.64
10/08/2012,05:00:00,24.66
10/08/2012,06:00:00,24.62
10/08/2012,07:00:00,24.94
10/08/2012,08:00:00,25.67
10/08/2012,09:00:00,28.52
10/08/2012,10:00:00,31.24
10/08/2012,11:00:00,31.26
10/08/2012,12:00:00,31.55
10/08/2012,13:00:00,33.23
10/08/2012,14:00:00,34.16
10/08/2012,15:00:00,33.56
10/08/2012,16:00:00,33.45
10/08/2012,17:00:00,31.89
10/08/2012,18:00:00,30.87
10/08/2012,19:00:00,30.2
10/08/2012,20:00:00,29.57
10/08/2012,21:00:00,29.14
11/08/2012,13:00:00,24.83
11/08/2012,14:00:00,26.1
11/08/2012,15:00:00,27.15
11/08/2012,16:00:00,27.07
11/08/2012,17:00:00,25.77
11/08/2012,18:00:00,25.96
11/08/2012,19:00:00,26.12
11/08/2012,20:00:00,25.45
11/08/2012,21:00:00,24.5
11/08/2012,22:00:00,23.98
11/08/2012,23:00:00,23.8
12/08/2012,00:00:00,23.66
12/08/2012,01:00:00,23.68
12/08/2012,02:00:00,23.42
12/08/2012,03:00:00,23.34
12/08/2012,04:00:00,23.92
12/08/2012,05:00:00,24.21
12/08/2012,06:00:00,25.59
12/08/2012,07:00:00,27.98
12/08/2012,08:00:00,29.32
12/08/2012,09:00:00,30.53
12/08/2012,10:00:00,31.02
12/08/2012,11:00:00,31.75
12/08/2012,12:00:00,31.75
12/08/2012,13:00:00,32.49
12/08/2012,14:00:00,32.39
12/08/2012,15:00:00,32.52
12/08/2012,16:00:00,32.33
12/08/2012,17:00:00,32.01
12/08/2012,18:00:00,31.0
12/08/2012,19:00:00,29.98
12/08/2012,20:00:00,29.52
12/08/2012,21:00:00,29.2
12/08/2012,22:00:00,28.85
12/08/2012,23:00:00,28.5
13/08/2012,09:00:00,27.3
13/08/2012,10:00:00,28.1
13/08/2012,11:00:00,28.74
13/08/2012,12:00:00,29.87
13/08/2012,13:00:00,31.04
13/08/2012,14:00:00,27.6
13/08/2012,15:00:00,28.85
13/08/2012,16:00:00,27.68
13/08/2012,17:00:00,25.84
13/08/2012,18:00:00,25.09
13/08/2012,19:00:00,25.08
13/08/2012,20:00:00,25.15
13/08/2012,21:00:00,25.03
13/08/2012,22:00:00,25.02
13/08/2012,23:00:00,24.79
14/08/2012,00:00:00,24.7
14/08/2012,09:00:00,27.13
14/08/2012,10:00:00,28.24
14/08/2012,11:00:00,28.28
14/08/2012,12:00:00,29.0
14/08/2012,13:00:00,29.36
14/08/2012,14:00:00,30.5
14/08/2012,15:00:00,29.74
14/08/2012,16:00:00,29.5
14/08/2012,17:00:00,29.26
14/08/2012,18:00:00,28.43
14/08/2012,19:00:00,27.75
14/08/2012,20:00:00,27.25
14/08/2012,21:00:00,26.86
15/08/2012,07:00:00,26.4
15/08/2012,08:00:00,27.34
15/08/2012,09:00:00,28.33
15/08/2012,10:00:00,29.36
15/08/2012,11:00:00,30.57
15/08/2012,12:00:00,31.07
15/08/2012,13:00:00,31.42
15/08/2012,14:00:00,31.76
15/08/2012,15:00:00,31.04
15/08/2012,16:00:00,30.9
15/08/2012,17:00:00,30.39
15/08/2012,18:00:00,29.24
15/08/2012,19:00:00,28.23
15/08/2012,20:00:00,27.68
15/08/2012,21:00:00,27.28
15/08/2012,22:00:00,26.88
15/08/2012,23:00:00,26.4
16/08/2012,00:00:00,25.62
16/08/2012,01:00:00,24.7
16/08/2012,02:00:00,24.22
16/08/2012,03:00:00,24.1
16/08/2012,04:00:00,24.13
16/08/2012,05:00:00,23.88
16/08/2012,06:00:00,24.19
16/08/2012,07:00:00,25.52
16/08/2012,08:00:00,27.41
16/08/2012,09:00:00,28.22
16/08/2012,10:00:00,28.56
16/08/2012,11:00:00,29.32
16/08/2012,12:00:00,29.22
16/08/2012,13:00:00,29.63
16/08/2012,14:00:00,30.03
16/08/2012,15:00:00,30.97
16/08/2012,16:00:00,31.63
16/08/2012,17:00:00,30.82
16/08/2012,18:00:00,29.71
16/08/2012,19:00:00,28.72
16/08/2012,20:00:00,28.28
16/08/2012,21:00:00,27.64
16/08/2012,22:00:00,27.13
16/08/2012,23:00:00,26.76
17/08/2012,00:00:00,26.38
17/08/2012,01:00:00,26.05
17/08/2012,02:00:00,25.71
17/08/2012,03:00:00,25.22
17/08/2012,04:00:00,25.17
17/08/2012,05:00:00,25.13
17/08/2012,06:00:00,25.55
17/08/2012,07:00:00,27.12
17/08/2012,08:00:00,28.73
17/08/2012,09:00:00,30.86
17/08/2012,10:00:00,32.28
17/08/2012,11:00:00,32.64
17/08/2012,12:00:00,33.71
17/08/2012,13:00:00,34.05
17/08/2012,14:00:00,33.84
17/08/2012,15:00:00,33.67
17/08/2012,16:00:00,33.43
17/08/2012,17:00:00,32.59
17/08/2012,18:00:00,31.95
17/08/2012,19:00:00,31.33
17/08/2012,20:00:00,30.92
17/08/2012,21:00:00,30.51
17/08/2012,22:00:00,30.32
17/08/2012,23:00:00,30.02
18/08/2012,00:00:00,29.64
18/08/2012,01:00:00,28.3
18/08/2012,02:00:00,27.95
18/08/2012,03:00:00,27.63
18/08/2012,04:00:00,27.27
18/08/2012,05:00:00,26.99
18/08/2012,06:00:00,26.97
18/08/2012,07:00:00,27.89
18/08/2012,08:00:00,28.73
18/08/2012,09:00:00,29.6
18/08/2012,10:00:00,31.01
18/08/2012,11:00:00,32.62
18/08/2012,12:00:00,34.47
18/08/2012,13:00:00,36.39
18/08/2012,14:00:00,36.15
18/08/2012,15:00:00,35.02
18/08/2012,16:00:00,33.87
18/08/2012,17:00:00,33.26
18/08/2012,18:00:00,32.66
18/08/2012,19:00:00,32.24
18/08/2012,20:00:00,31.39
18/08/2012,21:00:00,31.28
18/08/2012,22:00:00,31.16
18/08/2012,23:00:00,30.97
19/08/2012,00:00:00,30.38
19/08/2012,01:00:00,30.07
19/08/2012,02:00:00,29.21
19/08/2012,03:00:00,28.6
19/08/2012,04:00:00,28.35
19/08/2012,05:00:00,27.52
19/08/2012,06:00:00,27.23
19/08/2012,07:00:00,27.68
19/08/2012,08:00:00,28.13
19/08/2012,09:00:00,28.44
19/08/2012,10:00:00,28.07
19/08/2012,11:00:00,27.82
19/08/2012,12:00:00,28.01
19/08/2012,13:00:00,30.54
19/08/2012,14:00:00,33.18
19/08/2012,15:00:00,33.55
19/08/2012,16:00:00,32.67
19/08/2012,17:00:00,31.71
19/08/2012,18:00:00,30.72
19/08/2012,19:00:00,29.81
19/08/2012,20:00:00,29.51
19/08/2012,21:00:00,28.81
19/08/2012,22:00:00,28.44
19/08/2012,23:00:00,28.28
20/08/2012,00:00:00,27.5
20/08/2012,01:00:00,27.06
20/08/2012,02:00:00,26.96
20/08/2012,03:00:00,26.72
20/08/2012,04:00:00,26.36
20/08/2012,05:00:00,26.09
20/08/2012,06:00:00,26.38
20/08/2012,07:00:00,27.47
20/08/2012,08:00:00,29.01
20/08/2012,09:00:00,30.32
20/08/2012,10:00:00,31.11
20/08/2012,11:00:00,32.52
20/08/2012,12:00:00,31.48
20/08/2012,13:00:00,27.23
20/08/2012,14:00:00,27.67
20/08/2012,15:00:00,25.42
20/08/2012,16:00:00,26.13
20/08/2012,17:00:00,26.58
20/08/2012,18:00:00,26.2
20/08/2012,19:00:00,25.09
20/08/2012,20:00:00,25.3
20/08/2012,21:00:00,25.45
20/08/2012,22:00:00,25.28
20/08/2012,23:00:00,24.97
21/08/2012,00:00:00,24.91
21/08/2012,01:00:00,24.94
21/08/2012,02:00:00,24.94
21/08/2012,03:00:00,24.88
21/08/2012,04:00:00,24.88
21/08/2012,05:00:00,24.83
21/08/2012,06:00:00,24.96
21/08/2012,07:00:00,25.06
21/08/2012,08:00:00,23.87
21/08/2012,09:00:00,24.35
21/08/2012,10:00:00,24.77
21/08/2012,11:00:00,25.87
21/08/2012,12:00:00,27.72
21/08/2012,13:00:00,26.95
21/08/2012,14:00:00,26.8
21/08/2012,15:00:00,26.22
21/08/2012,16:00:00,25.8
21/08/2012,17:00:00,25.1
21/08/2012,18:00:00,24.97
21/08/2012,19:00:00,24.98
21/08/2012,20:00:00,25.18
21/08/2012,21:00:00,24.93
21/08/2012,22:00:00,25.0
21/08/2012,23:00:00,24.98
22/08/2012,00:00:00,24.8
22/08/2012,01:00:00,23.98
22/08/2012,02:00:00,23.5
22/08/2012,03:00:00,23.43
22/08/2012,04:00:00,23.24
22/08/2012,05:00:00,23.42
22/08/2012,06:00:00,23.95
22/08/2012,07:00:00,24.45
22/08/2012,08:00:00,25.34
22/08/2012,09:00:00,26.29
22/08/2012,10:00:00,26.82
22/08/2012,11:00:00,27.77
22/08/2012,12:00:00,27.47
22/08/2012,13:00:00,28.63
22/08/2012,14:00:00,27.23
22/08/2012,15:00:00,25.18
22/08/2012,16:00:00,25.88
22/08/2012,17:00:00,26.39
22/08/2012,18:00:00,26.12
22/08/2012,19:00:00,26.0
22/08/2012,20:00:00,24.86
22/08/2012,21:00:00,24.08
22/08/2012,22:00:00,24.08
22/08/2012,23:00:00,24.01
23/08/2012,00:00:00,23.97
23/08/2012,01:00:00,23.92
23/08/2012,02:00:00,23.82
23/08/2012,03:00:00,23.93
23/08/2012,04:00:00,23.98
23/08/2012,05:00:00,23.77
23/08/2012,06:00:00,23.69
23/08/2012,07:00:00,24.06
23/08/2012,08:00:00,24.62
23/08/2012,09:00:00,25.58
23/08/2012,10:00:00,26.99
23/08/2012,11:00:00,28.04
23/08/2012,12:00:00,29.72
23/08/2012,13:00:00,29.59
23/08/2012,14:00:00,29.11
23/08/2012,15:00:00,30.43
23/08/2012,16:00:00,27.37
23/08/2012,17:00:00,27.18
23/08/2012,18:00:00,26.88
23/08/2012,19:00:00,26.2
23/08/2012,20:00:00,26.18
23/08/2012,21:00:00,25.83
23/08/2012,22:00:00,25.73
23/08/2012,23:00:00,25.81
24/08/2012,00:00:00,25.17
24/08/2012,01:00:00,24.91
24/08/2012,02:00:00,24.76
24/08/2012,03:00:00,24.74
24/08/2012,04:00:00,24.65
24/08/2012,05:00:00,23.61
24/08/2012,06:00:00,23.86
24/08/2012,07:00:00,23.75
24/08/2012,08:00:00,24.29
24/08/2012,09:00:00,26.1
24/08/2012,10:00:00,27.94
24/08/2012,11:00:00,28.2
24/08/2012,12:00:00,29.35
