Date,Time,Values
23/07/2012,13:00:00,9.10
23/07/2012,14:00:00,19.13
23/07/2012,15:00:00,13.54
23/07/2012,16:00:00,24.88
23/07/2012,17:00:00,21.68
23/07/2012,18:00:00,12.48
23/07/2012,19:00:00,29.72
23/07/2012,20:00:00,16.57
23/07/2012,21:00:00,7.22
23/07/2012,22:00:00,9.85
23/07/2012,23:00:00,6.00
24/07/2012,00:00:00,5.47
24/07/2012,01:00:00,5.15
24/07/2012,02:00:00,5.98
24/07/2012,03:00:00,5.25
24/07/2012,04:00:00,5.01
24/07/2012,05:00:00,5.03
24/07/2012,06:00:00,5.76
24/07/2012,07:00:00,6.67
24/07/2012,08:00:00,7.15
24/07/2012,09:00:00,10.00
24/07/2012,10:00:00,6.57
24/07/2012,11:00:00,5.98
24/07/2012,12:00:00,6.17
24/07/2012,13:00:00,6.48
24/07/2012,21:00:00,39.68
24/07/2012,22:00:00,28.03
24/07/2012,23:00:00,20.86
25/07/2012,00:00:00,25.49
25/07/2012,01:00:00,6.76
25/07/2012,02:00:00,10.52
25/07/2012,03:00:00,6.11
25/07/2012,04:00:00,17.78
25/07/2012,05:00:00,9.14
25/07/2012,06:00:00,17.29
25/07/2012,07:00:00,17.43
25/07/2012,08:00:00,18.28
25/07/2012,09:00:00,22.75
25/07/2012,10:00:00,23.66
25/07/2012,11:00:00,53.06
25/07/2012,12:00:00,36.35
25/07/2012,13:00:00,45.47
25/07/2012,14:00:00,40.87
25/07/2012,15:00:00,59.32
25/07/2012,16:00:00,36.95
25/07/2012,17:00:00,16.87
25/07/2012,18:00:00,30.93
25/07/2012,19:00:00,50.87
25/07/2012,20:00:00,156.93
25/07/2012,21:00:00,154.63
25/07/2012,22:00:00,113.33
25/07/2012,23:00:00,70.93
26/07/2012,00:00:00,26.11
26/07/2012,01:00:00,44.93
26/07/2012,02:00:00,60.52
26/07/2012,03:00:00,207.78
26/07/2012,04:00:00,157.82
26/07/2012,05:00:00,111.47
26/07/2012,06:00:00,85.82
26/07/2012,07:00:00,58.17
26/07/2012,08:00:00,61.02
26/07/2012,09:00:00,40.99
26/07/2012,10:00:00,44.73
26/07/2012,11:00:00,66.47
26/07/2012,12:00:00,70.67
26/07/2012,13:00:00,27.32
26/07/2012,14:00:00,27.50
26/07/2012,15:00:00,41.94
26/07/2012,16:00:00,36.90
26/07/2012,17:00:00,29.82
26/07/2012,18:00:00,26.93
26/07/2012,19:00:00,66.31
26/07/2012,20:00:00,75.14
26/07/2012,21:00:00,80.24
26/07/2012,22:00:00,39.16
26/07/2012,23:00:00,28.02
27/07/2012,00:00:00,24.23
27/07/2012,01:00:00,57.02
27/07/2012,02:00:00,52.93
27/07/2012,03:00:00,23.97
27/07/2012,04:00:00,31.07
27/07/2012,05:00:00,113.96
27/07/2012,06:00:00,125.67
27/07/2012,07:00:00,75.58
27/07/2012,08:00:00,31.00
27/07/2012,09:00:00,23.70
27/07/2012,10:00:00,31.32
27/07/2012,11:00:00,23.99
27/07/2012,12:00:00,19.39
27/07/2012,13:00:00,10.34
27/07/2012,14:00:00,7.00
29/07/2012,17:00:00,19.07
29/07/2012,18:00:00,40.18
29/07/2012,19:00:00,37.87
29/07/2012,20:00:00,32.57
29/07/2012,21:00:00,26.11
29/07/2012,22:00:00,14.19
29/07/2012,23:00:00,20.54
30/07/2012,00:00:00,11.92
30/07/2012,01:00:00,10.92
30/07/2012,02:00:00,9.77
30/07/2012,03:00:00,11.48
30/07/2012,04:00:00,12.42
30/07/2012,05:00:00,38.45
30/07/2012,06:00:00,52.85
30/07/2012,07:00:00,38.06
30/07/2012,08:00:00,17.20
30/07/2012,09:00:00,12.79
30/07/2012,10:00:00,13.04
30/07/2012,11:00:00,24.46
30/07/2012,12:00:00,26.73
30/07/2012,13:00:00,16.21
30/07/2012,14:00:00,17.12
30/07/2012,15:00:00,15.27
30/07/2012,16:00:00,13.02
30/07/2012,17:00:00,16.43
30/07/2012,18:00:00,18.24
30/07/2012,19:00:00,23.88
30/07/2012,20:00:00,21.62
30/07/2012,21:00:00,19.95
30/07/2012,22:00:00,18.19
30/07/2012,23:00:00,21.96
31/07/2012,00:00:00,13.02
31/07/2012,01:00:00,24.21
31/07/2012,02:00:00,19.37
31/07/2012,03:00:00,21.83
31/07/2012,04:00:00,15.44
31/07/2012,05:00:00,11.74
31/07/2012,06:00:00,12.29
31/07/2012,07:00:00,10.92
31/07/2012,08:00:00,11.91
31/07/2012,09:00:00,13.46
31/07/2012,10:00:00,12.66
31/07/2012,11:00:00,16.54
31/07/2012,12:00:00,32.47
31/07/2012,16:00:00,24.30
31/07/2012,17:00:00,31.12
31/07/2012,18:00:00,37.91
31/07/2012,19:00:00,35.40
31/07/2012,20:00:00,29.72
31/07/2012,21:00:00,30.57
31/07/2012,22:00:00,27.42
31/07/2012,23:00:00,38.28
01/08/2012,00:00:00,37.64
01/08/2012,01:00:00,39.14
01/08/2012,02:00:00,38.10
01/08/2012,03:00:00,47.48
01/08/2012,04:00:00,23.28
01/08/2012,05:00:00,25.83
01/08/2012,06:00:00,24.11
01/08/2012,07:00:00,22.20
01/08/2012,08:00:00,23.20
01/08/2012,09:00:00,27.86
01/08/2012,10:00:00,20.72
01/08/2012,11:00:00,23.04
01/08/2012,12:00:00,39.44
01/08/2012,13:00:00,41.79
01/08/2012,14:00:00,21.93
01/08/2012,15:00:00,29.01
01/08/2012,16:00:00,41.60
01/08/2012,17:00:00,43.23
01/08/2012,18:00:00,41.69
01/08/2012,19:00:00,50.88
01/08/2012,20:00:00,67.68
01/08/2012,21:00:00,66.23
01/08/2012,22:00:00,56.22
01/08/2012,23:00:00,41.71
02/08/2012,00:00:00,35.87
02/08/2012,09:00:00,11.29
02/08/2012,10:00:00,11.75
02/08/2012,11:00:00,11.60
02/08/2012,12:00:00,12.33
02/08/2012,13:00:00,10.70
02/08/2012,14:00:00,9.46
02/08/2012,15:00:00,9.49
02/08/2012,16:00:00,6.12
02/08/2012,17:00:00,7.43
02/08/2012,18:00:00,9.47
02/08/2012,19:00:00,7.27
02/08/2012,20:00:00,7.18
02/08/2012,21:00:00,14.52
02/08/2012,22:00:00,22.25
02/08/2012,23:00:00,16.55
03/08/2012,00:00:00,11.18
03/08/2012,01:00:00,6.68
03/08/2012,02:00:00,4.57
03/08/2012,03:00:00,3.92
03/08/2012,04:00:00,3.94
03/08/2012,05:00:00,3.97
03/08/2012,06:00:00,4.31
03/08/2012,07:00:00,4.42
03/08/2012,08:00:00,4.62
03/08/2012,09:00:00,4.98
03/08/2012,10:00:00,5.58
03/08/2012,11:00:00,5.79
03/08/2012,12:00:00,6.21
03/08/2012,13:00:00,6.66
03/08/2012,14:00:00,7.36
03/08/2012,15:00:00,7.23
03/08/2012,16:00:00,17.97
03/08/2012,17:00:00,7.13
03/08/2012,18:00:00,5.70
03/08/2012,19:00:00,6.45
03/08/2012,20:00:00,5.75
03/08/2012,21:00:00,5.80
03/08/2012,22:00:00,8.01
03/08/2012,23:00:00,11.72
04/08/2012,00:00:00,15.78
04/08/2012,01:00:00,8.40
04/08/2012,02:00:00,6.77
04/08/2012,03:00:00,6.42
04/08/2012,04:00:00,7.28
04/08/2012,05:00:00,8.19
04/08/2012,06:00:00,8.26
04/08/2012,07:00:00,9.22
04/08/2012,08:00:00,10.57
04/08/2012,09:00:00,11.58
04/08/2012,10:00:00,13.56
04/08/2012,11:00:00,16.63
04/08/2012,12:00:00,14.43
04/08/2012,13:00:00,15.89
04/08/2012,14:00:00,13.25
04/08/2012,15:00:00,10.47
04/08/2012,16:00:00,10.15
04/08/2012,17:00:00,9.81
04/08/2012,18:00:00,10.78
04/08/2012,19:00:00,10.97
04/08/2012,20:00:00,15.82
04/08/2012,21:00:00,24.57
04/08/2012,22:00:00,70.63
04/08/2012,23:00:00,44.60
05/08/2012,00:00:00,37.29
05/08/2012,01:00:00,11.64
05/08/2012,02:00:00,10.42
05/08/2012,03:00:00,13.24
05/08/2012,04:00:00,12.40
05/08/2012,05:00:00,12.14
05/08/2012,06:00:00,10.96
05/08/2012,07:00:00,10.85
05/08/2012,08:00:00,16.10
06/08/2012,13:00:00,37.38
06/08/2012,14:00:00,20.01
06/08/2012,15:00:00,19.57
06/08/2012,16:00:00,19.29
06/08/2012,17:00:00,16.34
06/08/2012,18:00:00,18.88
06/08/2012,19:00:00,30.93
06/08/2012,20:00:00,29.78
06/08/2012,21:00:00,39.46
06/08/2012,22:00:00,18.46
06/08/2012,23:00:00,15.48
07/08/2012,00:00:00,14.67
07/08/2012,01:00:00,12.28
07/08/2012,02:00:00,13.46
07/08/2012,03:00:00,15.71
07/08/2012,04:00:00,19.02
07/08/2012,05:00:00,18.94
07/08/2012,06:00:00,44.65
07/08/2012,07:00:00,26.42
07/08/2012,08:00:00,12.85
07/08/2012,09:00:00,12.49
07/08/2012,10:00:00,12.47
07/08/2012,11:00:00,15.44
07/08/2012,12:00:00,24.55
07/08/2012,13:00:00,18.78
07/08/2012,14:00:00,32.44
07/08/2012,15:00:00,48.45
07/08/2012,16:00:00,30.35
07/08/2012,17:00:00,26.27
07/08/2012,18:00:00,15.17
07/08/2012,19:00:00,13.19
07/08/2012,20:00:00,13.60
07/08/2012,21:00:00,16.71
07/08/2012,22:00:00,35.04
07/08/2012,23:00:00,22.31
08/08/2012,00:00:00,33.14
08/08/2012,01:00:00,33.42
08/08/2012,02:00:00,14.96
08/08/2012,03:00:00,31.32
08/08/2012,04:00:00,28.97
08/08/2012,05:00:00,87.42
08/08/2012,06:00:00,72.81
08/08/2012,07:00:00,22.57
08/08/2012,08:00:00,18.57
08/08/2012,09:00:00,19.97
08/08/2012,10:00:00,17.15
08/08/2012,11:00:00,14.56
08/08/2012,12:00:00,10.73
08/08/2012,13:00:00,35.27
08/08/2012,14:00:00,78.30
08/08/2012,15:00:00,149.74
08/08/2012,16:00:00,30.07
08/08/2012,17:00:00,34.07
08/08/2012,18:00:00,22.41
08/08/2012,19:00:00,25.07
08/08/2012,20:00:00,23.22
08/08/2012,21:00:00,18.56
08/08/2012,22:00:00,13.06
08/08/2012,23:00:00,10.67
09/08/2012,00:00:00,24.38
09/08/2012,01:00:00,63.32
09/08/2012,02:00:00,31.35
09/08/2012,03:00:00,27.12
09/08/2012,04:00:00,20.00
09/08/2012,05:00:00,11.09
09/08/2012,06:00:00,10.41
09/08/2012,07:00:00,11.87
09/08/2012,08:00:00,12.78
09/08/2012,09:00:00,10.12
09/08/2012,10:00:00,10.54
09/08/2012,11:00:00,13.33
09/08/2012,12:00:00,22.86
09/08/2012,13:00:00,25.43
09/08/2012,14:00:00,28.61
09/08/2012,15:00:00,33.92
09/08/2012,16:00:00,27.57
09/08/2012,17:00:00,37.32
09/08/2012,18:00:00,33.92
09/08/2012,19:00:00,78.97
09/08/2012,20:00:00,40.21
09/08/2012,21:00:00,41.11
09/08/2012,22:00:00,15.97
09/08/2012,23:00:00,27.90
10/08/2012,00:00:00,27.14
10/08/2012,01:00:00,25.36
10/08/2012,02:00:00,28.89
10/08/2012,03:00:00,11.77
10/08/2012,04:00:00,11.06
10/08/2012,05:00:00,18.70
10/08/2012,06:00:00,15.18
10/08/2012,07:00:00,18.43
10/08/2012,08:00:00,12.07
10/08/2012,09:00:00,10.72
10/08/2012,10:00:00,10.48
10/08/2012,11:00:00,8.97
10/08/2012,12:00:00,8.14
10/08/2012,13:00:00,7.80
10/08/2012,14:00:00,7.34
10/08/2012,15:00:00,7.51
10/08/2012,16:00:00,8.38
10/08/2012,17:00:00,7.37
10/08/2012,18:00:00,10.38
10/08/2012,19:00:00,11.12
10/08/2012,20:00:00,25.12
10/08/2012,21:00:00,13.48
11/08/2012,13:00:00,14.30
11/08/2012,14:00:00,45.18
11/08/2012,15:00:00,28.62
11/08/2012,16:00:00,38.98
11/08/2012,17:00:00,27.01
11/08/2012,18:00:00,26.87
11/08/2012,19:00:00,52.50
11/08/2012,20:00:00,30.91
11/08/2012,21:00:00,33.71
11/08/2012,22:00:00,31.26
11/08/2012,23:00:00,16.46
12/08/2012,00:00:00,12.38
12/08/2012,01:00:00,11.66
12/08/2012,02:00:00,10.69
12/08/2012,03:00:00,10.91
12/08/2012,04:00:00,25.58
12/08/2012,05:00:00,69.01
12/08/2012,06:00:00,35.86
12/08/2012,07:00:00,58.94
12/08/2012,08:00:00,18.87
12/08/2012,09:00:00,14.39
12/08/2012,10:00:00,11.17
12/08/2012,11:00:00,10.35
12/08/2012,12:00:00,17.50
12/08/2012,13:00:00,21.43
12/08/2012,14:00:00,21.47
12/08/2012,15:00:00,15.56
12/08/2012,16:00:00,13.20
12/08/2012,17:00:00,18.48
12/08/2012,18:00:00,19.70
12/08/2012,19:00:00,31.17
12/08/2012,20:00:00,44.09
12/08/2012,21:00:00,60.84
12/08/2012,22:00:00,43.22
12/08/2012,23:00:00,43.91
13/08/2012,10:00:00,21.46
13/08/2012,11:00:00,38.19
13/08/2012,12:00:00,30.02
13/08/2012,13:00:00,20.51
13/08/2012,14:00:00,45.44
13/08/2012,15:00:00,14.31
13/08/2012,16:00:00,35.71
13/08/2012,17:00:00,42.14
13/08/2012,18:00:00,21.74
13/08/2012,19:00:00,35.75
13/08/2012,20:00:00,183.17
13/08/2012,21:00:00,87.05
13/08/2012,22:00:00,106.55
13/08/2012,23:00:00,34.07
14/08/2012,00:00:00,23.49
14/08/2012,01:00:00,16.60
14/08/2012,09:00:00,22.80
14/08/2012,10:00:00,14.38
14/08/2012,11:00:00,24.78
14/08/2012,12:00:00,37.58
14/08/2012,13:00:00,21.23
14/08/2012,14:00:00,13.52
14/08/2012,15:00:00,16.06
14/08/2012,16:00:00,11.98
14/08/2012,17:00:00,11.09
14/08/2012,18:00:00,11.10
14/08/2012,19:00:00,13.55
14/08/2012,20:00:00,11.86
14/08/2012,21:00:00,11.93
15/08/2012,07:00:00,8.50
15/08/2012,08:00:00,8.49
15/08/2012,09:00:00,7.90
15/08/2012,10:00:00,7.80
15/08/2012,11:00:00,7.90
15/08/2012,12:00:00,7.90
15/08/2012,13:00:00,7.98
15/08/2012,14:00:00,8.12
15/08/2012,15:00:00,8.40
15/08/2012,16:00:00,8.26
15/08/2012,17:00:00,8.76
15/08/2012,18:00:00,9.17
15/08/2012,19:00:00,10.32
15/08/2012,20:00:00,10.38
15/08/2012,21:00:00,10.87
15/08/2012,22:00:00,10.71
15/08/2012,23:00:00,9.52
16/08/2012,00:00:00,8.24
16/08/2012,01:00:00,7.83
16/08/2012,02:00:00,7.92
16/08/2012,03:00:00,8.06
16/08/2012,04:00:00,8.50
16/08/2012,05:00:00,8.56
16/08/2012,06:00:00,8.52
16/08/2012,07:00:00,8.37
16/08/2012,08:00:00,9.25
16/08/2012,09:00:00,9.55
16/08/2012,10:00:00,12.42
16/08/2012,11:00:00,12.72
16/08/2012,12:00:00,13.37
16/08/2012,13:00:00,12.18
16/08/2012,14:00:00,11.42
16/08/2012,15:00:00,15.34
16/08/2012,16:00:00,17.83
16/08/2012,17:00:00,18.96
16/08/2012,18:00:00,16.14
16/08/2012,19:00:00,16.19
16/08/2012,20:00:00,17.73
16/08/2012,21:00:00,64.93
16/08/2012,22:00:00,44.28
16/08/2012,23:00:00,23.41
17/08/2012,00:00:00,29.96
17/08/2012,01:00:00,17.28
17/08/2012,02:00:00,15.63
17/08/2012,03:00:00,11.11
17/08/2012,04:00:00,10.02
17/08/2012,05:00:00,9.56
17/08/2012,06:00:00,9.11
17/08/2012,07:00:00,10.45
17/08/2012,08:00:00,9.61
17/08/2012,09:00:00,9.86
17/08/2012,10:00:00,11.59
17/08/2012,11:00:00,11.72
17/08/2012,12:00:00,12.12
17/08/2012,13:00:00,12.06
17/08/2012,14:00:00,12.91
17/08/2012,15:00:00,16.96
17/08/2012,16:00:00,17.00
17/08/2012,17:00:00,14.64
17/08/2012,18:00:00,15.27
17/08/2012,19:00:00,14.77
17/08/2012,20:00:00,19.73
17/08/2012,21:00:00,29.35
17/08/2012,22:00:00,27.03
17/08/2012,23:00:00,21.17
18/08/2012,00:00:00,20.24
18/08/2012,01:00:00,19.63
18/08/2012,02:00:00,11.33
18/08/2012,03:00:00,11.12
18/08/2012,04:00:00,10.58
18/08/2012,05:00:00,9.38
18/08/2012,06:00:00,9.45
18/08/2012,07:00:00,9.31
18/08/2012,08:00:00,10.44
18/08/2012,09:00:00,9.62
18/08/2012,10:00:00,9.73
18/08/2012,11:00:00,11.33
18/08/2012,12:00:00,9.75
18/08/2012,13:00:00,10.67
18/08/2012,14:00:00,9.92
18/08/2012,15:00:00,11.63
18/08/2012,16:00:00,12.40
18/08/2012,17:00:00,12.06
18/08/2012,18:00:00,13.78
18/08/2012,19:00:00,14.03
18/08/2012,20:00:00,12.78
18/08/2012,21:00:00,20.17
18/08/2012,22:00:00,35.48
18/08/2012,23:00:00,21.89
19/08/2012,00:00:00,53.54
19/08/2012,01:00:00,52.54
19/08/2012,02:00:00,23.94
19/08/2012,03:00:00,24.41
19/08/2012,04:00:00,30.45
19/08/2012,05:00:00,27.08
19/08/2012,06:00:00,14.13
19/08/2012,07:00:00,21.00
19/08/2012,08:00:00,14.46
19/08/2012,09:00:00,17.72
19/08/2012,10:00:00,29.27
19/08/2012,11:00:00,38.62
19/08/2012,12:00:00,27.92
19/08/2012,13:00:00,28.17
19/08/2012,14:00:00,15.00
19/08/2012,15:00:00,17.33
19/08/2012,16:00:00,15.20
19/08/2012,17:00:00,11.68
19/08/2012,18:00:00,10.18
19/08/2012,19:00:00,13.36
19/08/2012,20:00:00,31.21
19/08/2012,21:00:00,11.52
19/08/2012,22:00:00,16.56
19/08/2012,23:00:00,17.12
20/08/2012,00:00:00,16.07
20/08/2012,01:00:00,9.18
20/08/2012,02:00:00,11.01
20/08/2012,03:00:00,9.11
20/08/2012,04:00:00,11.04
20/08/2012,05:00:00,9.82
20/08/2012,06:00:00,39.86
20/08/2012,07:00:00,15.79
20/08/2012,08:00:00,11.07
20/08/2012,09:00:00,12.53
20/08/2012,10:00:00,12.68
20/08/2012,11:00:00,13.84
20/08/2012,12:00:00,14.97
20/08/2012,13:00:00,44.10
20/08/2012,14:00:00,45.58
20/08/2012,15:00:00,18.32
20/08/2012,16:00:00,52.11
20/08/2012,17:00:00,22.76
20/08/2012,18:00:00,36.85
20/08/2012,19:00:00,40.13
20/08/2012,20:00:00,71.16
20/08/2012,21:00:00,60.58
20/08/2012,22:00:00,28.23
20/08/2012,23:00:00,12.28
21/08/2012,00:00:00,9.74
21/08/2012,01:00:00,9.33
21/08/2012,02:00:00,11.39
21/08/2012,03:00:00,11.99
21/08/2012,04:00:00,9.81
21/08/2012,05:00:00,10.30
21/08/2012,06:00:00,9.39
21/08/2012,07:00:00,9.51
21/08/2012,08:00:00,17.60
21/08/2012,09:00:00,16.82
21/08/2012,10:00:00,13.78
21/08/2012,11:00:00,13.66
21/08/2012,12:00:00,14.82
21/08/2012,13:00:00,13.31
21/08/2012,14:00:00,12.72
21/08/2012,15:00:00,34.90
21/08/2012,16:00:00,23.95
21/08/2012,17:00:00,16.92
21/08/2012,18:00:00,19.58
21/08/2012,19:00:00,20.02
21/08/2012,20:00:00,20.18
21/08/2012,21:00:00,22.18
21/08/2012,22:00:00,22.01
21/08/2012,23:00:00,17.11
22/08/2012,00:00:00,17.79
22/08/2012,01:00:00,15.33
22/08/2012,02:00:00,87.98
22/08/2012,03:00:00,154.73
22/08/2012,04:00:00,113.67
22/08/2012,05:00:00,68.38
22/08/2012,06:00:00,18.10
22/08/2012,07:00:00,24.22
22/08/2012,08:00:00,11.91
22/08/2012,09:00:00,11.13
22/08/2012,10:00:00,11.02
22/08/2012,11:00:00,11.17
22/08/2012,12:00:00,10.53
22/08/2012,13:00:00,12.63
22/08/2012,14:00:00,12.47
22/08/2012,15:00:00,21.10
22/08/2012,16:00:00,29.83
22/08/2012,17:00:00,30.72
22/08/2012,18:00:00,37.02
22/08/2012,19:00:00,29.22
22/08/2012,20:00:00,36.85
22/08/2012,21:00:00,31.16
22/08/2012,22:00:00,14.41
22/08/2012,23:00:00,12.18
23/08/2012,00:00:00,11.66
23/08/2012,01:00:00,10.99
23/08/2012,02:00:00,40.59
23/08/2012,03:00:00,22.14
23/08/2012,04:00:00,11.14
23/08/2012,05:00:00,12.18
23/08/2012,06:00:00,8.84
23/08/2012,07:00:00,9.48
23/08/2012,08:00:00,8.93
23/08/2012,09:00:00,11.73
23/08/2012,10:00:00,27.07
23/08/2012,11:00:00,29.41
23/08/2012,12:00:00,17.96
23/08/2012,13:00:00,21.56
23/08/2012,14:00:00,15.20
23/08/2012,15:00:00,32.34
23/08/2012,16:00:00,21.34
23/08/2012,17:00:00,15.28
23/08/2012,18:00:00,31.38
23/08/2012,19:00:00,19.61
23/08/2012,20:00:00,37.48
23/08/2012,21:00:00,55.98
23/08/2012,22:00:00,40.12
23/08/2012,23:00:00,36.69
24/08/2012,00:00:00,45.99
24/08/2012,01:00:00,52.32
24/08/2012,02:00:00,41.63
24/08/2012,03:00:00,27.68
24/08/2012,04:00:00,25.67
24/08/2012,05:00:00,17.72
24/08/2012,06:00:00,12.03
24/08/2012,07:00:00,11.83
24/08/2012,08:00:00,12.52
24/08/2012,09:00:00,15.85
24/08/2012,10:00:00,18.26
24/08/2012,11:00:00,17.71
24/08/2012,12:00:00,21.08
24/08/2012,13:00:00,27.49
24/08/2012,14:00:00,32.84
24/08/2012,15:00:00,55.33
24/08/2012,16:00:00,83.50
24/08/2012,17:00:00,25.08
24/08/2012,18:00:00,19.81
24/08/2012,19:00:00,16.49
24/08/2012,20:00:00,20.28
24/08/2012,21:00:00,18.27
24/08/2012,22:00:00,21.55
24/08/2012,23:00:00,21.75
25/08/2012,00:00:00,17.62
25/08/2012,01:00:00,12.78
25/08/2012,02:00:00,11.55
25/08/2012,03:00:00,11.95
25/08/2012,04:00:00,13.09
25/08/2012,05:00:00,12.58
25/08/2012,06:00:00,11.68
25/08/2012,07:00:00,10.89
25/08/2012,08:00:00,9.86
25/08/2012,09:00:00,17.11
25/08/2012,10:00:00,20.14
25/08/2012,11:00:00,17.97
25/08/2012,12:00:00,16.13
25/08/2012,13:00:00,17.13
25/08/2012,14:00:00,19.10
25/08/2012,15:00:00,20.30
25/08/2012,16:00:00,16.64
25/08/2012,17:00:00,11.43
25/08/2012,18:00:00,15.88
25/08/2012,19:00:00,15.47
25/08/2012,20:00:00,59.97
25/08/2012,21:00:00,44.19
25/08/2012,22:00:00,19.06
25/08/2012,23:00:00,30.63
26/08/2012,00:00:00,22.23
26/08/2012,01:00:00,64.78
26/08/2012,02:00:00,108.89
26/08/2012,03:00:00,52.00
26/08/2012,04:00:00,24.93
26/08/2012,05:00:00,31.28
26/08/2012,06:00:00,51.58
26/08/2012,07:00:00,51.02
26/08/2012,08:00:00,40.06
26/08/2012,09:00:00,32.02
26/08/2012,10:00:00,14.95
26/08/2012,11:00:00,12.37
26/08/2012,12:00:00,19.69
26/08/2012,13:00:00,13.13
26/08/2012,14:00:00,11.19
26/08/2012,15:00:00,13.20
26/08/2012,16:00:00,14.56
26/08/2012,17:00:00,11.93
26/08/2012,18:00:00,15.18
26/08/2012,19:00:00,10.00
26/08/2012,20:00:00,18.76
26/08/2012,21:00:00,27.54
26/08/2012,22:00:00,21.08
26/08/2012,23:00:00,16.72
27/08/2012,00:00:00,40.95
27/08/2012,01:00:00,17.93
27/08/2012,02:00:00,10.36
27/08/2012,03:00:00,15.35
27/08/2012,04:00:00,30.31
27/08/2012,05:00:00,36.87
27/08/2012,06:00:00,18.51
27/08/2012,07:00:00,8.86
27/08/2012,08:00:00,8.56
27/08/2012,09:00:00,13.14
27/08/2012,10:00:00,10.17
27/08/2012,11:00:00,8.76
27/08/2012,12:00:00,13.46
27/08/2012,13:00:00,11.29
27/08/2012,14:00:00,9.39
27/08/2012,15:00:00,10.31
27/08/2012,16:00:00,9.64
27/08/2012,17:00:00,15.14
27/08/2012,18:00:00,14.58
27/08/2012,19:00:00,18.30
27/08/2012,20:00:00,16.08
27/08/2012,21:00:00,27.17
27/08/2012,22:00:00,11.66
27/08/2012,23:00:00,10.33
28/08/2012,00:00:00,19.65
28/08/2012,01:00:00,81.28
28/08/2012,02:00:00,34.56
28/08/2012,03:00:00,57.63
28/08/2012,04:00:00,33.98
28/08/2012,05:00:00,17.76
28/08/2012,06:00:00,50.57
28/08/2012,07:00:00,12.45
28/08/2012,08:00:00,16.96
28/08/2012,09:00:00,15.12
28/08/2012,10:00:00,13.35
28/08/2012,11:00:00,10.62
28/08/2012,12:00:00,10.20
28/08/2012,13:00:00,11.79
28/08/2012,14:00:00,16.73
28/08/2012,15:00:00,28.32
28/08/2012,16:00:00,14.30
28/08/2012,17:00:00,11.30
28/08/2012,18:00:00,15.61
28/08/2012,19:00:00,30.20
28/08/2012,20:00:00,38.08
28/08/2012,21:00:00,37.20
28/08/2012,22:00:00,30.61
28/08/2012,23:00:00,57.19
29/08/2012,00:00:00,34.12
29/08/2012,01:00:00,31.06
29/08/2012,02:00:00,36.89
29/08/2012,03:00:00,25.78
29/08/2012,04:00:00,32.10
29/08/2012,05:00:00,49.68
29/08/2012,06:00:00,90.67
29/08/2012,07:00:00,54.36
29/08/2012,08:00:00,12.59
29/08/2012,09:00:00,39.48
29/08/2012,10:00:00,18.24
29/08/2012,11:00:00,33.03
29/08/2012,12:00:00,39.77
29/08/2012,13:00:00,29.82
29/08/2012,14:00:00,17.53
29/08/2012,15:00:00,20.62
29/08/2012,16:00:00,30.03
29/08/2012,17:00:00,18.72
29/08/2012,18:00:00,21.29
29/08/2012,19:00:00,28.09
29/08/2012,20:00:00,30.27
29/08/2012,21:00:00,40.35
29/08/2012,22:00:00,44.79
29/08/2012,23:00:00,57.76
30/08/2012,00:00:00,41.88
30/08/2012,01:00:00,141.54
30/08/2012,02:00:00,161.55
30/08/2012,03:00:00,88.60
30/08/2012,04:00:00,58.83
30/08/2012,05:00:00,40.46
30/08/2012,06:00:00,47.73
30/08/2012,07:00:00,17.76
30/08/2012,08:00:00,22.16
30/08/2012,09:00:00,60.79
30/08/2012,10:00:00,26.93
30/08/2012,11:00:00,36.68
30/08/2012,12:00:00,31.67
30/08/2012,13:00:00,30.82
30/08/2012,14:00:00,13.18
30/08/2012,15:00:00,29.17
30/08/2012,16:00:00,21.86
30/08/2012,17:00:00,15.35
30/08/2012,18:00:00,16.49
30/08/2012,19:00:00,18.82
30/08/2012,20:00:00,25.88
