Date,Time,Values
04/04/2015,10:00:00,114.44
04/04/2015,11:00:00,93.08
04/04/2015,12:00:00,105.58
04/04/2015,13:00:00,217.50
04/04/2015,14:00:00,202.75
04/04/2015,15:00:00,236.75
04/04/2015,16:00:00,232.50
04/04/2015,17:00:00,209.42
04/04/2015,18:00:00,70.83
04/04/2015,19:00:00,70.17
04/04/2015,20:00:00,62.25
04/04/2015,21:00:00,71.92
04/04/2015,22:00:00,70.17
04/04/2015,23:00:00,73.50
05/04/2015,00:00:00,79.42
05/04/2015,01:00:00,87.42
05/04/2015,02:00:00,210.33
05/04/2015,03:00:00,64.67
05/04/2015,04:00:00,65.17
05/04/2015,05:00:00,73.83
05/04/2015,06:00:00,113.00
05/04/2015,07:00:00,205.33
05/04/2015,08:00:00,221.92
05/04/2015,09:00:00,124.67
05/04/2015,10:00:00,107.33
09/04/2015,13:00:00,263.29
09/04/2015,14:00:00,267.17
09/04/2015,15:00:00,267.50
09/04/2015,16:00:00,267.42
09/04/2015,17:00:00,274.00
09/04/2015,18:00:00,271.83
09/04/2015,19:00:00,262.83
09/04/2015,20:00:00,247.67
09/04/2015,21:00:00,245.00
09/04/2015,22:00:00,268.50
09/04/2015,23:00:00,268.42
10/04/2015,00:00:00,270.00
10/04/2015,01:00:00,267.33
10/04/2015,02:00:00,267.42
10/04/2015,03:00:00,268.42
10/04/2015,04:00:00,273.08
10/04/2015,05:00:00,269.00
10/04/2015,06:00:00,260.67
10/04/2015,07:00:00,262.42
10/04/2015,08:00:00,268.17
10/04/2015,09:00:00,269.27
10/04/2015,10:00:00,268.58
10/04/2015,11:00:00,253.08
10/04/2015,12:00:00,258.67
10/04/2015,13:00:00,264.50
10/04/2015,14:00:00,266.42
10/04/2015,15:00:00,265.58
10/04/2015,16:00:00,257.25
10/04/2015,17:00:00,264.25
10/04/2015,18:00:00,270.42
10/04/2015,19:00:00,256.67
10/04/2015,20:00:00,228.00
10/04/2015,21:00:00,210.75
10/04/2015,22:00:00,235.83
10/04/2015,23:00:00,177.58
11/04/2015,00:00:00,73.08
11/04/2015,01:00:00,129.42
11/04/2015,02:00:00,76.58
11/04/2015,03:00:00,79.83
11/04/2015,04:00:00,60.33
11/04/2015,05:00:00,132.33
11/04/2015,06:00:00,179.33
11/04/2015,07:00:00,219.00
11/04/2015,08:00:00,192.08
11/04/2015,09:00:00,171.40
11/04/2015,10:00:00,192.40
11/04/2015,11:00:00,219.92
11/04/2015,12:00:00,249.80
11/04/2015,13:00:00,227.83
11/04/2015,15:00:00,198.75
11/04/2015,16:00:00,177.22
11/04/2015,18:00:00,67.00
11/04/2015,19:00:00,130.33
11/04/2015,20:00:00,174.17
11/04/2015,21:00:00,81.25
11/04/2015,22:00:00,222.83
11/04/2015,23:00:00,222.25
12/04/2015,00:00:00,246.83
12/04/2015,01:00:00,276.33
12/04/2015,02:00:00,236.67
12/04/2015,03:00:00,152.00
12/04/2015,04:00:00,80.00
12/04/2015,05:00:00,170.92
12/04/2015,06:00:00,149.00
12/04/2015,07:00:00,76.33
12/04/2015,08:00:00,103.42
12/04/2015,09:00:00,71.33
12/04/2015,10:00:00,84.25
12/04/2015,11:00:00,80.83
12/04/2015,12:00:00,246.92
12/04/2015,13:00:00,258.86
12/04/2015,20:00:00,69.56
12/04/2015,21:00:00,126.08
12/04/2015,22:00:00,198.75
12/04/2015,23:00:00,120.08
13/04/2015,00:00:00,104.17
13/04/2015,01:00:00,90.08
13/04/2015,02:00:00,198.92
13/04/2015,03:00:00,214.08
13/04/2015,04:00:00,200.92
13/04/2015,05:00:00,211.08
13/04/2015,06:00:00,147.00
13/04/2015,07:00:00,72.83
13/04/2015,08:00:00,69.25
13/04/2015,09:00:00,84.92
13/04/2015,10:00:00,80.42
13/04/2015,11:00:00,93.00
13/04/2015,12:00:00,92.33
13/04/2015,13:00:00,85.50
13/04/2015,14:00:00,99.75
13/04/2015,15:00:00,119.58
13/04/2015,16:00:00,146.08
13/04/2015,17:00:00,97.25
13/04/2015,18:00:00,120.17
13/04/2015,19:00:00,128.08
13/04/2015,20:00:00,114.45
13/04/2015,21:00:00,86.33
13/04/2015,22:00:00,78.25
13/04/2015,23:00:00,96.17
14/04/2015,00:00:00,69.25
14/04/2015,01:00:00,86.67
14/04/2015,02:00:00,82.08
14/04/2015,03:00:00,72.67
14/04/2015,04:00:00,73.67
14/04/2015,05:00:00,61.33
14/04/2015,06:00:00,72.33
14/04/2015,07:00:00,79.75
14/04/2015,08:00:00,92.83
14/04/2015,09:00:00,82.42
14/04/2015,10:00:00,87.92
14/04/2015,11:00:00,83.67
14/04/2015,12:00:00,80.17
14/04/2015,13:00:00,93.92
14/04/2015,14:00:00,107.42
14/04/2015,15:00:00,89.58
14/04/2015,16:00:00,100.58
14/04/2015,17:00:00,129.25
14/04/2015,18:00:00,97.33
14/04/2015,19:00:00,76.42
14/04/2015,20:00:00,72.83
14/04/2015,21:00:00,154.42
14/04/2015,22:00:00,175.25
14/04/2015,23:00:00,97.25
15/04/2015,00:00:00,188.17
15/04/2015,01:00:00,121.58
15/04/2015,02:00:00,97.57
15/04/2015,18:00:00,119.20
15/04/2015,19:00:00,115.25
15/04/2015,20:00:00,89.75
15/04/2015,21:00:00,88.42
15/04/2015,22:00:00,161.08
15/04/2015,23:00:00,198.67
16/04/2015,00:00:00,121.58
16/04/2015,01:00:00,77.67
16/04/2015,02:00:00,69.00
16/04/2015,03:00:00,92.25
16/04/2015,04:00:00,54.33
16/04/2015,05:00:00,70.58
16/04/2015,06:00:00,82.67
16/04/2015,07:00:00,75.17
16/04/2015,08:00:00,114.00
16/04/2015,09:00:00,219.00
16/04/2015,10:00:00,228.58
16/04/2015,11:00:00,118.25
16/04/2015,12:00:00,165.50
16/04/2015,13:00:00,223.17
16/04/2015,14:00:00,157.92
16/04/2015,15:00:00,201.17
16/04/2015,16:00:00,267.83
16/04/2015,17:00:00,258.75
16/04/2015,18:00:00,262.83
16/04/2015,19:00:00,268.17
16/04/2015,20:00:00,250.42
16/04/2015,21:00:00,270.42
16/04/2015,22:00:00,271.33
16/04/2015,23:00:00,267.58
17/04/2015,00:00:00,273.83
17/04/2015,01:00:00,268.25
17/04/2015,02:00:00,273.92
17/04/2015,03:00:00,267.25
17/04/2015,04:00:00,267.33
17/04/2015,05:00:00,264.17
17/04/2015,06:00:00,273.42
17/04/2015,07:00:00,259.25
17/04/2015,08:00:00,258.83
17/04/2015,09:00:00,262.58
17/04/2015,10:00:00,266.67
17/04/2015,11:00:00,268.83
17/04/2015,12:00:00,261.00
17/04/2015,13:00:00,268.83
17/04/2015,14:00:00,269.58
17/04/2015,15:00:00,265.25
17/04/2015,16:00:00,269.92
17/04/2015,17:00:00,268.75
17/04/2015,18:00:00,263.30
17/04/2015,19:00:00,262.83
17/04/2015,20:00:00,264.50
17/04/2015,21:00:00,263.83
17/04/2015,22:00:00,242.25
17/04/2015,23:00:00,256.58
18/04/2015,00:00:00,230.67
18/04/2015,01:00:00,268.92
18/04/2015,02:00:00,271.83
18/04/2015,03:00:00,249.92
18/04/2015,04:00:00,226.67
18/04/2015,05:00:00,236.83
18/04/2015,06:00:00,223.58
18/04/2015,07:00:00,267.33
18/04/2015,08:00:00,263.42
18/04/2015,09:00:00,260.08
18/04/2015,10:00:00,258.55
18/04/2015,11:00:00,259.67
18/04/2015,12:00:00,263.25
18/04/2015,13:00:00,256.42
18/04/2015,14:00:00,251.60
18/04/2015,15:00:00,264.83
18/04/2015,16:00:00,261.67
18/04/2015,17:00:00,269.00
18/04/2015,18:00:00,253.42
18/04/2015,19:00:00,213.92
18/04/2015,20:00:00,223.00
18/04/2015,21:00:00,255.25
18/04/2015,22:00:00,132.33
18/04/2015,23:00:00,145.33
19/04/2015,00:00:00,147.33
19/04/2015,01:00:00,204.75
19/04/2015,02:00:00,85.67
19/04/2015,03:00:00,97.83
19/04/2015,04:00:00,192.92
19/04/2015,05:00:00,94.67
19/04/2015,06:00:00,209.67
19/04/2015,07:00:00,223.70
19/04/2015,10:00:00,226.13
19/04/2015,11:00:00,227.33
19/04/2015,12:00:00,249.55
