Date,Time,Values
23/03/2017,00:00:00,0.31
23/03/2017,01:00:00,0.31
23/03/2017,02:00:00,0.30
23/03/2017,03:00:00,0.30
23/03/2017,04:00:00,0.30
23/03/2017,05:00:00,0.30
23/03/2017,06:00:00,0.30
23/03/2017,07:00:00,0.30
23/03/2017,08:00:00,0.31
23/03/2017,09:00:00,0.43
23/03/2017,10:00:00,0.37
23/03/2017,11:00:00,0.37
23/03/2017,12:00:00,0.58
23/03/2017,13:00:00,0.76
23/03/2017,14:00:00,0.50
23/03/2017,15:00:00,0.38
23/03/2017,16:00:00,0.48
23/03/2017,17:00:00,0.54
23/03/2017,18:00:00,0.30
23/03/2017,19:00:00,0.32
23/03/2017,20:00:00,0.47
23/03/2017,21:00:00,0.34
23/03/2017,22:00:00,0.37
23/03/2017,23:00:00,0.42
24/03/2017,00:00:00,0.47
24/03/2017,01:00:00,0.33
24/03/2017,02:00:00,0.30
24/03/2017,03:00:00,0.30
24/03/2017,04:00:00,0.30
24/03/2017,05:00:00,0.43
24/03/2017,06:00:00,0.62
24/03/2017,07:00:00,0.38
24/03/2017,08:00:00,0.48
24/03/2017,09:00:00,0.32
24/03/2017,10:00:00,0.66
24/03/2017,11:00:00,0.90
24/03/2017,12:00:00,1.38
24/03/2017,13:00:00,1.06
24/03/2017,14:00:00,1.28
24/03/2017,15:00:00,1.37
24/03/2017,16:00:00,1.10
24/03/2017,17:00:00,1.09
24/03/2017,18:00:00,0.77
24/03/2017,19:00:00,0.63
24/03/2017,20:00:00,0.75
24/03/2017,21:00:00,1.09
24/03/2017,22:00:00,1.21
24/03/2017,23:00:00,0.91
25/03/2017,00:00:00,0.86
25/03/2017,01:00:00,0.75
25/03/2017,02:00:00,0.86
25/03/2017,03:00:00,0.60
25/03/2017,04:00:00,0.41
25/03/2017,05:00:00,0.30
25/03/2017,06:00:00,0.34
25/03/2017,07:00:00,0.51
25/03/2017,08:00:00,1.00
25/03/2017,09:00:00,1.43
25/03/2017,10:00:00,1.00
25/03/2017,11:00:00,1.15
25/03/2017,12:00:00,1.36
25/03/2017,13:00:00,1.18
25/03/2017,14:00:00,1.53
25/03/2017,15:00:00,1.62
25/03/2017,16:00:00,1.69
25/03/2017,17:00:00,1.35
25/03/2017,18:00:00,1.42
25/03/2017,19:00:00,1.09
25/03/2017,20:00:00,1.12
25/03/2017,21:00:00,0.56
25/03/2017,22:00:00,0.75
25/03/2017,23:00:00,1.15
26/03/2017,00:00:00,1.12
26/03/2017,01:00:00,0.92
26/03/2017,02:00:00,0.93
26/03/2017,03:00:00,0.61
26/03/2017,04:00:00,0.42
26/03/2017,05:00:00,0.37
26/03/2017,06:00:00,0.30
26/03/2017,07:00:00,0.74
26/03/2017,08:00:00,1.27
26/03/2017,09:00:00,1.58
26/03/2017,10:00:00,1.38
26/03/2017,11:00:00,1.85
26/03/2017,12:00:00,1.74
26/03/2017,13:00:00,1.92
26/03/2017,14:00:00,1.87
26/03/2017,15:00:00,1.99
26/03/2017,16:00:00,1.98
26/03/2017,17:00:00,1.80
26/03/2017,18:00:00,1.50
26/03/2017,19:00:00,1.36
26/03/2017,20:00:00,0.87
26/03/2017,21:00:00,1.56
26/03/2017,22:00:00,1.53
26/03/2017,23:00:00,1.24
27/03/2017,00:00:00,1.29
27/03/2017,01:00:00,1.02
27/03/2017,02:00:00,1.45
27/03/2017,03:00:00,1.04
27/03/2017,04:00:00,0.76
27/03/2017,05:00:00,1.03
27/03/2017,06:00:00,1.05
27/03/2017,07:00:00,1.04
27/03/2017,08:00:00,1.06
27/03/2017,09:00:00,1.33
27/03/2017,10:00:00,1.36
27/03/2017,11:00:00,1.39
27/03/2017,12:00:00,1.58
27/03/2017,13:00:00,1.75
27/03/2017,14:00:00,1.84
27/03/2017,15:00:00,2.05
27/03/2017,16:00:00,1.69
27/03/2017,17:00:00,1.83
27/03/2017,18:00:00,1.50
27/03/2017,19:00:00,1.28
27/03/2017,20:00:00,1.18
27/03/2017,21:00:00,1.41
27/03/2017,22:00:00,1.12
27/03/2017,23:00:00,1.26
28/03/2017,00:00:00,0.92
28/03/2017,01:00:00,0.79
28/03/2017,02:00:00,0.37
28/03/2017,03:00:00,0.32
28/03/2017,04:00:00,0.31
28/03/2017,05:00:00,0.36
28/03/2017,06:00:00,0.30
28/03/2017,07:00:00,0.30
28/03/2017,08:00:00,0.32
