Date,Time,Values
01/01/2011,00:00:00,989.47
01/01/2011,01:00:00,989.59
01/01/2011,02:00:00,989.61
01/01/2011,03:00:00,989.59
01/01/2011,04:00:00,989.74
01/01/2011,05:00:00,990.28
01/01/2011,06:00:00,990.88
01/01/2011,07:00:00,991.62
01/01/2011,08:00:00,992.28
01/01/2011,09:00:00,993.05
01/01/2011,10:00:00,993.32
01/01/2011,11:00:00,992.59
01/01/2011,12:00:00,991.66
01/01/2011,13:00:00,990.84
01/01/2011,14:00:00,990.21
01/01/2011,15:00:00,989.75
01/01/2011,16:00:00,989.46
01/01/2011,17:00:00,989.52
01/01/2011,18:00:00,989.83
01/01/2011,19:00:00,990.07
01/01/2011,20:00:00,990.35
01/01/2011,21:00:00,990.47
01/01/2011,22:00:00,990.35
01/01/2011,23:00:00,989.95
02/01/2011,00:00:00,989.51
02/01/2011,01:00:00,989.15
02/01/2011,02:00:00,988.77
02/01/2011,03:00:00,988.17
02/01/2011,04:00:00,987.93
02/01/2011,05:00:00,988.24
02/01/2011,06:00:00,988.94
02/01/2011,07:00:00,989.56
02/01/2011,08:00:00,990.62
02/01/2011,09:00:00,991.89
02/01/2011,10:00:00,992.32
02/01/2011,11:00:00,991.79
02/01/2011,12:00:00,990.98
02/01/2011,13:00:00,990.60
02/01/2011,14:00:00,990.63
02/01/2011,15:00:00,990.61
02/01/2011,16:00:00,990.89
02/01/2011,17:00:00,991.29
02/01/2011,18:00:00,992.06
02/01/2011,19:00:00,992.44
02/01/2011,20:00:00,992.80
02/01/2011,21:00:00,993.04
02/01/2011,22:00:00,992.77
02/01/2011,23:00:00,992.72
03/01/2011,00:00:00,992.20
03/01/2011,01:00:00,992.06
03/01/2011,02:00:00,991.89
03/01/2011,03:00:00,992.02
03/01/2011,04:00:00,992.14
03/01/2011,05:00:00,992.30
03/01/2011,06:00:00,992.75
03/01/2011,07:00:00,993.54
03/01/2011,08:00:00,994.15
03/01/2011,09:00:00,995.18
03/01/2011,10:00:00,995.54
03/01/2011,11:00:00,995.14
03/01/2011,12:00:00,994.49
03/01/2011,13:00:00,993.93
03/01/2011,14:00:00,993.51
03/01/2011,15:00:00,993.23
03/01/2011,16:00:00,993.23
03/01/2011,17:00:00,"1,182.96"
03/01/2011,18:00:00,992.71
03/01/2011,19:00:00,993.30
03/01/2011,20:00:00,993.72
03/01/2011,21:00:00,993.61
03/01/2011,22:00:00,993.52
03/01/2011,23:00:00,993.32
