Date,Time,Values
01/01/2011,00:00:00,18.45
01/01/2011,01:00:00,15.74
01/01/2011,02:00:00,15.68
01/01/2011,03:00:00,15.74
01/01/2011,04:00:00,14.46
01/01/2011,05:00:00,13.0
01/01/2011,06:00:00,13.74
01/01/2011,07:00:00,14.25
01/01/2011,08:00:00,14.29
01/01/2011,09:00:00,13.19
01/01/2011,10:00:00,12.55
01/01/2011,11:00:00,14.26
01/01/2011,12:00:00,13.86
01/01/2011,13:00:00,11.82
01/01/2011,14:00:00,11.17
01/01/2011,15:00:00,10.52
01/01/2011,16:00:00,12.73
01/01/2011,17:00:00,17.53
01/01/2011,18:00:00,18.26
01/01/2011,19:00:00,17.17
01/01/2011,20:00:00,16.24
01/01/2011,21:00:00,14.29
01/01/2011,22:00:00,13.86
01/01/2011,23:00:00,12.31
02/01/2011,00:00:00,12.25
02/01/2011,01:00:00,10.98
02/01/2011,02:00:00,10.79
02/01/2011,03:00:00,10.46
02/01/2011,04:00:00,10.45
02/01/2011,05:00:00,10.14
02/01/2011,06:00:00,10.3
02/01/2011,07:00:00,10.8
02/01/2011,08:00:00,10.8
02/01/2011,09:00:00,11.85
02/01/2011,10:00:00,12.07
02/01/2011,11:00:00,10.82
02/01/2011,12:00:00,11.08
02/01/2011,13:00:00,11.89
02/01/2011,14:00:00,13.52
02/01/2011,15:00:00,15.34
02/01/2011,16:00:00,14.96
02/01/2011,17:00:00,14.04
02/01/2011,18:00:00,14.36
02/01/2011,19:00:00,16.05
02/01/2011,20:00:00,14.95
02/01/2011,21:00:00,15.95
02/01/2011,22:00:00,14.64
02/01/2011,23:00:00,13.06
03/01/2011,00:00:00,13.38
03/01/2011,01:00:00,12.58
03/01/2011,02:00:00,13.96
03/01/2011,03:00:00,13.71
03/01/2011,04:00:00,16.39
03/01/2011,05:00:00,16.45
03/01/2011,06:00:00,14.29
03/01/2011,07:00:00,12.7
03/01/2011,08:00:00,11.81
03/01/2011,09:00:00,12.56
03/01/2011,10:00:00,15.53
03/01/2011,11:00:00,18.84
03/01/2011,12:00:00,19.13
03/01/2011,13:00:00,18.59
03/01/2011,14:00:00,17.13
03/01/2011,15:00:00,16.85
03/01/2011,16:00:00,16.85
03/01/2011,17:00:00,27.71
03/01/2011,18:00:00,32.92
03/01/2011,19:00:00,33.58
