Date,Time,Values
01/01/2011,00:00:00,71.92
01/01/2011,01:00:00,60.37
01/01/2011,02:00:00,18.97
01/01/2011,03:00:00,5.87
01/01/2011,04:00:00,3.55
01/01/2011,05:00:00,-0.72
01/01/2011,06:00:00,1.61
01/01/2011,07:00:00,8.46
01/01/2011,08:00:00,9.65
01/01/2011,09:00:00,10.48
01/01/2011,10:00:00,16.06
01/01/2011,11:00:00,21.94
01/01/2011,12:00:00,13.00
01/01/2011,13:00:00,7.43
01/01/2011,14:00:00,9.11
01/01/2011,15:00:00,12.15
01/01/2011,16:00:00,12.64
01/01/2011,17:00:00,12.58
01/01/2011,18:00:00,12.98
01/01/2011,19:00:00,6.91
01/01/2011,20:00:00,6.97
01/01/2011,21:00:00,5.19
01/01/2011,22:00:00,6.37
01/01/2011,23:00:00,0.07
02/01/2011,00:00:00,5.66
02/01/2011,01:00:00,1.09
02/01/2011,02:00:00,-1.52
02/01/2011,03:00:00,-4.19
02/01/2011,04:00:00,-1.82
02/01/2011,05:00:00,-1.25
02/01/2011,06:00:00,-1.46
02/01/2011,07:00:00,0.85
02/01/2011,08:00:00,14.64
02/01/2011,09:00:00,5.87
02/01/2011,10:00:00,2.96
02/01/2011,11:00:00,10.68
02/01/2011,12:00:00,9.24
02/01/2011,13:00:00,6.73
02/01/2011,14:00:00,4.75
02/01/2011,15:00:00,-0.86
02/01/2011,16:00:00,-0.56
02/01/2011,17:00:00,4.55
02/01/2011,18:00:00,8.67
02/01/2011,19:00:00,8.49
02/01/2011,20:00:00,6.67
02/01/2011,21:00:00,12.54
02/01/2011,22:00:00,6.35
02/01/2011,23:00:00,3.12
03/01/2011,00:00:00,2.37
03/01/2011,01:00:00,-1.40
03/01/2011,02:00:00,4.28
03/01/2011,03:00:00,3.21
03/01/2011,04:00:00,7.40
03/01/2011,05:00:00,7.10
03/01/2011,06:00:00,1.48
03/01/2011,07:00:00,10.36
03/01/2011,08:00:00,1.19
03/01/2011,09:00:00,14.37
03/01/2011,10:00:00,20.09
03/01/2011,11:00:00,21.38
03/01/2011,12:00:00,11.45
03/01/2011,13:00:00,7.75
03/01/2011,14:00:00,5.84
03/01/2011,15:00:00,4.44
03/01/2011,16:00:00,4.44
03/01/2011,17:00:00,103.75
03/01/2011,18:00:00,231.23
03/01/2011,19:00:00,244.50
03/01/2011,20:00:00,303.20
03/01/2011,21:00:00,463.64
03/01/2011,22:00:00,425.14
03/01/2011,23:00:00,359.68
04/01/2011,00:00:00,185.81
04/01/2011,01:00:00,311.85
04/01/2011,02:00:00,218.89
04/01/2011,03:00:00,239.09
04/01/2011,04:00:00,176.63
04/01/2011,05:00:00,241.34
04/01/2011,06:00:00,275.60
04/01/2011,07:00:00,166.08
04/01/2011,08:00:00,45.71
04/01/2011,09:00:00,19.52
04/01/2011,10:00:00,8.33
04/01/2011,11:00:00,6.63
04/01/2011,12:00:00,15.83
04/01/2011,13:00:00,17.34
04/01/2011,14:00:00,18.87
04/01/2011,15:00:00,15.42
04/01/2011,16:00:00,12.79
04/01/2011,17:00:00,17.28
04/01/2011,18:00:00,14.55
04/01/2011,19:00:00,11.88
04/01/2011,20:00:00,10.53
04/01/2011,21:00:00,22.57
04/01/2011,22:00:00,8.69
04/01/2011,23:00:00,11.58
05/01/2011,00:00:00,6.87
05/01/2011,01:00:00,10.99
05/01/2011,02:00:00,5.59
05/01/2011,03:00:00,0.49
05/01/2011,04:00:00,1.76
05/01/2011,05:00:00,1.42
05/01/2011,06:00:00,6.36
05/01/2011,07:00:00,9.19
05/01/2011,08:00:00,11.39
05/01/2011,09:00:00,11.51
05/01/2011,10:00:00,12.55
05/01/2011,11:00:00,14.03
05/01/2011,12:00:00,13.03
05/01/2011,13:00:00,14.09
05/01/2011,14:00:00,14.31
05/01/2011,15:00:00,17.43
05/01/2011,16:00:00,20.16
05/01/2011,17:00:00,27.92
05/01/2011,18:00:00,57.99
05/01/2011,19:00:00,80.55
05/01/2011,20:00:00,17.13
05/01/2011,21:00:00,32.47
05/01/2011,22:00:00,73.29
05/01/2011,23:00:00,85.23
06/01/2011,00:00:00,10.00
06/01/2011,01:00:00,2.85
06/01/2011,02:00:00,4.05
06/01/2011,03:00:00,3.61
06/01/2011,04:00:00,7.13
06/01/2011,05:00:00,0.57
06/01/2011,06:00:00,3.97
06/01/2011,07:00:00,6.63
06/01/2011,08:00:00,18.65
06/01/2011,09:00:00,28.59
06/01/2011,10:00:00,24.69
06/01/2011,11:00:00,17.52
06/01/2011,12:00:00,7.36
06/01/2011,13:00:00,9.12
06/01/2011,14:00:00,11.69
06/01/2011,15:00:00,13.27
06/01/2011,16:00:00,13.27
06/01/2011,17:00:00,13.27
06/01/2011,18:00:00,13.27
06/01/2011,19:00:00,70.36
06/01/2011,20:00:00,61.32
06/01/2011,21:00:00,106.34
06/01/2011,22:00:00,60.12
06/01/2011,23:00:00,30.36
07/01/2011,00:00:00,25.95
07/01/2011,01:00:00,13.44
07/01/2011,02:00:00,10.52
07/01/2011,03:00:00,8.79
