Date,Time,Values
01/01/2011,00:00:00,78.10
01/01/2011,01:00:00,76.30
01/01/2011,02:00:00,69.14
01/01/2011,03:00:00,59.58
01/01/2011,04:00:00,44.96
01/01/2011,05:00:00,42.43
01/01/2011,06:00:00,41.51
01/01/2011,07:00:00,49.63
01/01/2011,08:00:00,53.00
01/01/2011,09:00:00,49.36
01/01/2011,10:00:00,54.48
01/01/2011,11:00:00,65.32
01/01/2011,12:00:00,53.28
01/01/2011,13:00:00,43.65
01/01/2011,14:00:00,44.86
01/01/2011,15:00:00,49.02
01/01/2011,16:00:00,64.60
01/01/2011,17:00:00,72.52
01/01/2011,18:00:00,69.78
01/01/2011,19:00:00,64.18
01/01/2011,20:00:00,60.63
01/01/2011,21:00:00,51.96
01/01/2011,22:00:00,49.46
01/01/2011,23:00:00,45.07
02/01/2011,00:00:00,48.59
02/01/2011,01:00:00,42.37
02/01/2011,02:00:00,36.85
02/01/2011,03:00:00,35.63
02/01/2011,04:00:00,34.93
02/01/2011,05:00:00,35.22
02/01/2011,06:00:00,36.65
02/01/2011,07:00:00,50.38
02/01/2011,08:00:00,49.15
02/01/2011,09:00:00,55.39
02/01/2011,10:00:00,44.52
02/01/2011,11:00:00,50.84
02/01/2011,12:00:00,45.02
02/01/2011,13:00:00,45.69
02/01/2011,14:00:00,50.57
02/01/2011,15:00:00,47.28
02/01/2011,16:00:00,49.88
02/01/2011,17:00:00,56.49
02/01/2011,18:00:00,64.17
02/01/2011,19:00:00,66.59
02/01/2011,20:00:00,61.11
02/01/2011,21:00:00,66.81
02/01/2011,22:00:00,57.59
02/01/2011,23:00:00,49.85
03/01/2011,00:00:00,48.45
03/01/2011,01:00:00,47.61
03/01/2011,02:00:00,55.97
03/01/2011,03:00:00,48.32
03/01/2011,04:00:00,66.15
03/01/2011,05:00:00,70.07
03/01/2011,06:00:00,51.91
03/01/2011,07:00:00,51.04
03/01/2011,08:00:00,35.45
03/01/2011,09:00:00,45.29
03/01/2011,10:00:00,64.11
03/01/2011,11:00:00,88.56
03/01/2011,12:00:00,75.03
03/01/2011,13:00:00,56.70
03/01/2011,14:00:00,41.37
03/01/2011,15:00:00,37.25
03/01/2011,16:00:00,37.25
03/01/2011,17:00:00,123.76
03/01/2011,18:00:00,146.62
03/01/2011,19:00:00,146.51
03/01/2011,20:00:00,140.51
03/01/2011,21:00:00,138.48
03/01/2011,22:00:00,118.98
03/01/2011,23:00:00,111.80
04/01/2011,00:00:00,90.14
04/01/2011,01:00:00,72.15
04/01/2011,02:00:00,56.28
04/01/2011,03:00:00,52.79
04/01/2011,04:00:00,50.28
04/01/2011,05:00:00,50.52
04/01/2011,06:00:00,54.05
04/01/2011,07:00:00,60.05
04/01/2011,08:00:00,64.16
04/01/2011,09:00:00,69.95
04/01/2011,10:00:00,53.91
04/01/2011,11:00:00,43.51
04/01/2011,12:00:00,51.90
04/01/2011,13:00:00,55.15
04/01/2011,14:00:00,65.38
04/01/2011,15:00:00,62.91
04/01/2011,16:00:00,64.25
04/01/2011,17:00:00,68.56
04/01/2011,18:00:00,66.77
04/01/2011,19:00:00,56.51
04/01/2011,20:00:00,56.05
04/01/2011,21:00:00,67.52
04/01/2011,22:00:00,53.91
04/01/2011,23:00:00,49.97
05/01/2011,00:00:00,51.84
05/01/2011,01:00:00,56.85
05/01/2011,02:00:00,51.54
05/01/2011,03:00:00,41.99
05/01/2011,04:00:00,39.92
05/01/2011,05:00:00,39.97
05/01/2011,06:00:00,45.08
05/01/2011,07:00:00,53.90
05/01/2011,08:00:00,51.19
05/01/2011,09:00:00,51.25
05/01/2011,10:00:00,47.99
05/01/2011,11:00:00,46.89
05/01/2011,12:00:00,46.78
05/01/2011,13:00:00,47.91
05/01/2011,14:00:00,52.01
05/01/2011,15:00:00,58.21
05/01/2011,16:00:00,70.54
05/01/2011,17:00:00,79.30
05/01/2011,18:00:00,88.81
05/01/2011,19:00:00,89.09
05/01/2011,20:00:00,74.62
05/01/2011,21:00:00,76.24
05/01/2011,22:00:00,72.00
05/01/2011,23:00:00,69.09
06/01/2011,00:00:00,55.02
06/01/2011,01:00:00,46.07
06/01/2011,02:00:00,49.86
06/01/2011,03:00:00,49.50
06/01/2011,04:00:00,47.44
06/01/2011,05:00:00,43.17
06/01/2011,06:00:00,43.70
06/01/2011,07:00:00,45.51
06/01/2011,08:00:00,49.78
06/01/2011,09:00:00,52.18
06/01/2011,10:00:00,53.74
06/01/2011,11:00:00,50.33
06/01/2011,12:00:00,45.11
06/01/2011,13:00:00,47.86
06/01/2011,14:00:00,48.72
06/01/2011,15:00:00,49.09
06/01/2011,16:00:00,49.09
06/01/2011,17:00:00,49.09
06/01/2011,18:00:00,49.09
06/01/2011,19:00:00,88.56
06/01/2011,20:00:00,77.34
06/01/2011,21:00:00,77.20
06/01/2011,22:00:00,59.88
06/01/2011,23:00:00,57.91
07/01/2011,00:00:00,57.52
07/01/2011,01:00:00,46.65
07/01/2011,02:00:00,46.61
07/01/2011,03:00:00,47.64
07/01/2011,04:00:00,49.27
07/01/2011,05:00:00,47.24
07/01/2011,06:00:00,47.08
07/01/2011,07:00:00,44.82
07/01/2011,08:00:00,42.39
07/01/2011,09:00:00,39.78
07/01/2011,10:00:00,46.21
07/01/2011,11:00:00,98.94
07/01/2011,12:00:00,121.30
07/01/2011,13:00:00,139.58
07/01/2011,14:00:00,175.43
07/01/2011,15:00:00,207.19
07/01/2011,16:00:00,208.20
07/01/2011,17:00:00,183.97
07/01/2011,18:00:00,154.66
07/01/2011,19:00:00,139.18
07/01/2011,20:00:00,124.80
07/01/2011,21:00:00,118.17
07/01/2011,22:00:00,113.17
07/01/2011,23:00:00,98.20
08/01/2011,00:00:00,70.32
08/01/2011,01:00:00,51.86
08/01/2011,02:00:00,58.09
08/01/2011,03:00:00,61.64
08/01/2011,04:00:00,62.60
08/01/2011,05:00:00,67.82
08/01/2011,06:00:00,64.03
08/01/2011,07:00:00,60.96
08/01/2011,08:00:00,63.12
08/01/2011,09:00:00,65.33
08/01/2011,10:00:00,76.37
08/01/2011,11:00:00,94.35
08/01/2011,12:00:00,102.37
08/01/2011,13:00:00,117.49
08/01/2011,14:00:00,149.31
08/01/2011,15:00:00,172.99
08/01/2011,16:00:00,172.63
08/01/2011,17:00:00,170.70
08/01/2011,18:00:00,140.89
08/01/2011,19:00:00,115.99
08/01/2011,20:00:00,108.06
08/01/2011,21:00:00,106.10
08/01/2011,22:00:00,105.13
08/01/2011,23:00:00,90.12
09/01/2011,00:00:00,66.03
09/01/2011,01:00:00,63.46
09/01/2011,02:00:00,75.27
09/01/2011,03:00:00,72.14
09/01/2011,04:00:00,59.69
09/01/2011,05:00:00,49.37
09/01/2011,06:00:00,48.43
09/01/2011,07:00:00,51.89
09/01/2011,08:00:00,51.47
09/01/2011,09:00:00,54.82
09/01/2011,10:00:00,60.46
09/01/2011,11:00:00,58.56
09/01/2011,12:00:00,58.09
09/01/2011,13:00:00,62.16
09/01/2011,14:00:00,55.17
09/01/2011,15:00:00,64.73
09/01/2011,16:00:00,71.49
09/01/2011,17:00:00,69.64
09/01/2011,18:00:00,64.73
09/01/2011,19:00:00,61.87
09/01/2011,20:00:00,64.64
09/01/2011,21:00:00,61.87
09/01/2011,22:00:00,57.23
09/01/2011,23:00:00,52.75
10/01/2011,00:00:00,47.99
10/01/2011,01:00:00,48.05
10/01/2011,02:00:00,51.21
10/01/2011,03:00:00,44.40
10/01/2011,04:00:00,41.74
10/01/2011,05:00:00,42.16
10/01/2011,06:00:00,49.74
10/01/2011,07:00:00,55.38
10/01/2011,08:00:00,58.47
10/01/2011,09:00:00,56.79
10/01/2011,10:00:00,64.85
10/01/2011,11:00:00,70.35
10/01/2011,12:00:00,71.42
10/01/2011,13:00:00,73.46
10/01/2011,14:00:00,78.03
10/01/2011,15:00:00,67.49
10/01/2011,16:00:00,89.81
10/01/2011,17:00:00,115.77
10/01/2011,18:00:00,110.85
10/01/2011,19:00:00,114.30
10/01/2011,20:00:00,109.68
10/01/2011,21:00:00,106.57
10/01/2011,22:00:00,101.19
10/01/2011,23:00:00,100.77
