Date,Time,Values
01/01/2011,00:00:00,47.48
01/01/2011,01:00:00,41.62
01/01/2011,02:00:00,41.03
01/01/2011,03:00:00,47.58
01/01/2011,04:00:00,60.73
01/01/2011,05:00:00,60.54
01/01/2011,06:00:00,55.09
01/01/2011,07:00:00,54.84
01/01/2011,08:00:00,61.83
01/01/2011,09:00:00,71.56
01/01/2011,10:00:00,78.18
01/01/2011,11:00:00,87.77
01/01/2011,12:00:00,102.30
01/01/2011,13:00:00,93.89
01/01/2011,14:00:00,107.75
01/01/2011,15:00:00,97.00
01/01/2011,16:00:00,75.39
01/01/2011,17:00:00,65.24
01/01/2011,18:00:00,55.40
01/01/2011,19:00:00,55.28
01/01/2011,20:00:00,51.06
01/01/2011,21:00:00,60.31
01/01/2011,22:00:00,69.64
01/01/2011,23:00:00,70.42
02/01/2011,00:00:00,61.02
02/01/2011,01:00:00,68.93
02/01/2011,02:00:00,69.42
02/01/2011,03:00:00,80.25
02/01/2011,04:00:00,80.59
02/01/2011,05:00:00,83.73
02/01/2011,06:00:00,92.69
02/01/2011,07:00:00,82.43
02/01/2011,08:00:00,78.53
02/01/2011,09:00:00,85.14
02/01/2011,10:00:00,85.69
02/01/2011,11:00:00,80.14
02/01/2011,12:00:00,82.60
02/01/2011,13:00:00,91.52
02/01/2011,14:00:00,84.38
02/01/2011,15:00:00,85.52
02/01/2011,16:00:00,81.63
02/01/2011,17:00:00,70.44
02/01/2011,18:00:00,56.60
02/01/2011,19:00:00,52.87
02/01/2011,20:00:00,55.78
02/01/2011,21:00:00,52.98
02/01/2011,22:00:00,55.06
02/01/2011,23:00:00,53.54
03/01/2011,00:00:00,55.87
03/01/2011,01:00:00,55.72
03/01/2011,02:00:00,44.05
03/01/2011,03:00:00,51.39
03/01/2011,04:00:00,40.36
03/01/2011,05:00:00,30.51
03/01/2011,06:00:00,48.51
03/01/2011,07:00:00,49.48
03/01/2011,08:00:00,62.55
03/01/2011,09:00:00,63.02
03/01/2011,10:00:00,75.61
03/01/2011,11:00:00,110.60
03/01/2011,12:00:00,147.23
03/01/2011,13:00:00,176.84
03/01/2011,14:00:00,185.00
03/01/2011,15:00:00,184.09
03/01/2011,16:00:00,184.09
03/01/2011,17:00:00,93.82
03/01/2011,18:00:00,53.34
03/01/2011,19:00:00,52.00
03/01/2011,20:00:00,74.35
03/01/2011,21:00:00,62.82
03/01/2011,22:00:00,55.08
03/01/2011,23:00:00,56.76
04/01/2011,00:00:00,59.87
04/01/2011,01:00:00,60.12
04/01/2011,02:00:00,58.35
04/01/2011,03:00:00,56.15
04/01/2011,04:00:00,52.64
04/01/2011,05:00:00,56.28
04/01/2011,06:00:00,51.72
04/01/2011,07:00:00,60.53
04/01/2011,08:00:00,66.82
04/01/2011,09:00:00,73.59
04/01/2011,10:00:00,84.97
04/01/2011,11:00:00,100.44
04/01/2011,12:00:00,96.37
04/01/2011,13:00:00,97.69
