Date,Time,Values
01/01/2011,00:00:00,520.25
01/01/2011,01:00:00,482.08
01/01/2011,02:00:00,585.91
01/01/2011,03:00:00,555.10
01/01/2011,04:00:00,558.40
01/01/2011,05:00:00,413.22
01/01/2011,06:00:00,334.17
01/01/2011,07:00:00,336.34
01/01/2011,08:00:00,335.01
01/01/2011,09:00:00,306.53
01/01/2011,10:00:00,291.44
01/01/2011,11:00:00,307.12
01/01/2011,12:00:00,266.98
01/01/2011,13:00:00,248.30
01/01/2011,14:00:00,283.60
01/01/2011,15:00:00,288.41
01/01/2011,16:00:00,291.52
01/01/2011,17:00:00,315.72
01/01/2011,18:00:00,341.14
01/01/2011,19:00:00,360.91
01/01/2011,20:00:00,307.45
01/01/2011,21:00:00,298.77
01/01/2011,22:00:00,321.31
01/01/2011,23:00:00,311.91
02/01/2011,00:00:00,344.63
02/01/2011,01:00:00,321.62
02/01/2011,02:00:00,391.00
02/01/2011,03:00:00,363.11
02/01/2011,04:00:00,337.97
02/01/2011,05:00:00,288.38
02/01/2011,06:00:00,187.35
02/01/2011,07:00:00,184.13
02/01/2011,08:00:00,200.16
02/01/2011,09:00:00,213.27
02/01/2011,10:00:00,261.84
02/01/2011,11:00:00,321.10
02/01/2011,12:00:00,324.69
02/01/2011,13:00:00,368.59
02/01/2011,14:00:00,381.89
02/01/2011,15:00:00,400.72
02/01/2011,16:00:00,353.92
02/01/2011,17:00:00,328.03
02/01/2011,18:00:00,321.84
02/01/2011,19:00:00,492.70
02/01/2011,20:00:00,417.40
02/01/2011,21:00:00,474.60
02/01/2011,22:00:00,548.27
02/01/2011,23:00:00,556.86
03/01/2011,00:00:00,588.04
03/01/2011,01:00:00,627.72
03/01/2011,02:00:00,625.34
03/01/2011,03:00:00,655.96
03/01/2011,04:00:00,576.48
03/01/2011,05:00:00,603.65
03/01/2011,06:00:00,666.42
03/01/2011,07:00:00,735.39
03/01/2011,08:00:00,694.13
03/01/2011,09:00:00,712.29
03/01/2011,10:00:00,840.43
03/01/2011,11:00:00,835.61
03/01/2011,12:00:00,844.22
03/01/2011,13:00:00,856.48
03/01/2011,14:00:00,839.19
03/01/2011,15:00:00,845.54
03/01/2011,16:00:00,845.54
03/01/2011,17:00:00,912.88
03/01/2011,18:00:00,863.10
03/01/2011,19:00:00,881.19
03/01/2011,20:00:00,988.59
03/01/2011,21:00:00,968.98
03/01/2011,22:00:00,966.77
03/01/2011,23:00:00,930.96
04/01/2011,00:00:00,903.42
04/01/2011,01:00:00,824.47
04/01/2011,02:00:00,744.15
04/01/2011,03:00:00,618.72
04/01/2011,04:00:00,575.54
04/01/2011,05:00:00,567.48
04/01/2011,06:00:00,596.36
04/01/2011,07:00:00,670.17
04/01/2011,08:00:00,609.19
04/01/2011,09:00:00,503.80
04/01/2011,10:00:00,443.68
04/01/2011,11:00:00,487.14
04/01/2011,12:00:00,580.70
04/01/2011,13:00:00,579.62
04/01/2011,14:00:00,544.77
04/01/2011,15:00:00,512.76
04/01/2011,16:00:00,469.69
04/01/2011,17:00:00,483.37
04/01/2011,18:00:00,505.60
04/01/2011,19:00:00,491.81
04/01/2011,20:00:00,441.25
04/01/2011,21:00:00,440.27
04/01/2011,22:00:00,441.62
04/01/2011,23:00:00,432.53
05/01/2011,00:00:00,468.52
05/01/2011,01:00:00,461.67
05/01/2011,02:00:00,471.30
05/01/2011,03:00:00,504.50
05/01/2011,04:00:00,550.29
05/01/2011,05:00:00,513.07
05/01/2011,06:00:00,527.21
05/01/2011,07:00:00,542.38
05/01/2011,08:00:00,532.98
05/01/2011,09:00:00,560.55
05/01/2011,10:00:00,586.19
05/01/2011,11:00:00,612.11
05/01/2011,12:00:00,607.40
05/01/2011,13:00:00,578.67
05/01/2011,14:00:00,568.19
05/01/2011,15:00:00,596.86
05/01/2011,16:00:00,597.05
05/01/2011,17:00:00,625.54
05/01/2011,18:00:00,665.32
05/01/2011,19:00:00,684.90
05/01/2011,20:00:00,635.79
05/01/2011,21:00:00,609.73
05/01/2011,22:00:00,617.01
05/01/2011,23:00:00,601.14
06/01/2011,00:00:00,634.97
06/01/2011,01:00:00,563.06
06/01/2011,02:00:00,596.45
06/01/2011,03:00:00,619.89
06/01/2011,04:00:00,616.14
06/01/2011,05:00:00,595.42
06/01/2011,06:00:00,598.75
06/01/2011,07:00:00,600.57
06/01/2011,08:00:00,661.28
06/01/2011,09:00:00,671.07
06/01/2011,10:00:00,692.29
06/01/2011,11:00:00,707.01
06/01/2011,12:00:00,637.42
06/01/2011,13:00:00,629.07
06/01/2011,14:00:00,675.56
06/01/2011,15:00:00,690.47
06/01/2011,16:00:00,690.47
06/01/2011,17:00:00,690.47
06/01/2011,18:00:00,690.47
06/01/2011,19:00:00,442.51
06/01/2011,20:00:00,670.07
06/01/2011,21:00:00,829.72
06/01/2011,22:00:00,714.70
06/01/2011,23:00:00,658.95
07/01/2011,00:00:00,653.17
07/01/2011,01:00:00,606.77
07/01/2011,02:00:00,613.43
07/01/2011,03:00:00,552.52
07/01/2011,04:00:00,581.63
07/01/2011,05:00:00,498.51
07/01/2011,06:00:00,454.98
07/01/2011,07:00:00,426.86
07/01/2011,08:00:00,462.46
07/01/2011,09:00:00,431.68
07/01/2011,10:00:00,528.48
07/01/2011,11:00:00,863.82
07/01/2011,12:00:00,993.09
07/01/2011,13:00:00,999.43
07/01/2011,14:00:00,999.81
07/01/2011,15:00:00,986.69
07/01/2011,16:00:00,999.50
07/01/2011,17:00:00,999.86
07/01/2011,18:00:00,999.86
07/01/2011,19:00:00,997.27
07/01/2011,20:00:00,983.38
07/01/2011,21:00:00,958.45
07/01/2011,22:00:00,943.54
07/01/2011,23:00:00,865.07
08/01/2011,00:00:00,889.52
08/01/2011,01:00:00,832.37
08/01/2011,02:00:00,774.89
08/01/2011,03:00:00,752.58
08/01/2011,04:00:00,629.44
08/01/2011,05:00:00,620.42
08/01/2011,06:00:00,585.88
08/01/2011,07:00:00,583.34
08/01/2011,08:00:00,695.42
08/01/2011,09:00:00,734.31
08/01/2011,10:00:00,741.89
08/01/2011,11:00:00,770.61
08/01/2011,12:00:00,772.05
08/01/2011,13:00:00,"1,983.28"
08/01/2011,14:00:00,797.52
08/01/2011,15:00:00,893.99
08/01/2011,16:00:00,932.47
08/01/2011,17:00:00,914.39
08/01/2011,18:00:00,909.88
