Date,Time,Values
04/05/2011,12:00:00,150.97
04/05/2011,13:00:00,161.15
04/05/2011,14:00:00,154.97
04/05/2011,15:00:00,145.75
04/05/2011,16:00:00,150.38
04/05/2011,17:00:00,128.97
04/05/2011,18:00:00,155.39
04/05/2011,19:00:00,118.69
04/05/2011,20:00:00,107.67
04/05/2011,21:00:00,118.80
04/05/2011,22:00:00,109.62
04/05/2011,23:00:00,156.18
05/05/2011,00:00:00,129.97
05/05/2011,01:00:00,111.61
05/05/2011,02:00:00,120.73
05/05/2011,03:00:00,91.63
05/05/2011,04:00:00,105.52
05/05/2011,05:00:00,135.86
05/05/2011,06:00:00,117.89
05/05/2011,07:00:00,85.95
05/05/2011,08:00:00,117.45
05/05/2011,09:00:00,92.26
05/05/2011,10:00:00,97.54
05/05/2011,11:00:00,122.22
05/05/2011,12:00:00,121.31
05/05/2011,13:00:00,116.72
05/05/2011,14:00:00,108.84
05/05/2011,15:00:00,125.96
05/05/2011,16:00:00,128.60
05/05/2011,17:00:00,119.56
05/05/2011,18:00:00,129.88
05/05/2011,19:00:00,128.57
05/05/2011,20:00:00,118.87
05/05/2011,21:00:00,112.43
05/05/2011,22:00:00,113.33
05/05/2011,23:00:00,117.82
06/05/2011,00:00:00,87.93
06/05/2011,01:00:00,84.40
06/05/2011,02:00:00,62.21
06/05/2011,03:00:00,54.52
06/05/2011,04:00:00,65.89
06/05/2011,05:00:00,81.65
06/05/2011,06:00:00,78.70
06/05/2011,07:00:00,77.93
06/05/2011,08:00:00,92.25
06/05/2011,09:00:00,84.56
06/05/2011,10:00:00,90.14
06/05/2011,11:00:00,91.27
06/05/2011,12:00:00,90.81
06/05/2011,13:00:00,85.95
06/05/2011,14:00:00,88.86
06/05/2011,15:00:00,97.16
06/05/2011,16:00:00,97.04
06/05/2011,17:00:00,180.45
06/05/2011,18:00:00,66.54
06/05/2011,19:00:00,69.00
06/05/2011,20:00:00,48.79
06/05/2011,21:00:00,64.02
06/05/2011,22:00:00,77.31
06/05/2011,23:00:00,84.59
07/05/2011,00:00:00,90.94
07/05/2011,01:00:00,79.71
07/05/2011,02:00:00,71.19
07/05/2011,03:00:00,124.59
07/05/2011,04:00:00,98.65
07/05/2011,05:00:00,90.71
07/05/2011,06:00:00,106.43
07/05/2011,07:00:00,79.03
07/05/2011,08:00:00,70.38
07/05/2011,09:00:00,58.14
07/05/2011,10:00:00,109.32
07/05/2011,11:00:00,84.34
07/05/2011,12:00:00,72.35
07/05/2011,13:00:00,69.85
07/05/2011,14:00:00,71.62
07/05/2011,15:00:00,76.77
07/05/2011,16:00:00,78.77
07/05/2011,17:00:00,79.51
07/05/2011,18:00:00,74.62
07/05/2011,19:00:00,92.93
07/05/2011,20:00:00,105.84
07/05/2011,21:00:00,117.22
07/05/2011,22:00:00,111.26
07/05/2011,23:00:00,111.01
08/05/2011,00:00:00,150.48
08/05/2011,01:00:00,205.30
08/05/2011,02:00:00,182.85
08/05/2011,03:00:00,164.31
08/05/2011,04:00:00,176.45
08/05/2011,05:00:00,204.60
08/05/2011,06:00:00,280.50
08/05/2011,07:00:00,283.22
08/05/2011,08:00:00,248.87
08/05/2011,09:00:00,177.78
08/05/2011,10:00:00,110.00
08/05/2011,11:00:00,98.38
08/05/2011,12:00:00,104.06
08/05/2011,13:00:00,78.58
08/05/2011,14:00:00,79.60
08/05/2011,15:00:00,88.85
08/05/2011,16:00:00,100.22
08/05/2011,17:00:00,110.33
08/05/2011,18:00:00,117.58
08/05/2011,19:00:00,143.52
08/05/2011,20:00:00,172.26
08/05/2011,21:00:00,157.71
08/05/2011,22:00:00,168.99
08/05/2011,23:00:00,173.48
09/05/2011,00:00:00,181.07
09/05/2011,01:00:00,148.74
09/05/2011,02:00:00,136.50
09/05/2011,03:00:00,105.71
09/05/2011,04:00:00,93.79
09/05/2011,05:00:00,94.23
09/05/2011,06:00:00,114.94
09/05/2011,07:00:00,145.80
09/05/2011,08:00:00,161.06
09/05/2011,09:00:00,145.47
09/05/2011,10:00:00,127.05
09/05/2011,11:00:00,116.46
09/05/2011,12:00:00,116.18
09/05/2011,13:00:00,115.42
09/05/2011,14:00:00,117.20
09/05/2011,15:00:00,108.37
09/05/2011,16:00:00,116.87
09/05/2011,17:00:00,136.00
09/05/2011,18:00:00,145.96
09/05/2011,19:00:00,151.83
09/05/2011,20:00:00,165.06
09/05/2011,21:00:00,184.73
09/05/2011,22:00:00,202.99
09/05/2011,23:00:00,209.47
10/05/2011,00:00:00,193.90
10/05/2011,01:00:00,177.04
10/05/2011,02:00:00,213.19
10/05/2011,03:00:00,164.27
10/05/2011,04:00:00,107.51
10/05/2011,05:00:00,114.91
10/05/2011,06:00:00,115.13
10/05/2011,07:00:00,132.95
10/05/2011,08:00:00,129.78
10/05/2011,09:00:00,141.11
10/05/2011,10:00:00,127.61
10/05/2011,11:00:00,119.51
10/05/2011,12:00:00,115.00
10/05/2011,13:00:00,102.11
10/05/2011,14:00:00,93.61
10/05/2011,15:00:00,104.57
10/05/2011,16:00:00,124.48
10/05/2011,17:00:00,112.89
10/05/2011,18:00:00,125.87
10/05/2011,19:00:00,141.57
10/05/2011,20:00:00,164.15
10/05/2011,21:00:00,183.20
10/05/2011,22:00:00,177.88
10/05/2011,23:00:00,191.64
11/05/2011,00:00:00,189.47
11/05/2011,01:00:00,165.66
11/05/2011,02:00:00,158.20
11/05/2011,03:00:00,134.24
11/05/2011,04:00:00,113.79
11/05/2011,05:00:00,157.67
11/05/2011,06:00:00,228.03
11/05/2011,07:00:00,139.47
11/05/2011,08:00:00,125.89
11/05/2011,09:00:00,127.79
11/05/2011,10:00:00,134.83
11/05/2011,11:00:00,136.60
11/05/2011,12:00:00,133.07
11/05/2011,13:00:00,133.73
11/05/2011,14:00:00,140.30
11/05/2011,15:00:00,132.59
11/05/2011,16:00:00,128.00
11/05/2011,17:00:00,129.14
11/05/2011,18:00:00,129.47
11/05/2011,19:00:00,134.49
11/05/2011,20:00:00,151.83
11/05/2011,21:00:00,165.67
11/05/2011,22:00:00,178.88
11/05/2011,23:00:00,193.93
12/05/2011,00:00:00,238.44
12/05/2011,01:00:00,238.16
12/05/2011,02:00:00,169.12
12/05/2011,03:00:00,142.75
12/05/2011,04:00:00,150.38
12/05/2011,05:00:00,133.02
12/05/2011,06:00:00,150.35
12/05/2011,07:00:00,191.32
12/05/2011,08:00:00,222.72
12/05/2011,09:00:00,159.13
12/05/2011,10:00:00,154.33
12/05/2011,11:00:00,139.86
12/05/2011,12:00:00,137.46
12/05/2011,13:00:00,131.18
12/05/2011,14:00:00,132.38
12/05/2011,15:00:00,127.70
12/05/2011,16:00:00,110.30
12/05/2011,17:00:00,112.60
12/05/2011,18:00:00,146.30
12/05/2011,19:00:00,205.45
12/05/2011,20:00:00,197.32
12/05/2011,21:00:00,163.09
12/05/2011,22:00:00,135.08
12/05/2011,23:00:00,134.78
13/05/2011,00:00:00,141.26
13/05/2011,01:00:00,138.51
13/05/2011,02:00:00,195.95
13/05/2011,03:00:00,152.27
13/05/2011,04:00:00,236.69
13/05/2011,05:00:00,126.33
13/05/2011,06:00:00,109.86
13/05/2011,07:00:00,102.47
13/05/2011,08:00:00,128.88
13/05/2011,09:00:00,125.29
13/05/2011,10:00:00,119.61
13/05/2011,11:00:00,124.34
13/05/2011,12:00:00,109.30
13/05/2011,13:00:00,115.58
13/05/2011,14:00:00,125.12
13/05/2011,15:00:00,125.63
13/05/2011,16:00:00,135.69
13/05/2011,17:00:00,128.04
13/05/2011,18:00:00,131.32
13/05/2011,19:00:00,138.37
13/05/2011,20:00:00,161.25
13/05/2011,21:00:00,166.36
13/05/2011,22:00:00,180.47
13/05/2011,23:00:00,168.62
14/05/2011,00:00:00,148.15
14/05/2011,01:00:00,157.44
14/05/2011,02:00:00,185.11
14/05/2011,03:00:00,248.39
