Date,Time,Values
01/01/2011,00:00:00,88.30
01/01/2011,01:00:00,89.00
01/01/2011,02:00:00,90.61
01/01/2011,03:00:00,91.80
01/01/2011,04:00:00,92.18
01/01/2011,05:00:00,94.17
01/01/2011,06:00:00,94.64
01/01/2011,07:00:00,92.73
01/01/2011,08:00:00,88.06
01/01/2011,09:00:00,83.43
01/01/2011,10:00:00,77.13
01/01/2011,11:00:00,71.37
01/01/2011,12:00:00,67.67
01/01/2011,13:00:00,65.91
01/01/2011,14:00:00,64.33
01/01/2011,15:00:00,65.96
01/01/2011,16:00:00,71.81
01/01/2011,17:00:00,80.54
01/01/2011,18:00:00,84.15
01/01/2011,19:00:00,86.23
01/01/2011,20:00:00,86.11
01/01/2011,21:00:00,85.79
01/01/2011,22:00:00,87.33
01/01/2011,23:00:00,86.71
02/01/2011,00:00:00,86.51
02/01/2011,01:00:00,87.01
02/01/2011,02:00:00,85.49
02/01/2011,03:00:00,83.89
02/01/2011,04:00:00,83.14
02/01/2011,05:00:00,82.21
02/01/2011,06:00:00,80.64
02/01/2011,07:00:00,79.36
02/01/2011,08:00:00,78.42
02/01/2011,09:00:00,76.42
02/01/2011,10:00:00,72.90
02/01/2011,11:00:00,70.55
02/01/2011,12:00:00,67.90
02/01/2011,13:00:00,68.94
02/01/2011,14:00:00,71.12
02/01/2011,15:00:00,73.38
02/01/2011,16:00:00,75.56
02/01/2011,17:00:00,74.87
02/01/2011,18:00:00,73.42
02/01/2011,19:00:00,72.18
02/01/2011,20:00:00,71.56
02/01/2011,21:00:00,71.61
02/01/2011,22:00:00,72.13
02/01/2011,23:00:00,72.91
03/01/2011,00:00:00,73.19
03/01/2011,01:00:00,74.23
03/01/2011,02:00:00,74.13
03/01/2011,03:00:00,74.03
03/01/2011,04:00:00,73.29
03/01/2011,05:00:00,73.81
03/01/2011,06:00:00,74.53
03/01/2011,07:00:00,73.89
03/01/2011,08:00:00,71.92
03/01/2011,09:00:00,68.44
03/01/2011,10:00:00,65.95
03/01/2011,11:00:00,62.12
03/01/2011,12:00:00,60.21
03/01/2011,13:00:00,58.40
03/01/2011,14:00:00,59.01
03/01/2011,15:00:00,60.31
03/01/2011,16:00:00,60.31
03/01/2011,17:00:00,76.88
03/01/2011,18:00:00,79.27
03/01/2011,19:00:00,81.30
03/01/2011,20:00:00,83.16
03/01/2011,21:00:00,85.39
03/01/2011,22:00:00,86.57
03/01/2011,23:00:00,88.27
04/01/2011,00:00:00,88.34
04/01/2011,01:00:00,88.82
04/01/2011,02:00:00,89.35
04/01/2011,03:00:00,89.25
04/01/2011,04:00:00,89.50
04/01/2011,05:00:00,89.47
04/01/2011,06:00:00,90.28
04/01/2011,07:00:00,90.21
04/01/2011,08:00:00,87.62
04/01/2011,09:00:00,81.15
04/01/2011,10:00:00,77.30
04/01/2011,11:00:00,72.85
04/01/2011,12:00:00,69.38
04/01/2011,13:00:00,65.82
04/01/2011,14:00:00,68.94
04/01/2011,15:00:00,70.34
04/01/2011,16:00:00,73.74
04/01/2011,17:00:00,76.34
04/01/2011,18:00:00,78.55
04/01/2011,19:00:00,79.01
04/01/2011,20:00:00,80.07
04/01/2011,21:00:00,81.56
04/01/2011,22:00:00,81.02
04/01/2011,23:00:00,80.79
05/01/2011,00:00:00,82.34
05/01/2011,01:00:00,83.75
05/01/2011,02:00:00,84.73
05/01/2011,03:00:00,84.41
05/01/2011,04:00:00,84.11
05/01/2011,05:00:00,83.40
05/01/2011,06:00:00,83.82
05/01/2011,07:00:00,82.51
05/01/2011,08:00:00,80.04
05/01/2011,09:00:00,78.52
05/01/2011,10:00:00,77.63
05/01/2011,11:00:00,75.44
05/01/2011,12:00:00,71.42
05/01/2011,13:00:00,66.93
05/01/2011,14:00:00,64.73
05/01/2011,15:00:00,66.48
05/01/2011,16:00:00,71.37
05/01/2011,17:00:00,77.80
05/01/2011,18:00:00,81.76
05/01/2011,19:00:00,83.46
05/01/2011,20:00:00,83.48
05/01/2011,21:00:00,85.01
05/01/2011,22:00:00,86.62
05/01/2011,23:00:00,87.12
06/01/2011,00:00:00,87.33
06/01/2011,01:00:00,86.04
06/01/2011,02:00:00,85.58
06/01/2011,03:00:00,85.56
06/01/2011,04:00:00,86.11
06/01/2011,05:00:00,87.05
06/01/2011,06:00:00,87.37
06/01/2011,07:00:00,86.85
06/01/2011,08:00:00,85.90
06/01/2011,09:00:00,82.97
06/01/2011,10:00:00,78.67
06/01/2011,11:00:00,73.58
06/01/2011,12:00:00,69.26
06/01/2011,13:00:00,63.49
06/01/2011,14:00:00,61.36
06/01/2011,15:00:00,61.14
06/01/2011,16:00:00,61.14
06/01/2011,17:00:00,61.14
06/01/2011,18:00:00,61.14
06/01/2011,19:00:00,80.11
06/01/2011,20:00:00,85.16
06/01/2011,21:00:00,88.07
06/01/2011,22:00:00,90.68
06/01/2011,23:00:00,91.31
07/01/2011,00:00:00,91.48
07/01/2011,01:00:00,92.78
07/01/2011,02:00:00,92.66
07/01/2011,03:00:00,93.59
07/01/2011,04:00:00,93.42
07/01/2011,05:00:00,92.20
07/01/2011,06:00:00,91.30
07/01/2011,07:00:00,89.68
07/01/2011,08:00:00,89.22
07/01/2011,09:00:00,86.87
