Date,Time,Values
01/01/2011,00:00:00,17.14
01/01/2011,01:00:00,12.01
01/01/2011,02:00:00,4.96
01/01/2011,03:00:00,3.81
01/01/2011,04:00:00,3.01
01/01/2011,05:00:00,0.28
01/01/2011,06:00:00,0.14
01/01/2011,07:00:00,1.12
01/01/2011,08:00:00,1.18
01/01/2011,09:00:00,1.25
01/01/2011,10:00:00,5.60
01/01/2011,11:00:00,7.27
01/01/2011,12:00:00,6.92
01/01/2011,13:00:00,5.87
01/01/2011,14:00:00,7.30
01/01/2011,15:00:00,5.01
01/01/2011,16:00:00,4.02
01/01/2011,17:00:00,4.39
01/01/2011,18:00:00,6.58
01/01/2011,19:00:00,3.44
01/01/2011,20:00:00,1.97
01/01/2011,21:00:00,1.28
01/01/2011,22:00:00,1.49
01/01/2011,23:00:00,1.06
02/01/2011,00:00:00,0.55
02/01/2011,01:00:00,0.70
02/01/2011,02:00:00,1.23
02/01/2011,03:00:00,2.54
02/01/2011,04:00:00,3.38
02/01/2011,05:00:00,3.55
02/01/2011,06:00:00,2.64
02/01/2011,07:00:00,7.15
02/01/2011,08:00:00,3.39
02/01/2011,09:00:00,5.14
02/01/2011,10:00:00,5.12
02/01/2011,11:00:00,4.65
02/01/2011,12:00:00,3.43
02/01/2011,13:00:00,3.48
02/01/2011,14:00:00,2.36
02/01/2011,15:00:00,2.44
02/01/2011,16:00:00,1.96
02/01/2011,17:00:00,1.63
02/01/2011,18:00:00,4.69
02/01/2011,19:00:00,46.97
02/01/2011,20:00:00,32.05
02/01/2011,21:00:00,39.69
02/01/2011,22:00:00,46.01
02/01/2011,23:00:00,38.65
03/01/2011,00:00:00,55.61
03/01/2011,01:00:00,61.31
03/01/2011,02:00:00,53.64
03/01/2011,03:00:00,79.76
03/01/2011,04:00:00,61.75
03/01/2011,05:00:00,32.96
03/01/2011,06:00:00,107.14
03/01/2011,07:00:00,144.45
03/01/2011,08:00:00,37.04
03/01/2011,09:00:00,47.52
03/01/2011,10:00:00,101.53
03/01/2011,11:00:00,105.61
03/01/2011,12:00:00,57.14
03/01/2011,13:00:00,28.33
03/01/2011,14:00:00,35.08
03/01/2011,15:00:00,47.42
03/01/2011,16:00:00,47.42
03/01/2011,17:00:00,24.09
03/01/2011,18:00:00,15.93
03/01/2011,19:00:00,18.90
03/01/2011,20:00:00,12.01
03/01/2011,21:00:00,10.47
03/01/2011,22:00:00,13.48
03/01/2011,23:00:00,29.83
04/01/2011,00:00:00,23.89
04/01/2011,01:00:00,8.52
04/01/2011,02:00:00,5.85
04/01/2011,03:00:00,4.67
04/01/2011,04:00:00,3.98
04/01/2011,05:00:00,3.64
04/01/2011,06:00:00,5.94
04/01/2011,07:00:00,20.39
04/01/2011,08:00:00,11.55
04/01/2011,09:00:00,4.06
04/01/2011,10:00:00,2.18
04/01/2011,11:00:00,1.68
04/01/2011,12:00:00,3.53
04/01/2011,13:00:00,5.15
04/01/2011,14:00:00,4.72
04/01/2011,15:00:00,4.84
04/01/2011,16:00:00,3.39
04/01/2011,17:00:00,1.72
04/01/2011,18:00:00,2.48
04/01/2011,19:00:00,2.23
04/01/2011,20:00:00,1.57
04/01/2011,21:00:00,0.97
04/01/2011,22:00:00,0.85
04/01/2011,23:00:00,0.68
05/01/2011,00:00:00,1.63
05/01/2011,01:00:00,1.68
05/01/2011,02:00:00,1.28
05/01/2011,03:00:00,1.56
05/01/2011,04:00:00,1.41
05/01/2011,05:00:00,1.16
05/01/2011,06:00:00,1.08
05/01/2011,07:00:00,1.27
05/01/2011,08:00:00,1.50
05/01/2011,09:00:00,1.91
05/01/2011,10:00:00,1.26
05/01/2011,11:00:00,1.72
05/01/2011,12:00:00,1.93
05/01/2011,13:00:00,4.80
05/01/2011,14:00:00,6.09
05/01/2011,15:00:00,6.20
05/01/2011,16:00:00,4.12
05/01/2011,17:00:00,4.43
05/01/2011,18:00:00,3.95
05/01/2011,19:00:00,6.04
05/01/2011,20:00:00,3.45
05/01/2011,21:00:00,2.43
05/01/2011,22:00:00,4.71
05/01/2011,23:00:00,4.67
06/01/2011,00:00:00,2.95
06/01/2011,01:00:00,0.80
06/01/2011,02:00:00,0.96
06/01/2011,03:00:00,0.88
06/01/2011,04:00:00,0.87
06/01/2011,05:00:00,0.32
06/01/2011,06:00:00,1.08
06/01/2011,07:00:00,0.21
06/01/2011,08:00:00,1.51
06/01/2011,09:00:00,1.17
06/01/2011,10:00:00,1.43
06/01/2011,11:00:00,2.21
06/01/2011,12:00:00,2.28
06/01/2011,13:00:00,3.06
06/01/2011,14:00:00,5.99
06/01/2011,15:00:00,6.23
06/01/2011,16:00:00,6.23
06/01/2011,17:00:00,6.23
06/01/2011,18:00:00,6.23
06/01/2011,19:00:00,11.98
06/01/2011,20:00:00,9.54
06/01/2011,21:00:00,10.87
06/01/2011,22:00:00,3.23
06/01/2011,23:00:00,1.44
07/01/2011,00:00:00,1.21
07/01/2011,01:00:00,1.03
07/01/2011,02:00:00,1.32
07/01/2011,03:00:00,0.04
07/01/2011,04:00:00,0.67
07/01/2011,05:00:00,0.91
07/01/2011,06:00:00,0.71
07/01/2011,07:00:00,0.86
07/01/2011,08:00:00,0.75
07/01/2011,09:00:00,1.44
07/01/2011,10:00:00,1.50
07/01/2011,11:00:00,10.56
07/01/2011,12:00:00,25.09
07/01/2011,13:00:00,46.96
07/01/2011,14:00:00,43.86
07/01/2011,15:00:00,47.06
07/01/2011,16:00:00,56.36
07/01/2011,17:00:00,21.78
07/01/2011,18:00:00,12.44
07/01/2011,19:00:00,12.01
07/01/2011,20:00:00,9.24
07/01/2011,21:00:00,6.40
07/01/2011,22:00:00,4.21
07/01/2011,23:00:00,24.09
08/01/2011,00:00:00,40.73
08/01/2011,01:00:00,3.83
08/01/2011,02:00:00,4.80
08/01/2011,03:00:00,9.34
08/01/2011,04:00:00,-2.65
08/01/2011,05:00:00,2.35
08/01/2011,06:00:00,8.83
08/01/2011,07:00:00,2.26
08/01/2011,08:00:00,0.78
08/01/2011,09:00:00,15.21
08/01/2011,10:00:00,4.38
08/01/2011,11:00:00,3.55
08/01/2011,12:00:00,4.72
08/01/2011,13:00:00,22.35
08/01/2011,14:00:00,39.81
08/01/2011,15:00:00,24.33
08/01/2011,16:00:00,40.87
08/01/2011,17:00:00,19.21
08/01/2011,18:00:00,6.14
08/01/2011,19:00:00,3.56
08/01/2011,20:00:00,4.25
08/01/2011,21:00:00,3.46
08/01/2011,22:00:00,3.92
08/01/2011,23:00:00,7.01
09/01/2011,00:00:00,4.36
09/01/2011,01:00:00,1.58
09/01/2011,02:00:00,0.97
09/01/2011,03:00:00,1.69
09/01/2011,04:00:00,1.14
09/01/2011,05:00:00,0.93
09/01/2011,06:00:00,0.65
09/01/2011,07:00:00,0.93
09/01/2011,08:00:00,0.94
09/01/2011,09:00:00,1.30
09/01/2011,10:00:00,1.48
09/01/2011,11:00:00,1.43
09/01/2011,12:00:00,1.45
09/01/2011,13:00:00,2.14
09/01/2011,14:00:00,3.15
09/01/2011,15:00:00,3.58
09/01/2011,16:00:00,3.13
09/01/2011,17:00:00,2.14
09/01/2011,18:00:00,2.07
09/01/2011,19:00:00,0.75
09/01/2011,20:00:00,1.11
09/01/2011,21:00:00,0.79
09/01/2011,22:00:00,0.88
09/01/2011,23:00:00,0.49
10/01/2011,00:00:00,0.48
10/01/2011,01:00:00,0.76
10/01/2011,02:00:00,0.87
10/01/2011,03:00:00,1.32
10/01/2011,04:00:00,1.43
10/01/2011,05:00:00,2.77
10/01/2011,06:00:00,3.47
10/01/2011,07:00:00,3.24
10/01/2011,08:00:00,2.80
10/01/2011,09:00:00,2.60
10/01/2011,10:00:00,5.31
10/01/2011,11:00:00,8.52
10/01/2011,12:00:00,9.31
10/01/2011,13:00:00,10.23
10/01/2011,14:00:00,7.97
10/01/2011,15:00:00,8.08
10/01/2011,16:00:00,11.16
10/01/2011,17:00:00,10.96
10/01/2011,18:00:00,5.84
10/01/2011,19:00:00,7.01
10/01/2011,20:00:00,12.95
10/01/2011,21:00:00,16.03
10/01/2011,22:00:00,5.28
10/01/2011,23:00:00,5.87
11/01/2011,00:00:00,5.10
11/01/2011,01:00:00,5.42
11/01/2011,02:00:00,8.78
11/01/2011,03:00:00,17.46
11/01/2011,04:00:00,18.54
11/01/2011,05:00:00,12.89
11/01/2011,06:00:00,4.12
11/01/2011,07:00:00,2.91
11/01/2011,08:00:00,3.18
11/01/2011,09:00:00,6.09
11/01/2011,10:00:00,9.40
11/01/2011,11:00:00,23.39
11/01/2011,12:00:00,12.89
11/01/2011,13:00:00,12.26
11/01/2011,14:00:00,12.73
11/01/2011,15:00:00,13.83
11/01/2011,16:00:00,10.79
11/01/2011,17:00:00,11.56
11/01/2011,18:00:00,9.95
11/01/2011,19:00:00,9.99
11/01/2011,20:00:00,5.34
11/01/2011,21:00:00,32.13
11/01/2011,22:00:00,11.16
11/01/2011,23:00:00,4.09
12/01/2011,00:00:00,3.36
12/01/2011,01:00:00,7.17
12/01/2011,02:00:00,6.42
12/01/2011,03:00:00,4.67
12/01/2011,04:00:00,4.51
12/01/2011,05:00:00,4.71
12/01/2011,06:00:00,5.45
12/01/2011,07:00:00,6.06
12/01/2011,08:00:00,20.77
12/01/2011,09:00:00,32.54
12/01/2011,10:00:00,33.42
12/01/2011,11:00:00,25.34
12/01/2011,12:00:00,29.59
12/01/2011,13:00:00,24.08
12/01/2011,14:00:00,18.12
12/01/2011,15:00:00,17.99
12/01/2011,16:00:00,12.76
12/01/2011,17:00:00,10.18
12/01/2011,18:00:00,8.10
12/01/2011,19:00:00,5.61
12/01/2011,20:00:00,4.88
12/01/2011,21:00:00,4.53
12/01/2011,22:00:00,3.38
12/01/2011,23:00:00,3.19
