Date,Time,Values
01/01/2011,00:00:00,132.81
01/01/2011,01:00:00,138.14
01/01/2011,02:00:00,73.12
01/01/2011,03:00:00,0.71
01/01/2011,04:00:00,-8.72
01/01/2011,05:00:00,-10.25
01/01/2011,06:00:00,-9.40
01/01/2011,07:00:00,-6.62
01/01/2011,08:00:00,-7.64
01/01/2011,09:00:00,-10.94
01/01/2011,10:00:00,-10.70
01/01/2011,11:00:00,-9.76
01/01/2011,12:00:00,-11.69
01/01/2011,13:00:00,-11.57
01/01/2011,14:00:00,-5.14
01/01/2011,15:00:00,-0.40
01/01/2011,16:00:00,-5.24
01/01/2011,17:00:00,17.92
01/01/2011,18:00:00,26.86
01/01/2011,19:00:00,13.26
01/01/2011,20:00:00,4.42
01/01/2011,21:00:00,-3.71
01/01/2011,22:00:00,-8.07
01/01/2011,23:00:00,-9.61
02/01/2011,00:00:00,-8.42
02/01/2011,01:00:00,-9.25
02/01/2011,02:00:00,-8.95
02/01/2011,03:00:00,-8.95
02/01/2011,04:00:00,-8.95
02/01/2011,05:00:00,-8.95
02/01/2011,06:00:00,-5.64
02/01/2011,07:00:00,-5.69
02/01/2011,08:00:00,-11.35
02/01/2011,09:00:00,-8.90
02/01/2011,10:00:00,-10.60
02/01/2011,11:00:00,-9.12
02/01/2011,12:00:00,-7.69
02/01/2011,13:00:00,-14.13
02/01/2011,14:00:00,-9.27
02/01/2011,15:00:00,-14.85
02/01/2011,16:00:00,-11.40
02/01/2011,17:00:00,-2.82
02/01/2011,18:00:00,4.09
02/01/2011,19:00:00,9.01
02/01/2011,20:00:00,5.27
02/01/2011,21:00:00,6.55
02/01/2011,22:00:00,3.73
02/01/2011,23:00:00,5.53
03/01/2011,00:00:00,4.08
03/01/2011,01:00:00,4.81
03/01/2011,02:00:00,4.53
03/01/2011,03:00:00,5.36
03/01/2011,04:00:00,6.68
03/01/2011,05:00:00,6.68
03/01/2011,06:00:00,6.68
03/01/2011,07:00:00,10.03
03/01/2011,08:00:00,-5.44
03/01/2011,09:00:00,-5.26
03/01/2011,10:00:00,1.96
03/01/2011,11:00:00,-2.81
03/01/2011,12:00:00,-5.60
03/01/2011,13:00:00,15.63
03/01/2011,14:00:00,16.11
03/01/2011,15:00:00,5.66
03/01/2011,16:00:00,5.66
03/01/2011,17:00:00,73.25
03/01/2011,18:00:00,128.11
03/01/2011,19:00:00,137.19
03/01/2011,20:00:00,198.02
03/01/2011,21:00:00,237.22
03/01/2011,22:00:00,188.61
03/01/2011,23:00:00,169.81
04/01/2011,00:00:00,132.94
04/01/2011,01:00:00,83.47
04/01/2011,02:00:00,27.39
04/01/2011,03:00:00,1.06
04/01/2011,04:00:00,1.76
04/01/2011,05:00:00,5.78
04/01/2011,06:00:00,10.74
04/01/2011,07:00:00,39.09
04/01/2011,08:00:00,-1.94
04/01/2011,09:00:00,-7.38
04/01/2011,10:00:00,-12.00
04/01/2011,11:00:00,-13.29
04/01/2011,12:00:00,-13.29
04/01/2011,13:00:00,-13.29
04/01/2011,14:00:00,-8.23
04/01/2011,15:00:00,-7.88
04/01/2011,16:00:00,-6.27
04/01/2011,17:00:00,5.10
04/01/2011,18:00:00,-2.61
04/01/2011,19:00:00,-1.63
04/01/2011,20:00:00,1.44
04/01/2011,21:00:00,7.53
04/01/2011,22:00:00,-5.15
04/01/2011,23:00:00,-7.59
05/01/2011,00:00:00,-7.58
05/01/2011,01:00:00,-5.66
05/01/2011,02:00:00,-7.64
05/01/2011,03:00:00,-9.09
05/01/2011,04:00:00,-10.82
05/01/2011,05:00:00,-10.92
05/01/2011,06:00:00,-10.92
05/01/2011,07:00:00,-9.83
05/01/2011,08:00:00,-10.72
05/01/2011,09:00:00,-11.91
05/01/2011,10:00:00,-4.02
05/01/2011,11:00:00,56.56
05/01/2011,12:00:00,19.44
05/01/2011,13:00:00,-6.22
05/01/2011,14:00:00,-9.31
05/01/2011,15:00:00,-7.44
05/01/2011,16:00:00,-2.31
05/01/2011,17:00:00,8.92
05/01/2011,18:00:00,91.32
05/01/2011,19:00:00,135.66
05/01/2011,20:00:00,31.64
05/01/2011,21:00:00,103.85
05/01/2011,22:00:00,81.55
05/01/2011,23:00:00,3.86
06/01/2011,00:00:00,-7.92
06/01/2011,01:00:00,-10.11
06/01/2011,02:00:00,-7.70
06/01/2011,03:00:00,-5.24
06/01/2011,04:00:00,-8.09
06/01/2011,05:00:00,-9.13
06/01/2011,06:00:00,-10.25
06/01/2011,07:00:00,-10.75
06/01/2011,08:00:00,-9.00
06/01/2011,09:00:00,2.65
06/01/2011,10:00:00,5.93
06/01/2011,11:00:00,-6.59
06/01/2011,12:00:00,-13.47
06/01/2011,13:00:00,-8.36
06/01/2011,14:00:00,-11.58
06/01/2011,15:00:00,-11.87
06/01/2011,16:00:00,-11.87
06/01/2011,17:00:00,-11.87
06/01/2011,18:00:00,-11.87
06/01/2011,19:00:00,64.92
06/01/2011,20:00:00,103.29
06/01/2011,21:00:00,163.94
06/01/2011,22:00:00,37.97
06/01/2011,23:00:00,-3.95
07/01/2011,00:00:00,-12.36
07/01/2011,01:00:00,-13.89
07/01/2011,02:00:00,-13.16
07/01/2011,03:00:00,-11.14
07/01/2011,04:00:00,-10.19
07/01/2011,05:00:00,-9.98
07/01/2011,06:00:00,-9.85
07/01/2011,07:00:00,-8.59
07/01/2011,08:00:00,-8.80
07/01/2011,09:00:00,-12.02
07/01/2011,10:00:00,-14.15
07/01/2011,11:00:00,10.46
07/01/2011,12:00:00,-1.00
