Date,Time,Values
01/01/2011,00:00:00,217.85
01/01/2011,01:00:00,230.73
01/01/2011,02:00:00,234.47
01/01/2011,03:00:00,242.60
01/01/2011,04:00:00,195.82
01/01/2011,05:00:00,98.45
01/01/2011,06:00:00,98.17
01/01/2011,07:00:00,122.95
01/01/2011,08:00:00,107.55
01/01/2011,09:00:00,109.16
01/01/2011,10:00:00,222.16
01/01/2011,11:00:00,231.20
01/01/2011,12:00:00,187.54
01/01/2011,13:00:00,166.16
01/01/2011,14:00:00,192.60
01/01/2011,15:00:00,204.72
01/01/2011,16:00:00,232.03
01/01/2011,17:00:00,184.49
01/01/2011,18:00:00,120.54
01/01/2011,19:00:00,101.43
01/01/2011,20:00:00,123.29
01/01/2011,21:00:00,137.29
01/01/2011,22:00:00,170.49
01/01/2011,23:00:00,183.94
02/01/2011,00:00:00,84.95
02/01/2011,01:00:00,92.24
02/01/2011,02:00:00,216.87
02/01/2011,03:00:00,239.13
02/01/2011,04:00:00,219.50
02/01/2011,05:00:00,230.35
02/01/2011,06:00:00,218.93
02/01/2011,07:00:00,194.78
02/01/2011,08:00:00,157.90
02/01/2011,09:00:00,203.54
02/01/2011,10:00:00,136.19
02/01/2011,11:00:00,182.23
02/01/2011,12:00:00,174.68
02/01/2011,13:00:00,146.59
02/01/2011,14:00:00,81.71
02/01/2011,15:00:00,82.99
02/01/2011,16:00:00,57.39
02/01/2011,17:00:00,86.67
02/01/2011,18:00:00,155.56
02/01/2011,19:00:00,69.53
02/01/2011,20:00:00,149.33
02/01/2011,21:00:00,91.51
02/01/2011,22:00:00,107.94
02/01/2011,23:00:00,105.30
03/01/2011,00:00:00,100.41
03/01/2011,01:00:00,100.18
03/01/2011,02:00:00,83.98
03/01/2011,03:00:00,74.62
03/01/2011,04:00:00,142.03
03/01/2011,05:00:00,108.21
03/01/2011,06:00:00,98.16
03/01/2011,07:00:00,137.09
03/01/2011,08:00:00,164.05
03/01/2011,09:00:00,177.29
03/01/2011,10:00:00,166.27
03/01/2011,11:00:00,183.05
03/01/2011,12:00:00,192.19
03/01/2011,13:00:00,156.28
