Time,Anand Vihar/Nitrogen Dioxide(NO2),Anand Vihar/Ambient Temperature(AT),Anand Vihar/Wind Direction(WD),Anand Vihar/Solar Radiation(SR),Anand Vihar/Ammonia(NH3),Anand Vihar/Oxides of Nitrogen(NOx),Anand Vihar/Relative Humidity(RH),Anand Vihar/P Xylene(PXY),Anand Vihar/Sulfur Dioxide(SO2),Anand Vihar/PM2.5(PM2.5),Anand Vihar/Toluene(TOL),Anand Vihar/Temperature(temp),Anand Vihar/Nitric Oxide(NO),Anand Vihar/Benzene(BEN),Anand Vihar/Ozone(O3),Anand Vihar/PM10(PM10),Anand Vihar/Bar Pressure(BP),Anand Vihar/Wind Speed(WS)
23/07/2012 13:00:00,92.16,,,,53.89,124.66,,0.17,8.16,,9.1,,28.27,1.41,63.07,,,
23/07/2012 14:00:00,67.29,,,,55.0,75.34,,0.38,8.31,,19.13,,9.52,1.48,81.84,,,
23/07/2012 15:00:00,82.61,,,,59.55,91.05,,0.18,9.09,,13.54,,10.67,1.03,136.93,,,
23/07/2012 16:00:00,130.1,,,,75.81,140.36,,0.29,8.95,,24.88,,14.65,1.41,106.93,,,
23/07/2012 17:00:00,117.39,,,,131.29,128.56,,0.26,9.23,,21.68,,14.55,1.64,53.55,,,
23/07/2012 18:00:00,110.15,,,,81.0,127.14,,0.21,11.93,,12.48,,18.28,1.43,43.68,,,
23/07/2012 19:00:00,98.28,,,,77.26,118.85,,0.37,13.18,,29.72,,20.16,1.66,38.16,,,
23/07/2012 20:00:00,91.81,,,,56.39,131.30,,0.28,10.44,,16.57,,33.22,1.5,67.62,,,
23/07/2012 21:00:00,88.04,,,,51.08,110.80,,0.1,8.93,,7.22,,21.12,1.25,76.11,,,
23/07/2012 22:00:00,124.57,,,,70.73,139.30,,0.19,9.26,,9.85,,17.50,1.67,90.67,,,
23/07/2012 23:00:00,83.73,,,,70.14,90.71,,0.1,11.03,,6.0,,9.71,0.97,90.75,,,
24/07/2012 00:00:00,67.12,,,,92.55,69.73,,0.1,7.14,,5.47,,5.63,0.93,42.56,,,
24/07/2012 01:00:00,63.98,,,,87.27,64.83,,0.1,11.92,,5.15,,4.23,0.99,36.55,,,
24/07/2012 02:00:00,78.92,,,,79.22,96.00,,0.26,15.97,,5.98,,16.58,1.0,20.72,,,
24/07/2012 03:00:00,63.73,,,,78.38,67.80,,0.19,11.13,,5.25,,6.48,0.92,20.84,,,
24/07/2012 04:00:00,54.76,,,,63.23,60.93,,0.1,5.47,,5.01,,7.46,0.88,40.38,,,
24/07/2012 05:00:00,53.07,,,,58.64,65.75,,,2.77,,5.03,,11.98,0.76,109.12,,,
24/07/2012 06:00:00,48.34,,,,64.72,69.66,,0.1,3.73,,5.76,,17.84,0.87,67.64,,,
24/07/2012 07:00:00,53.56,,,,67.67,86.04,,0.1,2.43,,6.67,,26.05,1.15,109.26,,,
24/07/2012 08:00:00,90.44,,,,120.45,112.27,,0.12,3.67,,7.15,,20.61,1.37,28.87,,,
24/07/2012 09:00:00,162.32,,,,91.4,257.09,,0.35,,,10.0,,76.31,1.74,29.89,,,
24/07/2012 10:00:00,102.98,,,,83.11,266.87,,0.24,15.24,,6.57,,122.55,1.44,27.69,,,
24/07/2012 11:00:00,77.35,,,,81.31,142.43,,0.18,13.28,,5.98,,50.52,1.16,88.84,,,
24/07/2012 12:00:00,59.83,,,,53.82,124.74,,0.13,10.34,,6.17,,49.43,1.03,117.03,,,
24/07/2012 13:00:00,52.34,,,,45.88,84.46,,0.1,10.4,,6.48,,25.78,0.78,289.83,,,
24/07/2012 21:00:00,111.78,,,,89.84,116.86,,2.36,,,39.68,,9.90,4.58,55.27,,,
24/07/2012 22:00:00,139.93,,,,106.1,139.24,,0.98,,,28.03,27.9,7.43,2.53,71.39,,,
24/07/2012 23:00:00,64.9,,,,92.38,64.41,,0.58,,,20.86,27.48,3.33,2.49,43.30,,,
25/07/2012 00:00:00,45.5,,,,89.75,44.97,,0.79,6.56,,25.49,26.96,2.21,2.6,53.37,,,
25/07/2012 01:00:00,42.02,,,,83.5,40.38,,0.18,9.83,,6.76,26.41,1.25,0.83,41.07,,,
25/07/2012 02:00:00,44.16,,,,80.22,41.02,,0.15,56.13,,10.52,25.85,0.59,0.62,39.24,,,
25/07/2012 03:00:00,41.13,,,,77.93,39.71,,0.1,10.99,,6.11,25.26,1.31,0.65,43.00,,,
25/07/2012 04:00:00,65.18,,,,58.61,68.70,,,58.33,,17.78,25.68,6.19,0.58,46.07,,,
