Time,Civil Lines/Nitrogen Dioxide(NO2),Civil Lines/PM10(RPM),Civil Lines/WindDirection(Wind Dir S),Civil Lines/Relative Humidity(RH),Civil Lines/Carbon Monoxide(CO),Civil Lines/Toluene(Toluene),Civil Lines/Sulfur Dioxide(SO2),Civil Lines/Nitric Oxide(NO),Civil Lines/OZONE(OZONE),Civil Lines/Benzene(Benzene),Civil Lines/Bar Pressure(Bar Pressure),Civil Lines/PM2.5(Dust (PM2.5) )
01/01/2011 00:00:00,78.10,520.25,217.85,88.30,6.68,132.81,17.14,71.92,47.48,18.45,989.47,
01/01/2011 01:00:00,76.30,482.08,230.73,89.00,6.68,138.14,12.01,60.37,41.62,15.74,989.59,
01/01/2011 02:00:00,69.14,585.91,234.47,90.61,6.68,73.12,4.96,18.97,41.03,15.68,989.61,
01/01/2011 03:00:00,59.58,555.10,242.6,91.80,6.68,0.71,3.81,5.87,47.58,15.74,989.59,
01/01/2011 04:00:00,44.96,558.40,195.82,92.18,6.68,-8.72,3.01,3.55,60.73,14.46,989.74,
01/01/2011 05:00:00,42.43,413.22,98.45,94.17,6.68,-10.25,0.28,-0.72,60.54,13.0,990.28,
01/01/2011 06:00:00,41.51,334.17,98.17,94.64,6.68,-9.40,0.14,1.61,55.09,13.74,990.88,
01/01/2011 07:00:00,49.63,336.34,122.95,92.73,6.67,-6.62,1.12,8.46,54.84,14.25,991.62,
01/01/2011 08:00:00,53.00,335.01,107.55,88.06,6.67,-7.64,1.18,9.65,61.83,14.29,992.28,
01/01/2011 09:00:00,49.36,306.53,109.16,83.43,6.66,-10.94,1.25,10.48,71.56,13.19,993.05,
01/01/2011 10:00:00,54.48,291.44,222.16,77.13,6.66,-10.70,5.6,16.06,78.18,12.55,993.32,
01/01/2011 11:00:00,65.32,307.12,231.2,71.37,6.66,-9.76,7.27,21.94,87.77,14.26,992.59,
01/01/2011 12:00:00,53.28,266.98,187.54,67.67,6.66,-11.69,6.92,13.00,102.3,13.86,991.66,
01/01/2011 13:00:00,43.65,248.30,166.16,65.91,6.68,-11.57,5.87,7.43,93.89,11.82,990.84,
01/01/2011 14:00:00,44.86,283.60,192.6,64.33,6.68,-5.14,7.3,9.11,107.75,11.17,990.21,
01/01/2011 15:00:00,49.02,288.41,204.72,65.96,6.68,-0.40,5.01,12.15,97.0,10.52,989.75,
01/01/2011 16:00:00,64.60,291.52,232.03,71.81,6.68,-5.24,4.02,12.64,75.39,12.73,989.46,
01/01/2011 17:00:00,72.52,315.72,184.49,80.54,6.68,17.92,4.39,12.58,65.24,17.53,989.52,
01/01/2011 18:00:00,69.78,341.14,120.54,84.15,6.67,26.86,6.58,12.98,55.4,18.26,989.83,
01/01/2011 19:00:00,64.18,360.91,101.43,86.23,6.67,13.26,3.44,6.91,55.28,17.17,990.07,
01/01/2011 20:00:00,60.63,307.45,123.29,86.11,6.67,4.42,1.97,6.97,51.06,16.24,990.35,
01/01/2011 21:00:00,51.96,298.77,137.29,85.79,6.67,-3.71,1.28,5.19,60.31,14.29,990.47,
01/01/2011 22:00:00,49.46,321.31,170.49,87.33,6.67,-8.07,1.49,6.37,69.64,13.86,990.35,
01/01/2011 23:00:00,45.07,311.91,183.94,86.71,6.68,-9.61,1.06,0.07,70.42,12.31,989.95,
02/01/2011 00:00:00,48.59,344.63,84.95,86.51,6.69,-8.42,0.55,5.66,61.02,12.25,989.51,
02/01/2011 01:00:00,42.37,321.62,92.24,87.01,6.70,-9.25,0.7,1.09,68.93,10.98,989.15,
02/01/2011 02:00:00,36.85,391.00,216.87,85.49,6.70,-8.95,1.23,-1.52,69.42,10.79,988.77,
02/01/2011 03:00:00,35.63,363.11,239.13,83.89,6.70,-8.95,2.54,-4.19,80.25,10.46,988.17,
02/01/2011 04:00:00,34.93,337.97,219.5,83.14,6.70,-8.95,3.38,-1.82,80.59,10.45,987.93,
02/01/2011 05:00:00,35.22,288.38,230.35,82.21,6.70,-8.95,3.55,-1.25,83.73,10.14,988.24,
02/01/2011 06:00:00,36.65,187.35,218.93,80.64,6.70,-5.64,2.64,-1.46,92.69,10.3,988.94,
02/01/2011 07:00:00,50.38,184.13,194.78,79.36,6.69,-5.69,7.15,0.85,82.43,10.8,989.56,
02/01/2011 08:00:00,49.15,200.16,157.9,78.42,6.68,-11.35,3.39,14.64,78.53,10.8,990.62,
02/01/2011 09:00:00,55.39,213.27,203.54,76.42,6.67,-8.90,5.14,5.87,85.14,11.85,991.89,
02/01/2011 10:00:00,44.52,261.84,136.19,72.90,6.67,-10.60,5.12,2.96,85.69,12.07,992.32,
02/01/2011 11:00:00,50.84,321.10,182.23,70.55,6.67,-9.12,4.65,10.68,80.14,10.82,991.79,
02/01/2011 12:00:00,45.02,324.69,174.68,67.90,6.67,-7.69,3.43,9.24,82.6,11.08,990.98,
02/01/2011 13:00:00,45.69,368.59,146.59,68.94,6.68,-14.13,3.48,6.73,91.52,11.89,990.60,
02/01/2011 14:00:00,50.57,381.89,81.71,71.12,6.68,-9.27,2.36,4.75,84.38,13.52,990.63,
