Time,MOBILE VAN/Nitrogen Dioxide(NO2),MOBILE VAN/Oxides of Nitrogen(NOx),MOBILE VAN/Carbon Monoxide(CO),MOBILE VAN/Sulfur Dioxide(SO2),MOBILE VAN/PM10(DUST),MOBILE VAN/Nitric Oxide(NO)
01/01/2011 00:00:00,42.25,24.25,-1,5.75,-1,4.0
01/01/2011 01:00:00,37.0,21.25,-1,4.25,-1,4.0
01/01/2011 02:00:00,34.0,19.25,-1,4.25,-1,4.0
01/01/2011 03:00:00,29.5,16.75,-1,5.25,-1,4.0
01/01/2011 04:00:00,21.5,12.0,-1,2.5,-1,4.0
01/01/2011 05:00:00,18.5,10.25,-1,2.0,-1,4.0
01/01/2011 06:00:00,16.0,9.0,-1,4.25,-1,4.0
01/01/2011 07:00:00,15.25,8.75,-1,2.0,-1,4.0
01/01/2011 08:00:00,16.5,9.5,-1,-1,-1,4.0
01/01/2011 09:00:00,17.5,10.0,-1,6.75,-1,4.0
01/01/2011 10:00:00,18.75,10.5,-1,6.75,-1,4.0
01/01/2011 11:00:00,28.25,16.0,-1,9.0,-1,4.0
01/01/2011 12:00:00,30.0,17.0,-1,11.25,-1,4.0
01/01/2011 13:00:00,23.25,13.25,-1,13.5,-1,4.0
01/01/2011 14:00:00,21.0,12.0,,16.75,-1,4.0
01/01/2011 15:00:00,21.75,12.5,,11.5,-1,4.0
01/01/2011 16:00:00,27.0,15.5,,10.0,-1,4.0
01/01/2011 17:00:00,32.25,18.0,,9.75,-1,4.0
01/01/2011 18:00:00,30.0,16.75,,5.5,-1,4.0
01/01/2011 19:00:00,26.25,15.0,-1,1.33,-1,4.0
01/01/2011 20:00:00,23.25,13.0,-1,,-1,4.0
01/01/2011 21:00:00,20.0,11.5,-1,3.75,-1,4.0
01/01/2011 22:00:00,16.5,9.0,-1,1.5,-1,4.0
01/01/2011 23:00:00,15.5,8.5,,,-1,4.0
02/01/2011 00:00:00,14.25,8.0,-1,5.0,-1,4.0
02/01/2011 01:00:00,12.75,7.25,-1,3.75,-1,4.0
02/01/2011 02:00:00,11.5,6.5,-1,3.5,-1,4.0
02/01/2011 03:00:00,13.25,7.25,-1,6.0,-1,4.0
