Time,Mandir Marg/Wind Speed (WS),Mandir Marg/Nitrogen Dioxide(NO2),Mandir Marg/Ambient Temperature(AT),Mandir Marg/Wind Direction(WD),Mandir Marg/Solar Radiation(SR),Mandir Marg/Ammonia(NH3),Mandir Marg/M & P Xylene(M_P_Xylene),Mandir Marg/Oxides of Nitrogen(NOx),Mandir Marg/Relative Humidity(RH),Mandir Marg/Carbon Monoxide(CO),Mandir Marg/Sulfur Dioxide(SO2),Mandir Marg/Temperature(Temp),Mandir Marg/PM2.5(PM2.5),Mandir Marg/Toluene(TOL),Mandir Marg/Ozone(Ozone),Mandir Marg/Vertical Wind Speed(Wind Speed V),Mandir Marg/Nitric Oxide(NO),Mandir Marg/Benzene(BEN),Mandir Marg/PM10(PM10),Mandir Marg/Bar Pressure(BP)
19/04/2011 13:00:00,0.3,24.74,,255.2,,32.04,-1,27.30,16.2,-1,10.9,37.0,,,228.58,0.1,2.52,,,
19/04/2011 14:00:00,0.3,22.58,,249.67,,34.52,-1,28.10,15.5,-1,9.68,37.33,,,217.22,0.1,4.5,,,
19/04/2011 15:00:00,0.3,20.03,,244.67,,29.38,-1,22.55,14.17,-1,9.52,36.8,,,220.55,0.1,2.53,,,
19/04/2011 16:00:00,0.3,31.57,,255.33,,35.87,-1,36.20,15.17,-1,9.15,35.9,,,219.13,0.1,4.17,,,
19/04/2011 17:00:00,0.3,43.93,,218.5,,32.32,-1,46.68,17.33,-1,8.52,33.92,,,194.08,0.1,3.4,,,
19/04/2011 18:00:00,0.3,63.43,,231.67,,28.5,-1,64.52,21.5,-1,7.9,31.33,,,150.72,0.1,2.82,,,
19/04/2011 19:00:00,0.3,130.45,,289.5,,38.37,-1,131.33,30.33,-1,8.83,28.18,,,45.37,,4.7,,,
19/04/2011 20:00:00,0.3,189.22,,294.33,,46.63,6.6,203.67,33.83,1.7,9.47,26.8,,,15.75,,15.82,,,
19/04/2011 21:00:00,0.3,208.27,,301.17,,40.2,12.43,230.63,32.0,1.95,11.67,27.07,,,16.95,,21.78,,,
19/04/2011 22:00:00,0.3,195.47,,289.67,,41.55,11.02,210.90,31.0,1.38,20.72,27.37,,,26.33,,16.68,,,
19/04/2011 23:00:00,0.3,174.37,,293.83,,41.17,5.58,174.92,33.67,-1,30.75,26.82,,,38.7,,5.78,,,
20/04/2011 00:00:00,0.3,183.5,,308.17,,51.7,-1,186.70,37.33,-1,35.9,25.72,,,23.7,,7.93,,,
20/04/2011 01:00:00,0.3,168.72,,306.67,,64.48,-1,168.77,38.67,-1,46.82,25.35,,,36.07,,5.3,,,
20/04/2011 02:00:00,0.3,160.23,,268.0,,66.8,-1,158.63,44.83,-1,31.22,23.53,,,28.43,,3.97,,,
20/04/2011 03:00:00,0.3,142.22,,256.0,,75.07,-1,141.77,56.83,-1,17.97,20.42,,,21.03,,4.13,,,
20/04/2011 04:00:00,0.3,121.7,,251.33,,70.12,-1,123.57,64.17,-1,12.7,18.33,,,18.68,,6.6,,,
20/04/2011 05:00:00,0.3,141.3,,204.33,,65.93,-1,163.58,62.83,-1,12.72,18.7,,,13.58,,19.65,,,
20/04/2011 06:00:00,0.3,130.12,,192.33,,79.02,-1,160.77,59.5,1.05,16.8,20.25,,,15.75,,25.03,,,
20/04/2011 07:00:00,0.3,104.5,,202.5,,72.08,-1,115.38,47.33,-1,18.83,24.45,,,44.08,,10.68,,,
20/04/2011 08:00:00,0.3,140.23,,240.5,,70.08,-1,153.23,36.33,1.1,22.93,29.27,,,95.3,,13.28,,,
20/04/2011 09:00:00,0.3,77.83,,251.33,,60.7,-1,80.82,29.67,-1,19.02,32.32,,,184.27,0.1,4.45,,,
20/04/2011 10:00:00,0.3,56.27,,230.67,,57.03,-1,59.48,24.83,-1,15.95,34.28,,,233.3,0.1,4.02,,,
20/04/2011 11:00:00,0.3,34.43,,225.67,,51.82,-1,37.07,21.83,-1,11.83,35.3,,,250.33,0.1,2.87,,,
20/04/2011 12:00:00,0.3,26.43,,245.83,,47.38,-1,28.67,19.33,-1,70.05,36.37,,,255.83,0.1,2.33,,,
20/04/2011 13:00:00,0.3,28.1,,259.0,,27.6,-1,34.90,18.0,-1,13.3,36.4,,,253.9,0.1,5.4,,,
24/04/2011 14:00:00,0.3,21.8,,201.0,,32.3,-1,22.60,10.0,-1,10.9,42.2,,,333.0,,1.3,,,
24/04/2011 15:00:00,0.3,18.65,,232.5,,29.62,-1,20.73,9.17,-1,10.38,42.13,,,329.82,,2.25,,,
24/04/2011 16:00:00,0.3,27.52,,228.5,,33.52,-1,30.30,10.17,-1,10.53,41.4,,,311.85,,2.73,,,
24/04/2011 17:00:00,0.3,31.67,,254.83,,34.92,-1,34.80,13.67,-1,10.47,39.55,,,263.65,0.1,3.13,,,
24/04/2011 18:00:00,0.3,71.18,,274.83,,33.6,-1,71.62,21.67,-1,10.9,34.88,,,156.8,,2.53,,,
24/04/2011 19:00:00,0.3,166.42,,269.67,,33.02,-1,164.00,29.5,1.33,10.8,30.28,,,43.62,,3.62,,,
24/04/2011 20:00:00,0.3,203.83,,295.67,,47.6,5.65,209.80,32.67,1.88,11.72,28.83,,,15.3,,10.45,,,
24/04/2011 21:00:00,0.3,229.92,,280.67,,42.1,9.08,277.65,37.0,2.45,12.37,27.22,,,11.88,,39.82,,,
24/04/2011 22:00:00,0.3,293.37,,210.67,,45.12,10.58,418.50,40.0,3.18,12.92,26.17,,,16.72,,94.73,,,
24/04/2011 23:00:00,0.3,293.92,,198.83,,53.45,14.15,414.48,42.67,2.98,13.12,25.43,,,17.55,,91.6,,,
25/04/2011 00:00:00,0.3,281.63,,219.33,,60.0,12.62,371.02,42.33,2.82,13.88,25.08,,,13.08,,69.95,,,
25/04/2011 01:00:00,0.3,330.72,,218.0,,68.12,11.63,525.23,46.17,3.33,13.2,25.05,,,18.1,,143.38,,,
25/04/2011 02:00:00,0.3,441.12,,253.5,,69.67,14.13,863.57,50.83,4.42,16.08,25.15,,,26.8,,302.65,,,
25/04/2011 03:00:00,0.3,425.37,,199.33,,79.57,16.35,861.57,55.33,4.63,22.95,24.32,,,33.82,,311.48,,,
25/04/2011 04:00:00,0.3,380.85,,262.83,,87.97,17.2,779.25,59.5,4.35,17.2,22.92,,,32.12,,284.3,,,
25/04/2011 05:00:00,0.3,291.12,,222.67,,88.15,16.45,549.65,56.83,3.55,18.75,22.5,,,22.13,,185.85,,,
