Time,Punjabi Bagh/Nitrogen Dioxide(NO2),Punjabi Bagh/Wind Direction(WD),Punjabi Bagh/Solar Radiation(SR),Punjabi Bagh/Ammonia(NH3),Punjabi Bagh/Temperature(AT),Punjabi Bagh/Oxides of Nitrogen(NOx),Punjabi Bagh/Relative Humidity(RH),Punjabi Bagh/Carbon Monoxide(CO),Punjabi Bagh/P Xylene(PXY),Punjabi Bagh/Sulfur Dioxide(SO2),Punjabi Bagh/PM2.5(PM2.5),Punjabi Bagh/Toluene(Tol),Punjabi Bagh/Nitric Oxide(NO),Punjabi Bagh/Benzene(Ben),Punjabi Bagh/Ozone(O3),Punjabi Bagh/PM10(PM10),Punjabi Bagh/Bar Pressure(BP),Punjabi Bagh/Wind Speed(WS),Punjabi Bagh/Vertical Wind Speed(VWS)
19/04/2011 13:00:00,16.32,263.2,,23.58,,20.72,36.4,1.42,,,,,3.52,,,,,2.58,
19/04/2011 14:00:00,16.85,271.75,,22.13,,20.63,33.25,1.38,,,,,3.15,,,,,2.6,
24/04/2011 14:00:00,15.10,178.0,,21.8,,17.40,21.0,1.1,,17.9,,,2.00,,,,,1.6,
24/04/2011 15:00:00,13.98,227.33,,21.28,,16.93,21.0,1.26,,18.43,,,2.45,,,,,1.52,
24/04/2011 16:00:00,24.12,285.17,,22.47,,26.58,22.67,1.53,,23.57,,,2.48,,,,,1.87,
24/04/2011 17:00:00,36.15,293.17,,22.83,,37.75,25.5,1.68,,24.78,,,2.20,,,,,1.6,
24/04/2011 18:00:00,61.57,297.33,,23.3,,63.37,32.67,2.28,,27.85,,,3.17,,,,,1.03,
24/04/2011 19:00:00,85.43,297.67,,25.43,,92.18,38.33,3.08,,33.17,,,7.27,,,,,1.0,
24/04/2011 20:00:00,89.85,264.67,,27.53,,110.78,45.83,3.52,,36.02,,,17.10,,,,,0.45,
24/04/2011 21:00:00,97.53,232.5,,32.58,,216.82,58.0,6.52,,32.32,,,84.60,,,,,0.3,
24/04/2011 22:00:00,94.47,229.17,,35.7,,315.03,67.17,8.23,,31.38,,,153.70,,,,,0.33,
24/04/2011 23:00:00,89.93,180.0,,44.22,,480.65,73.67,9.92,,34.65,,,269.93,,,,,0.4,
25/04/2011 00:00:00,91.20,191.33,,46.15,,529.38,79.17,6.72,,40.45,,,302.40,,,,,0.37,
25/04/2011 01:00:00,89.83,195.33,,48.95,,363.75,75.17,4.3,,42.88,,,190.10,,,,,0.95,
25/04/2011 02:00:00,81.23,225.0,,50.57,,315.83,84.83,3.6,,55.4,,,162.92,,,,,0.57,
25/04/2011 03:00:00,79.67,240.33,,55.6,,411.10,92.17,4.38,,45.5,,,229.07,,,,,0.53,
25/04/2011 04:00:00,64.43,231.83,,61.77,,292.17,93.0,4.52,,48.85,,,157.75,,,,,0.33,
25/04/2011 05:00:00,60.10,230.83,,65.65,,264.78,91.67,3.48,,39.63,,,141.83,,,,,0.6,
25/04/2011 06:00:00,61.82,230.83,,67.03,,181.02,90.33,3.08,,44.5,,,83.43,,,,,0.43,
25/04/2011 07:00:00,90.35,220.0,,75.13,,135.72,80.17,3.08,,44.95,,,33.85,,,,,0.5,
25/04/2011 08:00:00,95.42,246.17,,70.88,,100.20,61.83,3.68,,73.7,,,6.22,,,,,0.8,
25/04/2011 09:00:00,77.75,268.0,,59.98,,79.12,47.17,3.07,,81.08,,,3.37,,,,,1.12,
25/04/2011 10:00:00,48.73,255.5,,46.6,,50.27,35.67,1.45,,66.05,,,2.55,,,,,1.18,
25/04/2011 11:00:00,34.48,210.5,,36.25,,36.92,26.17,0.7,,45.83,,,2.75,,,,,1.65,
25/04/2011 12:00:00,25.38,217.67,,29.65,,29.03,21.5,1.57,,25.75,,,3.33,,,,,1.78,
25/04/2011 13:00:00,20.78,224.83,,31.18,,22.57,21.83,1.4,,28.33,,,1.85,,,,,2.15,
25/04/2011 14:00:00,26.60,269.67,,30.28,,29.55,20.17,1.42,,30.68,,,2.85,,,,,2.27,
25/04/2011 15:00:00,27.27,271.33,,28.32,,29.20,18.33,1.3,,26.05,,,2.17,,,,,2.35,
25/04/2011 16:00:00,30.55,287.33,,31.28,,32.12,23.0,1.68,,31.52,,,2.03,,,,,2.23,
25/04/2011 17:00:00,41.60,296.5,,31.05,,43.68,25.83,1.78,,23.1,,,2.72,,,,,2.1,
25/04/2011 18:00:00,75.32,270.83,,32.07,,77.07,33.5,2.7,,23.83,,,3.55,,,,,0.73,
25/04/2011 19:00:00,106.45,231.83,,38.63,,125.98,48.17,4.18,,27.67,,,16.70,,,,,0.32,
25/04/2011 20:00:00,112.63,235.33,,45.12,,204.53,57.17,5.78,,39.15,,,66.33,,,,,0.35,
25/04/2011 21:00:00,107.17,242.5,,47.0,,144.63,56.17,4.93,,38.85,,,29.00,,,,,0.68,
25/04/2011 22:00:00,85.90,212.5,,45.45,,102.27,56.83,3.12,,36.87,,,13.92,,,,,0.47,
