Time,R K Puram/Wind Speed (WS),R K Puram/Nitrogen Dioxide(NO2),R K Puram/Wind Direction(WD),R K Puram/Solar Radiation(SR),R K Puram/Ammonia(NH3),R K Puram/Temperature(AT),R K Puram/Oxides of Nitrogen(NOx),R K Puram/Relative Humidity(RH),R K Puram/Carbon Monoxide(CO),R K Puram/P Xylene(PXY),R K Puram/Sulfur Dioxide(SO2),R K Puram/PM2.5(PM2.5),R K Puram/Toluene(TOL),R K Puram/Nitric Oxide(NO),R K Puram/Benzene(BEN),R K Puram/Ozone(O3),R K Puram/PM10(PM10),R K Puram/Bar Pressure(BP),R K Puram/Vertical Wind Speed(VWS)
19/04/2011 13:00:00,2.88,16.1,171.75,,19.17,,22.77,33.25,2.7,,12.0,,,5.08,,,,,
19/04/2011 14:00:00,3.25,17.17,152.5,,11.58,,22.73,32.5,2.67,,34.75,,,4.35,,,,,
19/04/2011 15:00:00,3.35,16.52,129.0,,11.87,,24.63,31.17,2.6,,8.25,,,6.07,,,,,
19/04/2011 16:00:00,2.33,19.0,180.83,,13.68,,25.33,31.5,2.53,,7.22,,,4.93,,,,,
19/04/2011 17:00:00,3.68,19.85,214.5,,15.33,,27.77,33.0,2.45,,5.87,,,6.02,,,,,
19/04/2011 18:00:00,1.93,23.62,240.0,,11.9,,31.77,36.5,2.73,,2.85,,,6.3,,,,,
19/04/2011 19:00:00,0.75,40.0,215.33,,9.2,,46.40,44.5,3.83,,6.22,,,5.6,,,,,
19/04/2011 20:00:00,0.4,102.87,214.33,,20.17,,298.43,50.17,6.5,,11.0,,,136.93,,,,,
19/04/2011 21:00:00,0.63,101.27,103.83,,17.93,,203.27,49.0,5.12,,9.27,,,72.92,,,,,
19/04/2011 22:00:00,1.22,95.35,103.17,,25.38,,193.73,49.67,4.65,,16.55,,,70.25,,,,,
19/04/2011 23:00:00,1.33,85.32,124.17,,23.82,,135.15,50.33,3.55,,16.25,,,36.75,,,,,
20/04/2011 00:00:00,1.43,62.5,106.17,,29.84,,79.98,52.33,2.95,,31.8,,,11.85,,,,,
20/04/2011 01:00:00,0.97,13.25,197.5,,4.77,,7.36,57.5,2.87,,42.67,,,1.83,,,,,
20/04/2011 02:00:00,0.93,4.33,261.67,,4.68,,8.48,70.83,3.17,,24.72,,,2.98,,,,,
20/04/2011 03:00:00,0.75,0.35,264.17,,2.43,,4.18,78.83,3.18,,17.4,,,3.0,,,,,
20/04/2011 04:00:00,0.9,3.07,258.33,,2.18,,7.65,82.33,3.35,,13.2,,,3.22,,,,,
20/04/2011 05:00:00,0.75,20.66,230.33,,7.02,,30.27,77.67,3.22,,7.58,,,9.63,,,,,
20/04/2011 06:00:00,0.97,,251.83,,0.37,,-1,70.67,3.68,,5.15,,,2.02,,,,,
20/04/2011 07:00:00,1.35,56.6,231.17,,26.57,,80.76,59.0,3.88,,9.3,,,17.95,,,,,
20/04/2011 08:00:00,2.68,48.73,261.17,,38.47,,62.38,52.33,3.42,,48.43,,,10.87,,,,,
20/04/2011 09:00:00,2.2,35.82,240.33,,30.28,,41.57,46.67,3.17,,37.62,,,5.05,,,,,
20/04/2011 10:00:00,2.48,16.08,236.33,,19.15,,19.72,40.67,2.77,,24.2,,,2.98,,,,,
20/04/2011 11:00:00,2.85,9.32,202.0,,13.34,,12.22,38.17,2.68,,13.18,,,3.4,,,,,
20/04/2011 12:00:00,2.7,13.2,210.0,,5.6,,15.05,35.5,2.73,,11.65,,,5.72,,,,,
20/04/2011 13:00:00,2.6,11.9,206.0,,13.8,,13.90,32.0,2.7,,12.7,,,1.75,,,,,
24/04/2011 14:00:00,1.65,19.2,215.0,,21.4,,22.10,27.0,3.75,,17.0,,,2.6,,,,,
24/04/2011 15:00:00,1.48,17.98,178.5,,30.1,,21.03,26.83,3.78,,17.03,,,2.63,,,,,
