Time,Sirifort/Wind Speed (WS),Sirifort/Wind Direction(WD),Sirifort/Solar Radiation(SR),Sirifort/Rain Fall(RAIN),Sirifort/Ozone(OZONE),Sirifort/Ammonia(NH3),Sirifort/Oxides of Nitrogen(NOx),Sirifort/Nitrogen dioxide(NO2),Sirifort/Relative Humidity(RH),Sirifort/Carbon Monoxide(CO),Sirifort/Sulfur Dioxide(SO2),Sirifort/Temperature(Temp),Sirifort/PM2.5(PM2.5),Sirifort/Nitric Oxide(NO)
21/01/2011 15:00:00,-1,,,,,,,,,,,,,
21/01/2011 16:00:00,-1,,,,,,,,,,,,,
24/01/2011 11:00:00,-1,,,,,,,,,,,,,
31/01/2011 10:00:00,-1,,,,,,,,,,,,,
31/01/2011 11:00:00,-1,,,,,,,,,,,,,
31/01/2011 12:00:00,-1,,,,,,,,,,,,,
31/01/2011 13:00:00,-1,,,,,,,,,,,,,
31/01/2011 14:00:00,-1,,,,,,,,,,,,,
31/01/2011 15:00:00,-1,,,,,,,,,,,,,
31/01/2011 16:00:00,-1,,,,,,,,,,,,,
31/01/2011 17:00:00,-1,,,,,,,,,,,,,
01/02/2011 13:00:00,0.38,320.0,,,28.25,,11.0,11.0,,-1,16.75,,,6.5
01/02/2011 14:00:00,0.4,320.0,,,28.0,,11.0,11.25,,1.65,16.0,,,6.25
01/02/2011 15:00:00,0.39,320.0,,,27.5,,11.0,11.25,,1.8,16.75,,,6.0
01/02/2011 16:00:00,0.34,320.0,,,29.75,,11.0,11.0,,1.61,18.75,,,6.25
01/02/2011 17:00:00,0.22,320.0,,,24.0,,11.0,11.0,,1.49,20.75,,,6.5
01/02/2011 18:00:00,0.08,320.0,,,8.0,,11.0,11.0,,1.57,21.75,,,6.25
01/02/2011 19:00:00,0.06,,,,4.0,,11.0,11.0,,2.17,23.25,,,6.0
01/02/2011 20:00:00,0.06,,,,4.0,,11.25,11.0,,2.42,21.5,,,6.25
01/02/2011 21:00:00,0.06,,,,4.0,,11.0,11.0,,2.67,27.0,,,6.0
01/02/2011 22:00:00,0.06,,,,4.0,,11.0,11.25,,2.75,27.0,,,6.5
01/02/2011 23:00:00,0.06,,,,4.0,,11.25,11.0,,2.21,27.25,,,6.5
02/02/2011 00:00:00,0.06,,,,4.0,,11.25,11.0,,2.42,20.0,,,6.25
02/02/2011 01:00:00,0.06,,,,4.0,,11.0,11.0,,2.61,17.0,,,6.25
02/02/2011 02:00:00,0.06,,,,4.0,,11.0,11.0,,2.48,14.75,,,6.0
02/02/2011 03:00:00,0.06,,,,4.0,,11.0,11.0,,2.03,13.5,,,6.0
02/02/2011 04:00:00,0.06,,,,4.0,,11.0,11.25,,1.98,12.75,,,6.0
02/02/2011 05:00:00,0.06,,,,4.0,,11.0,11.25,,1.81,12.0,,,6.25
02/02/2011 06:00:00,0.06,,,,4.0,,11.0,11.0,,1.69,13.75,,,6.25
02/02/2011 07:00:00,0.06,,,,4.0,,11.0,11.0,,1.94,14.25,,,6.0
02/02/2011 08:00:00,0.06,,,,4.0,,11.0,11.0,,1.86,16.75,,,6.25
02/02/2011 09:00:00,0.1,,,,4.75,,11.0,11.0,,1.74,17.0,,,6.5
02/02/2011 10:00:00,0.22,320.0,,,11.0,,11.0,11.0,,1.79,16.25,,,6.25
02/02/2011 11:00:00,0.21,320.0,,,16.75,,11.0,11.0,,1.97,16.5,,,6.25
02/02/2011 12:00:00,0.3,320.0,,,21.75,,11.0,11.0,,1.85,16.5,,,6.0
02/02/2011 13:00:00,0.29,320.0,,,23.0,,11.0,11.0,,1.79,16.0,,,6.5
02/02/2011 14:00:00,0.41,320.0,,,26.75,,11.0,11.0,,1.86,16.0,,,6.0
02/02/2011 15:00:00,0.33,320.0,,,25.25,,11.0,11.0,,2.14,16.5,,,6.5
