Date,Time,Values
03/11/2016,17:00:00,0.10
03/11/2016,18:00:00,1.10
03/11/2016,19:00:00,0.20
03/11/2016,20:00:00,0.60
03/11/2016,21:00:00,0.35
03/11/2016,22:00:00,0.68
03/11/2016,23:00:00,1.22
04/11/2016,00:00:00,4.28
04/11/2016,01:00:00,10.85
04/11/2016,02:00:00,9.93
04/11/2016,03:00:00,8.15
04/11/2016,04:00:00,5.68
04/11/2016,05:00:00,4.03
04/11/2016,06:00:00,3.70
04/11/2016,07:00:00,3.60
04/11/2016,08:00:00,2.58
04/11/2016,09:00:00,2.77
04/11/2016,10:00:00,1.40
04/11/2016,11:00:00,0.53
05/11/2016,11:00:00,120.00
05/11/2016,12:00:00,99.50
05/11/2016,13:00:00,79.88
05/11/2016,14:00:00,75.47
05/11/2016,15:00:00,71.53
05/11/2016,16:00:00,82.72
05/11/2016,17:00:00,75.15
05/11/2016,18:00:00,77.42
05/11/2016,19:00:00,84.35
05/11/2016,20:00:00,70.03
05/11/2016,21:00:00,65.60
05/11/2016,22:00:00,61.02
05/11/2016,23:00:00,51.20
06/11/2016,00:00:00,40.77
06/11/2016,01:00:00,44.63
06/11/2016,02:00:00,47.40
06/11/2016,03:00:00,44.03
06/11/2016,04:00:00,43.17
06/11/2016,05:00:00,41.00
06/11/2016,06:00:00,36.63
06/11/2016,07:00:00,36.58
06/11/2016,08:00:00,37.07
06/11/2016,09:00:00,40.45
06/11/2016,10:00:00,48.95
06/11/2016,11:00:00,92.92
06/11/2016,12:00:00,119.85
06/11/2016,13:00:00,126.50
06/11/2016,14:00:00,114.05
06/11/2016,15:00:00,93.60
06/11/2016,16:00:00,91.67
06/11/2016,17:00:00,82.95
06/11/2016,18:00:00,72.78
06/11/2016,19:00:00,75.20
06/11/2016,20:00:00,81.10
06/11/2016,21:00:00,77.50
06/11/2016,22:00:00,70.88
06/11/2016,23:00:00,64.73
06/11/2016,00:00:00,40.77
06/11/2016,01:00:00,44.63
06/11/2016,02:00:00,47.40
06/11/2016,03:00:00,44.03
06/11/2016,04:00:00,43.17
06/11/2016,05:00:00,41.00
06/11/2016,06:00:00,36.63
06/11/2016,07:00:00,36.58
06/11/2016,08:00:00,37.07
06/11/2016,09:00:00,40.45
06/11/2016,10:00:00,48.95
06/11/2016,11:00:00,92.92
06/11/2016,12:00:00,119.85
06/11/2016,13:00:00,126.50
06/11/2016,14:00:00,114.05
06/11/2016,15:00:00,93.60
06/11/2016,16:00:00,91.67
06/11/2016,17:00:00,82.95
06/11/2016,18:00:00,72.78
06/11/2016,19:00:00,75.20
06/11/2016,20:00:00,81.10
06/11/2016,21:00:00,77.50
06/11/2016,22:00:00,70.88
06/11/2016,23:00:00,64.73
07/11/2016,00:00:00,56.52
07/11/2016,01:00:00,54.42
07/11/2016,02:00:00,55.33
07/11/2016,03:00:00,54.50
07/11/2016,04:00:00,55.92
07/11/2016,05:00:00,61.53
07/11/2016,06:00:00,62.63
07/11/2016,07:00:00,61.15
07/11/2016,08:00:00,66.38
07/11/2016,09:00:00,61.98
07/11/2016,10:00:00,59.95
07/11/2016,11:00:00,91.88
07/11/2016,12:00:00,93.60
07/11/2016,13:00:00,85.95
07/11/2016,14:00:00,80.38
07/11/2016,15:00:00,69.68
07/11/2016,16:00:00,62.78
07/11/2016,17:00:00,61.45
07/11/2016,18:00:00,53.50
07/11/2016,19:00:00,47.50
07/11/2016,20:00:00,48.95
07/11/2016,21:00:00,51.03
07/11/2016,22:00:00,56.20
07/11/2016,23:00:00,63.85
08/11/2016,00:00:00,62.58
08/11/2016,01:00:00,60.88
08/11/2016,02:00:00,58.93
08/11/2016,03:00:00,53.25
