Date,Time,Values
03/11/2016,17:00:00,30.55
03/11/2016,18:00:00,34.02
03/11/2016,19:00:00,33.73
03/11/2016,20:00:00,35.42
03/11/2016,21:00:00,37.85
03/11/2016,22:00:00,37.70
03/11/2016,23:00:00,38.65
04/11/2016,00:00:00,52.02
04/11/2016,01:00:00,83.70
04/11/2016,02:00:00,81.28
04/11/2016,03:00:00,72.83
04/11/2016,04:00:00,64.83
04/11/2016,05:00:00,59.90
04/11/2016,06:00:00,58.98
04/11/2016,07:00:00,60.70
04/11/2016,08:00:00,55.88
04/11/2016,09:00:00,54.30
04/11/2016,10:00:00,46.75
04/11/2016,11:00:00,41.32
04/11/2016,12:00:00,30.35
04/11/2016,13:00:00,24.05
04/11/2016,14:00:00,21.25
04/11/2016,15:00:00,20.27
04/11/2016,16:00:00,22.32
04/11/2016,17:00:00,28.25
05/11/2016,12:00:00,35.43
05/11/2016,13:00:00,17.20
05/11/2016,14:00:00,15.72
05/11/2016,15:00:00,11.70
05/11/2016,16:00:00,29.65
05/11/2016,17:00:00,43.45
05/11/2016,18:00:00,62.65
05/11/2016,19:00:00,124.53
05/11/2016,20:00:00,262.20
05/11/2016,21:00:00,314.50
05/11/2016,22:00:00,276.50
05/11/2016,23:00:00,246.75
06/11/2016,00:00:00,209.95
06/11/2016,01:00:00,184.35
06/11/2016,02:00:00,169.60
06/11/2016,03:00:00,147.72
06/11/2016,04:00:00,135.55
06/11/2016,05:00:00,110.00
06/11/2016,06:00:00,112.25
06/11/2016,07:00:00,115.80
06/11/2016,08:00:00,110.50
06/11/2016,09:00:00,87.13
06/11/2016,10:00:00,96.05
06/11/2016,11:00:00,70.92
06/11/2016,12:00:00,62.78
06/11/2016,13:00:00,57.55
06/11/2016,14:00:00,36.73
06/11/2016,15:00:00,29.60
06/11/2016,16:00:00,53.88
06/11/2016,17:00:00,75.90
06/11/2016,18:00:00,119.30
06/11/2016,19:00:00,121.43
06/11/2016,20:00:00,122.22
06/11/2016,21:00:00,120.35
06/11/2016,22:00:00,109.92
06/11/2016,23:00:00,169.63
06/11/2016,00:00:00,209.95
06/11/2016,01:00:00,184.35
06/11/2016,02:00:00,169.60
06/11/2016,03:00:00,147.72
06/11/2016,04:00:00,135.55
06/11/2016,05:00:00,110.00
06/11/2016,06:00:00,112.25
06/11/2016,07:00:00,115.80
06/11/2016,08:00:00,110.50
