Date,Time,Values
03/11/2016,17:00:00,9.28
03/11/2016,18:00:00,8.45
03/11/2016,19:00:00,6.80
03/11/2016,20:00:00,8.95
03/11/2016,21:00:00,9.55
03/11/2016,22:00:00,8.93
03/11/2016,23:00:00,9.68
04/11/2016,00:00:00,7.15
04/11/2016,01:00:00,1.90
04/11/2016,02:00:00,8.40
04/11/2016,03:00:00,10.88
04/11/2016,04:00:00,11.30
04/11/2016,05:00:00,10.50
04/11/2016,06:00:00,10.07
04/11/2016,07:00:00,8.40
04/11/2016,08:00:00,9.38
04/11/2016,09:00:00,8.55
04/11/2016,10:00:00,7.65
04/11/2016,11:00:00,2.35
04/11/2016,12:00:00,3.55
04/11/2016,13:00:00,0.35
04/11/2016,14:00:00,0.50
04/11/2016,15:00:00,1.05
04/11/2016,16:00:00,0.75
04/11/2016,17:00:00,0.30
05/11/2016,12:00:00,109.83
05/11/2016,13:00:00,104.50
05/11/2016,14:00:00,90.30
05/11/2016,15:00:00,102.33
05/11/2016,16:00:00,114.30
05/11/2016,17:00:00,108.43
05/11/2016,18:00:00,121.00
05/11/2016,19:00:00,160.10
05/11/2016,20:00:00,172.20
05/11/2016,21:00:00,158.23
05/11/2016,22:00:00,132.38
05/11/2016,23:00:00,94.30
06/11/2016,00:00:00,74.98
06/11/2016,01:00:00,67.82
06/11/2016,02:00:00,74.05
06/11/2016,03:00:00,64.73
06/11/2016,04:00:00,58.30
06/11/2016,05:00:00,53.40
06/11/2016,06:00:00,51.02
06/11/2016,07:00:00,49.73
06/11/2016,08:00:00,73.93
06/11/2016,09:00:00,147.28
06/11/2016,10:00:00,201.48
06/11/2016,11:00:00,139.70
06/11/2016,12:00:00,128.20
06/11/2016,13:00:00,144.10
06/11/2016,14:00:00,124.10
06/11/2016,15:00:00,124.75
06/11/2016,16:00:00,137.58
06/11/2016,17:00:00,142.82
06/11/2016,18:00:00,164.00
06/11/2016,19:00:00,152.47
06/11/2016,20:00:00,122.60
06/11/2016,21:00:00,112.90
06/11/2016,22:00:00,108.15
06/11/2016,23:00:00,97.55
06/11/2016,00:00:00,74.98
06/11/2016,01:00:00,67.82
06/11/2016,02:00:00,74.05
06/11/2016,03:00:00,64.73
06/11/2016,04:00:00,58.30
06/11/2016,05:00:00,53.40
06/11/2016,06:00:00,51.02
06/11/2016,07:00:00,49.73
06/11/2016,08:00:00,73.93
06/11/2016,09:00:00,147.28
06/11/2016,10:00:00,201.48
06/11/2016,11:00:00,139.70
06/11/2016,12:00:00,128.20
06/11/2016,13:00:00,144.10
06/11/2016,14:00:00,124.10
06/11/2016,15:00:00,124.75
06/11/2016,16:00:00,137.58
06/11/2016,17:00:00,142.82
06/11/2016,18:00:00,164.00
06/11/2016,19:00:00,152.47
06/11/2016,20:00:00,122.60
06/11/2016,21:00:00,112.90
06/11/2016,22:00:00,108.15
06/11/2016,23:00:00,97.55
07/11/2016,00:00:00,92.10
07/11/2016,01:00:00,97.17
07/11/2016,02:00:00,120.53
07/11/2016,03:00:00,119.67
07/11/2016,04:00:00,105.80
07/11/2016,05:00:00,105.92
07/11/2016,06:00:00,111.13
07/11/2016,07:00:00,100.45
07/11/2016,08:00:00,161.03
07/11/2016,09:00:00,214.02
07/11/2016,10:00:00,142.90
07/11/2016,11:00:00,86.33
07/11/2016,12:00:00,60.60
07/11/2016,13:00:00,56.28
07/11/2016,14:00:00,54.67
07/11/2016,15:00:00,54.15
07/11/2016,16:00:00,73.30
07/11/2016,17:00:00,101.88
07/11/2016,18:00:00,126.68
07/11/2016,19:00:00,129.55
07/11/2016,20:00:00,121.53
07/11/2016,21:00:00,108.85
07/11/2016,22:00:00,100.00
07/11/2016,23:00:00,79.97
08/11/2016,00:00:00,67.13
08/11/2016,01:00:00,62.95
08/11/2016,02:00:00,63.78
08/11/2016,03:00:00,64.70
08/11/2016,04:00:00,55.67
08/11/2016,05:00:00,58.55
08/11/2016,06:00:00,61.92
08/11/2016,07:00:00,78.93
08/11/2016,08:00:00,79.92
08/11/2016,09:00:00,77.03
08/11/2016,10:00:00,71.38
08/11/2016,11:00:00,63.85
08/11/2016,12:00:00,47.05
08/11/2016,13:00:00,43.70
08/11/2016,14:00:00,44.18
08/11/2016,15:00:00,44.85
08/11/2016,16:00:00,65.85
08/11/2016,17:00:00,130.35
08/11/2016,18:00:00,154.35
08/11/2016,19:00:00,173.03
08/11/2016,20:00:00,170.75
08/11/2016,21:00:00,147.20
08/11/2016,22:00:00,120.18
08/11/2016,23:00:00,86.57
09/11/2016,00:00:00,74.63
09/11/2016,01:00:00,77.25
09/11/2016,02:00:00,81.35
09/11/2016,03:00:00,88.30
09/11/2016,04:00:00,105.63
09/11/2016,05:00:00,108.50
09/11/2016,06:00:00,104.20
09/11/2016,07:00:00,111.20
09/11/2016,08:00:00,129.82
09/11/2016,09:00:00,129.82
09/11/2016,10:00:00,125.93
09/11/2016,11:00:00,112.40
09/11/2016,12:00:00,82.28
09/11/2016,13:00:00,66.50
09/11/2016,14:00:00,55.83
09/11/2016,15:00:00,57.13
09/11/2016,16:00:00,63.50
09/11/2016,17:00:00,110.98
09/11/2016,18:00:00,211.25
09/11/2016,19:00:00,213.13
09/11/2016,20:00:00,183.80
09/11/2016,21:00:00,159.55
09/11/2016,22:00:00,144.77
09/11/2016,23:00:00,124.40
10/11/2016,00:00:00,103.40
10/11/2016,01:00:00,91.75
10/11/2016,02:00:00,91.95
10/11/2016,03:00:00,96.15
10/11/2016,04:00:00,97.38
10/11/2016,05:00:00,101.92
10/11/2016,06:00:00,100.42
10/11/2016,07:00:00,117.75
10/11/2016,08:00:00,138.70
10/11/2016,09:00:00,133.20
10/11/2016,10:00:00,139.63
10/11/2016,11:00:00,143.20
10/11/2016,12:00:00,152.68
10/11/2016,13:00:00,143.78
10/11/2016,14:00:00,145.27
10/11/2016,15:00:00,143.95
10/11/2016,16:00:00,120.38
10/11/2016,17:00:00,133.43
10/11/2016,18:00:00,5.92
10/11/2016,19:00:00,7.10
10/11/2016,20:00:00,327.90
10/11/2016,21:00:00,242.50
10/11/2016,22:00:00,222.72
10/11/2016,23:00:00,282.70
11/11/2016,00:00:00,359.38
11/11/2016,01:00:00,313.85
11/11/2016,02:00:00,273.48
11/11/2016,03:00:00,237.00
11/11/2016,04:00:00,204.20
11/11/2016,05:00:00,179.15
