Date,Time,Values
03/11/2016,17:00:00,30.15
03/11/2016,18:00:00,32.52
03/11/2016,19:00:00,31.43
03/11/2016,20:00:00,33.98
03/11/2016,21:00:00,36.23
03/11/2016,22:00:00,35.80
03/11/2016,23:00:00,36.92
04/11/2016,00:00:00,46.48
04/11/2016,01:00:00,69.13
04/11/2016,02:00:00,70.90
04/11/2016,03:00:00,65.40
04/11/2016,04:00:00,59.10
04/11/2016,05:00:00,54.67
04/11/2016,06:00:00,53.65
04/11/2016,07:00:00,54.23
04/11/2016,08:00:00,50.77
04/11/2016,09:00:00,49.08
04/11/2016,10:00:00,42.50
04/11/2016,11:00:00,35.10
04/11/2016,12:00:00,26.85
04/11/2016,13:00:00,19.15
04/11/2016,14:00:00,16.93
04/11/2016,15:00:00,16.68
04/11/2016,16:00:00,18.75
04/11/2016,17:00:00,23.20
05/11/2016,11:00:00,121.80
05/11/2016,12:00:00,87.60
05/11/2016,13:00:00,69.95
05/11/2016,14:00:00,61.20
05/11/2016,15:00:00,64.33
05/11/2016,16:00:00,85.28
05/11/2016,17:00:00,93.40
05/11/2016,18:00:00,115.70
05/11/2016,19:00:00,186.78
05/11/2016,20:00:00,305.15
05/11/2016,21:00:00,340.25
05/11/2016,22:00:00,295.63
05/11/2016,23:00:00,251.15
06/11/2016,00:00:00,210.95
06/11/2016,01:00:00,186.32
06/11/2016,02:00:00,177.60
06/11/2016,03:00:00,154.85
06/11/2016,04:00:00,141.63
06/11/2016,05:00:00,118.25
06/11/2016,06:00:00,118.78
06/11/2016,07:00:00,120.98
06/11/2016,08:00:00,129.57
06/11/2016,09:00:00,149.53
06/11/2016,10:00:00,185.65
06/11/2016,11:00:00,132.35
06/11/2016,12:00:00,119.58
06/11/2016,13:00:00,123.83
06/11/2016,14:00:00,96.25
06/11/2016,15:00:00,90.80
06/11/2016,16:00:00,117.35
06/11/2016,17:00:00,138.07
06/11/2016,18:00:00,184.60
06/11/2016,19:00:00,180.20
06/11/2016,20:00:00,164.97
06/11/2016,21:00:00,158.25
06/11/2016,22:00:00,147.28
06/11/2016,23:00:00,190.15
06/11/2016,00:00:00,210.95
06/11/2016,01:00:00,186.32
06/11/2016,02:00:00,177.60
06/11/2016,03:00:00,154.85
06/11/2016,04:00:00,141.63
06/11/2016,05:00:00,118.25
06/11/2016,06:00:00,118.78
06/11/2016,07:00:00,120.98
06/11/2016,08:00:00,129.57
06/11/2016,09:00:00,149.53
06/11/2016,10:00:00,185.65
06/11/2016,11:00:00,132.35
06/11/2016,12:00:00,119.58
06/11/2016,13:00:00,123.83
06/11/2016,14:00:00,96.25
06/11/2016,15:00:00,90.80
06/11/2016,16:00:00,117.35
06/11/2016,17:00:00,138.07
06/11/2016,18:00:00,184.60
06/11/2016,19:00:00,180.20
06/11/2016,20:00:00,164.97
06/11/2016,21:00:00,158.25
06/11/2016,22:00:00,147.28
06/11/2016,23:00:00,190.15
07/11/2016,00:00:00,215.22
07/11/2016,01:00:00,272.88
07/11/2016,02:00:00,255.42
07/11/2016,03:00:00,213.73
07/11/2016,04:00:00,208.75
07/11/2016,05:00:00,182.77
07/11/2016,06:00:00,170.15
07/11/2016,07:00:00,176.30
07/11/2016,08:00:00,179.28
07/11/2016,09:00:00,169.43
07/11/2016,10:00:00,130.25
07/11/2016,11:00:00,91.38
07/11/2016,12:00:00,68.85
07/11/2016,13:00:00,64.13
07/11/2016,14:00:00,61.10
07/11/2016,15:00:00,59.30
07/11/2016,16:00:00,69.67
07/11/2016,17:00:00,101.92
07/11/2016,18:00:00,115.23
07/11/2016,19:00:00,123.40
07/11/2016,20:00:00,118.70
07/11/2016,21:00:00,110.15
07/11/2016,22:00:00,114.78
07/11/2016,23:00:00,96.85
08/11/2016,00:00:00,79.32
08/11/2016,01:00:00,71.22
08/11/2016,02:00:00,68.78
08/11/2016,03:00:00,68.75
08/11/2016,04:00:00,64.92
08/11/2016,05:00:00,72.25
08/11/2016,06:00:00,73.75
08/11/2016,07:00:00,91.35
08/11/2016,08:00:00,87.50
08/11/2016,09:00:00,78.45
08/11/2016,10:00:00,70.43
08/11/2016,11:00:00,60.83
08/11/2016,12:00:00,49.52
08/11/2016,13:00:00,47.82
08/11/2016,14:00:00,48.80
08/11/2016,15:00:00,51.17
08/11/2016,16:00:00,67.38
08/11/2016,17:00:00,120.33
08/11/2016,18:00:00,136.80
08/11/2016,19:00:00,166.30
08/11/2016,20:00:00,186.72
08/11/2016,21:00:00,143.90
08/11/2016,22:00:00,121.60
08/11/2016,23:00:00,115.20
09/11/2016,00:00:00,118.38
09/11/2016,01:00:00,124.75
09/11/2016,02:00:00,132.75
09/11/2016,03:00:00,108.55
09/11/2016,04:00:00,127.20
09/11/2016,05:00:00,136.30
09/11/2016,06:00:00,131.95
09/11/2016,07:00:00,149.18
09/11/2016,08:00:00,134.68
09/11/2016,09:00:00,120.88
09/11/2016,10:00:00,110.55
09/11/2016,11:00:00,92.22
09/11/2016,12:00:00,65.97
09/11/2016,13:00:00,53.95
09/11/2016,14:00:00,47.22
09/11/2016,15:00:00,48.22
09/11/2016,16:00:00,56.70
09/11/2016,17:00:00,96.75
09/11/2016,18:00:00,176.50
09/11/2016,19:00:00,182.40
09/11/2016,20:00:00,210.72
09/11/2016,21:00:00,173.07
09/11/2016,22:00:00,175.55
09/11/2016,23:00:00,169.07
10/11/2016,00:00:00,156.28
10/11/2016,01:00:00,176.80
10/11/2016,02:00:00,184.03
10/11/2016,03:00:00,192.40
10/11/2016,04:00:00,202.20
10/11/2016,05:00:00,197.32
10/11/2016,06:00:00,190.65
10/11/2016,07:00:00,181.50
10/11/2016,08:00:00,180.13
10/11/2016,09:00:00,141.55
10/11/2016,10:00:00,132.43
10/11/2016,11:00:00,122.57
10/11/2016,12:00:00,124.98
10/11/2016,13:00:00,105.40
10/11/2016,14:00:00,105.07
10/11/2016,15:00:00,101.80
10/11/2016,16:00:00,91.98
10/11/2016,17:00:00,118.42
10/11/2016,18:00:00,27.40
10/11/2016,19:00:00,36.28
10/11/2016,20:00:00,232.87
10/11/2016,21:00:00,268.05
10/11/2016,22:00:00,295.65
10/11/2016,23:00:00,601.25
11/11/2016,00:00:00,865.85
11/11/2016,01:00:00,866.65
11/11/2016,02:00:00,731.55
11/11/2016,03:00:00,633.73
11/11/2016,04:00:00,595.90
11/11/2016,05:00:00,655.63
11/11/2016,06:00:00,645.73
11/11/2016,07:00:00,560.02
11/11/2016,08:00:00,564.10
11/11/2016,09:00:00,742.85
11/11/2016,10:00:00,631.30
11/11/2016,11:00:00,299.72
11/11/2016,12:00:00,211.10
11/11/2016,13:00:00,177.10
11/11/2016,14:00:00,156.57
11/11/2016,15:00:00,173.18
11/11/2016,16:00:00,211.65
11/11/2016,17:00:00,288.70
11/11/2016,18:00:00,443.35
11/11/2016,19:00:00,567.47
11/11/2016,20:00:00,496.45
11/11/2016,21:00:00,473.40
11/11/2016,22:00:00,539.40
11/11/2016,23:00:00,682.38
12/11/2016,00:00:00,817.13
12/11/2016,01:00:00,798.80
12/11/2016,02:00:00,653.28
12/11/2016,03:00:00,470.75
12/11/2016,04:00:00,363.67
12/11/2016,05:00:00,363.05
12/11/2016,06:00:00,347.98
12/11/2016,07:00:00,324.63
12/11/2016,08:00:00,478.25
12/11/2016,09:00:00,671.88
12/11/2016,10:00:00,277.40
12/11/2016,11:00:00,204.77
12/11/2016,12:00:00,124.55
12/11/2016,13:00:00,131.50
12/11/2016,14:00:00,109.40
12/11/2016,15:00:00,141.98
12/11/2016,16:00:00,194.28
12/11/2016,17:00:00,268.98
12/11/2016,18:00:00,330.27
12/11/2016,19:00:00,382.13
12/11/2016,20:00:00,514.60
12/11/2016,21:00:00,707.92
12/11/2016,22:00:00,768.98
12/11/2016,23:00:00,684.60
13/11/2016,00:00:00,705.33
13/11/2016,01:00:00,659.82
13/11/2016,02:00:00,597.43
13/11/2016,03:00:00,537.10
13/11/2016,04:00:00,297.27
13/11/2016,05:00:00,188.93
13/11/2016,06:00:00,173.57
13/11/2016,07:00:00,123.25
13/11/2016,08:00:00,95.95
13/11/2016,09:00:00,122.62
13/11/2016,10:00:00,182.38
13/11/2016,11:00:00,150.80
13/11/2016,12:00:00,101.88
13/11/2016,13:00:00,78.75
13/11/2016,14:00:00,70.93
13/11/2016,15:00:00,99.05
13/11/2016,16:00:00,134.38
13/11/2016,17:00:00,137.57
13/11/2016,18:00:00,160.83
13/11/2016,19:00:00,296.63
13/11/2016,20:00:00,334.18
13/11/2016,21:00:00,323.88
13/11/2016,22:00:00,430.13
13/11/2016,23:00:00,537.03
14/11/2016,00:00:00,598.58
14/11/2016,01:00:00,546.02
14/11/2016,02:00:00,268.80
14/11/2016,03:00:00,205.55
14/11/2016,04:00:00,188.65
14/11/2016,05:00:00,224.38
14/11/2016,06:00:00,307.15
14/11/2016,07:00:00,375.83
14/11/2016,08:00:00,475.33
14/11/2016,09:00:00,400.60
14/11/2016,10:00:00,258.80
14/11/2016,11:00:00,198.63
14/11/2016,12:00:00,151.90
14/11/2016,13:00:00,77.63
14/11/2016,14:00:00,53.67
14/11/2016,15:00:00,47.05
14/11/2016,16:00:00,68.05
14/11/2016,17:00:00,123.25
14/11/2016,18:00:00,157.60
14/11/2016,19:00:00,208.47
14/11/2016,20:00:00,231.73
14/11/2016,21:00:00,241.88
14/11/2016,22:00:00,264.70
14/11/2016,23:00:00,282.60
15/11/2016,00:00:00,246.47
15/11/2016,01:00:00,220.93
15/11/2016,02:00:00,222.82
15/11/2016,03:00:00,193.35
15/11/2016,04:00:00,202.72
15/11/2016,05:00:00,196.52
15/11/2016,06:00:00,214.38
15/11/2016,07:00:00,307.90
15/11/2016,08:00:00,274.68
15/11/2016,09:00:00,191.43
15/11/2016,10:00:00,131.10
15/11/2016,11:00:00,87.50
15/11/2016,12:00:00,60.75
15/11/2016,13:00:00,58.40
15/11/2016,14:00:00,44.40
15/11/2016,15:00:00,52.42
15/11/2016,16:00:00,124.40
15/11/2016,17:00:00,176.05
15/11/2016,18:00:00,211.35
15/11/2016,19:00:00,235.45
15/11/2016,20:00:00,314.45
15/11/2016,21:00:00,347.05
15/11/2016,22:00:00,336.40
15/11/2016,23:00:00,300.73
16/11/2016,00:00:00,273.18
16/11/2016,01:00:00,233.43
16/11/2016,02:00:00,173.18
16/11/2016,03:00:00,149.70
16/11/2016,04:00:00,149.18
16/11/2016,05:00:00,164.90
16/11/2016,06:00:00,226.65
16/11/2016,07:00:00,267.35
16/11/2016,08:00:00,275.93
16/11/2016,09:00:00,164.05
16/11/2016,10:00:00,129.07
16/11/2016,11:00:00,91.90
16/11/2016,12:00:00,60.15
16/11/2016,13:00:00,48.27
16/11/2016,14:00:00,41.17
16/11/2016,15:00:00,48.00
16/11/2016,16:00:00,62.35
16/11/2016,17:00:00,116.30
16/11/2016,18:00:00,236.52
16/11/2016,19:00:00,279.33
16/11/2016,20:00:00,280.03
16/11/2016,21:00:00,199.90
16/11/2016,22:00:00,205.25
16/11/2016,23:00:00,190.07
17/11/2016,00:00:00,157.10
17/11/2016,01:00:00,156.55
17/11/2016,02:00:00,118.20
17/11/2016,03:00:00,131.90
17/11/2016,04:00:00,110.30
17/11/2016,05:00:00,115.00
17/11/2016,06:00:00,131.15
17/11/2016,07:00:00,147.47
17/11/2016,08:00:00,115.52
17/11/2016,09:00:00,83.07
17/11/2016,10:00:00,69.67
17/11/2016,11:00:00,50.85
17/11/2016,12:00:00,44.28
17/11/2016,13:00:00,38.52
17/11/2016,14:00:00,37.17
17/11/2016,15:00:00,37.58
17/11/2016,16:00:00,48.83
17/11/2016,17:00:00,136.95
17/11/2016,18:00:00,181.03
17/11/2016,19:00:00,209.75
17/11/2016,20:00:00,192.20
17/11/2016,21:00:00,180.15
17/11/2016,22:00:00,140.15
17/11/2016,23:00:00,116.40
18/11/2016,00:00:00,107.65
18/11/2016,01:00:00,116.45
18/11/2016,02:00:00,123.90
18/11/2016,03:00:00,116.78
18/11/2016,04:00:00,119.22
18/11/2016,05:00:00,130.90
18/11/2016,06:00:00,146.93
18/11/2016,07:00:00,145.98
18/11/2016,08:00:00,123.65
18/11/2016,09:00:00,101.30
18/11/2016,10:00:00,82.38
18/11/2016,11:00:00,78.18
18/11/2016,12:00:00,47.40
18/11/2016,13:00:00,46.75
18/11/2016,14:00:00,43.85
18/11/2016,15:00:00,44.08
18/11/2016,16:00:00,56.85
18/11/2016,17:00:00,135.45
18/11/2016,18:00:00,230.30
18/11/2016,19:00:00,261.57
18/11/2016,20:00:00,267.00
18/11/2016,21:00:00,255.78
18/11/2016,22:00:00,228.22
18/11/2016,23:00:00,183.33
19/11/2016,00:00:00,141.92
19/11/2016,01:00:00,139.68
19/11/2016,02:00:00,106.58
19/11/2016,03:00:00,127.80
19/11/2016,04:00:00,144.88
19/11/2016,05:00:00,190.48
19/11/2016,06:00:00,175.50
19/11/2016,07:00:00,192.50
19/11/2016,08:00:00,184.88
19/11/2016,09:00:00,142.30
19/11/2016,10:00:00,118.00
19/11/2016,11:00:00,113.27
19/11/2016,12:00:00,86.42
19/11/2016,13:00:00,68.78
19/11/2016,14:00:00,54.92
19/11/2016,15:00:00,65.03
19/11/2016,16:00:00,106.45
19/11/2016,17:00:00,115.42
19/11/2016,18:00:00,166.30
19/11/2016,19:00:00,321.35
19/11/2016,20:00:00,454.82
19/11/2016,21:00:00,440.55
19/11/2016,22:00:00,541.73
19/11/2016,23:00:00,774.63
20/11/2016,00:00:00,822.50
20/11/2016,01:00:00,965.97
20/11/2016,02:00:00,"1,038.97"
20/11/2016,03:00:00,979.92
20/11/2016,04:00:00,872.25
20/11/2016,05:00:00,758.17
20/11/2016,06:00:00,668.75
20/11/2016,07:00:00,592.10
20/11/2016,08:00:00,521.30
20/11/2016,09:00:00,420.75
20/11/2016,10:00:00,194.65
20/11/2016,11:00:00,142.20
20/11/2016,12:00:00,124.70
20/11/2016,13:00:00,105.47
20/11/2016,14:00:00,104.40
20/11/2016,15:00:00,113.50
20/11/2016,16:00:00,146.05
20/11/2016,17:00:00,243.40
20/11/2016,18:00:00,363.75
20/11/2016,19:00:00,572.15
20/11/2016,20:00:00,666.35
20/11/2016,21:00:00,723.65
20/11/2016,22:00:00,724.98
20/11/2016,23:00:00,692.50
21/11/2016,00:00:00,628.30
21/11/2016,01:00:00,552.02
21/11/2016,02:00:00,400.83
21/11/2016,03:00:00,339.73
21/11/2016,04:00:00,304.30
21/11/2016,05:00:00,292.55
21/11/2016,06:00:00,342.30
21/11/2016,07:00:00,401.82
21/11/2016,08:00:00,414.53
21/11/2016,09:00:00,522.48
21/11/2016,10:00:00,239.45
21/11/2016,11:00:00,170.70
21/11/2016,12:00:00,118.90
21/11/2016,13:00:00,63.45
21/11/2016,14:00:00,49.17
21/11/2016,15:00:00,50.70
21/11/2016,16:00:00,104.40
21/11/2016,17:00:00,178.93
21/11/2016,18:00:00,346.45
21/11/2016,19:00:00,771.33
21/11/2016,20:00:00,852.75
21/11/2016,21:00:00,637.15
21/11/2016,22:00:00,578.92
21/11/2016,23:00:00,522.75
22/11/2016,00:00:00,505.70
22/11/2016,01:00:00,481.85
22/11/2016,02:00:00,416.57
22/11/2016,03:00:00,314.27
22/11/2016,04:00:00,268.30
22/11/2016,05:00:00,291.93
22/11/2016,06:00:00,257.32
22/11/2016,07:00:00,264.00
22/11/2016,08:00:00,287.50
22/11/2016,09:00:00,184.20
22/11/2016,10:00:00,133.28
22/11/2016,11:00:00,84.43
22/11/2016,12:00:00,50.82
22/11/2016,13:00:00,45.10
22/11/2016,14:00:00,36.70
22/11/2016,15:00:00,42.65
22/11/2016,16:00:00,66.38
22/11/2016,17:00:00,135.40
22/11/2016,18:00:00,227.75
22/11/2016,19:00:00,235.10
22/11/2016,20:00:00,213.38
22/11/2016,21:00:00,104.60
22/11/2016,22:00:00,86.25
22/11/2016,23:00:00,84.38
23/11/2016,00:00:00,123.38
23/11/2016,01:00:00,114.55
23/11/2016,02:00:00,129.15
23/11/2016,03:00:00,96.53
23/11/2016,04:00:00,108.97
23/11/2016,05:00:00,112.75
23/11/2016,06:00:00,125.38
23/11/2016,07:00:00,151.40
23/11/2016,08:00:00,152.13
23/11/2016,09:00:00,145.03
23/11/2016,10:00:00,118.65
23/11/2016,11:00:00,100.65
23/11/2016,12:00:00,59.35
23/11/2016,13:00:00,52.80
23/11/2016,14:00:00,43.57
23/11/2016,15:00:00,48.70
23/11/2016,16:00:00,67.10
23/11/2016,17:00:00,182.30
23/11/2016,18:00:00,331.55
23/11/2016,19:00:00,387.05
23/11/2016,20:00:00,479.08
23/11/2016,21:00:00,536.60
23/11/2016,22:00:00,418.25
23/11/2016,23:00:00,363.40
24/11/2016,00:00:00,350.52
24/11/2016,01:00:00,286.63
24/11/2016,02:00:00,218.45
24/11/2016,03:00:00,176.27
24/11/2016,04:00:00,200.80
24/11/2016,05:00:00,262.43
24/11/2016,06:00:00,273.73
24/11/2016,07:00:00,324.32
24/11/2016,08:00:00,260.60
24/11/2016,09:00:00,200.35
24/11/2016,10:00:00,143.65
24/11/2016,11:00:00,73.65
24/11/2016,12:00:00,57.42
24/11/2016,13:00:00,48.95
24/11/2016,14:00:00,41.95
24/11/2016,15:00:00,44.58
