Date,Time,Values
03/11/2016,17:00:00,93.00
03/11/2016,18:00:00,135.75
03/11/2016,19:00:00,191.50
03/11/2016,20:00:00,204.75
03/11/2016,21:00:00,228.75
03/11/2016,22:00:00,279.50
03/11/2016,23:00:00,300.00
04/11/2016,00:00:00,268.25
04/11/2016,01:00:00,285.75
04/11/2016,02:00:00,357.50
04/11/2016,04:00:00,366.00
04/11/2016,05:00:00,438.50
04/11/2016,06:00:00,387.25
04/11/2016,07:00:00,434.50
04/11/2016,12:00:00,"1,000.00"
04/11/2016,13:00:00,"1,000.00"
04/11/2016,14:00:00,418.25
04/11/2016,15:00:00,462.75
04/11/2016,16:00:00,468.00
04/11/2016,17:00:00,432.50
04/11/2016,18:00:00,460.75
04/11/2016,19:00:00,525.50
04/11/2016,20:00:00,526.00
05/11/2016,12:00:00,880.90
05/11/2016,13:00:00,978.55
05/11/2016,14:00:00,899.10
05/11/2016,15:00:00,999.13
05/11/2016,16:00:00,"1,000.00"
05/11/2016,17:00:00,"1,000.00"
05/11/2016,18:00:00,"1,000.00"
05/11/2016,19:00:00,"1,000.00"
05/11/2016,20:00:00,"1,000.00"
05/11/2016,21:00:00,"1,000.00"
05/11/2016,22:00:00,"1,000.00"
05/11/2016,23:00:00,"1,000.00"
06/11/2016,00:00:00,"1,000.00"
06/11/2016,01:00:00,"1,000.00"
06/11/2016,02:00:00,"1,000.00"
06/11/2016,03:00:00,"1,000.00"
06/11/2016,04:00:00,"1,000.00"
06/11/2016,05:00:00,"1,000.00"
06/11/2016,06:00:00,"1,000.00"
06/11/2016,07:00:00,"1,000.00"
06/11/2016,08:00:00,931.90
06/11/2016,09:00:00,878.75
06/11/2016,10:00:00,681.90
06/11/2016,11:00:00,776.55
06/11/2016,12:00:00,926.10
06/11/2016,13:00:00,999.38
06/11/2016,14:00:00,"1,000.00"
06/11/2016,15:00:00,"1,000.00"
06/11/2016,16:00:00,"1,000.00"
06/11/2016,17:00:00,"1,000.00"
06/11/2016,18:00:00,"1,000.00"
06/11/2016,19:00:00,"1,000.00"
06/11/2016,20:00:00,"1,000.00"
06/11/2016,21:00:00,"1,000.00"
06/11/2016,22:00:00,"1,000.00"
06/11/2016,23:00:00,"1,000.00"
06/11/2016,00:00:00,"1,000.00"
06/11/2016,01:00:00,"1,000.00"
06/11/2016,02:00:00,"1,000.00"
06/11/2016,03:00:00,"1,000.00"
06/11/2016,04:00:00,"1,000.00"
06/11/2016,05:00:00,"1,000.00"
06/11/2016,06:00:00,"1,000.00"
06/11/2016,07:00:00,"1,000.00"
06/11/2016,08:00:00,931.90
06/11/2016,09:00:00,878.75
06/11/2016,10:00:00,681.90
06/11/2016,11:00:00,776.55
06/11/2016,12:00:00,926.10
06/11/2016,13:00:00,999.38
06/11/2016,14:00:00,"1,000.00"
06/11/2016,15:00:00,"1,000.00"
06/11/2016,16:00:00,"1,000.00"
06/11/2016,17:00:00,"1,000.00"
06/11/2016,18:00:00,"1,000.00"
06/11/2016,19:00:00,"1,000.00"
06/11/2016,20:00:00,"1,000.00"
06/11/2016,21:00:00,"1,000.00"
06/11/2016,22:00:00,"1,000.00"
06/11/2016,23:00:00,"1,000.00"
07/11/2016,00:00:00,"1,000.00"
07/11/2016,01:00:00,"1,000.00"
07/11/2016,02:00:00,"1,000.00"
07/11/2016,03:00:00,"1,000.00"
07/11/2016,04:00:00,"1,000.00"
07/11/2016,05:00:00,"1,000.00"
07/11/2016,06:00:00,"1,000.00"
07/11/2016,07:00:00,"1,000.00"
07/11/2016,08:00:00,"1,000.00"
07/11/2016,09:00:00,"1,000.00"
07/11/2016,10:00:00,"1,000.00"
07/11/2016,11:00:00,699.15
07/11/2016,12:00:00,329.10
07/11/2016,13:00:00,260.18
07/11/2016,14:00:00,190.40
07/11/2016,15:00:00,138.35
07/11/2016,16:00:00,113.90
07/11/2016,17:00:00,117.38
07/11/2016,18:00:00,156.95
07/11/2016,19:00:00,230.45
07/11/2016,20:00:00,275.80
07/11/2016,21:00:00,394.98
07/11/2016,22:00:00,536.27
07/11/2016,23:00:00,650.32
08/11/2016,00:00:00,790.30
08/11/2016,01:00:00,662.42
08/11/2016,02:00:00,633.25
08/11/2016,03:00:00,706.25
08/11/2016,04:00:00,678.35
08/11/2016,05:00:00,669.38
08/11/2016,06:00:00,647.10
08/11/2016,07:00:00,579.50
08/11/2016,08:00:00,628.88
08/11/2016,09:00:00,545.23
08/11/2016,10:00:00,450.13
08/11/2016,11:00:00,373.65
08/11/2016,12:00:00,301.82
08/11/2016,13:00:00,225.48
08/11/2016,14:00:00,162.92
08/11/2016,15:00:00,149.90
08/11/2016,16:00:00,164.07
08/11/2016,17:00:00,165.88
08/11/2016,18:00:00,275.63
08/11/2016,19:00:00,341.43
08/11/2016,20:00:00,466.60
08/11/2016,21:00:00,390.27
08/11/2016,22:00:00,450.95
08/11/2016,23:00:00,535.15
09/11/2016,00:00:00,506.55
09/11/2016,01:00:00,534.65
09/11/2016,02:00:00,517.65
09/11/2016,03:00:00,552.40
09/11/2016,04:00:00,583.23
09/11/2016,05:00:00,551.88
09/11/2016,06:00:00,500.55
09/11/2016,07:00:00,480.47
09/11/2016,08:00:00,494.77
09/11/2016,09:00:00,488.25
09/11/2016,10:00:00,471.25
09/11/2016,11:00:00,423.22
09/11/2016,12:00:00,378.20
09/11/2016,13:00:00,285.30
09/11/2016,14:00:00,231.75
09/11/2016,15:00:00,174.40
09/11/2016,16:00:00,162.80
09/11/2016,17:00:00,159.53
09/11/2016,18:00:00,205.65
09/11/2016,19:00:00,206.20
09/11/2016,20:00:00,348.10
09/11/2016,21:00:00,439.43
09/11/2016,22:00:00,436.85
09/11/2016,23:00:00,466.05
10/11/2016,00:00:00,514.58
10/11/2016,01:00:00,558.80
10/11/2016,02:00:00,541.55
10/11/2016,03:00:00,542.98
10/11/2016,04:00:00,564.60
10/11/2016,05:00:00,513.75
10/11/2016,06:00:00,439.45
10/11/2016,07:00:00,372.27
10/11/2016,08:00:00,249.53
10/11/2016,09:00:00,253.32
10/11/2016,10:00:00,290.75
10/11/2016,11:00:00,331.55
