Date,Time,Values
03/11/2016,17:00:00,52.70
03/11/2016,18:00:00,60.25
03/11/2016,19:00:00,65.82
03/11/2016,20:00:00,68.90
03/11/2016,21:00:00,74.97
03/11/2016,22:00:00,76.13
03/11/2016,23:00:00,78.58
04/11/2016,00:00:00,83.95
04/11/2016,01:00:00,90.25
04/11/2016,02:00:00,90.70
04/11/2016,03:00:00,95.25
04/11/2016,04:00:00,93.72
04/11/2016,05:00:00,93.65
04/11/2016,06:00:00,94.75
04/11/2016,07:00:00,84.95
04/11/2016,08:00:00,71.45
04/11/2016,09:00:00,58.53
04/11/2016,10:00:00,47.05
04/11/2016,11:00:00,40.60
04/11/2016,12:00:00,43.45
04/11/2016,13:00:00,46.80
04/11/2016,14:00:00,51.13
04/11/2016,15:00:00,57.35
04/11/2016,16:00:00,64.97
04/11/2016,17:00:00,79.50
04/11/2016,18:00:00,86.65
04/11/2016,19:00:00,91.05
04/11/2016,20:00:00,96.15
04/11/2016,21:00:00,98.65
04/11/2016,22:00:00,95.25
04/11/2016,23:00:00,94.17
05/11/2016,00:00:00,95.85
05/11/2016,01:00:00,98.60
05/11/2016,02:00:00,97.25
05/11/2016,03:00:00,100.35
05/11/2016,04:00:00,98.53
05/11/2016,05:00:00,97.57
05/11/2016,06:00:00,95.30
05/11/2016,07:00:00,94.45
05/11/2016,08:00:00,90.20
05/11/2016,09:00:00,79.88
05/11/2016,10:00:00,74.20
05/11/2016,11:00:00,68.08
05/11/2016,12:00:00,54.80
05/11/2016,13:00:00,52.20
05/11/2016,14:00:00,53.55
05/11/2016,15:00:00,56.03
05/11/2016,16:00:00,64.97
05/11/2016,17:00:00,79.57
05/11/2016,18:00:00,88.43
05/11/2016,19:00:00,92.85
05/11/2016,20:00:00,98.42
05/11/2016,21:00:00,101.70
05/11/2016,22:00:00,104.47
05/11/2016,23:00:00,105.38
06/11/2016,00:00:00,105.50
06/11/2016,01:00:00,105.40
06/11/2016,02:00:00,105.40
06/11/2016,03:00:00,105.40
06/11/2016,04:00:00,105.40
06/11/2016,05:00:00,105.43
06/11/2016,06:00:00,105.50
06/11/2016,07:00:00,105.50
06/11/2016,08:00:00,97.47
06/11/2016,09:00:00,71.90
06/11/2016,10:00:00,64.48
06/11/2016,11:00:00,56.25
06/11/2016,12:00:00,48.53
06/11/2016,13:00:00,45.17
06/11/2016,14:00:00,44.13
06/11/2016,15:00:00,50.80
06/11/2016,16:00:00,62.92
06/11/2016,17:00:00,78.70
06/11/2016,18:00:00,87.47
06/11/2016,19:00:00,91.65
06/11/2016,20:00:00,95.90
06/11/2016,21:00:00,97.47
06/11/2016,22:00:00,98.40
06/11/2016,23:00:00,98.43
06/11/2016,00:00:00,105.50
06/11/2016,01:00:00,105.40
06/11/2016,02:00:00,105.40
06/11/2016,03:00:00,105.40
06/11/2016,04:00:00,105.40
06/11/2016,05:00:00,105.43
06/11/2016,06:00:00,105.50
06/11/2016,07:00:00,105.50
06/11/2016,08:00:00,97.47
06/11/2016,09:00:00,71.90
06/11/2016,10:00:00,64.48
06/11/2016,11:00:00,56.25
06/11/2016,12:00:00,48.53
06/11/2016,13:00:00,45.17
06/11/2016,14:00:00,44.13
06/11/2016,15:00:00,50.80
06/11/2016,16:00:00,62.92
06/11/2016,17:00:00,78.70
06/11/2016,18:00:00,87.47
06/11/2016,19:00:00,91.65
06/11/2016,20:00:00,95.90
06/11/2016,21:00:00,97.47
06/11/2016,22:00:00,98.40
06/11/2016,23:00:00,98.43
07/11/2016,00:00:00,98.50
07/11/2016,01:00:00,98.50
07/11/2016,02:00:00,98.50
07/11/2016,03:00:00,98.50
07/11/2016,04:00:00,98.43
07/11/2016,05:00:00,98.40
07/11/2016,06:00:00,96.10
07/11/2016,07:00:00,93.40
07/11/2016,08:00:00,84.92
07/11/2016,09:00:00,69.33
07/11/2016,10:00:00,47.48
07/11/2016,11:00:00,32.95
07/11/2016,12:00:00,30.00
07/11/2016,13:00:00,24.10
07/11/2016,14:00:00,17.55
07/11/2016,15:00:00,17.68
07/11/2016,16:00:00,21.30
07/11/2016,17:00:00,32.33
07/11/2016,18:00:00,41.50
07/11/2016,19:00:00,44.40
07/11/2016,20:00:00,48.33
07/11/2016,21:00:00,51.10
07/11/2016,22:00:00,57.40
07/11/2016,23:00:00,63.03
08/11/2016,00:00:00,66.65
08/11/2016,01:00:00,70.78
08/11/2016,02:00:00,75.92
08/11/2016,03:00:00,79.73
08/11/2016,04:00:00,78.33
08/11/2016,05:00:00,81.85
08/11/2016,06:00:00,81.35
08/11/2016,07:00:00,81.85
08/11/2016,08:00:00,73.30
08/11/2016,09:00:00,60.05
08/11/2016,10:00:00,48.17
08/11/2016,11:00:00,38.90
08/11/2016,12:00:00,29.23
08/11/2016,13:00:00,20.55
08/11/2016,14:00:00,18.25
08/11/2016,15:00:00,19.40
08/11/2016,16:00:00,23.45
08/11/2016,17:00:00,35.80
08/11/2016,18:00:00,42.73
08/11/2016,19:00:00,46.85
08/11/2016,20:00:00,49.10
08/11/2016,21:00:00,47.95
08/11/2016,22:00:00,46.97
08/11/2016,23:00:00,49.65
09/11/2016,00:00:00,55.40
09/11/2016,01:00:00,60.53
09/11/2016,02:00:00,65.53
09/11/2016,03:00:00,61.90
09/11/2016,04:00:00,63.40
09/11/2016,05:00:00,65.82
09/11/2016,06:00:00,67.72
09/11/2016,07:00:00,65.90
09/11/2016,08:00:00,55.33
09/11/2016,09:00:00,45.25
09/11/2016,10:00:00,38.55
09/11/2016,11:00:00,33.13
09/11/2016,12:00:00,26.88
09/11/2016,13:00:00,21.08
09/11/2016,14:00:00,17.05
09/11/2016,15:00:00,17.75
09/11/2016,16:00:00,22.35
09/11/2016,17:00:00,36.90
09/11/2016,18:00:00,47.85
09/11/2016,19:00:00,50.95
09/11/2016,20:00:00,53.47
09/11/2016,21:00:00,48.02
09/11/2016,22:00:00,54.90
09/11/2016,23:00:00,57.70
10/11/2016,00:00:00,64.70
10/11/2016,01:00:00,72.17
10/11/2016,02:00:00,72.42
10/11/2016,03:00:00,75.55
10/11/2016,04:00:00,75.82
10/11/2016,05:00:00,71.97
