Date,Time,Values
03/11/2016,17:00:00,7.22
03/11/2016,18:00:00,3.00
03/11/2016,19:00:00,3.65
03/11/2016,20:00:00,4.42
03/11/2016,21:00:00,5.20
03/11/2016,22:00:00,5.22
03/11/2016,23:00:00,5.25
04/11/2016,00:00:00,4.88
04/11/2016,01:00:00,5.25
04/11/2016,02:00:00,5.30
04/11/2016,03:00:00,5.42
04/11/2016,04:00:00,5.48
04/11/2016,05:00:00,5.65
04/11/2016,06:00:00,9.05
04/11/2016,07:00:00,68.13
04/11/2016,08:00:00,178.85
04/11/2016,09:00:00,289.73
04/11/2016,10:00:00,376.35
04/11/2016,11:00:00,372.83
04/11/2016,12:00:00,361.35
04/11/2016,13:00:00,298.48
04/11/2016,14:00:00,211.00
04/11/2016,15:00:00,117.55
04/11/2016,16:00:00,44.18
04/11/2016,17:00:00,1.83
04/11/2016,18:00:00,0.50
04/11/2016,19:00:00,1.07
04/11/2016,20:00:00,0.60
04/11/2016,21:00:00,2.83
04/11/2016,22:00:00,4.00
04/11/2016,23:00:00,3.08
05/11/2016,00:00:00,2.75
05/11/2016,01:00:00,2.02
05/11/2016,02:00:00,2.30
05/11/2016,03:00:00,2.25
05/11/2016,04:00:00,3.05
05/11/2016,05:00:00,2.55
05/11/2016,06:00:00,3.65
05/11/2016,07:00:00,33.28
05/11/2016,08:00:00,104.30
05/11/2016,09:00:00,160.30
05/11/2016,10:00:00,200.75
05/11/2016,11:00:00,239.33
05/11/2016,12:00:00,269.77
05/11/2016,13:00:00,262.15
05/11/2016,14:00:00,176.20
05/11/2016,15:00:00,102.47
05/11/2016,16:00:00,44.88
05/11/2016,17:00:00,3.55
05/11/2016,18:00:00,0.08
05/11/2016,19:00:00,1.77
05/11/2016,20:00:00,2.10
05/11/2016,21:00:00,2.17
05/11/2016,22:00:00,2.60
05/11/2016,23:00:00,2.85
06/11/2016,00:00:00,3.32
06/11/2016,01:00:00,3.15
06/11/2016,02:00:00,3.02
06/11/2016,03:00:00,2.75
06/11/2016,04:00:00,3.02
06/11/2016,05:00:00,2.90
06/11/2016,06:00:00,4.78
06/11/2016,07:00:00,32.27
06/11/2016,08:00:00,91.17
06/11/2016,09:00:00,170.22
06/11/2016,10:00:00,217.07
06/11/2016,11:00:00,224.67
06/11/2016,12:00:00,242.00
06/11/2016,13:00:00,226.95
06/11/2016,14:00:00,193.55
06/11/2016,15:00:00,116.58
06/11/2016,16:00:00,47.60
06/11/2016,17:00:00,3.13
06/11/2016,18:00:00,0.57
06/11/2016,19:00:00,1.15
06/11/2016,20:00:00,2.45
06/11/2016,21:00:00,2.58
06/11/2016,22:00:00,3.35
06/11/2016,23:00:00,2.83
06/11/2016,00:00:00,3.32
06/11/2016,01:00:00,3.15
06/11/2016,02:00:00,3.02
06/11/2016,03:00:00,2.75
06/11/2016,04:00:00,3.02
06/11/2016,05:00:00,2.90
06/11/2016,06:00:00,4.78
06/11/2016,07:00:00,32.27
06/11/2016,08:00:00,91.17
06/11/2016,09:00:00,170.22
06/11/2016,10:00:00,217.07
06/11/2016,11:00:00,224.67
06/11/2016,12:00:00,242.00
06/11/2016,13:00:00,226.95
06/11/2016,14:00:00,193.55
06/11/2016,15:00:00,116.58
06/11/2016,16:00:00,47.60
06/11/2016,17:00:00,3.13
06/11/2016,18:00:00,0.57
06/11/2016,19:00:00,1.15
06/11/2016,20:00:00,2.45
06/11/2016,21:00:00,2.58
06/11/2016,22:00:00,3.35
06/11/2016,23:00:00,2.83
07/11/2016,00:00:00,3.13
07/11/2016,01:00:00,3.27
07/11/2016,02:00:00,3.20
07/11/2016,03:00:00,2.78
07/11/2016,04:00:00,3.05
07/11/2016,05:00:00,2.88
07/11/2016,06:00:00,5.08
07/11/2016,07:00:00,43.95
07/11/2016,08:00:00,151.55
07/11/2016,09:00:00,286.75
07/11/2016,10:00:00,388.35
07/11/2016,11:00:00,396.57
07/11/2016,12:00:00,453.75
07/11/2016,13:00:00,389.73
07/11/2016,14:00:00,292.00
07/11/2016,15:00:00,186.90
07/11/2016,16:00:00,74.03
07/11/2016,17:00:00,3.55
07/11/2016,18:00:00,0.02
07/11/2016,19:00:00,1.90
07/11/2016,20:00:00,2.40
07/11/2016,21:00:00,1.95
07/11/2016,22:00:00,0.83
07/11/2016,23:00:00,1.88
08/11/2016,00:00:00,1.50
08/11/2016,01:00:00,1.35
08/11/2016,02:00:00,1.02
08/11/2016,03:00:00,1.70
08/11/2016,04:00:00,1.48
08/11/2016,05:00:00,2.10
08/11/2016,06:00:00,4.17
08/11/2016,07:00:00,61.10
08/11/2016,08:00:00,204.68
08/11/2016,09:00:00,369.40
08/11/2016,10:00:00,492.38
08/11/2016,11:00:00,513.75
08/11/2016,12:00:00,535.15
08/11/2016,13:00:00,457.50
08/11/2016,14:00:00,329.73
08/11/2016,15:00:00,183.72
08/11/2016,16:00:00,66.40
08/11/2016,17:00:00,3.67
08/11/2016,18:00:00,-0.15
08/11/2016,19:00:00,0.80
08/11/2016,20:00:00,1.65
08/11/2016,21:00:00,2.38
08/11/2016,22:00:00,2.60
08/11/2016,23:00:00,1.13
09/11/2016,00:00:00,1.88
09/11/2016,01:00:00,1.85
09/11/2016,02:00:00,1.68
09/11/2016,03:00:00,2.50
09/11/2016,04:00:00,1.60
09/11/2016,05:00:00,1.90
09/11/2016,06:00:00,4.38
09/11/2016,07:00:00,62.23
09/11/2016,08:00:00,204.80
09/11/2016,09:00:00,354.82
09/11/2016,10:00:00,478.88
09/11/2016,11:00:00,496.40
09/11/2016,12:00:00,512.45
09/11/2016,13:00:00,431.15
09/11/2016,14:00:00,335.77
09/11/2016,15:00:00,183.63
09/11/2016,16:00:00,75.63
09/11/2016,17:00:00,3.40
09/11/2016,18:00:00,-1.50
09/11/2016,19:00:00,0.77
09/11/2016,20:00:00,1.65
09/11/2016,21:00:00,2.78
09/11/2016,22:00:00,1.65
09/11/2016,23:00:00,1.93
10/11/2016,00:00:00,1.92
10/11/2016,01:00:00,2.92
10/11/2016,02:00:00,2.92
10/11/2016,03:00:00,2.45
10/11/2016,04:00:00,3.17
10/11/2016,05:00:00,3.50
10/11/2016,06:00:00,5.63
10/11/2016,07:00:00,62.05
10/11/2016,08:00:00,204.20
10/11/2016,09:00:00,345.82
10/11/2016,10:00:00,449.85
10/11/2016,11:00:00,460.73
10/11/2016,12:00:00,470.27
10/11/2016,13:00:00,363.75
10/11/2016,14:00:00,249.63
10/11/2016,15:00:00,135.60
10/11/2016,16:00:00,59.67
10/11/2016,17:00:00,4.77
10/11/2016,18:00:00,5.40
10/11/2016,19:00:00,6.37
10/11/2016,20:00:00,6.88
10/11/2016,21:00:00,6.83
10/11/2016,22:00:00,7.50
10/11/2016,23:00:00,7.97
11/11/2016,00:00:00,6.97
11/11/2016,01:00:00,7.53
11/11/2016,02:00:00,7.68
11/11/2016,03:00:00,7.88
11/11/2016,04:00:00,7.63
11/11/2016,05:00:00,7.98
11/11/2016,06:00:00,10.10
11/11/2016,07:00:00,60.63
11/11/2016,08:00:00,176.35
11/11/2016,09:00:00,287.18
11/11/2016,10:00:00,401.43
11/11/2016,11:00:00,452.32
11/11/2016,12:00:00,466.67
11/11/2016,13:00:00,389.85
11/11/2016,14:00:00,289.48
11/11/2016,15:00:00,174.88
11/11/2016,16:00:00,64.65
11/11/2016,17:00:00,9.30
11/11/2016,18:00:00,5.63
11/11/2016,19:00:00,6.72
11/11/2016,20:00:00,6.22
11/11/2016,21:00:00,7.20
11/11/2016,22:00:00,7.38
11/11/2016,23:00:00,6.75
12/11/2016,00:00:00,6.90
12/11/2016,01:00:00,7.40
12/11/2016,02:00:00,6.83
12/11/2016,03:00:00,7.38
12/11/2016,04:00:00,8.03
12/11/2016,05:00:00,7.77
12/11/2016,06:00:00,10.22
12/11/2016,07:00:00,59.82
12/11/2016,08:00:00,180.73
12/11/2016,09:00:00,327.68
12/11/2016,10:00:00,444.92
12/11/2016,11:00:00,462.57
12/11/2016,12:00:00,492.90
12/11/2016,13:00:00,379.48
12/11/2016,14:00:00,293.40
12/11/2016,15:00:00,156.62
12/11/2016,16:00:00,51.02
12/11/2016,17:00:00,7.35
12/11/2016,18:00:00,5.13
12/11/2016,19:00:00,6.20
12/11/2016,20:00:00,7.40
12/11/2016,21:00:00,7.98
12/11/2016,22:00:00,8.32
12/11/2016,23:00:00,6.83
13/11/2016,00:00:00,7.15
13/11/2016,01:00:00,8.18
13/11/2016,02:00:00,6.25
13/11/2016,03:00:00,6.88
13/11/2016,04:00:00,8.20
13/11/2016,05:00:00,6.80
13/11/2016,06:00:00,10.10
13/11/2016,07:00:00,60.17
13/11/2016,08:00:00,184.15
13/11/2016,09:00:00,327.38
13/11/2016,10:00:00,426.80
13/11/2016,11:00:00,457.22
13/11/2016,12:00:00,490.32
13/11/2016,13:00:00,420.18
13/11/2016,14:00:00,302.10
13/11/2016,15:00:00,163.00
13/11/2016,16:00:00,63.25
13/11/2016,17:00:00,7.45
13/11/2016,18:00:00,5.70
13/11/2016,19:00:00,6.32
13/11/2016,20:00:00,6.95
13/11/2016,21:00:00,7.20
13/11/2016,22:00:00,7.53
13/11/2016,23:00:00,7.15
14/11/2016,00:00:00,7.60
14/11/2016,01:00:00,7.48
14/11/2016,02:00:00,7.05
14/11/2016,03:00:00,6.22
14/11/2016,04:00:00,7.47
14/11/2016,05:00:00,7.75
14/11/2016,06:00:00,9.20
14/11/2016,07:00:00,58.20
14/11/2016,08:00:00,171.33
14/11/2016,09:00:00,287.45
14/11/2016,10:00:00,374.18
14/11/2016,11:00:00,395.85
14/11/2016,12:00:00,374.02
14/11/2016,13:00:00,269.40
14/11/2016,14:00:00,220.07
14/11/2016,15:00:00,141.57
14/11/2016,16:00:00,59.78
14/11/2016,17:00:00,8.05
14/11/2016,18:00:00,4.50
14/11/2016,19:00:00,6.25
14/11/2016,20:00:00,6.95
14/11/2016,21:00:00,7.28
14/11/2016,22:00:00,6.88
14/11/2016,23:00:00,7.45
15/11/2016,00:00:00,7.67
15/11/2016,01:00:00,8.07
15/11/2016,02:00:00,6.95
15/11/2016,03:00:00,7.72
15/11/2016,04:00:00,7.30
15/11/2016,05:00:00,7.65
15/11/2016,06:00:00,8.80
15/11/2016,07:00:00,54.05
15/11/2016,08:00:00,174.73
15/11/2016,09:00:00,308.75
15/11/2016,10:00:00,415.30
15/11/2016,11:00:00,423.80
15/11/2016,12:00:00,464.12
15/11/2016,13:00:00,376.68
15/11/2016,14:00:00,278.90
15/11/2016,15:00:00,175.28
15/11/2016,16:00:00,42.32
15/11/2016,17:00:00,7.08
15/11/2016,18:00:00,5.88
15/11/2016,19:00:00,5.93
15/11/2016,20:00:00,6.32
15/11/2016,21:00:00,7.00
15/11/2016,22:00:00,7.15
15/11/2016,23:00:00,7.20
16/11/2016,00:00:00,7.33
16/11/2016,01:00:00,8.38
16/11/2016,02:00:00,7.97
16/11/2016,03:00:00,7.80
16/11/2016,04:00:00,7.40
16/11/2016,05:00:00,7.33
16/11/2016,06:00:00,9.32
16/11/2016,07:00:00,58.98
16/11/2016,08:00:00,191.53
16/11/2016,09:00:00,343.30
16/11/2016,10:00:00,437.07
16/11/2016,11:00:00,447.18
16/11/2016,12:00:00,475.57
16/11/2016,13:00:00,431.85
16/11/2016,14:00:00,336.95
16/11/2016,15:00:00,209.10
16/11/2016,16:00:00,68.83
16/11/2016,17:00:00,7.85
16/11/2016,18:00:00,4.03
16/11/2016,19:00:00,6.80
16/11/2016,20:00:00,7.47
16/11/2016,21:00:00,7.53
16/11/2016,22:00:00,6.33
16/11/2016,23:00:00,6.67
17/11/2016,00:00:00,7.08
17/11/2016,01:00:00,6.38
17/11/2016,02:00:00,7.55
17/11/2016,03:00:00,6.85
17/11/2016,04:00:00,6.97
17/11/2016,05:00:00,6.95
17/11/2016,06:00:00,8.05
17/11/2016,07:00:00,63.55
17/11/2016,08:00:00,230.80
17/11/2016,09:00:00,372.77
17/11/2016,10:00:00,484.93
