Date,Time,Values
03/11/2016,17:00:00,29.27
03/11/2016,18:00:00,28.98
03/11/2016,19:00:00,28.52
03/11/2016,20:00:00,28.15
03/11/2016,21:00:00,27.88
03/11/2016,22:00:00,27.88
03/11/2016,23:00:00,27.88
04/11/2016,00:00:00,27.63
04/11/2016,01:00:00,27.43
04/11/2016,02:00:00,27.30
04/11/2016,03:00:00,27.10
04/11/2016,04:00:00,27.02
04/11/2016,05:00:00,26.98
04/11/2016,06:00:00,27.00
04/11/2016,07:00:00,27.35
04/11/2016,08:00:00,28.23
04/11/2016,09:00:00,28.93
04/11/2016,10:00:00,29.67
04/11/2016,11:00:00,30.20
04/11/2016,12:00:00,117.20
04/11/2016,13:00:00,192.68
04/11/2016,14:00:00,191.88
04/11/2016,15:00:00,190.78
04/11/2016,16:00:00,189.47
04/11/2016,17:00:00,187.82
04/11/2016,18:00:00,186.07
04/11/2016,19:00:00,185.22
04/11/2016,20:00:00,184.45
04/11/2016,21:00:00,184.08
04/11/2016,22:00:00,184.38
04/11/2016,23:00:00,184.48
05/11/2016,00:00:00,183.87
05/11/2016,01:00:00,183.50
05/11/2016,02:00:00,184.00
05/11/2016,03:00:00,183.25
05/11/2016,04:00:00,183.30
05/11/2016,05:00:00,183.57
05/11/2016,06:00:00,183.65
05/11/2016,07:00:00,183.90
05/11/2016,08:00:00,184.28
05/11/2016,09:00:00,185.18
05/11/2016,10:00:00,186.07
05/11/2016,11:00:00,161.67
05/11/2016,12:00:00,26.40
05/11/2016,13:00:00,27.02
05/11/2016,14:00:00,26.85
05/11/2016,15:00:00,26.05
05/11/2016,16:00:00,24.80
05/11/2016,17:00:00,22.82
05/11/2016,18:00:00,21.25
05/11/2016,19:00:00,20.53
05/11/2016,20:00:00,20.23
05/11/2016,21:00:00,19.82
05/11/2016,22:00:00,19.63
05/11/2016,23:00:00,19.48
06/11/2016,00:00:00,19.25
06/11/2016,01:00:00,19.48
06/11/2016,02:00:00,19.20
06/11/2016,03:00:00,19.20
06/11/2016,04:00:00,19.22
06/11/2016,05:00:00,19.58
06/11/2016,06:00:00,19.27
06/11/2016,07:00:00,19.17
06/11/2016,08:00:00,19.60
06/11/2016,09:00:00,21.60
06/11/2016,10:00:00,23.95
06/11/2016,11:00:00,25.48
