Date,Time,Values
03/11/2016,17:00:00,119.00
03/11/2016,18:00:00,124.25
03/11/2016,19:00:00,112.50
03/11/2016,20:00:00,120.50
03/11/2016,21:00:00,115.00
03/11/2016,22:00:00,117.50
03/11/2016,23:00:00,123.50
04/11/2016,00:00:00,142.25
04/11/2016,01:00:00,225.00
04/11/2016,02:00:00,121.50
04/11/2016,03:00:00,136.75
04/11/2016,04:00:00,255.75
04/11/2016,05:00:00,262.75
04/11/2016,06:00:00,219.00
04/11/2016,07:00:00,250.25
04/11/2016,08:00:00,225.25
04/11/2016,09:00:00,206.25
04/11/2016,10:00:00,218.00
04/11/2016,11:00:00,205.25
04/11/2016,12:00:00,216.50
04/11/2016,13:00:00,247.75
04/11/2016,14:00:00,337.25
04/11/2016,15:00:00,315.75
04/11/2016,16:00:00,303.25
04/11/2016,17:00:00,187.50
04/11/2016,18:00:00,144.50
04/11/2016,19:00:00,125.00
04/11/2016,20:00:00,233.00
04/11/2016,21:00:00,212.50
04/11/2016,22:00:00,257.25
04/11/2016,23:00:00,254.25
05/11/2016,00:00:00,242.50
05/11/2016,01:00:00,242.00
05/11/2016,02:00:00,258.25
05/11/2016,03:00:00,262.25
05/11/2016,04:00:00,221.00
05/11/2016,05:00:00,236.75
05/11/2016,06:00:00,236.00
05/11/2016,07:00:00,242.25
05/11/2016,08:00:00,227.75
05/11/2016,09:00:00,227.25
05/11/2016,10:00:00,225.50
05/11/2016,11:00:00,253.50
05/11/2016,12:00:00,257.00
05/11/2016,13:00:00,283.75
05/11/2016,14:00:00,301.75
05/11/2016,15:00:00,307.25
05/11/2016,16:00:00,146.50
05/11/2016,17:00:00,106.25
05/11/2016,18:00:00,120.25
05/11/2016,19:00:00,124.00
05/11/2016,20:00:00,140.50
05/11/2016,21:00:00,119.75
05/11/2016,22:00:00,157.50
05/11/2016,23:00:00,251.50
06/11/2016,00:00:00,319.75
06/11/2016,01:00:00,171.25
06/11/2016,02:00:00,297.75
06/11/2016,03:00:00,267.25
06/11/2016,04:00:00,233.75
06/11/2016,05:00:00,247.50
06/11/2016,06:00:00,281.00
06/11/2016,07:00:00,277.00
06/11/2016,08:00:00,265.67
06/11/2016,09:00:00,229.00
06/11/2016,10:00:00,246.50
06/11/2016,11:00:00,243.00
06/11/2016,12:00:00,241.25
06/11/2016,13:00:00,262.75
06/11/2016,14:00:00,342.75
06/11/2016,15:00:00,20.25
06/11/2016,16:00:00,170.25
06/11/2016,17:00:00,131.75
06/11/2016,18:00:00,141.25
06/11/2016,19:00:00,241.00
06/11/2016,20:00:00,139.50
06/11/2016,21:00:00,206.25
06/11/2016,22:00:00,165.75
06/11/2016,23:00:00,121.25
06/11/2016,00:00:00,319.75
06/11/2016,01:00:00,171.25
06/11/2016,02:00:00,297.75
06/11/2016,03:00:00,267.25
06/11/2016,04:00:00,233.75
06/11/2016,05:00:00,247.50
06/11/2016,06:00:00,281.00
06/11/2016,07:00:00,277.00
06/11/2016,08:00:00,265.67
06/11/2016,09:00:00,229.00
06/11/2016,10:00:00,246.50
06/11/2016,11:00:00,243.00
06/11/2016,12:00:00,241.25
06/11/2016,13:00:00,262.75
06/11/2016,14:00:00,342.75
06/11/2016,15:00:00,20.25
06/11/2016,16:00:00,170.25
06/11/2016,17:00:00,131.75
06/11/2016,18:00:00,141.25
06/11/2016,19:00:00,241.00
06/11/2016,20:00:00,139.50
06/11/2016,21:00:00,206.25
06/11/2016,22:00:00,165.75
06/11/2016,23:00:00,121.25
07/11/2016,00:00:00,341.25
07/11/2016,01:00:00,330.50
07/11/2016,02:00:00,293.25
07/11/2016,03:00:00,247.50
07/11/2016,04:00:00,324.75
07/11/2016,05:00:00,230.75
07/11/2016,06:00:00,266.00
07/11/2016,07:00:00,284.75
07/11/2016,08:00:00,233.00
07/11/2016,09:00:00,233.25
07/11/2016,10:00:00,241.25
07/11/2016,11:00:00,280.25
07/11/2016,12:00:00,258.25
07/11/2016,13:00:00,259.25
07/11/2016,14:00:00,267.25
07/11/2016,15:00:00,264.75
07/11/2016,16:00:00,273.00
07/11/2016,17:00:00,180.50
07/11/2016,18:00:00,252.25
07/11/2016,19:00:00,226.75
07/11/2016,20:00:00,264.75
07/11/2016,21:00:00,265.25
07/11/2016,22:00:00,255.00
07/11/2016,23:00:00,272.75
08/11/2016,00:00:00,271.00
08/11/2016,01:00:00,255.00
08/11/2016,02:00:00,249.00
08/11/2016,03:00:00,258.75
08/11/2016,04:00:00,256.00
08/11/2016,05:00:00,260.75
08/11/2016,06:00:00,258.00
08/11/2016,07:00:00,239.00
08/11/2016,08:00:00,239.75
08/11/2016,09:00:00,235.75
08/11/2016,10:00:00,241.25
08/11/2016,11:00:00,250.00
08/11/2016,12:00:00,249.00
08/11/2016,13:00:00,252.25
08/11/2016,14:00:00,254.75
08/11/2016,15:00:00,254.50
08/11/2016,16:00:00,271.50
08/11/2016,17:00:00,237.00
08/11/2016,18:00:00,270.00
08/11/2016,19:00:00,88.50
08/11/2016,20:00:00,177.00
08/11/2016,21:00:00,282.00
08/11/2016,22:00:00,161.75
08/11/2016,23:00:00,129.75
09/11/2016,00:00:00,52.25
09/11/2016,01:00:00,122.25
09/11/2016,02:00:00,183.25
09/11/2016,03:00:00,235.75
09/11/2016,04:00:00,255.75
09/11/2016,05:00:00,249.00
09/11/2016,06:00:00,241.25
09/11/2016,07:00:00,249.00
09/11/2016,08:00:00,220.25
09/11/2016,09:00:00,205.25
09/11/2016,10:00:00,206.00
09/11/2016,11:00:00,220.00
09/11/2016,12:00:00,238.75
09/11/2016,13:00:00,245.00
09/11/2016,14:00:00,251.50
09/11/2016,15:00:00,255.25
09/11/2016,16:00:00,270.25
09/11/2016,17:00:00,86.00
09/11/2016,18:00:00,111.25
09/11/2016,19:00:00,76.50
09/11/2016,20:00:00,78.50
09/11/2016,21:00:00,217.50
09/11/2016,22:00:00,116.00
09/11/2016,23:00:00,123.75
10/11/2016,00:00:00,124.25
10/11/2016,01:00:00,132.75
10/11/2016,02:00:00,131.50
10/11/2016,03:00:00,214.00
10/11/2016,04:00:00,275.25
10/11/2016,05:00:00,236.25
10/11/2016,06:00:00,235.75
10/11/2016,07:00:00,232.75
10/11/2016,08:00:00,224.50
10/11/2016,09:00:00,215.50
10/11/2016,10:00:00,201.00
10/11/2016,11:00:00,192.50
10/11/2016,12:00:00,124.00
10/11/2016,13:00:00,78.25
10/11/2016,14:00:00,113.75
10/11/2016,15:00:00,127.00
10/11/2016,16:00:00,139.75
10/11/2016,17:00:00,116.75
10/11/2016,18:00:00,120.25
10/11/2016,19:00:00,115.75
10/11/2016,20:00:00,121.75
10/11/2016,21:00:00,175.00
10/11/2016,22:00:00,263.75
10/11/2016,23:00:00,125.75
11/11/2016,00:00:00,122.00
11/11/2016,01:00:00,122.50
11/11/2016,02:00:00,138.50
11/11/2016,03:00:00,123.25
11/11/2016,04:00:00,112.50
11/11/2016,05:00:00,89.25
11/11/2016,06:00:00,105.50
11/11/2016,07:00:00,78.25
11/11/2016,08:00:00,48.00
11/11/2016,09:00:00,74.50
11/11/2016,10:00:00,118.00
11/11/2016,11:00:00,105.75
11/11/2016,12:00:00,112.25
11/11/2016,13:00:00,105.50
11/11/2016,14:00:00,106.75
11/11/2016,15:00:00,113.50
11/11/2016,16:00:00,119.75
11/11/2016,17:00:00,114.50
11/11/2016,18:00:00,106.00
11/11/2016,19:00:00,112.75
11/11/2016,20:00:00,105.25
11/11/2016,21:00:00,109.25
11/11/2016,22:00:00,115.25
11/11/2016,23:00:00,128.50
12/11/2016,00:00:00,148.75
12/11/2016,01:00:00,239.00
12/11/2016,02:00:00,199.00
12/11/2016,03:00:00,102.50
12/11/2016,04:00:00,144.67
12/11/2016,05:00:00,248.50
12/11/2016,06:00:00,139.50
12/11/2016,07:00:00,141.25
12/11/2016,08:00:00,125.50
12/11/2016,09:00:00,105.00
12/11/2016,10:00:00,101.50
12/11/2016,11:00:00,123.00
12/11/2016,12:00:00,127.25
12/11/2016,13:00:00,92.50
12/11/2016,14:00:00,85.00
12/11/2016,15:00:00,108.50
12/11/2016,16:00:00,117.75
12/11/2016,17:00:00,115.50
12/11/2016,18:00:00,109.25
12/11/2016,19:00:00,97.50
12/11/2016,20:00:00,120.50
12/11/2016,21:00:00,121.50
12/11/2016,22:00:00,88.00
12/11/2016,23:00:00,144.50
13/11/2016,00:00:00,91.75
13/11/2016,01:00:00,175.50
13/11/2016,02:00:00,260.75
13/11/2016,03:00:00,270.75
13/11/2016,04:00:00,92.25
13/11/2016,05:00:00,339.00
13/11/2016,06:00:00,237.00
13/11/2016,07:00:00,26.25
13/11/2016,08:00:00,31.00
13/11/2016,09:00:00,31.75
13/11/2016,10:00:00,99.75
13/11/2016,11:00:00,102.75
13/11/2016,12:00:00,116.00
13/11/2016,13:00:00,127.75
13/11/2016,14:00:00,134.25
13/11/2016,15:00:00,114.00
13/11/2016,16:00:00,107.50
13/11/2016,17:00:00,116.00
13/11/2016,18:00:00,138.75
13/11/2016,19:00:00,176.00
13/11/2016,20:00:00,172.25
13/11/2016,21:00:00,99.50
13/11/2016,22:00:00,198.25
13/11/2016,23:00:00,151.75
14/11/2016,00:00:00,221.75
14/11/2016,01:00:00,280.50
14/11/2016,02:00:00,86.50
14/11/2016,03:00:00,120.50
14/11/2016,04:00:00,161.00
14/11/2016,05:00:00,122.00
14/11/2016,06:00:00,146.75
14/11/2016,07:00:00,125.75
14/11/2016,08:00:00,183.75
14/11/2016,09:00:00,17.50
14/11/2016,10:00:00,33.00
14/11/2016,11:00:00,23.00
14/11/2016,12:00:00,63.50
14/11/2016,13:00:00,20.00
14/11/2016,14:00:00,12.00
14/11/2016,15:00:00,100.00
14/11/2016,16:00:00,119.00
14/11/2016,17:00:00,217.50
14/11/2016,18:00:00,133.25
14/11/2016,19:00:00,125.75
14/11/2016,20:00:00,112.75
14/11/2016,21:00:00,124.00
14/11/2016,22:00:00,161.50
