Date,Time,Values
03/11/2016,16:00:00,0.10
03/11/2016,17:00:00,0.10
03/11/2016,18:00:00,0.10
03/11/2016,19:00:00,0.10
03/11/2016,20:00:00,0.10
03/11/2016,21:00:00,0.10
03/11/2016,22:00:00,0.10
03/11/2016,23:00:00,0.10
04/11/2016,00:00:00,0.10
04/11/2016,01:00:00,0.10
04/11/2016,02:00:00,0.10
04/11/2016,03:00:00,0.10
04/11/2016,04:00:00,0.10
04/11/2016,05:00:00,0.10
04/11/2016,06:00:00,0.10
04/11/2016,07:00:00,0.10
04/11/2016,08:00:00,0.10
04/11/2016,09:00:00,0.10
04/11/2016,10:00:00,0.10
04/11/2016,11:00:00,0.10
04/11/2016,12:00:00,0.13
04/11/2016,13:00:00,0.10
04/11/2016,14:00:00,0.10
04/11/2016,15:00:00,0.10
04/11/2016,16:00:00,0.10
04/11/2016,17:00:00,0.10
04/11/2016,18:00:00,0.10
04/11/2016,19:00:00,0.10
04/11/2016,20:00:00,0.10
04/11/2016,21:00:00,0.10
04/11/2016,22:00:00,0.10
04/11/2016,23:00:00,0.10
05/11/2016,00:00:00,0.10
05/11/2016,01:00:00,0.10
05/11/2016,02:00:00,0.10
05/11/2016,03:00:00,0.10
05/11/2016,04:00:00,0.10
05/11/2016,05:00:00,0.10
05/11/2016,06:00:00,0.13
05/11/2016,07:00:00,0.13
05/11/2016,08:00:00,0.13
05/11/2016,09:00:00,0.28
05/11/2016,10:00:00,0.20
05/11/2016,11:00:00,0.13
05/11/2016,12:00:00,0.20
05/11/2016,13:00:00,0.18
05/11/2016,14:00:00,0.15
05/11/2016,15:00:00,0.18
05/11/2016,16:00:00,0.20
05/11/2016,17:00:00,0.30
05/11/2016,18:00:00,0.28
05/11/2016,19:00:00,0.30
05/11/2016,20:00:00,0.30
05/11/2016,21:00:00,0.30
05/11/2016,22:00:00,0.27
05/11/2016,23:00:00,0.27
06/11/2016,00:00:00,0.30
06/11/2016,01:00:00,0.18
06/11/2016,02:00:00,0.28
06/11/2016,03:00:00,0.28
06/11/2016,04:00:00,0.28
06/11/2016,05:00:00,0.30
06/11/2016,06:00:00,0.25
06/11/2016,07:00:00,0.30
06/11/2016,08:00:00,0.30
06/11/2016,09:00:00,0.30
06/11/2016,10:00:00,0.27
06/11/2016,11:00:00,0.23
06/11/2016,12:00:00,0.18
06/11/2016,13:00:00,0.18
06/11/2016,14:00:00,0.18
06/11/2016,15:00:00,0.28
06/11/2016,16:00:00,0.30
06/11/2016,17:00:00,0.30
06/11/2016,18:00:00,0.25
06/11/2016,19:00:00,0.23
06/11/2016,20:00:00,0.30
06/11/2016,21:00:00,0.30
06/11/2016,22:00:00,0.28
06/11/2016,23:00:00,0.27
06/11/2016,00:00:00,0.30
06/11/2016,01:00:00,0.18
06/11/2016,02:00:00,0.28
06/11/2016,03:00:00,0.28
06/11/2016,04:00:00,0.28
06/11/2016,05:00:00,0.30
06/11/2016,06:00:00,0.25
06/11/2016,07:00:00,0.30
06/11/2016,08:00:00,0.30
06/11/2016,09:00:00,0.30
06/11/2016,10:00:00,0.27
06/11/2016,11:00:00,0.23
06/11/2016,12:00:00,0.18
06/11/2016,13:00:00,0.18
06/11/2016,14:00:00,0.18
06/11/2016,15:00:00,0.28
06/11/2016,16:00:00,0.30
06/11/2016,17:00:00,0.30
06/11/2016,18:00:00,0.25
06/11/2016,19:00:00,0.23
06/11/2016,20:00:00,0.30
06/11/2016,21:00:00,0.30
06/11/2016,22:00:00,0.28
06/11/2016,23:00:00,0.27
07/11/2016,00:00:00,0.30
07/11/2016,01:00:00,0.27
07/11/2016,02:00:00,0.30
07/11/2016,03:00:00,0.25
07/11/2016,04:00:00,0.25
07/11/2016,05:00:00,0.13
07/11/2016,06:00:00,0.25
07/11/2016,07:00:00,0.25
07/11/2016,08:00:00,0.30
07/11/2016,09:00:00,0.35
07/11/2016,10:00:00,0.25
07/11/2016,11:00:00,0.20
07/11/2016,12:00:00,0.45
07/11/2016,13:00:00,0.63
07/11/2016,14:00:00,0.38
07/11/2016,15:00:00,0.35
07/11/2016,16:00:00,0.22
07/11/2016,17:00:00,0.18
07/11/2016,18:00:00,0.25
07/11/2016,19:00:00,0.30
07/11/2016,20:00:00,0.23
07/11/2016,21:00:00,0.25
