Date,Time,Values
01/01/2011,00:00:00,739.14
01/01/2011,01:00:00,739.19
01/01/2011,02:00:00,739.23
01/01/2011,03:00:00,739.20
01/01/2011,04:00:00,739.14
01/01/2011,05:00:00,739.55
01/01/2011,06:00:00,739.87
01/01/2011,07:00:00,740.52
01/01/2011,08:00:00,740.66
01/01/2011,09:00:00,741.31
01/01/2011,10:00:00,741.81
01/01/2011,11:00:00,741.64
01/01/2011,12:00:00,741.09
01/01/2011,13:00:00,740.44
01/01/2011,14:00:00,739.95
01/01/2011,15:00:00,739.42
01/01/2011,16:00:00,738.86
01/01/2011,17:00:00,738.72
01/01/2011,18:00:00,739.02
01/01/2011,19:00:00,739.36
01/01/2011,20:00:00,739.47
01/01/2011,21:00:00,739.64
01/01/2011,22:00:00,739.78
01/01/2011,23:00:00,739.49
02/01/2011,00:00:00,739.20
02/01/2011,01:00:00,738.93
02/01/2011,02:00:00,738.65
02/01/2011,03:00:00,738.28
02/01/2011,04:00:00,737.99
02/01/2011,05:00:00,738.07
02/01/2011,06:00:00,738.50
02/01/2011,07:00:00,738.90
02/01/2011,08:00:00,739.60
02/01/2011,09:00:00,740.47
02/01/2011,10:00:00,741.12
02/01/2011,11:00:00,740.89
02/01/2011,12:00:00,740.29
02/01/2011,13:00:00,739.82
02/01/2011,14:00:00,739.73
02/01/2011,15:00:00,739.69
02/01/2011,16:00:00,739.81
02/01/2011,17:00:00,740.17
02/01/2011,18:00:00,740.72
02/01/2011,19:00:00,741.15
02/01/2011,20:00:00,741.43
02/01/2011,21:00:00,741.64
02/01/2011,22:00:00,741.32
02/01/2011,23:00:00,741.23
03/01/2011,00:00:00,740.91
03/01/2011,01:00:00,740.82
03/01/2011,02:00:00,740.71
03/01/2011,03:00:00,740.78
03/01/2011,04:00:00,740.87
03/01/2011,05:00:00,740.93
03/01/2011,06:00:00,741.22
03/01/2011,07:00:00,741.76
03/01/2011,08:00:00,742.26
03/01/2011,09:00:00,743.01
03/01/2011,10:00:00,743.53
03/01/2011,11:00:00,743.40
03/01/2011,12:00:00,743.27
03/01/2011,13:00:00,742.72
03/01/2011,14:00:00,742.37
03/01/2011,15:00:00,741.81
03/01/2011,16:00:00,741.35
03/01/2011,17:00:00,740.45
03/01/2011,18:00:00,740.88
03/01/2011,19:00:00,741.56
03/01/2011,20:00:00,741.88
03/01/2011,21:00:00,742.07
03/01/2011,22:00:00,741.92
03/01/2011,23:00:00,741.76
04/01/2011,00:00:00,741.65
04/01/2011,01:00:00,741.50
04/01/2011,02:00:00,741.39
04/01/2011,03:00:00,741.25
04/01/2011,04:00:00,741.15
04/01/2011,05:00:00,741.30
04/01/2011,06:00:00,741.53
04/01/2011,07:00:00,742.03
04/01/2011,08:00:00,742.46
04/01/2011,09:00:00,743.15
04/01/2011,10:00:00,743.40
04/01/2011,11:00:00,742.89
04/01/2011,12:00:00,742.34
04/01/2011,13:00:00,741.81
04/01/2011,14:00:00,741.33
04/01/2011,15:00:00,740.88
04/01/2011,16:00:00,740.67
04/01/2011,17:00:00,740.55
04/01/2011,18:00:00,740.64
04/01/2011,19:00:00,740.99
04/01/2011,20:00:00,741.16
04/01/2011,21:00:00,741.40
04/01/2011,22:00:00,741.38
04/01/2011,23:00:00,741.38
05/01/2011,00:00:00,741.26
05/01/2011,01:00:00,741.18
05/01/2011,02:00:00,740.95
05/01/2011,03:00:00,740.79
05/01/2011,04:00:00,740.60
05/01/2011,05:00:00,740.46
05/01/2011,06:00:00,740.82
05/01/2011,07:00:00,741.27
05/01/2011,08:00:00,741.65
05/01/2011,09:00:00,742.10
05/01/2011,10:00:00,742.27
05/01/2011,11:00:00,742.06
05/01/2011,12:00:00,741.37
05/01/2011,13:00:00,740.78
