Date,Time,Values
26/05/2016,18:00:00,0.63
26/05/2016,19:00:00,1.06
26/05/2016,20:00:00,2.59
26/05/2016,21:00:00,3.04
26/05/2016,22:00:00,3.20
27/05/2016,13:00:00,7.43
27/05/2016,14:00:00,11.13
27/05/2016,15:00:00,3.60
27/05/2016,16:00:00,2.42
27/05/2016,17:00:00,2.92
27/05/2016,18:00:00,2.66
27/05/2016,19:00:00,2.61
27/05/2016,20:00:00,2.74
27/05/2016,21:00:00,1.82
27/05/2016,23:00:00,1.59
28/05/2016,00:00:00,1.92
28/05/2016,01:00:00,2.41
28/05/2016,02:00:00,2.48
28/05/2016,03:00:00,2.39
28/05/2016,04:00:00,1.37
28/05/2016,05:00:00,0.97
28/05/2016,06:00:00,0.94
28/05/2016,07:00:00,0.95
28/05/2016,08:00:00,1.50
28/05/2016,09:00:00,1.68
28/05/2016,10:00:00,1.29
28/05/2016,11:00:00,1.92
28/05/2016,12:00:00,1.59
28/05/2016,13:00:00,1.40
28/05/2016,14:00:00,1.16
28/05/2016,15:00:00,1.30
28/05/2016,16:00:00,1.10
28/05/2016,17:00:00,1.68
28/05/2016,18:00:00,2.22
28/05/2016,19:00:00,2.62
28/05/2016,20:00:00,2.46
28/05/2016,21:00:00,2.49
30/05/2016,16:00:00,3.84
30/05/2016,17:00:00,4.12
30/05/2016,18:00:00,2.20
31/05/2016,04:00:00,3.08
31/05/2016,05:00:00,3.55
31/05/2016,20:00:00,0.83
01/06/2016,16:00:00,1.17
01/06/2016,17:00:00,0.87
01/06/2016,18:00:00,1.41
01/06/2016,19:00:00,2.09
01/06/2016,20:00:00,2.51
01/06/2016,21:00:00,2.10
01/06/2016,22:00:00,1.78
01/06/2016,23:00:00,1.31
02/06/2016,00:00:00,0.62
02/06/2016,03:00:00,0.75
02/06/2016,04:00:00,1.21
02/06/2016,05:00:00,1.46
02/06/2016,06:00:00,1.54
02/06/2016,07:00:00,1.39
02/06/2016,08:00:00,1.12
02/06/2016,09:00:00,0.96
02/06/2016,10:00:00,0.88
02/06/2016,11:00:00,0.96
02/06/2016,12:00:00,1.34
02/06/2016,13:00:00,1.78
02/06/2016,14:00:00,1.89
02/06/2016,15:00:00,1.92
03/06/2016,15:00:00,0.27
03/06/2016,18:00:00,1.23
03/06/2016,19:00:00,1.07
03/06/2016,20:00:00,1.87
03/06/2016,21:00:00,1.96
03/06/2016,22:00:00,2.16
03/06/2016,23:00:00,3.03
03/06/2016,15:00:00,0.27
03/06/2016,18:00:00,1.23
03/06/2016,19:00:00,1.07
03/06/2016,20:00:00,1.87
03/06/2016,21:00:00,1.96
03/06/2016,22:00:00,2.16
03/06/2016,23:00:00,3.03
04/06/2016,00:00:00,3.45
04/06/2016,01:00:00,2.90
04/06/2016,02:00:00,2.69
04/06/2016,03:00:00,2.25
04/06/2016,04:00:00,1.58
04/06/2016,05:00:00,1.29
04/06/2016,06:00:00,1.34
04/06/2016,07:00:00,1.81
04/06/2016,08:00:00,2.52
04/06/2016,09:00:00,2.59
04/06/2016,10:00:00,1.76
04/06/2016,11:00:00,1.54
04/06/2016,12:00:00,0.92
15/06/2016,13:00:00,2.15
15/06/2016,14:00:00,2.07
15/06/2016,15:00:00,1.99
15/06/2016,17:00:00,2.11
15/06/2016,18:00:00,1.28
15/06/2016,19:00:00,0.77
15/06/2016,20:00:00,0.61
15/06/2016,21:00:00,4.32
15/06/2016,22:00:00,13.56
15/06/2016,23:00:00,15.11
16/06/2016,00:00:00,1.89
16/06/2016,01:00:00,1.13
16/06/2016,02:00:00,1.10
16/06/2016,03:00:00,1.20
16/06/2016,04:00:00,1.22
16/06/2016,05:00:00,1.23
16/06/2016,06:00:00,1.46
16/06/2016,07:00:00,1.43
16/06/2016,08:00:00,0.29
16/06/2016,09:00:00,0.55
16/06/2016,10:00:00,2.95
16/06/2016,12:00:00,1.66
16/06/2016,13:00:00,1.47
16/06/2016,14:00:00,1.44
16/06/2016,15:00:00,1.56
16/06/2016,16:00:00,2.12
16/06/2016,17:00:00,1.45
16/06/2016,18:00:00,0.79
16/06/2016,19:00:00,1.63
16/06/2016,20:00:00,1.34
16/06/2016,21:00:00,1.31
16/06/2016,22:00:00,1.25
16/06/2016,23:00:00,1.23
17/06/2016,00:00:00,1.38
17/06/2016,01:00:00,2.42
17/06/2016,02:00:00,0.77
17/06/2016,03:00:00,0.90
17/06/2016,04:00:00,1.78
17/06/2016,05:00:00,1.29
17/06/2016,06:00:00,1.22
17/06/2016,07:00:00,1.06
17/06/2016,08:00:00,0.60
17/06/2016,09:00:00,1.24
17/06/2016,10:00:00,1.53
17/06/2016,12:00:00,1.38
17/06/2016,13:00:00,4.08
17/06/2016,14:00:00,1.44
17/06/2016,15:00:00,1.46
17/06/2016,16:00:00,1.74
17/06/2016,17:00:00,1.36
17/06/2016,18:00:00,1.38
17/06/2016,19:00:00,0.45
17/06/2016,20:00:00,0.44
17/06/2016,21:00:00,0.69
17/06/2016,22:00:00,0.99
17/06/2016,23:00:00,1.25
18/06/2016,00:00:00,1.35
18/06/2016,01:00:00,1.35
18/06/2016,02:00:00,1.01
18/06/2016,03:00:00,0.99
18/06/2016,04:00:00,0.99
18/06/2016,05:00:00,1.30
18/06/2016,06:00:00,1.23
18/06/2016,07:00:00,2.28
18/06/2016,08:00:00,1.97
18/06/2016,09:00:00,2.79
18/06/2016,10:00:00,3.91
18/06/2016,11:00:00,5.52
18/06/2016,12:00:00,3.53
18/06/2016,13:00:00,1.69
18/06/2016,17:00:00,2.66
18/06/2016,18:00:00,1.83
18/06/2016,19:00:00,1.33
18/06/2016,20:00:00,1.11
18/06/2016,21:00:00,0.92
18/06/2016,22:00:00,1.24
19/06/2016,00:00:00,10.78
19/06/2016,01:00:00,10.12
19/06/2016,02:00:00,7.42
19/06/2016,03:00:00,7.36
19/06/2016,04:00:00,7.15
19/06/2016,05:00:00,6.69
19/06/2016,06:00:00,6.96
19/06/2016,07:00:00,5.61
19/06/2016,08:00:00,10.29
19/06/2016,09:00:00,11.20
19/06/2016,10:00:00,5.89
19/06/2016,11:00:00,4.46
19/06/2016,12:00:00,4.89
19/06/2016,13:00:00,5.17
19/06/2016,14:00:00,6.17
19/06/2016,15:00:00,9.81
19/06/2016,16:00:00,3.42
19/06/2016,17:00:00,1.20
19/06/2016,18:00:00,1.84
19/06/2016,19:00:00,2.96
19/06/2016,20:00:00,5.61
19/06/2016,21:00:00,9.22
19/06/2016,22:00:00,10.32
19/06/2016,23:00:00,9.35
20/06/2016,00:00:00,8.85
20/06/2016,01:00:00,6.36
20/06/2016,02:00:00,5.04
20/06/2016,03:00:00,5.42
20/06/2016,04:00:00,5.46
20/06/2016,05:00:00,5.88
20/06/2016,06:00:00,6.00
20/06/2016,07:00:00,6.47
20/06/2016,08:00:00,8.73
20/06/2016,09:00:00,4.17
20/06/2016,10:00:00,1.60
20/06/2016,11:00:00,1.61
20/06/2016,15:00:00,3.24
20/06/2016,16:00:00,3.93
