Date,Time,Values
26/05/2016,16:00:00,0.76
26/05/2016,17:00:00,1.54
26/05/2016,18:00:00,1.07
26/05/2016,19:00:00,2.29
26/05/2016,20:00:00,2.93
26/05/2016,21:00:00,3.13
26/05/2016,22:00:00,2.76
27/05/2016,12:00:00,0.84
27/05/2016,13:00:00,1.38
27/05/2016,14:00:00,0.75
27/05/2016,16:00:00,1.19
27/05/2016,17:00:00,0.82
27/05/2016,18:00:00,0.76
27/05/2016,19:00:00,1.89
27/05/2016,20:00:00,2.15
27/05/2016,21:00:00,2.74
27/05/2016,23:00:00,3.67
28/05/2016,00:00:00,1.98
28/05/2016,01:00:00,1.28
28/05/2016,03:00:00,0.73
28/05/2016,06:00:00,1.61
28/05/2016,07:00:00,1.22
28/05/2016,08:00:00,0.71
28/05/2016,14:00:00,20.16
28/05/2016,15:00:00,76.83
28/05/2016,16:00:00,12.71
28/05/2016,17:00:00,5.92
28/05/2016,18:00:00,4.03
28/05/2016,19:00:00,3.48
28/05/2016,20:00:00,2.69
28/05/2016,21:00:00,2.33
30/05/2016,17:00:00,1.51
30/05/2016,18:00:00,2.03
31/05/2016,04:00:00,2.28
31/05/2016,05:00:00,2.27
31/05/2016,20:00:00,0.68
01/06/2016,16:00:00,1.21
01/06/2016,17:00:00,0.50
01/06/2016,18:00:00,1.97
01/06/2016,19:00:00,2.67
01/06/2016,20:00:00,2.62
01/06/2016,21:00:00,1.61
01/06/2016,22:00:00,1.27
01/06/2016,23:00:00,2.01
02/06/2016,00:00:00,0.73
02/06/2016,09:00:00,0.75
02/06/2016,12:00:00,1.50
03/06/2016,18:00:00,0.95
03/06/2016,19:00:00,2.07
03/06/2016,20:00:00,2.30
03/06/2016,21:00:00,3.91
03/06/2016,22:00:00,4.04
03/06/2016,23:00:00,5.35
03/06/2016,18:00:00,0.95
03/06/2016,19:00:00,2.07
03/06/2016,20:00:00,2.30
03/06/2016,21:00:00,3.91
03/06/2016,22:00:00,4.04
03/06/2016,23:00:00,5.35
04/06/2016,00:00:00,4.83
04/06/2016,01:00:00,3.43
04/06/2016,02:00:00,2.31
04/06/2016,03:00:00,2.90
04/06/2016,04:00:00,5.48
04/06/2016,05:00:00,4.83
04/06/2016,06:00:00,4.01
04/06/2016,07:00:00,3.50
04/06/2016,08:00:00,3.70
