Date,Time,Values
26/05/2016,16:00:00,0.68
26/05/2016,17:00:00,0.65
26/05/2016,18:00:00,0.83
26/05/2016,19:00:00,2.42
26/05/2016,20:00:00,5.43
26/05/2016,21:00:00,8.07
26/05/2016,22:00:00,9.01
27/05/2016,12:00:00,0.71
27/05/2016,13:00:00,0.92
27/05/2016,17:00:00,0.96
27/05/2016,19:00:00,2.23
27/05/2016,20:00:00,3.28
27/05/2016,21:00:00,2.69
28/05/2016,14:00:00,87.70
28/05/2016,15:00:00,371.34
28/05/2016,16:00:00,62.31
28/05/2016,17:00:00,23.50
28/05/2016,18:00:00,16.08
28/05/2016,19:00:00,13.58
28/05/2016,20:00:00,11.26
28/05/2016,21:00:00,9.75
31/05/2016,04:00:00,3.86
31/05/2016,05:00:00,4.43
01/06/2016,18:00:00,3.05
01/06/2016,19:00:00,5.03
01/06/2016,20:00:00,4.30
02/06/2016,09:00:00,0.96
02/06/2016,10:00:00,0.56
03/06/2016,18:00:00,1.59
03/06/2016,19:00:00,3.76
03/06/2016,20:00:00,5.93
03/06/2016,21:00:00,6.91
03/06/2016,22:00:00,8.35
03/06/2016,23:00:00,15.04
15/03/2017,08:00:00,19.55
15/03/2017,09:00:00,34.26
15/03/2017,10:00:00,1.26
15/03/2017,11:00:00,0.75
15/03/2017,12:00:00,0.46
15/03/2017,13:00:00,0.34
15/03/2017,14:00:00,0.46
15/03/2017,15:00:00,0.51
15/03/2017,16:00:00,0.35
15/03/2017,17:00:00,0.34
15/03/2017,18:00:00,0.87
15/03/2017,19:00:00,1.63
15/03/2017,20:00:00,1.69
15/03/2017,21:00:00,1.61
15/03/2017,22:00:00,2.43
15/03/2017,23:00:00,5.56
16/03/2017,00:00:00,5.46
16/03/2017,01:00:00,3.47
16/03/2017,02:00:00,1.68
16/03/2017,03:00:00,1.24
16/03/2017,04:00:00,1.12
16/03/2017,05:00:00,0.38
16/03/2017,06:00:00,0.57
16/03/2017,07:00:00,0.41
16/03/2017,08:00:00,0.77
16/03/2017,09:00:00,0.81
16/03/2017,10:00:00,1.97
16/03/2017,11:00:00,1.17
16/03/2017,15:00:00,0.22
16/03/2017,16:00:00,0.78
16/03/2017,17:00:00,1.24
16/03/2017,18:00:00,1.30
16/03/2017,19:00:00,1.39
16/03/2017,20:00:00,1.03
16/03/2017,21:00:00,0.92
16/03/2017,22:00:00,1.40
16/03/2017,23:00:00,1.72
17/03/2017,00:00:00,1.79
17/03/2017,01:00:00,0.90
17/03/2017,03:00:00,0.62
17/03/2017,04:00:00,0.33
17/03/2017,06:00:00,0.17
17/03/2017,07:00:00,0.70
17/03/2017,08:00:00,1.02
17/03/2017,09:00:00,0.52
