Date,Time,Values
01/01/2011,00:00:00,17.68
01/01/2011,01:00:00,10.98
01/01/2011,02:00:00,8.59
01/01/2011,03:00:00,8.24
01/01/2011,04:00:00,7.10
01/01/2011,05:00:00,6.18
01/01/2011,06:00:00,6.38
01/01/2011,07:00:00,6.28
01/01/2011,08:00:00,8.07
01/01/2011,09:00:00,7.28
01/01/2011,10:00:00,12.00
01/01/2011,11:00:00,12.50
01/01/2011,12:00:00,10.91
01/01/2011,13:00:00,10.96
01/01/2011,14:00:00,10.53
01/01/2011,15:00:00,10.57
01/01/2011,16:00:00,11.34
01/01/2011,17:00:00,13.66
01/01/2011,18:00:00,19.49
01/01/2011,19:00:00,16.91
01/01/2011,20:00:00,11.17
01/01/2011,21:00:00,10.54
01/01/2011,22:00:00,7.39
01/01/2011,23:00:00,5.83
02/01/2011,00:00:00,5.08
02/01/2011,01:00:00,4.32
02/01/2011,02:00:00,3.89
02/01/2011,03:00:00,3.86
02/01/2011,04:00:00,3.76
02/01/2011,05:00:00,4.20
02/01/2011,06:00:00,5.09
02/01/2011,07:00:00,6.23
02/01/2011,08:00:00,6.72
02/01/2011,09:00:00,8.06
02/01/2011,10:00:00,9.40
02/01/2011,11:00:00,8.84
02/01/2011,12:00:00,7.19
02/01/2011,13:00:00,9.64
02/01/2011,14:00:00,11.70
02/01/2011,15:00:00,13.77
02/01/2011,16:00:00,14.90
02/01/2011,17:00:00,7.73
02/01/2011,18:00:00,14.32
02/01/2011,19:00:00,9.41
02/01/2011,20:00:00,6.12
02/01/2011,21:00:00,7.14
02/01/2011,22:00:00,6.67
02/01/2011,23:00:00,8.41
03/01/2011,00:00:00,4.90
03/01/2011,01:00:00,3.40
03/01/2011,02:00:00,2.95
03/01/2011,03:00:00,2.88
03/01/2011,04:00:00,2.55
03/01/2011,05:00:00,2.77
03/01/2011,06:00:00,4.03
03/01/2011,07:00:00,4.96
03/01/2011,08:00:00,9.07
03/01/2011,09:00:00,11.77
03/01/2011,10:00:00,12.90
03/01/2011,11:00:00,12.58
03/01/2011,12:00:00,14.44
03/01/2011,13:00:00,15.11
03/01/2011,14:00:00,15.13
03/01/2011,15:00:00,11.69
03/01/2011,16:00:00,16.61
03/01/2011,17:00:00,15.84
03/01/2011,18:00:00,23.27
03/01/2011,19:00:00,37.97
03/01/2011,20:00:00,40.12
03/01/2011,21:00:00,44.02
03/01/2011,22:00:00,18.73
03/01/2011,23:00:00,11.00
04/01/2011,00:00:00,7.55
04/01/2011,01:00:00,6.53
04/01/2011,02:00:00,7.82
04/01/2011,03:00:00,33.23
04/01/2011,04:00:00,50.20
04/01/2011,05:00:00,37.03
04/01/2011,06:00:00,25.66
04/01/2011,07:00:00,29.35
04/01/2011,08:00:00,30.51
04/01/2011,09:00:00,27.47
04/01/2011,10:00:00,22.91
04/01/2011,11:00:00,20.26
04/01/2011,12:00:00,18.84
04/01/2011,13:00:00,13.70
04/01/2011,14:00:00,12.78
04/01/2011,15:00:00,12.18
04/01/2011,16:00:00,12.39
04/01/2011,17:00:00,9.80
04/01/2011,18:00:00,14.80
04/01/2011,19:00:00,22.82
04/01/2011,20:00:00,13.47
04/01/2011,21:00:00,9.28
04/01/2011,22:00:00,6.98
04/01/2011,23:00:00,4.50
05/01/2011,00:00:00,3.95
05/01/2011,01:00:00,4.59
05/01/2011,02:00:00,4.55
05/01/2011,03:00:00,4.45
05/01/2011,04:00:00,3.95
05/01/2011,05:00:00,4.96
05/01/2011,06:00:00,4.92
05/01/2011,07:00:00,13.68
05/01/2011,08:00:00,18.45
05/01/2011,09:00:00,12.56
05/01/2011,10:00:00,9.46
05/01/2011,11:00:00,9.75
05/01/2011,12:00:00,6.93
05/01/2011,13:00:00,8.74
05/01/2011,14:00:00,10.46
05/01/2011,15:00:00,11.09
05/01/2011,16:00:00,13.00
05/01/2011,17:00:00,15.26
05/01/2011,18:00:00,22.02
05/01/2011,19:00:00,51.49
05/01/2011,20:00:00,37.53
05/01/2011,21:00:00,38.70
05/01/2011,22:00:00,26.80
05/01/2011,23:00:00,17.41
06/01/2011,00:00:00,11.52
06/01/2011,01:00:00,14.26
06/01/2011,02:00:00,7.83
06/01/2011,03:00:00,4.44
06/01/2011,04:00:00,5.43
06/01/2011,05:00:00,4.80
06/01/2011,06:00:00,6.67
06/01/2011,07:00:00,6.06
06/01/2011,08:00:00,9.84
06/01/2011,09:00:00,12.35
06/01/2011,10:00:00,12.94
06/01/2011,11:00:00,10.28
06/01/2011,12:00:00,9.40
06/01/2011,13:00:00,5.61
06/01/2011,14:00:00,7.96
06/01/2011,15:00:00,12.36
06/01/2011,16:00:00,14.00
06/01/2011,17:00:00,18.80
06/01/2011,18:00:00,26.52
06/01/2011,19:00:00,36.45
06/01/2011,20:00:00,40.23
06/01/2011,21:00:00,29.19
06/01/2011,22:00:00,31.93
06/01/2011,23:00:00,21.70
07/01/2011,00:00:00,16.59
