Date,Time,Values
01/01/2011,00:00:00,9.22
01/01/2011,01:00:00,4.13
01/01/2011,02:00:00,2.61
01/01/2011,03:00:00,2.38
01/01/2011,04:00:00,1.84
01/01/2011,05:00:00,1.35
01/01/2011,06:00:00,1.68
01/01/2011,07:00:00,1.45
01/01/2011,08:00:00,1.87
01/01/2011,09:00:00,1.40
01/01/2011,10:00:00,2.09
01/01/2011,11:00:00,2.21
01/01/2011,12:00:00,1.65
01/01/2011,13:00:00,1.26
01/01/2011,14:00:00,1.14
01/01/2011,15:00:00,1.18
01/01/2011,16:00:00,1.39
01/01/2011,17:00:00,1.89
01/01/2011,18:00:00,4.42
01/01/2011,19:00:00,3.36
01/01/2011,20:00:00,2.09
01/01/2011,21:00:00,1.89
01/01/2011,22:00:00,1.25
01/01/2011,23:00:00,1.08
02/01/2011,00:00:00,1.01
02/01/2011,01:00:00,NA
02/01/2011,02:00:00,NA
02/01/2011,03:00:00,NA
02/01/2011,04:00:00,NA
02/01/2011,05:00:00,1.04
02/01/2011,06:00:00,1.21
02/01/2011,07:00:00,1.49
02/01/2011,08:00:00,1.51
02/01/2011,09:00:00,1.64
02/01/2011,10:00:00,1.82
02/01/2011,11:00:00,1.69
02/01/2011,12:00:00,1.52
02/01/2011,13:00:00,1.42
02/01/2011,14:00:00,1.36
02/01/2011,15:00:00,1.15
02/01/2011,16:00:00,1.19
02/01/2011,17:00:00,1.03
02/01/2011,18:00:00,3.82
02/01/2011,19:00:00,1.79
02/01/2011,20:00:00,NA
02/01/2011,21:00:00,1.13
02/01/2011,22:00:00,1.09
02/01/2011,23:00:00,1.61
03/01/2011,00:00:00,NA
03/01/2011,01:00:00,NA
03/01/2011,02:00:00,NA
03/01/2011,03:00:00,NA
03/01/2011,04:00:00,NA
03/01/2011,05:00:00,NA
03/01/2011,06:00:00,1.02
03/01/2011,07:00:00,NA
03/01/2011,08:00:00,NA
03/01/2011,09:00:00,1.86
03/01/2011,10:00:00,1.58
03/01/2011,11:00:00,1.33
03/01/2011,12:00:00,1.14
03/01/2011,13:00:00,NA
03/01/2011,14:00:00,NA
03/01/2011,15:00:00,NA
03/01/2011,16:00:00,NA
03/01/2011,17:00:00,1.34
03/01/2011,18:00:00,3.27
03/01/2011,19:00:00,12.41
03/01/2011,20:00:00,17.48
03/01/2011,21:00:00,24.99
03/01/2011,22:00:00,6.69
03/01/2011,23:00:00,2.43
04/01/2011,00:00:00,NA
04/01/2011,01:00:00,NA
04/01/2011,02:00:00,2.97
04/01/2011,03:00:00,22.71
04/01/2011,04:00:00,37.07
04/01/2011,05:00:00,26.87
04/01/2011,06:00:00,18.54
04/01/2011,07:00:00,20.49
04/01/2011,08:00:00,20.93
04/01/2011,09:00:00,13.46
04/01/2011,10:00:00,4.44
04/01/2011,11:00:00,1.94
04/01/2011,12:00:00,1.61
04/01/2011,13:00:00,1.37
04/01/2011,14:00:00,1.49
04/01/2011,15:00:00,1.33
04/01/2011,16:00:00,1.64
04/01/2011,17:00:00,1.75
04/01/2011,18:00:00,3.61
04/01/2011,19:00:00,5.64
04/01/2011,20:00:00,2.50
04/01/2011,21:00:00,1.78
04/01/2011,22:00:00,1.45
04/01/2011,23:00:00,NA
05/01/2011,00:00:00,NA
05/01/2011,01:00:00,1.01
05/01/2011,02:00:00,NA
05/01/2011,03:00:00,NA
05/01/2011,04:00:00,NA
05/01/2011,05:00:00,1.05
05/01/2011,06:00:00,1.03
05/01/2011,07:00:00,4.33
05/01/2011,08:00:00,5.94
05/01/2011,09:00:00,2.75
05/01/2011,10:00:00,2.09
05/01/2011,11:00:00,2.50
05/01/2011,12:00:00,1.67
05/01/2011,13:00:00,1.81
05/01/2011,14:00:00,1.85
05/01/2011,15:00:00,1.50
05/01/2011,16:00:00,1.69
05/01/2011,17:00:00,2.25
05/01/2011,18:00:00,6.51
05/01/2011,19:00:00,34.22
05/01/2011,20:00:00,24.19
05/01/2011,21:00:00,25.60
05/01/2011,22:00:00,16.18
05/01/2011,23:00:00,9.86
06/01/2011,00:00:00,4.76
06/01/2011,01:00:00,7.84
06/01/2011,02:00:00,3.47
06/01/2011,03:00:00,1.09
06/01/2011,04:00:00,1.36
06/01/2011,05:00:00,1.13
06/01/2011,06:00:00,1.57
06/01/2011,07:00:00,1.97
06/01/2011,08:00:00,3.52
06/01/2011,09:00:00,2.82
06/01/2011,10:00:00,3.90
06/01/2011,11:00:00,3.57
06/01/2011,12:00:00,2.41
06/01/2011,13:00:00,1.68
06/01/2011,14:00:00,1.22
06/01/2011,15:00:00,1.27
06/01/2011,16:00:00,1.37
06/01/2011,17:00:00,1.88
06/01/2011,18:00:00,6.42
06/01/2011,19:00:00,19.87
06/01/2011,20:00:00,23.98
06/01/2011,21:00:00,16.34
06/01/2011,22:00:00,20.24
06/01/2011,23:00:00,11.60
07/01/2011,00:00:00,8.76
07/01/2011,01:00:00,5.99
07/01/2011,02:00:00,3.83
07/01/2011,03:00:00,2.17
07/01/2011,04:00:00,1.82
07/01/2011,05:00:00,2.08
07/01/2011,06:00:00,1.94
07/01/2011,07:00:00,1.78
07/01/2011,08:00:00,4.86
07/01/2011,09:00:00,5.96
07/01/2011,10:00:00,5.65
07/01/2011,11:00:00,2.90
07/01/2011,12:00:00,1.96
07/01/2011,13:00:00,1.88
07/01/2011,14:00:00,1.72
07/01/2011,15:00:00,1.38
07/01/2011,16:00:00,1.30
07/01/2011,17:00:00,1.12
07/01/2011,18:00:00,1.62
07/01/2011,19:00:00,13.52
07/01/2011,20:00:00,8.04
07/01/2011,21:00:00,4.88
07/01/2011,22:00:00,14.34
07/01/2011,23:00:00,25.11
08/01/2011,00:00:00,29.11
08/01/2011,01:00:00,26.52
08/01/2011,02:00:00,26.04
08/01/2011,03:00:00,15.68
08/01/2011,04:00:00,10.23
08/01/2011,05:00:00,8.23
08/01/2011,06:00:00,4.57
08/01/2011,07:00:00,5.74
08/01/2011,08:00:00,7.53
08/01/2011,09:00:00,12.66
08/01/2011,10:00:00,13.82
08/01/2011,11:00:00,12.23
08/01/2011,12:00:00,7.20
08/01/2011,13:00:00,2.48
08/01/2011,14:00:00,1.87
08/01/2011,15:00:00,3.59
08/01/2011,16:00:00,2.83
08/01/2011,17:00:00,3.13
08/01/2011,18:00:00,4.11
08/01/2011,19:00:00,12.61
08/01/2011,20:00:00,72.05
08/01/2011,21:00:00,60.18
