Date,Time,Values
01/01/2011,00:00:00,21.63
01/01/2011,01:00:00,15.68
01/01/2011,02:00:00,13.09
01/01/2011,03:00:00,12.75
01/01/2011,04:00:00,11.21
01/01/2011,05:00:00,10.09
01/01/2011,06:00:00,10.00
01/01/2011,07:00:00,10.14
01/01/2011,08:00:00,13.16
01/01/2011,09:00:00,12.25
01/01/2011,10:00:00,20.88
01/01/2011,11:00:00,21.72
01/01/2011,12:00:00,19.32
01/01/2011,13:00:00,20.02
01/01/2011,14:00:00,19.32
01/01/2011,15:00:00,19.34
01/01/2011,16:00:00,20.59
01/01/2011,17:00:00,24.59
01/01/2011,18:00:00,32.66
01/01/2011,19:00:00,29.00
01/01/2011,20:00:00,19.17
01/01/2011,21:00:00,18.20
01/01/2011,22:00:00,12.72
01/01/2011,23:00:00,9.77
02/01/2011,00:00:00,8.34
02/01/2011,01:00:00,6.84
02/01/2011,02:00:00,6.06
02/01/2011,03:00:00,5.87
02/01/2011,04:00:00,5.79
02/01/2011,05:00:00,6.49
02/01/2011,06:00:00,8.06
02/01/2011,07:00:00,9.98
02/01/2011,08:00:00,10.95
02/01/2011,09:00:00,13.51
02/01/2011,10:00:00,15.97
02/01/2011,11:00:00,15.02
02/01/2011,12:00:00,11.90
02/01/2011,13:00:00,17.06
02/01/2011,14:00:00,21.38
02/01/2011,15:00:00,25.94
02/01/2011,16:00:00,28.20
02/01/2011,17:00:00,13.75
02/01/2011,18:00:00,22.98
02/01/2011,19:00:00,16.03
02/01/2011,20:00:00,10.51
02/01/2011,21:00:00,12.39
02/01/2011,22:00:00,11.48
02/01/2011,23:00:00,14.27
03/01/2011,00:00:00,8.17
03/01/2011,01:00:00,5.32
03/01/2011,02:00:00,4.42
03/01/2011,03:00:00,4.25
03/01/2011,04:00:00,3.55
03/01/2011,05:00:00,3.86
03/01/2011,06:00:00,6.19
03/01/2011,07:00:00,8.38
03/01/2011,08:00:00,16.53
03/01/2011,09:00:00,20.77
03/01/2011,10:00:00,23.50
03/01/2011,11:00:00,23.24
03/01/2011,12:00:00,27.34
03/01/2011,13:00:00,28.96
03/01/2011,14:00:00,29.02
03/01/2011,15:00:00,22.17
03/01/2011,16:00:00,32.14
03/01/2011,17:00:00,29.88
03/01/2011,18:00:00,42.18
03/01/2011,19:00:00,58.35
03/01/2011,20:00:00,54.97
03/01/2011,21:00:00,51.50
03/01/2011,22:00:00,27.64
03/01/2011,23:00:00,18.33
04/01/2011,00:00:00,13.57
04/01/2011,01:00:00,11.46
04/01/2011,02:00:00,10.96
04/01/2011,03:00:00,32.86
04/01/2011,04:00:00,45.69
04/01/2011,05:00:00,34.27
04/01/2011,06:00:00,23.73
04/01/2011,07:00:00,28.31
04/01/2011,08:00:00,29.99
04/01/2011,09:00:00,35.19
04/01/2011,10:00:00,39.66
04/01/2011,11:00:00,38.04
04/01/2011,12:00:00,35.63
04/01/2011,13:00:00,25.47
04/01/2011,14:00:00,23.41
04/01/2011,15:00:00,22.40
04/01/2011,16:00:00,22.37
04/01/2011,17:00:00,16.90
04/01/2011,18:00:00,24.30
04/01/2011,19:00:00,37.64
04/01/2011,20:00:00,23.27
04/01/2011,21:00:00,15.78
04/01/2011,22:00:00,11.57
04/01/2011,23:00:00,7.34
05/01/2011,00:00:00,6.21
05/01/2011,01:00:00,7.34
05/01/2011,02:00:00,7.41
05/01/2011,03:00:00,7.18
05/01/2011,04:00:00,6.27
05/01/2011,05:00:00,8.03
05/01/2011,06:00:00,7.98
05/01/2011,07:00:00,20.89
05/01/2011,08:00:00,28.22
05/01/2011,09:00:00,21.02
05/01/2011,10:00:00,15.67
05/01/2011,11:00:00,15.66
05/01/2011,12:00:00,11.12
05/01/2011,13:00:00,14.64
05/01/2011,14:00:00,18.09
05/01/2011,15:00:00,19.92
05/01/2011,16:00:00,23.54
05/01/2011,17:00:00,27.32
05/01/2011,18:00:00,34.68
05/01/2011,19:00:00,52.69
05/01/2011,20:00:00,39.42
05/01/2011,21:00:00,39.66
05/01/2011,22:00:00,29.66
05/01/2011,23:00:00,20.07
06/01/2011,00:00:00,15.81
06/01/2011,01:00:00,16.71
06/01/2011,02:00:00,10.21
06/01/2011,03:00:00,6.91
06/01/2011,04:00:00,8.53
06/01/2011,05:00:00,7.59
06/01/2011,06:00:00,10.75
06/01/2011,07:00:00,8.89
06/01/2011,08:00:00,14.29
06/01/2011,09:00:00,20.47
06/01/2011,10:00:00,20.05
06/01/2011,11:00:00,15.09
06/01/2011,12:00:00,15.06
06/01/2011,13:00:00,8.40
06/01/2011,14:00:00,13.94
06/01/2011,15:00:00,22.88
06/01/2011,16:00:00,26.09
06/01/2011,17:00:00,35.14
06/01/2011,18:00:00,44.04
06/01/2011,19:00:00,43.81
06/01/2011,20:00:00,45.25
06/01/2011,21:00:00,34.33
06/01/2011,22:00:00,33.98
06/01/2011,23:00:00,26.21
07/01/2011,00:00:00,20.09
07/01/2011,01:00:00,16.62
07/01/2011,02:00:00,12.32
07/01/2011,03:00:00,9.23
07/01/2011,04:00:00,7.54
07/01/2011,05:00:00,5.83
07/01/2011,06:00:00,5.57
07/01/2011,07:00:00,6.49
07/01/2011,08:00:00,11.01
07/01/2011,09:00:00,14.61
07/01/2011,10:00:00,38.84
07/01/2011,11:00:00,41.11
07/01/2011,12:00:00,38.90
07/01/2011,13:00:00,42.10
07/01/2011,14:00:00,43.94
07/01/2011,15:00:00,47.64
07/01/2011,16:00:00,53.32
07/01/2011,17:00:00,54.61
07/01/2011,18:00:00,55.62
07/01/2011,19:00:00,57.73
07/01/2011,20:00:00,38.86
07/01/2011,21:00:00,34.49
07/01/2011,22:00:00,46.07
07/01/2011,23:00:00,48.59
08/01/2011,00:00:00,51.47
08/01/2011,01:00:00,50.85
08/01/2011,02:00:00,48.93
08/01/2011,03:00:00,37.84
08/01/2011,04:00:00,31.75
08/01/2011,05:00:00,29.84
08/01/2011,06:00:00,22.81
08/01/2011,07:00:00,23.59
08/01/2011,08:00:00,27.69
08/01/2011,09:00:00,40.09
08/01/2011,10:00:00,52.32
08/01/2011,11:00:00,76.04
08/01/2011,12:00:00,55.91
08/01/2011,13:00:00,49.92
08/01/2011,14:00:00,56.59
08/01/2011,15:00:00,75.63
08/01/2011,16:00:00,77.93
08/01/2011,17:00:00,82.88
08/01/2011,18:00:00,79.06
08/01/2011,19:00:00,58.45
08/01/2011,20:00:00,105.21
08/01/2011,21:00:00,86.63
08/01/2011,22:00:00,54.72
08/01/2011,23:00:00,32.92
09/01/2011,00:00:00,26.35
09/01/2011,01:00:00,24.42
09/01/2011,02:00:00,28.40
09/01/2011,03:00:00,29.48
09/01/2011,04:00:00,28.57
09/01/2011,05:00:00,23.36
09/01/2011,06:00:00,15.92
09/01/2011,07:00:00,14.74
09/01/2011,08:00:00,14.85
09/01/2011,09:00:00,20.47
09/01/2011,10:00:00,19.67
09/01/2011,11:00:00,19.42
09/01/2011,12:00:00,20.98
09/01/2011,13:00:00,19.83
09/01/2011,14:00:00,16.38
09/01/2011,15:00:00,20.34
09/01/2011,16:00:00,20.54
09/01/2011,17:00:00,20.33
09/01/2011,18:00:00,23.97
09/01/2011,19:00:00,30.95
09/01/2011,20:00:00,25.56
09/01/2011,21:00:00,16.13
09/01/2011,22:00:00,12.05
09/01/2011,23:00:00,9.21
10/01/2011,00:00:00,8.75
10/01/2011,01:00:00,6.74
10/01/2011,02:00:00,6.97
