Date,Time,Values
26/05/2016,18:00:00,0.79
26/05/2016,19:00:00,0.79
26/05/2016,20:00:00,3.22
26/05/2016,21:00:00,3.54
26/05/2016,22:00:00,4.77
27/05/2016,13:00:00,1.07
27/05/2016,19:00:00,1.18
27/05/2016,20:00:00,2.06
27/05/2016,21:00:00,0.91
27/05/2016,23:00:00,1.77
28/05/2016,00:00:00,1.33
28/05/2016,01:00:00,0.99
28/05/2016,14:00:00,99.27
28/05/2016,15:00:00,246.35
28/05/2016,16:00:00,54.92
28/05/2016,17:00:00,23.44
28/05/2016,18:00:00,18.06
28/05/2016,19:00:00,14.67
28/05/2016,20:00:00,10.95
28/05/2016,21:00:00,8.80
30/05/2016,17:00:00,0.52
30/05/2016,18:00:00,1.44
31/05/2016,04:00:00,0.48
31/05/2016,05:00:00,1.11
01/06/2016,19:00:00,8.32
01/06/2016,20:00:00,4.36
03/06/2016,18:00:00,1.37
03/06/2016,20:00:00,2.05
03/06/2016,21:00:00,2.06
03/06/2016,22:00:00,3.07
03/06/2016,23:00:00,7.17
03/06/2016,18:00:00,1.37
03/06/2016,20:00:00,2.05
03/06/2016,21:00:00,2.06
03/06/2016,22:00:00,3.07
03/06/2016,23:00:00,7.17
04/06/2016,00:00:00,6.35
04/06/2016,01:00:00,2.25
04/06/2016,03:00:00,1.90
04/06/2016,04:00:00,3.84
04/06/2016,05:00:00,3.68
04/06/2016,06:00:00,3.12
04/06/2016,07:00:00,1.37
04/06/2016,08:00:00,1.81
04/06/2016,09:00:00,2.57
16/06/2016,10:00:00,2.28
17/06/2016,01:00:00,23.68
17/06/2016,02:00:00,2.00
17/06/2016,18:00:00,1.53
17/06/2016,19:00:00,1.56
17/06/2016,21:00:00,1.56
17/06/2016,22:00:00,2.99
17/06/2016,23:00:00,4.91
18/06/2016,00:00:00,3.47
23/06/2016,13:00:00,0.34
23/06/2016,14:00:00,1.70
27/06/2016,18:00:00,0.37
27/06/2016,19:00:00,2.37
28/06/2016,21:00:00,1.38
29/06/2016,22:00:00,95.45
30/06/2016,09:00:00,4.39
30/06/2016,23:00:00,11.21
01/07/2016,01:00:00,7.55
01/07/2016,16:00:00,7.11
01/07/2016,19:00:00,1.29
01/07/2016,20:00:00,1.69
01/07/2016,22:00:00,2.35
02/07/2016,23:00:00,1.20
03/07/2016,00:00:00,0.91
03/07/2016,01:00:00,1.13
03/07/2016,08:00:00,7.97
08/07/2016,10:00:00,5.75
08/07/2016,11:00:00,16.70
08/07/2016,12:00:00,8.40
08/07/2016,13:00:00,1.61
12/07/2016,20:00:00,1.99
12/07/2016,21:00:00,3.40
12/07/2016,22:00:00,4.74
12/07/2016,23:00:00,4.73
13/07/2016,00:00:00,5.26
13/07/2016,01:00:00,5.40
13/07/2016,02:00:00,3.29
13/07/2016,03:00:00,5.71
13/07/2016,04:00:00,2.18
13/07/2016,20:00:00,1.08
13/07/2016,21:00:00,3.77
13/07/2016,22:00:00,4.00
13/07/2016,23:00:00,5.41
14/07/2016,00:00:00,6.47
14/07/2016,01:00:00,6.20
14/07/2016,02:00:00,6.15
14/07/2016,03:00:00,5.79
14/07/2016,04:00:00,5.00
14/07/2016,05:00:00,5.09
14/07/2016,06:00:00,2.52
14/07/2016,07:00:00,3.71
14/07/2016,08:00:00,1.92
