Date,Time,Values
24/05/2016,16:00:00,2.20
24/05/2016,17:00:00,NA
26/05/2016,15:00:00,4.00
26/05/2016,16:00:00,4.95
26/05/2016,17:00:00,1.30
26/05/2016,18:00:00,1.47
26/05/2016,19:00:00,NA
26/05/2016,20:00:00,NA
26/05/2016,21:00:00,NA
26/05/2016,22:00:00,1.40
27/05/2016,11:00:00,122.33
27/05/2016,12:00:00,45.92
27/05/2016,13:00:00,1.67
27/05/2016,14:00:00,NA
27/05/2016,15:00:00,1.30
27/05/2016,16:00:00,2.33
27/05/2016,17:00:00,4.20
27/05/2016,18:00:00,4.52
27/05/2016,19:00:00,2.13
27/05/2016,20:00:00,1.52
27/05/2016,21:00:00,1.70
27/05/2016,23:00:00,2.15
28/05/2016,00:00:00,NA
28/05/2016,01:00:00,2.50
28/05/2016,02:00:00,2.90
28/05/2016,03:00:00,4.67
28/05/2016,04:00:00,6.05
28/05/2016,05:00:00,NA
28/05/2016,06:00:00,1.30
28/05/2016,07:00:00,NA
28/05/2016,08:00:00,NA
28/05/2016,09:00:00,NA
28/05/2016,10:00:00,NA
28/05/2016,11:00:00,NA
28/05/2016,12:00:00,5.60
28/05/2016,13:00:00,1.37
28/05/2016,14:00:00,6.75
28/05/2016,15:00:00,1.58
28/05/2016,16:00:00,2.00
28/05/2016,17:00:00,2.65
28/05/2016,18:00:00,3.20
28/05/2016,19:00:00,5.00
28/05/2016,20:00:00,5.20
28/05/2016,21:00:00,4.90
30/05/2016,16:00:00,15.10
30/05/2016,17:00:00,3.53
31/05/2016,04:00:00,2.80
31/05/2016,05:00:00,3.73
31/05/2016,20:00:00,4.08
02/06/2016,15:00:00,NA
15/06/2016,13:00:00,18.27
15/06/2016,14:00:00,27.13
15/06/2016,15:00:00,33.20
15/06/2016,17:00:00,46.05
15/06/2016,18:00:00,40.57
15/06/2016,19:00:00,11.67
15/06/2016,20:00:00,18.15
15/06/2016,21:00:00,16.93
15/06/2016,22:00:00,26.07
15/06/2016,23:00:00,31.83
16/06/2016,00:00:00,22.90
16/06/2016,01:00:00,16.13
16/06/2016,02:00:00,22.23
16/06/2016,03:00:00,22.22
16/06/2016,04:00:00,18.33
16/06/2016,05:00:00,17.13
16/06/2016,06:00:00,7.03
16/06/2016,07:00:00,8.67
16/06/2016,08:00:00,19.43
16/06/2016,09:00:00,12.60
16/06/2016,10:00:00,29.50
16/06/2016,12:00:00,36.60
16/06/2016,13:00:00,38.98
16/06/2016,14:00:00,40.30
16/06/2016,15:00:00,32.08
16/06/2016,16:00:00,49.67
16/06/2016,17:00:00,53.50
16/06/2016,18:00:00,35.33
16/06/2016,19:00:00,30.30
16/06/2016,20:00:00,25.78
16/06/2016,21:00:00,21.42
16/06/2016,22:00:00,20.40
16/06/2016,23:00:00,20.50
17/06/2016,00:00:00,6.82
17/06/2016,01:00:00,6.87
17/06/2016,02:00:00,7.25
17/06/2016,03:00:00,25.43
17/06/2016,04:00:00,33.80
17/06/2016,05:00:00,25.10
17/06/2016,06:00:00,17.02
17/06/2016,07:00:00,16.53
17/06/2016,08:00:00,17.27
17/06/2016,09:00:00,4.95
17/06/2016,10:00:00,7.90
17/06/2016,11:00:00,27.18
17/06/2016,12:00:00,61.67
17/06/2016,13:00:00,71.22
17/06/2016,14:00:00,72.28
17/06/2016,15:00:00,49.20
17/06/2016,16:00:00,115.43
17/06/2016,17:00:00,75.38
17/06/2016,18:00:00,75.05
17/06/2016,19:00:00,28.28
17/06/2016,20:00:00,15.38
17/06/2016,21:00:00,6.15
17/06/2016,22:00:00,5.92
17/06/2016,23:00:00,4.40
18/06/2016,00:00:00,6.90
18/06/2016,01:00:00,14.33
18/06/2016,02:00:00,17.85
18/06/2016,03:00:00,18.35
18/06/2016,04:00:00,18.05
18/06/2016,05:00:00,3.13
18/06/2016,06:00:00,3.77
18/06/2016,07:00:00,6.70
18/06/2016,08:00:00,8.63
18/06/2016,09:00:00,52.18
18/06/2016,10:00:00,62.17
18/06/2016,11:00:00,67.42
18/06/2016,12:00:00,72.30
18/06/2016,13:00:00,84.97
18/06/2016,14:00:00,100.75
18/06/2016,15:00:00,90.90
18/06/2016,16:00:00,66.00
18/06/2016,17:00:00,127.18
18/06/2016,18:00:00,149.22
18/06/2016,19:00:00,76.00
18/06/2016,20:00:00,63.73
18/06/2016,21:00:00,61.83
18/06/2016,22:00:00,49.23
18/06/2016,23:00:00,46.13
19/06/2016,00:00:00,55.60
19/06/2016,01:00:00,58.20
19/06/2016,02:00:00,60.57
19/06/2016,03:00:00,61.00
19/06/2016,04:00:00,60.78
19/06/2016,05:00:00,53.20
19/06/2016,06:00:00,44.70
19/06/2016,07:00:00,47.38
19/06/2016,08:00:00,58.53
19/06/2016,09:00:00,67.68
19/06/2016,10:00:00,74.10
19/06/2016,11:00:00,72.20
19/06/2016,12:00:00,72.10
19/06/2016,13:00:00,76.97
19/06/2016,14:00:00,74.27
19/06/2016,15:00:00,99.45
19/06/2016,16:00:00,127.17
19/06/2016,17:00:00,107.92
19/06/2016,18:00:00,84.80
19/06/2016,19:00:00,71.13
19/06/2016,20:00:00,55.88
19/06/2016,21:00:00,65.05
19/06/2016,22:00:00,73.77
19/06/2016,23:00:00,76.88
20/06/2016,00:00:00,80.17
20/06/2016,01:00:00,65.42
20/06/2016,02:00:00,63.30
20/06/2016,03:00:00,63.52
20/06/2016,04:00:00,62.48
20/06/2016,05:00:00,51.60
20/06/2016,06:00:00,45.00
20/06/2016,07:00:00,59.73
20/06/2016,08:00:00,75.40
20/06/2016,09:00:00,90.70
20/06/2016,10:00:00,122.33
20/06/2016,11:00:00,116.93
20/06/2016,15:00:00,66.40
20/06/2016,16:00:00,63.20
20/06/2016,17:00:00,57.27
20/06/2016,18:00:00,58.80
20/06/2016,19:00:00,54.67
20/06/2016,20:00:00,57.65
20/06/2016,21:00:00,55.85
20/06/2016,22:00:00,54.20
20/06/2016,23:00:00,51.75
21/06/2016,00:00:00,52.18
21/06/2016,01:00:00,61.00
21/06/2016,02:00:00,63.13
21/06/2016,03:00:00,64.15
21/06/2016,04:00:00,52.98
21/06/2016,05:00:00,56.45
21/06/2016,06:00:00,57.00
21/06/2016,07:00:00,64.65
21/06/2016,08:00:00,54.25
21/06/2016,09:00:00,67.38
21/06/2016,10:00:00,82.25
21/06/2016,11:00:00,116.85
21/06/2016,12:00:00,106.50
21/06/2016,13:00:00,62.63
21/06/2016,14:00:00,56.07
21/06/2016,15:00:00,72.40
21/06/2016,16:00:00,57.03
21/06/2016,17:00:00,25.90
21/06/2016,18:00:00,20.18
21/06/2016,19:00:00,19.80
21/06/2016,20:00:00,27.63
21/06/2016,21:00:00,18.55
21/06/2016,22:00:00,12.53
21/06/2016,23:00:00,19.27
22/06/2016,00:00:00,26.52
22/06/2016,01:00:00,29.67
22/06/2016,02:00:00,24.22
22/06/2016,03:00:00,12.03
22/06/2016,04:00:00,11.38
22/06/2016,05:00:00,9.50
22/06/2016,06:00:00,10.22
22/06/2016,07:00:00,16.10
22/06/2016,08:00:00,39.42
22/06/2016,09:00:00,40.72
22/06/2016,10:00:00,45.88
22/06/2016,11:00:00,51.27
22/06/2016,12:00:00,70.88
22/06/2016,13:00:00,40.95
22/06/2016,14:00:00,39.85
22/06/2016,15:00:00,41.80
22/06/2016,16:00:00,85.00
22/06/2016,17:00:00,80.83
22/06/2016,18:00:00,52.62
22/06/2016,19:00:00,47.63
22/06/2016,20:00:00,34.15
22/06/2016,21:00:00,24.95
22/06/2016,22:00:00,20.07
22/06/2016,23:00:00,21.05
23/06/2016,00:00:00,18.30
23/06/2016,01:00:00,17.17
23/06/2016,02:00:00,15.50
23/06/2016,03:00:00,15.53
23/06/2016,04:00:00,14.35
