Date,Time,Values
01/01/2011,00:00:00,149.35
01/01/2011,01:00:00,119.31
01/01/2011,02:00:00,105.86
01/01/2011,03:00:00,114.77
01/01/2011,04:00:00,123.33
01/01/2011,05:00:00,95.99
01/01/2011,06:00:00,79.05
01/01/2011,07:00:00,81.50
01/01/2011,08:00:00,87.81
01/01/2011,09:00:00,92.57
01/01/2011,10:00:00,91.32
01/01/2011,11:00:00,94.17
01/01/2011,12:00:00,86.22
01/01/2011,13:00:00,86.51
01/01/2011,14:00:00,85.80
01/01/2011,15:00:00,93.25
01/01/2011,16:00:00,104.81
01/01/2011,17:00:00,99.31
01/01/2011,18:00:00,116.52
01/01/2011,19:00:00,136.00
01/01/2011,20:00:00,138.21
01/01/2011,21:00:00,125.89
01/01/2011,22:00:00,119.11
01/01/2011,23:00:00,112.11
02/01/2011,00:00:00,86.11
02/01/2011,01:00:00,66.72
02/01/2011,02:00:00,64.78
02/01/2011,03:00:00,74.35
02/01/2011,04:00:00,76.42
02/01/2011,05:00:00,65.59
02/01/2011,06:00:00,64.16
02/01/2011,07:00:00,72.98
02/01/2011,08:00:00,84.71
02/01/2011,09:00:00,89.51
02/01/2011,10:00:00,96.69
02/01/2011,11:00:00,105.06
02/01/2011,12:00:00,90.36
02/01/2011,13:00:00,94.94
02/01/2011,14:00:00,103.78
02/01/2011,15:00:00,114.99
02/01/2011,16:00:00,106.53
02/01/2011,17:00:00,107.74
02/01/2011,18:00:00,120.11
02/01/2011,19:00:00,115.82
02/01/2011,20:00:00,99.99
02/01/2011,21:00:00,94.98
02/01/2011,22:00:00,103.81
02/01/2011,23:00:00,93.06
03/01/2011,00:00:00,79.58
03/01/2011,01:00:00,75.95
03/01/2011,02:00:00,81.22
03/01/2011,03:00:00,78.21
03/01/2011,04:00:00,70.04
03/01/2011,05:00:00,79.90
03/01/2011,06:00:00,69.31
03/01/2011,07:00:00,70.01
03/01/2011,08:00:00,96.73
03/01/2011,09:00:00,105.92
03/01/2011,10:00:00,131.11
03/01/2011,11:00:00,126.95
03/01/2011,12:00:00,133.94
03/01/2011,13:00:00,126.93
03/01/2011,14:00:00,123.20
03/01/2011,15:00:00,126.50
03/01/2011,16:00:00,116.44
03/01/2011,17:00:00,128.67
03/01/2011,18:00:00,159.92
03/01/2011,19:00:00,194.93
03/01/2011,20:00:00,268.61
03/01/2011,21:00:00,310.56
03/01/2011,22:00:00,296.74
03/01/2011,23:00:00,272.56
04/01/2011,00:00:00,236.37
04/01/2011,01:00:00,192.65
04/01/2011,02:00:00,187.79
04/01/2011,03:00:00,212.84
04/01/2011,04:00:00,210.21
04/01/2011,05:00:00,194.57
04/01/2011,06:00:00,163.45
04/01/2011,07:00:00,151.18
04/01/2011,08:00:00,177.62
04/01/2011,09:00:00,210.51
04/01/2011,10:00:00,243.03
04/01/2011,11:00:00,205.22
04/01/2011,12:00:00,144.52
04/01/2011,13:00:00,127.58
04/01/2011,14:00:00,127.13
04/01/2011,15:00:00,129.95
04/01/2011,16:00:00,130.84
04/01/2011,17:00:00,135.07
04/01/2011,18:00:00,115.96
04/01/2011,19:00:00,117.04
04/01/2011,20:00:00,119.47
04/01/2011,21:00:00,136.93
04/01/2011,22:00:00,151.56
04/01/2011,23:00:00,135.88
05/01/2011,00:00:00,117.30
05/01/2011,01:00:00,114.04
05/01/2011,02:00:00,113.73
05/01/2011,03:00:00,121.45
05/01/2011,04:00:00,133.50
05/01/2011,05:00:00,121.73
05/01/2011,06:00:00,114.51
05/01/2011,07:00:00,132.28
05/01/2011,08:00:00,130.79
05/01/2011,09:00:00,135.03
05/01/2011,10:00:00,142.13
05/01/2011,11:00:00,153.50
05/01/2011,12:00:00,137.29
05/01/2011,13:00:00,131.99
05/01/2011,14:00:00,136.98
05/01/2011,15:00:00,141.27
05/01/2011,16:00:00,150.03
05/01/2011,17:00:00,156.83
05/01/2011,18:00:00,187.08
05/01/2011,19:00:00,244.72
05/01/2011,20:00:00,266.75
05/01/2011,21:00:00,301.94
05/01/2011,22:00:00,260.15
05/01/2011,23:00:00,250.83
06/01/2011,00:00:00,229.54
06/01/2011,01:00:00,184.68
06/01/2011,02:00:00,154.66
06/01/2011,03:00:00,154.03
06/01/2011,04:00:00,144.61
06/01/2011,05:00:00,133.33
06/01/2011,06:00:00,115.94
06/01/2011,07:00:00,104.16
06/01/2011,08:00:00,116.25
06/01/2011,09:00:00,128.60
06/01/2011,10:00:00,137.59
06/01/2011,11:00:00,132.90
06/01/2011,12:00:00,141.54
06/01/2011,13:00:00,138.69
06/01/2011,14:00:00,122.53
06/01/2011,15:00:00,112.96
06/01/2011,16:00:00,133.43
06/01/2011,17:00:00,134.00
06/01/2011,18:00:00,153.88
06/01/2011,19:00:00,182.58
06/01/2011,20:00:00,218.48
06/01/2011,21:00:00,256.85
06/01/2011,22:00:00,252.74
06/01/2011,23:00:00,223.46
07/01/2011,00:00:00,195.62
07/01/2011,01:00:00,168.56
07/01/2011,02:00:00,138.36
07/01/2011,03:00:00,116.77
07/01/2011,04:00:00,111.37
07/01/2011,05:00:00,111.46
07/01/2011,06:00:00,93.76
07/01/2011,07:00:00,98.25
07/01/2011,08:00:00,124.79
07/01/2011,09:00:00,146.19
07/01/2011,10:00:00,155.24
07/01/2011,11:00:00,184.42
07/01/2011,12:00:00,228.17
07/01/2011,13:00:00,211.14
07/01/2011,14:00:00,218.39
07/01/2011,15:00:00,210.69
07/01/2011,16:00:00,188.63
07/01/2011,17:00:00,174.49
07/01/2011,18:00:00,181.94
07/01/2011,19:00:00,240.00
07/01/2011,20:00:00,297.57
07/01/2011,21:00:00,338.70
07/01/2011,22:00:00,346.68
07/01/2011,23:00:00,382.14
