Date,Time,Values
23/03/2015,17:00:00,54.27
23/03/2015,18:00:00,64.44
23/03/2015,19:00:00,88.50
23/03/2015,20:00:00,96.91
23/03/2015,21:00:00,104.30
23/03/2015,22:00:00,105.85
23/03/2015,23:00:00,63.31
24/03/2015,00:00:00,58.66
24/03/2015,01:00:00,95.70
24/03/2015,02:00:00,88.01
24/03/2015,03:00:00,72.61
24/03/2015,04:00:00,61.51
24/03/2015,05:00:00,77.27
24/03/2015,06:00:00,98.66
24/03/2015,07:00:00,93.13
24/03/2015,08:00:00,73.18
24/03/2015,09:00:00,61.83
24/03/2015,10:00:00,54.73
24/03/2015,11:00:00,50.42
24/03/2015,12:00:00,51.78
24/03/2015,13:00:00,50.74
24/03/2015,14:00:00,50.02
24/03/2015,15:00:00,52.88
24/03/2015,16:00:00,56.32
24/03/2015,17:00:00,62.69
24/03/2015,18:00:00,74.43
24/03/2015,19:00:00,75.27
24/03/2015,20:00:00,71.93
24/03/2015,21:00:00,80.46
24/03/2015,22:00:00,84.22
24/03/2015,23:00:00,102.92
25/03/2015,00:00:00,97.38
25/03/2015,01:00:00,90.22
25/03/2015,02:00:00,93.81
25/03/2015,03:00:00,105.20
25/03/2015,04:00:00,110.66
25/03/2015,05:00:00,171.77
25/03/2015,06:00:00,144.21
25/03/2015,07:00:00,93.46
25/03/2015,08:00:00,111.62
25/03/2015,09:00:00,107.31
25/03/2015,10:00:00,85.92
25/03/2015,11:00:00,72.32
25/03/2015,12:00:00,62.29
25/03/2015,13:00:00,56.56
25/03/2015,14:00:00,51.80
25/03/2015,15:00:00,53.25
25/03/2015,16:00:00,52.06
25/03/2015,17:00:00,56.05
25/03/2015,18:00:00,57.18
25/03/2015,19:00:00,56.49
25/03/2015,20:00:00,61.11
25/03/2015,21:00:00,64.67
25/03/2015,22:00:00,129.11
25/03/2015,23:00:00,211.90
26/03/2015,00:00:00,235.49
26/03/2015,01:00:00,156.32
26/03/2015,02:00:00,86.65
26/03/2015,03:00:00,112.61
26/03/2015,04:00:00,93.94
26/03/2015,05:00:00,84.41
26/03/2015,06:00:00,118.91
26/03/2015,07:00:00,122.76
26/03/2015,08:00:00,89.25
26/03/2015,09:00:00,79.21
26/03/2015,10:00:00,68.99
26/03/2015,11:00:00,48.55
26/03/2015,12:00:00,54.11
26/03/2015,13:00:00,53.97
26/03/2015,14:00:00,54.79
26/03/2015,15:00:00,59.48
26/03/2015,16:00:00,59.79
26/03/2015,17:00:00,59.14
26/03/2015,18:00:00,56.12
26/03/2015,19:00:00,55.97
26/03/2015,20:00:00,57.06
26/03/2015,21:00:00,65.80
26/03/2015,22:00:00,55.18
26/03/2015,23:00:00,49.52
27/03/2015,00:00:00,50.29
27/03/2015,01:00:00,57.84
27/03/2015,02:00:00,54.33
27/03/2015,03:00:00,50.82
27/03/2015,04:00:00,52.90
27/03/2015,05:00:00,52.69
27/03/2015,06:00:00,51.52
27/03/2015,07:00:00,53.76
27/03/2015,08:00:00,53.05
27/03/2015,09:00:00,58.28
27/03/2015,10:00:00,53.12
27/03/2015,11:00:00,53.39
27/03/2015,12:00:00,52.96
27/03/2015,13:00:00,53.91
27/03/2015,14:00:00,54.49
27/03/2015,15:00:00,52.53
27/03/2015,16:00:00,53.92
27/03/2015,17:00:00,55.36
27/03/2015,18:00:00,71.41
27/03/2015,19:00:00,90.24
27/03/2015,20:00:00,106.95
27/03/2015,21:00:00,101.68
27/03/2015,22:00:00,124.25
27/03/2015,23:00:00,126.73
28/03/2015,00:00:00,92.75
28/03/2015,12:00:00,52.48
28/03/2015,13:00:00,51.47
28/03/2015,14:00:00,51.04
28/03/2015,15:00:00,51.53
28/03/2015,16:00:00,52.67
28/03/2015,17:00:00,55.94
28/03/2015,18:00:00,73.31
28/03/2015,19:00:00,78.68
28/03/2015,20:00:00,192.76
28/03/2015,21:00:00,227.11
28/03/2015,22:00:00,202.67
28/03/2015,23:00:00,249.45
29/03/2015,00:00:00,238.84
29/03/2015,01:00:00,210.42
29/03/2015,02:00:00,180.54
29/03/2015,03:00:00,93.26
29/03/2015,04:00:00,64.60
29/03/2015,05:00:00,61.17
29/03/2015,06:00:00,58.80
29/03/2015,07:00:00,60.40
29/03/2015,08:00:00,69.07
29/03/2015,09:00:00,59.95
29/03/2015,10:00:00,57.22
29/03/2015,11:00:00,58.40
29/03/2015,12:00:00,59.52
29/03/2015,13:00:00,70.63
29/03/2015,14:00:00,75.23
29/03/2015,15:00:00,78.31
29/03/2015,16:00:00,63.07
29/03/2015,17:00:00,59.45
29/03/2015,18:00:00,62.29
29/03/2015,19:00:00,62.39
29/03/2015,20:00:00,65.83
29/03/2015,21:00:00,58.12
29/03/2015,22:00:00,56.41
29/03/2015,23:00:00,57.25
30/03/2015,00:00:00,50.63
30/03/2015,01:00:00,55.60
30/03/2015,02:00:00,50.70
30/03/2015,03:00:00,48.01
30/03/2015,04:00:00,48.72
30/03/2015,05:00:00,52.87
30/03/2015,06:00:00,53.50
30/03/2015,07:00:00,55.09
30/03/2015,08:00:00,60.79
30/03/2015,09:00:00,58.11
30/03/2015,10:00:00,56.84
30/03/2015,11:00:00,56.70
30/03/2015,12:00:00,52.46
30/03/2015,13:00:00,51.09
30/03/2015,14:00:00,50.47
30/03/2015,15:00:00,49.70
30/03/2015,16:00:00,52.77
30/03/2015,17:00:00,52.73
30/03/2015,18:00:00,56.89
30/03/2015,19:00:00,63.62
30/03/2015,20:00:00,67.95
30/03/2015,21:00:00,60.52
30/03/2015,22:00:00,57.81
30/03/2015,23:00:00,55.12
31/03/2015,00:00:00,59.04
31/03/2015,12:00:00,53.73
31/03/2015,13:00:00,50.66
31/03/2015,14:00:00,50.91
31/03/2015,15:00:00,51.30
31/03/2015,16:00:00,52.55
31/03/2015,17:00:00,56.46
31/03/2015,18:00:00,59.51
