Date,Time,Values
01/01/2011,00:00:00,98.79
01/01/2011,01:00:00,98.79
01/01/2011,02:00:00,98.80
01/01/2011,03:00:00,98.80
01/01/2011,04:00:00,98.79
01/01/2011,05:00:00,98.79
01/01/2011,06:00:00,98.79
01/01/2011,07:00:00,98.79
01/01/2011,08:00:00,98.79
01/01/2011,09:00:00,98.42
01/01/2011,10:00:00,93.52
01/01/2011,11:00:00,87.07
01/01/2011,12:00:00,81.78
01/01/2011,13:00:00,78.45
01/01/2011,14:00:00,76.96
01/01/2011,15:00:00,77.28
01/01/2011,16:00:00,82.46
01/01/2011,17:00:00,90.59
01/01/2011,18:00:00,96.06
01/01/2011,19:00:00,97.87
01/01/2011,20:00:00,98.08
01/01/2011,21:00:00,97.98
01/01/2011,22:00:00,97.27
01/01/2011,23:00:00,97.19
02/01/2011,00:00:00,96.64
02/01/2011,01:00:00,96.98
02/01/2011,02:00:00,97.50
02/01/2011,03:00:00,96.63
02/01/2011,04:00:00,96.22
02/01/2011,05:00:00,96.05
02/01/2011,06:00:00,94.84
02/01/2011,07:00:00,93.38
02/01/2011,08:00:00,90.00
02/01/2011,09:00:00,87.96
02/01/2011,10:00:00,84.24
02/01/2011,11:00:00,80.80
02/01/2011,12:00:00,79.45
02/01/2011,13:00:00,76.05
02/01/2011,14:00:00,78.40
02/01/2011,15:00:00,80.26
02/01/2011,16:00:00,81.56
02/01/2011,17:00:00,83.41
02/01/2011,18:00:00,85.21
02/01/2011,19:00:00,83.57
02/01/2011,20:00:00,82.16
02/01/2011,21:00:00,82.52
02/01/2011,22:00:00,83.20
02/01/2011,23:00:00,83.78
03/01/2011,00:00:00,82.80
03/01/2011,01:00:00,83.14
03/01/2011,02:00:00,83.06
03/01/2011,03:00:00,83.66
03/01/2011,04:00:00,83.15
03/01/2011,05:00:00,83.74
03/01/2011,06:00:00,83.89
03/01/2011,07:00:00,83.77
03/01/2011,08:00:00,81.64
03/01/2011,09:00:00,78.69
03/01/2011,10:00:00,75.51
03/01/2011,11:00:00,73.10
03/01/2011,12:00:00,69.78
03/01/2011,13:00:00,68.14
03/01/2011,14:00:00,67.97
03/01/2011,15:00:00,69.03
03/01/2011,16:00:00,72.81
03/01/2011,17:00:00,79.19
03/01/2011,18:00:00,83.48
03/01/2011,19:00:00,87.15
03/01/2011,20:00:00,91.53
03/01/2011,21:00:00,93.89
03/01/2011,22:00:00,95.15
03/01/2011,23:00:00,97.16
04/01/2011,00:00:00,97.61
04/01/2011,01:00:00,98.08
04/01/2011,02:00:00,98.78
04/01/2011,03:00:00,98.79
04/01/2011,04:00:00,98.79
04/01/2011,05:00:00,98.78
04/01/2011,06:00:00,98.78
04/01/2011,07:00:00,98.79
04/01/2011,08:00:00,98.78
04/01/2011,09:00:00,98.79
04/01/2011,10:00:00,93.42
04/01/2011,11:00:00,87.09
04/01/2011,12:00:00,83.69
04/01/2011,13:00:00,81.32
04/01/2011,14:00:00,80.32
04/01/2011,15:00:00,81.16
04/01/2011,16:00:00,82.85
04/01/2011,17:00:00,86.18
04/01/2011,18:00:00,87.59
04/01/2011,19:00:00,88.13
04/01/2011,20:00:00,88.91
04/01/2011,21:00:00,90.18
04/01/2011,22:00:00,90.83
04/01/2011,23:00:00,91.42
05/01/2011,00:00:00,91.49
05/01/2011,01:00:00,92.40
05/01/2011,02:00:00,92.63
05/01/2011,03:00:00,92.95
05/01/2011,04:00:00,94.09
05/01/2011,05:00:00,94.64
05/01/2011,06:00:00,94.64
05/01/2011,07:00:00,93.30
05/01/2011,08:00:00,91.81
05/01/2011,09:00:00,89.95
05/01/2011,10:00:00,88.36
05/01/2011,11:00:00,86.85
05/01/2011,12:00:00,84.30
05/01/2011,13:00:00,81.12
05/01/2011,14:00:00,78.54
05/01/2011,15:00:00,77.94
05/01/2011,16:00:00,79.68
05/01/2011,17:00:00,87.60
05/01/2011,18:00:00,93.36
05/01/2011,19:00:00,96.40
05/01/2011,20:00:00,97.98
05/01/2011,21:00:00,98.79
05/01/2011,22:00:00,98.79
05/01/2011,23:00:00,98.79
06/01/2011,00:00:00,98.79
06/01/2011,01:00:00,98.79
06/01/2011,02:00:00,98.79
06/01/2011,03:00:00,98.79
06/01/2011,04:00:00,98.79
06/01/2011,05:00:00,98.79
06/01/2011,06:00:00,98.79
06/01/2011,07:00:00,98.78
06/01/2011,08:00:00,98.35
06/01/2011,09:00:00,96.63
06/01/2011,10:00:00,93.08
06/01/2011,11:00:00,87.26
06/01/2011,12:00:00,80.28
06/01/2011,13:00:00,76.31
06/01/2011,14:00:00,74.09
06/01/2011,15:00:00,73.28
06/01/2011,16:00:00,76.49
06/01/2011,17:00:00,83.61
06/01/2011,18:00:00,89.69
06/01/2011,19:00:00,93.34
06/01/2011,20:00:00,95.90
06/01/2011,21:00:00,97.69
06/01/2011,22:00:00,98.79
06/01/2011,23:00:00,98.79
07/01/2011,00:00:00,98.79
07/01/2011,01:00:00,98.79
07/01/2011,02:00:00,98.79
07/01/2011,03:00:00,98.79
07/01/2011,04:00:00,98.79
07/01/2011,05:00:00,98.78
07/01/2011,06:00:00,98.78
07/01/2011,07:00:00,98.78
07/01/2011,08:00:00,98.78
07/01/2011,09:00:00,98.79
07/01/2011,10:00:00,97.46
07/01/2011,11:00:00,81.26
07/01/2011,12:00:00,75.83
07/01/2011,13:00:00,71.34
07/01/2011,14:00:00,70.69
07/01/2011,15:00:00,70.19
07/01/2011,16:00:00,72.13
07/01/2011,17:00:00,82.23
07/01/2011,18:00:00,90.34
07/01/2011,19:00:00,91.84
07/01/2011,20:00:00,94.91
07/01/2011,21:00:00,95.67
07/01/2011,22:00:00,97.78
07/01/2011,23:00:00,98.79
08/01/2011,00:00:00,98.79
08/01/2011,01:00:00,98.79
08/01/2011,02:00:00,98.79
08/01/2011,03:00:00,98.79
08/01/2011,04:00:00,98.79
08/01/2011,05:00:00,98.79
08/01/2011,06:00:00,98.79
08/01/2011,07:00:00,98.79
08/01/2011,08:00:00,98.79
08/01/2011,09:00:00,98.79
08/01/2011,10:00:00,97.84
08/01/2011,11:00:00,90.16
08/01/2011,12:00:00,78.50
08/01/2011,13:00:00,70.08
08/01/2011,14:00:00,65.44
08/01/2011,15:00:00,68.34
08/01/2011,16:00:00,72.64
08/01/2011,17:00:00,78.83
08/01/2011,18:00:00,87.45
08/01/2011,19:00:00,89.89
08/01/2011,20:00:00,92.95
08/01/2011,21:00:00,97.05
08/01/2011,22:00:00,98.77
08/01/2011,23:00:00,98.79
09/01/2011,00:00:00,98.79
09/01/2011,01:00:00,98.79
09/01/2011,02:00:00,98.79
09/01/2011,03:00:00,98.79
09/01/2011,04:00:00,98.79
09/01/2011,05:00:00,98.79
09/01/2011,06:00:00,98.79
