Date,Time,Values
24/05/2016,13:00:00,872.95
24/05/2016,14:00:00,763.86
24/05/2016,15:00:00,659.74
24/05/2016,16:00:00,497.85
24/05/2016,17:00:00,130.40
26/05/2016,15:00:00,442.57
26/05/2016,16:00:00,299.44
26/05/2016,17:00:00,225.16
26/05/2016,18:00:00,125.33
26/05/2016,19:00:00,99.09
26/05/2016,20:00:00,99.10
26/05/2016,21:00:00,99.04
26/05/2016,22:00:00,98.07
27/05/2016,11:00:00,973.27
27/05/2016,12:00:00,754.13
27/05/2016,13:00:00,707.30
27/05/2016,14:00:00,-673.30
27/05/2016,15:00:00,259.40
27/05/2016,16:00:00,326.95
27/05/2016,17:00:00,198.90
27/05/2016,18:00:00,127.22
27/05/2016,19:00:00,98.70
27/05/2016,20:00:00,98.00
27/05/2016,21:00:00,98.50
27/05/2016,23:00:00,98.90
28/05/2016,00:00:00,99.15
28/05/2016,01:00:00,99.13
28/05/2016,02:00:00,99.20
28/05/2016,03:00:00,99.20
28/05/2016,04:00:00,99.15
28/05/2016,05:00:00,100.25
28/05/2016,06:00:00,179.15
28/05/2016,07:00:00,245.57
28/05/2016,08:00:00,407.82
28/05/2016,09:00:00,646.90
28/05/2016,10:00:00,920.38
28/05/2016,11:00:00,"1,131.22"
28/05/2016,12:00:00,"1,180.72"
28/05/2016,13:00:00,"1,004.48"
28/05/2016,14:00:00,749.22
28/05/2016,15:00:00,527.73
28/05/2016,16:00:00,352.47
28/05/2016,17:00:00,196.03
28/05/2016,18:00:00,128.55
28/05/2016,19:00:00,99.05
28/05/2016,20:00:00,98.97
28/05/2016,21:00:00,98.60
30/05/2016,16:00:00,715.00
30/05/2016,17:00:00,214.75
30/05/2016,18:00:00,158.30
31/05/2016,04:00:00,99.20
31/05/2016,05:00:00,121.10
31/05/2016,19:00:00,99.20
31/05/2016,20:00:00,99.20
01/06/2016,16:00:00,284.27
01/06/2016,17:00:00,180.10
01/06/2016,18:00:00,117.80
01/06/2016,19:00:00,98.50
01/06/2016,20:00:00,98.03
01/06/2016,21:00:00,98.17
01/06/2016,22:00:00,98.55
01/06/2016,23:00:00,99.05
02/06/2016,00:00:00,99.20
02/06/2016,01:00:00,99.20
02/06/2016,02:00:00,99.20
02/06/2016,03:00:00,99.20
02/06/2016,04:00:00,99.20
02/06/2016,05:00:00,107.35
02/06/2016,06:00:00,143.95
02/06/2016,07:00:00,210.55
02/06/2016,08:00:00,422.75
02/06/2016,09:00:00,666.13
02/06/2016,10:00:00,947.10
02/06/2016,11:00:00,"1,250.38"
02/06/2016,12:00:00,"1,318.30"
02/06/2016,13:00:00,"1,143.80"
02/06/2016,14:00:00,845.77
02/06/2016,15:00:00,656.85
03/06/2016,14:00:00,820.27
03/06/2016,15:00:00,721.20
03/06/2016,17:00:00,150.90
03/06/2016,18:00:00,126.83
03/06/2016,19:00:00,100.53
03/06/2016,20:00:00,98.78
03/06/2016,21:00:00,99.17
03/06/2016,22:00:00,99.20
03/06/2016,23:00:00,99.20
03/06/2016,14:00:00,820.27
03/06/2016,15:00:00,721.20
03/06/2016,17:00:00,150.90
03/06/2016,18:00:00,126.83
03/06/2016,19:00:00,100.53
03/06/2016,20:00:00,98.78
03/06/2016,21:00:00,99.17
03/06/2016,22:00:00,99.20
03/06/2016,23:00:00,99.20
04/06/2016,00:00:00,99.20
04/06/2016,01:00:00,99.20
04/06/2016,02:00:00,99.20
04/06/2016,03:00:00,99.20
04/06/2016,04:00:00,99.23
04/06/2016,05:00:00,106.80
04/06/2016,06:00:00,135.17
04/06/2016,07:00:00,186.30
04/06/2016,08:00:00,398.07
04/06/2016,09:00:00,675.23
04/06/2016,10:00:00,993.83
