Date,Time,Values
01/01/2011,00:00:00,10.42
01/01/2011,01:00:00,9.33
01/01/2011,02:00:00,10.65
01/01/2011,03:00:00,4.33
01/01/2011,04:00:00,5.45
01/01/2011,05:00:00,8.94
01/01/2011,06:00:00,5.90
01/01/2011,07:00:00,5.80
01/01/2011,08:00:00,2.69
01/01/2011,09:00:00,2.77
01/01/2011,10:00:00,1.16
01/01/2011,11:00:00,1.93
01/01/2011,12:00:00,2.48
01/01/2011,13:00:00,5.34
01/01/2011,14:00:00,5.34
01/01/2011,15:00:00,6.30
01/01/2011,16:00:00,6.19
01/01/2011,17:00:00,1.44
01/01/2011,18:00:00,3.06
01/01/2011,19:00:00,9.09
01/01/2011,20:00:00,10.66
01/01/2011,21:00:00,7.40
01/01/2011,22:00:00,5.63
01/01/2011,23:00:00,1.07
02/01/2011,00:00:00,1.12
02/01/2011,01:00:00,4.12
02/01/2011,02:00:00,2.10
02/01/2011,03:00:00,1.48
02/01/2011,04:00:00,2.17
02/01/2011,05:00:00,2.15
02/01/2011,06:00:00,2.92
02/01/2011,07:00:00,2.34
02/01/2011,08:00:00,NA
02/01/2011,09:00:00,5.10
02/01/2011,10:00:00,4.67
02/01/2011,11:00:00,3.93
02/01/2011,12:00:00,5.15
02/01/2011,13:00:00,11.15
02/01/2011,14:00:00,12.64
02/01/2011,15:00:00,NA
02/01/2011,16:00:00,NA
02/01/2011,17:00:00,4.84
02/01/2011,18:00:00,7.08
02/01/2011,19:00:00,NA
02/01/2011,20:00:00,NA
02/01/2011,21:00:00,6.45
02/01/2011,22:00:00,7.45
02/01/2011,23:00:00,6.99
03/01/2011,00:00:00,8.07
03/01/2011,01:00:00,6.34
03/01/2011,02:00:00,8.12
03/01/2011,03:00:00,4.77
03/01/2011,04:00:00,3.70
03/01/2011,05:00:00,1.27
03/01/2011,06:00:00,1.95
03/01/2011,07:00:00,2.06
03/01/2011,08:00:00,2.57
03/01/2011,09:00:00,3.96
03/01/2011,10:00:00,4.99
03/01/2011,11:00:00,4.62
03/01/2011,12:00:00,5.30
03/01/2011,13:00:00,5.43
03/01/2011,14:00:00,8.45
03/01/2011,15:00:00,7.21
03/01/2011,16:00:00,8.39
03/01/2011,17:00:00,12.55
03/01/2011,18:00:00,14.04
03/01/2011,19:00:00,5.90
03/01/2011,20:00:00,12.09
03/01/2011,21:00:00,7.36
03/01/2011,22:00:00,8.73
03/01/2011,23:00:00,4.88
04/01/2011,00:00:00,8.37
04/01/2011,01:00:00,11.29
04/01/2011,02:00:00,15.64
04/01/2011,03:00:00,13.98
04/01/2011,04:00:00,17.94
04/01/2011,05:00:00,6.52
04/01/2011,06:00:00,6.39
04/01/2011,07:00:00,12.09
04/01/2011,08:00:00,15.34
04/01/2011,09:00:00,19.43
04/01/2011,10:00:00,18.07
04/01/2011,11:00:00,11.39
04/01/2011,12:00:00,11.19
04/01/2011,13:00:00,5.97
04/01/2011,14:00:00,4.68
04/01/2011,15:00:00,3.14
04/01/2011,16:00:00,2.05
04/01/2011,17:00:00,2.62
04/01/2011,18:00:00,2.26
04/01/2011,19:00:00,6.45
04/01/2011,20:00:00,5.45
04/01/2011,21:00:00,6.36
04/01/2011,22:00:00,7.25
04/01/2011,23:00:00,2.93
05/01/2011,00:00:00,3.72
05/01/2011,01:00:00,4.26
05/01/2011,02:00:00,1.59
05/01/2011,03:00:00,4.51
05/01/2011,04:00:00,3.90
05/01/2011,05:00:00,NA
05/01/2011,06:00:00,1.81
05/01/2011,07:00:00,8.53
05/01/2011,08:00:00,8.83
05/01/2011,09:00:00,NA
05/01/2011,10:00:00,2.90
05/01/2011,11:00:00,6.25
05/01/2011,12:00:00,6.50
05/01/2011,13:00:00,7.68
05/01/2011,14:00:00,9.39
05/01/2011,15:00:00,5.60
05/01/2011,16:00:00,6.77
05/01/2011,17:00:00,10.73
05/01/2011,18:00:00,16.00
05/01/2011,19:00:00,11.96
05/01/2011,20:00:00,19.57
05/01/2011,21:00:00,10.23
05/01/2011,22:00:00,12.41
05/01/2011,23:00:00,6.21
06/01/2011,00:00:00,6.63
06/01/2011,01:00:00,9.68
06/01/2011,02:00:00,8.89
06/01/2011,03:00:00,1.56
06/01/2011,04:00:00,1.19
06/01/2011,05:00:00,2.35
06/01/2011,06:00:00,NA
06/01/2011,07:00:00,2.55
06/01/2011,08:00:00,5.08
06/01/2011,09:00:00,3.78
06/01/2011,10:00:00,2.27
06/01/2011,11:00:00,3.66
06/01/2011,12:00:00,5.18
06/01/2011,13:00:00,6.88
06/01/2011,14:00:00,7.10
06/01/2011,15:00:00,7.67
06/01/2011,16:00:00,8.19
06/01/2011,17:00:00,9.04
06/01/2011,18:00:00,12.26
06/01/2011,19:00:00,8.54
06/01/2011,20:00:00,13.79
06/01/2011,21:00:00,8.21
06/01/2011,22:00:00,10.49
06/01/2011,23:00:00,9.38
07/01/2011,00:00:00,10.02
07/01/2011,01:00:00,5.94
07/01/2011,02:00:00,5.48
07/01/2011,03:00:00,6.45
07/01/2011,04:00:00,6.90
07/01/2011,05:00:00,8.71
07/01/2011,06:00:00,6.24
07/01/2011,07:00:00,2.90
07/01/2011,08:00:00,5.64
07/01/2011,09:00:00,5.10
07/01/2011,10:00:00,5.78
07/01/2011,11:00:00,13.38
07/01/2011,12:00:00,16.59
07/01/2011,13:00:00,8.26
07/01/2011,14:00:00,11.22
07/01/2011,15:00:00,5.03
07/01/2011,16:00:00,6.32
07/01/2011,17:00:00,8.26
07/01/2011,18:00:00,10.29
07/01/2011,19:00:00,7.19
07/01/2011,20:00:00,8.89
07/01/2011,21:00:00,12.57
07/01/2011,22:00:00,20.32
07/01/2011,23:00:00,14.86
08/01/2011,00:00:00,16.99
08/01/2011,01:00:00,15.00
08/01/2011,02:00:00,18.94
08/01/2011,03:00:00,17.00
08/01/2011,04:00:00,15.42
08/01/2011,05:00:00,11.73
08/01/2011,06:00:00,8.35
08/01/2011,07:00:00,6.33
08/01/2011,08:00:00,4.55
08/01/2011,09:00:00,7.80
08/01/2011,10:00:00,9.88
08/01/2011,11:00:00,11.58
08/01/2011,12:00:00,10.46
08/01/2011,13:00:00,11.90
08/01/2011,14:00:00,13.78
08/01/2011,15:00:00,20.37
08/01/2011,16:00:00,19.46
08/01/2011,17:00:00,17.94
08/01/2011,18:00:00,18.05
08/01/2011,19:00:00,12.71
08/01/2011,20:00:00,18.61
08/01/2011,21:00:00,21.58
08/01/2011,22:00:00,23.48
08/01/2011,23:00:00,17.06
09/01/2011,00:00:00,19.64
09/01/2011,01:00:00,19.71
09/01/2011,02:00:00,18.89
09/01/2011,03:00:00,10.02
09/01/2011,04:00:00,8.14
09/01/2011,05:00:00,10.27
09/01/2011,06:00:00,4.86
09/01/2011,07:00:00,7.85
09/01/2011,08:00:00,3.34
09/01/2011,09:00:00,5.61
09/01/2011,10:00:00,2.80
09/01/2011,11:00:00,6.67
09/01/2011,12:00:00,5.08
09/01/2011,13:00:00,9.93
09/01/2011,14:00:00,7.23
09/01/2011,15:00:00,8.11
09/01/2011,16:00:00,8.74
09/01/2011,17:00:00,12.79
09/01/2011,18:00:00,13.26
09/01/2011,19:00:00,9.84
09/01/2011,20:00:00,11.89
09/01/2011,21:00:00,6.97
09/01/2011,22:00:00,8.02
09/01/2011,23:00:00,12.73
10/01/2011,00:00:00,11.24
10/01/2011,01:00:00,4.40
10/01/2011,02:00:00,3.87
10/01/2011,03:00:00,9.08
10/01/2011,04:00:00,7.80
