Date,Time,Values
24/05/2016,16:00:00,0.49
26/05/2016,15:00:00,1.85
26/05/2016,16:00:00,3.06
26/05/2016,17:00:00,3.11
26/05/2016,18:00:00,5.58
26/05/2016,19:00:00,9.79
26/05/2016,20:00:00,17.41
26/05/2016,21:00:00,14.72
26/05/2016,22:00:00,12.51
27/05/2016,11:00:00,1.23
27/05/2016,12:00:00,2.60
27/05/2016,13:00:00,3.63
27/05/2016,14:00:00,2.30
27/05/2016,15:00:00,2.00
27/05/2016,16:00:00,2.58
27/05/2016,17:00:00,2.81
27/05/2016,18:00:00,4.24
27/05/2016,19:00:00,9.95
27/05/2016,20:00:00,13.04
27/05/2016,21:00:00,12.71
27/05/2016,23:00:00,3.75
28/05/2016,00:00:00,2.38
28/05/2016,01:00:00,1.42
28/05/2016,02:00:00,1.31
28/05/2016,03:00:00,1.34
28/05/2016,04:00:00,1.23
28/05/2016,05:00:00,0.80
28/05/2016,06:00:00,1.34
28/05/2016,07:00:00,0.98
28/05/2016,08:00:00,1.30
28/05/2016,09:00:00,0.82
28/05/2016,10:00:00,1.73
28/05/2016,11:00:00,2.08
28/05/2016,12:00:00,1.92
28/05/2016,13:00:00,1.48
28/05/2016,14:00:00,182.46
28/05/2016,15:00:00,740.89
28/05/2016,16:00:00,198.54
28/05/2016,17:00:00,79.66
28/05/2016,18:00:00,59.57
28/05/2016,19:00:00,48.68
28/05/2016,20:00:00,35.96
28/05/2016,21:00:00,28.05
30/05/2016,16:00:00,10.57
30/05/2016,17:00:00,12.13
30/05/2016,18:00:00,5.52
31/05/2016,04:00:00,10.55
31/05/2016,05:00:00,11.68
31/05/2016,19:00:00,2.25
31/05/2016,20:00:00,2.20
01/06/2016,16:00:00,2.73
01/06/2016,17:00:00,1.92
01/06/2016,18:00:00,10.29
01/06/2016,19:00:00,12.19
01/06/2016,20:00:00,10.02
01/06/2016,21:00:00,5.21
01/06/2016,22:00:00,4.86
01/06/2016,23:00:00,5.28
02/06/2016,00:00:00,3.05
02/06/2016,01:00:00,2.22
02/06/2016,02:00:00,1.93
02/06/2016,03:00:00,1.54
02/06/2016,04:00:00,1.38
02/06/2016,05:00:00,1.57
02/06/2016,06:00:00,1.78
02/06/2016,07:00:00,2.30
02/06/2016,08:00:00,2.90
02/06/2016,09:00:00,3.18
02/06/2016,10:00:00,2.92
02/06/2016,11:00:00,2.91
02/06/2016,12:00:00,3.63
02/06/2016,13:00:00,2.76
02/06/2016,14:00:00,2.47
02/06/2016,15:00:00,2.67
03/06/2016,14:00:00,0.67
03/06/2016,15:00:00,0.86
03/06/2016,18:00:00,4.41
03/06/2016,19:00:00,7.05
03/06/2016,20:00:00,13.74
03/06/2016,21:00:00,14.24
03/06/2016,22:00:00,14.89
03/06/2016,23:00:00,20.88
03/06/2016,14:00:00,0.67
03/06/2016,15:00:00,0.86
03/06/2016,18:00:00,4.41
03/06/2016,19:00:00,7.05
03/06/2016,20:00:00,13.74
03/06/2016,21:00:00,14.24
03/06/2016,22:00:00,14.89
03/06/2016,23:00:00,20.88
04/06/2016,00:00:00,20.63
04/06/2016,01:00:00,10.02
04/06/2016,02:00:00,5.62
04/06/2016,03:00:00,5.24
04/06/2016,04:00:00,8.97
04/06/2016,05:00:00,11.87
04/06/2016,06:00:00,11.67
04/06/2016,07:00:00,10.16
04/06/2016,08:00:00,7.47
04/06/2016,09:00:00,7.45
04/06/2016,10:00:00,3.37
04/06/2016,11:00:00,3.82
04/06/2016,12:00:00,2.00
15/06/2016,13:00:00,11.21
15/06/2016,14:00:00,3.14
15/06/2016,15:00:00,2.83
15/06/2016,17:00:00,2.95
15/06/2016,18:00:00,3.44
15/06/2016,19:00:00,5.63
15/06/2016,20:00:00,7.00
