Date,Time,Values
24/05/2016,16:00:00,-1.10
24/05/2016,17:00:00,-0.71
26/05/2016,15:00:00,0.41
26/05/2016,16:00:00,0.41
26/05/2016,17:00:00,0.40
26/05/2016,18:00:00,0.41
26/05/2016,19:00:00,0.43
26/05/2016,20:00:00,0.47
26/05/2016,21:00:00,0.47
26/05/2016,22:00:00,0.47
27/05/2016,11:00:00,0.36
27/05/2016,12:00:00,0.37
27/05/2016,13:00:00,0.36
27/05/2016,14:00:00,0.95
27/05/2016,15:00:00,0.56
27/05/2016,16:00:00,0.51
27/05/2016,17:00:00,0.50
27/05/2016,18:00:00,0.48
27/05/2016,19:00:00,0.48
27/05/2016,20:00:00,0.48
27/05/2016,21:00:00,0.49
27/05/2016,23:00:00,0.45
28/05/2016,00:00:00,0.42
28/05/2016,01:00:00,0.43
28/05/2016,02:00:00,0.46
28/05/2016,03:00:00,0.43
28/05/2016,04:00:00,0.46
28/05/2016,05:00:00,0.47
28/05/2016,06:00:00,0.47
28/05/2016,07:00:00,0.48
28/05/2016,08:00:00,0.48
28/05/2016,09:00:00,0.49
28/05/2016,10:00:00,0.50
28/05/2016,11:00:00,0.50
28/05/2016,12:00:00,0.51
28/05/2016,13:00:00,0.52
28/05/2016,14:00:00,0.52
28/05/2016,15:00:00,0.52
28/05/2016,16:00:00,0.53
28/05/2016,17:00:00,0.52
28/05/2016,18:00:00,0.52
28/05/2016,19:00:00,0.52
28/05/2016,20:00:00,0.50
28/05/2016,21:00:00,0.50
30/05/2016,16:00:00,0.09
30/05/2016,17:00:00,0.46
30/05/2016,18:00:00,0.46
31/05/2016,04:00:00,-0.72
31/05/2016,05:00:00,-0.96
31/05/2016,19:00:00,-0.67
31/05/2016,20:00:00,-0.78
01/06/2016,16:00:00,-0.46
01/06/2016,17:00:00,-0.52
01/06/2016,18:00:00,-0.47
01/06/2016,19:00:00,-0.51
01/06/2016,20:00:00,-0.48
01/06/2016,21:00:00,-0.48
01/06/2016,22:00:00,-0.46
01/06/2016,23:00:00,-0.38
02/06/2016,00:00:00,-0.29
02/06/2016,01:00:00,-0.07
02/06/2016,02:00:00,-0.01
02/06/2016,03:00:00,-0.21
02/06/2016,04:00:00,-0.41
02/06/2016,05:00:00,-0.43
02/06/2016,06:00:00,-0.52
02/06/2016,07:00:00,-0.50
02/06/2016,08:00:00,-0.53
02/06/2016,09:00:00,-0.34
02/06/2016,10:00:00,-0.15
02/06/2016,11:00:00,0.02
02/06/2016,12:00:00,-0.19
02/06/2016,13:00:00,-0.64
02/06/2016,14:00:00,-0.63
02/06/2016,15:00:00,-0.48
03/06/2016,14:00:00,0.45
03/06/2016,15:00:00,0.42
03/06/2016,17:00:00,0.47
03/06/2016,18:00:00,0.45
03/06/2016,19:00:00,0.47
03/06/2016,20:00:00,0.45
03/06/2016,21:00:00,0.45
03/06/2016,22:00:00,0.45
03/06/2016,23:00:00,0.45
03/06/2016,14:00:00,0.45
03/06/2016,15:00:00,0.42
03/06/2016,17:00:00,0.47
03/06/2016,18:00:00,0.45
03/06/2016,19:00:00,0.47
03/06/2016,20:00:00,0.45
03/06/2016,21:00:00,0.45
03/06/2016,22:00:00,0.45
03/06/2016,23:00:00,0.45
04/06/2016,00:00:00,0.69
04/06/2016,01:00:00,0.51
04/06/2016,02:00:00,0.49
04/06/2016,03:00:00,0.47
04/06/2016,04:00:00,0.46
04/06/2016,05:00:00,0.49
04/06/2016,06:00:00,0.48
04/06/2016,07:00:00,0.46
04/06/2016,08:00:00,0.50
04/06/2016,09:00:00,0.51
04/06/2016,10:00:00,0.70
04/06/2016,11:00:00,0.73
04/06/2016,12:00:00,0.51
15/06/2016,12:00:00,0.51
15/06/2016,13:00:00,0.48
15/06/2016,14:00:00,0.50
15/06/2016,15:00:00,0.47
15/06/2016,16:00:00,0.46
15/06/2016,17:00:00,0.46
15/06/2016,18:00:00,0.47
15/06/2016,19:00:00,0.53
15/06/2016,20:00:00,0.53
15/06/2016,21:00:00,0.55
15/06/2016,22:00:00,0.56
15/06/2016,23:00:00,0.57
16/06/2016,00:00:00,0.59
16/06/2016,01:00:00,0.56
16/06/2016,02:00:00,0.55
16/06/2016,03:00:00,0.55
16/06/2016,04:00:00,0.57
16/06/2016,05:00:00,0.59
16/06/2016,06:00:00,0.60
16/06/2016,07:00:00,0.61
16/06/2016,08:00:00,0.58
16/06/2016,09:00:00,0.54
16/06/2016,10:00:00,0.51
16/06/2016,12:00:00,0.46
16/06/2016,13:00:00,0.46
16/06/2016,14:00:00,0.46
16/06/2016,15:00:00,0.45
16/06/2016,16:00:00,0.45
16/06/2016,17:00:00,0.46
16/06/2016,18:00:00,0.47
16/06/2016,19:00:00,0.48
16/06/2016,20:00:00,0.49
16/06/2016,21:00:00,0.52
16/06/2016,22:00:00,0.54
16/06/2016,23:00:00,0.57
17/06/2016,00:00:00,0.57
17/06/2016,01:00:00,0.56
17/06/2016,02:00:00,0.57
17/06/2016,03:00:00,0.57
17/06/2016,04:00:00,0.58
17/06/2016,05:00:00,0.58
17/06/2016,06:00:00,0.57
17/06/2016,07:00:00,0.55
17/06/2016,08:00:00,0.51
17/06/2016,09:00:00,0.49
17/06/2016,10:00:00,0.48
17/06/2016,11:00:00,0.45
17/06/2016,12:00:00,0.44
17/06/2016,13:00:00,0.43
17/06/2016,14:00:00,0.45
17/06/2016,15:00:00,0.45
17/06/2016,16:00:00,0.45
17/06/2016,17:00:00,0.48
17/06/2016,18:00:00,0.49
17/06/2016,19:00:00,0.45
17/06/2016,20:00:00,0.46
17/06/2016,21:00:00,0.47
17/06/2016,22:00:00,0.46
17/06/2016,23:00:00,0.49
18/06/2016,00:00:00,0.53
18/06/2016,01:00:00,0.56
18/06/2016,02:00:00,0.56
18/06/2016,03:00:00,0.56
18/06/2016,04:00:00,0.57
18/06/2016,05:00:00,0.58
18/06/2016,06:00:00,0.57
18/06/2016,07:00:00,0.56
18/06/2016,08:00:00,0.52
18/06/2016,09:00:00,0.50
18/06/2016,10:00:00,0.50
18/06/2016,11:00:00,0.48
18/06/2016,12:00:00,0.47
18/06/2016,13:00:00,0.46
18/06/2016,14:00:00,0.45
18/06/2016,15:00:00,0.43
18/06/2016,16:00:00,0.45
18/06/2016,17:00:00,0.46
18/06/2016,18:00:00,0.47
18/06/2016,19:00:00,0.48
18/06/2016,20:00:00,0.51
18/06/2016,21:00:00,0.54
18/06/2016,22:00:00,0.55
18/06/2016,23:00:00,0.56
19/06/2016,00:00:00,0.57
19/06/2016,01:00:00,0.58
19/06/2016,02:00:00,0.58
19/06/2016,03:00:00,0.59
