Date,Time,Values
24/05/2016,16:00:00,303.50
24/05/2016,17:00:00,317.40
26/05/2016,15:00:00,88.16
26/05/2016,16:00:00,88.13
26/05/2016,17:00:00,77.12
26/05/2016,18:00:00,106.70
26/05/2016,19:00:00,168.23
26/05/2016,21:00:00,9.05
26/05/2016,22:00:00,358.06
27/05/2016,11:00:00,94.11
27/05/2016,12:00:00,84.13
27/05/2016,13:00:00,99.33
27/05/2016,14:00:00,85.64
27/05/2016,15:00:00,20.46
27/05/2016,16:00:00,346.61
27/05/2016,17:00:00,349.32
27/05/2016,18:00:00,340.69
27/05/2016,19:00:00,344.27
27/05/2016,20:00:00,260.74
27/05/2016,21:00:00,244.08
27/05/2016,23:00:00,251.12
28/05/2016,00:00:00,249.47
28/05/2016,01:00:00,235.06
28/05/2016,02:00:00,298.84
28/05/2016,03:00:00,289.89
28/05/2016,04:00:00,330.41
28/05/2016,05:00:00,333.33
28/05/2016,06:00:00,308.92
28/05/2016,07:00:00,309.72
28/05/2016,08:00:00,325.05
28/05/2016,09:00:00,316.37
28/05/2016,10:00:00,304.79
28/05/2016,11:00:00,319.14
28/05/2016,12:00:00,319.59
28/05/2016,13:00:00,277.80
28/05/2016,14:00:00,266.20
28/05/2016,15:00:00,274.98
28/05/2016,16:00:00,303.58
28/05/2016,17:00:00,308.60
28/05/2016,18:00:00,291.63
28/05/2016,19:00:00,211.95
28/05/2016,20:00:00,20.84
28/05/2016,21:00:00,124.04
30/05/2016,16:00:00,124.24
30/05/2016,17:00:00,197.98
31/05/2016,05:00:00,203.49
31/05/2016,20:00:00,245.21
01/06/2016,16:00:00,237.26
01/06/2016,17:00:00,17.84
01/06/2016,18:00:00,310.92
01/06/2016,19:00:00,338.60
01/06/2016,20:00:00,343.40
01/06/2016,21:00:00,263.49
01/06/2016,22:00:00,313.43
01/06/2016,23:00:00,295.83
02/06/2016,00:00:00,243.22
02/06/2016,01:00:00,75.90
02/06/2016,02:00:00,266.37
02/06/2016,03:00:00,228.24
02/06/2016,04:00:00,220.35
02/06/2016,05:00:00,261.50
02/06/2016,06:00:00,294.44
02/06/2016,07:00:00,338.44
02/06/2016,08:00:00,323.81
02/06/2016,09:00:00,276.26
02/06/2016,10:00:00,306.82
02/06/2016,11:00:00,342.81
02/06/2016,12:00:00,344.97
02/06/2016,13:00:00,342.31
02/06/2016,14:00:00,349.30
02/06/2016,15:00:00,344.37
03/06/2016,14:00:00,302.30
03/06/2016,15:00:00,292.93
03/06/2016,17:00:00,333.40
03/06/2016,18:00:00,315.88
03/06/2016,14:00:00,302.30
03/06/2016,15:00:00,292.93
03/06/2016,17:00:00,333.40
03/06/2016,18:00:00,315.88
04/06/2016,01:00:00,211.92
04/06/2016,03:00:00,166.87
04/06/2016,04:00:00,167.87
04/06/2016,06:00:00,248.50
04/06/2016,07:00:00,134.61
04/06/2016,08:00:00,151.01
04/06/2016,09:00:00,216.45
04/06/2016,10:00:00,232.12
04/06/2016,11:00:00,292.36
04/06/2016,12:00:00,305.65
15/06/2016,13:00:00,302.76
15/06/2016,14:00:00,299.38
15/06/2016,15:00:00,310.23
15/06/2016,16:00:00,355.17
15/06/2016,17:00:00,341.87
15/06/2016,18:00:00,193.77
15/06/2016,19:00:00,104.56
15/06/2016,20:00:00,116.37
15/06/2016,21:00:00,124.25
15/06/2016,22:00:00,136.81
15/06/2016,23:00:00,145.15
16/06/2016,00:00:00,148.00
16/06/2016,01:00:00,147.25
16/06/2016,02:00:00,148.28
16/06/2016,03:00:00,155.44
16/06/2016,04:00:00,125.27
16/06/2016,05:00:00,113.84
16/06/2016,06:00:00,109.89
16/06/2016,07:00:00,100.21
16/06/2016,08:00:00,108.84
16/06/2016,09:00:00,113.28
16/06/2016,10:00:00,116.06
16/06/2016,12:00:00,135.35
16/06/2016,13:00:00,149.76
16/06/2016,14:00:00,160.08
16/06/2016,15:00:00,152.66
16/06/2016,16:00:00,154.59
16/06/2016,17:00:00,136.03
16/06/2016,18:00:00,134.25
16/06/2016,19:00:00,122.04
16/06/2016,20:00:00,124.25
16/06/2016,21:00:00,116.58
16/06/2016,22:00:00,117.51
16/06/2016,23:00:00,124.31
17/06/2016,00:00:00,125.41
17/06/2016,01:00:00,122.18
17/06/2016,02:00:00,90.03
17/06/2016,03:00:00,114.53
17/06/2016,04:00:00,137.85
17/06/2016,05:00:00,123.96
17/06/2016,06:00:00,120.74
17/06/2016,07:00:00,130.83
17/06/2016,08:00:00,115.23
17/06/2016,09:00:00,130.05
17/06/2016,10:00:00,144.47
17/06/2016,11:00:00,161.00
17/06/2016,12:00:00,152.63
17/06/2016,13:00:00,97.84
17/06/2016,14:00:00,119.90
17/06/2016,15:00:00,99.58
17/06/2016,16:00:00,110.04
17/06/2016,17:00:00,167.99
17/06/2016,18:00:00,225.57
17/06/2016,19:00:00,187.83
17/06/2016,20:00:00,170.99
17/06/2016,21:00:00,121.28
17/06/2016,22:00:00,101.10
17/06/2016,23:00:00,126.23
18/06/2016,00:00:00,118.84
18/06/2016,01:00:00,118.80
18/06/2016,02:00:00,120.56
18/06/2016,03:00:00,128.55
18/06/2016,04:00:00,132.24
18/06/2016,05:00:00,128.39
18/06/2016,06:00:00,136.69
18/06/2016,07:00:00,126.93
18/06/2016,08:00:00,129.46
18/06/2016,09:00:00,140.38
18/06/2016,10:00:00,137.41
18/06/2016,11:00:00,150.98
18/06/2016,12:00:00,143.38
18/06/2016,13:00:00,139.24
18/06/2016,14:00:00,125.41
18/06/2016,15:00:00,254.59
18/06/2016,16:00:00,147.26
18/06/2016,17:00:00,99.22
18/06/2016,18:00:00,94.93
18/06/2016,19:00:00,104.72
18/06/2016,20:00:00,91.87
18/06/2016,21:00:00,92.98
18/06/2016,22:00:00,106.72
18/06/2016,23:00:00,105.10
19/06/2016,00:00:00,115.01
19/06/2016,01:00:00,111.68
19/06/2016,02:00:00,111.28
19/06/2016,03:00:00,115.76
19/06/2016,04:00:00,109.76
19/06/2016,05:00:00,114.03
19/06/2016,06:00:00,117.92
19/06/2016,07:00:00,115.75
19/06/2016,08:00:00,114.87
19/06/2016,09:00:00,122.12
19/06/2016,10:00:00,117.86
19/06/2016,11:00:00,109.11
19/06/2016,12:00:00,106.94
19/06/2016,13:00:00,109.89
19/06/2016,14:00:00,104.41
19/06/2016,15:00:00,88.26
19/06/2016,16:00:00,89.14
19/06/2016,17:00:00,89.99
19/06/2016,18:00:00,93.55
19/06/2016,19:00:00,97.51
19/06/2016,20:00:00,100.94
19/06/2016,21:00:00,105.30
19/06/2016,22:00:00,99.79
19/06/2016,23:00:00,94.26
20/06/2016,00:00:00,91.69
20/06/2016,01:00:00,103.39
20/06/2016,02:00:00,114.95
20/06/2016,03:00:00,113.31
20/06/2016,04:00:00,113.65
20/06/2016,05:00:00,97.44
20/06/2016,06:00:00,103.67
20/06/2016,07:00:00,96.03
20/06/2016,08:00:00,112.76
20/06/2016,09:00:00,135.39
20/06/2016,10:00:00,129.31
20/06/2016,11:00:00,126.29
20/06/2016,15:00:00,90.67
20/06/2016,16:00:00,87.00
20/06/2016,17:00:00,98.24
20/06/2016,18:00:00,91.64
20/06/2016,19:00:00,117.96
20/06/2016,20:00:00,116.47
20/06/2016,21:00:00,115.37
20/06/2016,22:00:00,119.28
20/06/2016,23:00:00,124.48
21/06/2016,00:00:00,115.40
21/06/2016,01:00:00,141.66
21/06/2016,02:00:00,128.01
21/06/2016,03:00:00,129.20
21/06/2016,04:00:00,115.25
21/06/2016,05:00:00,125.77
21/06/2016,06:00:00,119.36
21/06/2016,07:00:00,139.29
21/06/2016,08:00:00,158.98
21/06/2016,09:00:00,163.06
21/06/2016,10:00:00,150.26
21/06/2016,11:00:00,164.48
21/06/2016,12:00:00,172.75
21/06/2016,13:00:00,127.50
21/06/2016,14:00:00,108.16
21/06/2016,15:00:00,112.47
21/06/2016,16:00:00,97.00
21/06/2016,17:00:00,98.41
21/06/2016,18:00:00,112.73
21/06/2016,19:00:00,112.17
21/06/2016,20:00:00,114.97
21/06/2016,21:00:00,127.76
21/06/2016,22:00:00,126.88
21/06/2016,23:00:00,119.98
22/06/2016,00:00:00,114.91
22/06/2016,01:00:00,116.53
22/06/2016,02:00:00,108.18
22/06/2016,03:00:00,108.72
22/06/2016,04:00:00,102.07
22/06/2016,05:00:00,100.23
22/06/2016,06:00:00,114.87
22/06/2016,07:00:00,118.34
22/06/2016,08:00:00,120.26
22/06/2016,09:00:00,124.57
22/06/2016,10:00:00,130.90
22/06/2016,11:00:00,109.64
22/06/2016,12:00:00,132.53
22/06/2016,13:00:00,117.74
22/06/2016,14:00:00,109.87
22/06/2016,15:00:00,154.49
22/06/2016,16:00:00,61.97
22/06/2016,17:00:00,191.87
22/06/2016,18:00:00,56.96
22/06/2016,19:00:00,82.70
22/06/2016,20:00:00,94.62
22/06/2016,21:00:00,106.80
22/06/2016,22:00:00,127.55
22/06/2016,23:00:00,132.25
23/06/2016,00:00:00,130.93
23/06/2016,01:00:00,116.63
23/06/2016,02:00:00,113.44
23/06/2016,03:00:00,120.76
23/06/2016,04:00:00,150.27
23/06/2016,05:00:00,175.08
23/06/2016,06:00:00,197.44
23/06/2016,07:00:00,253.60
23/06/2016,08:00:00,114.31
23/06/2016,09:00:00,118.62
23/06/2016,10:00:00,147.72
23/06/2016,11:00:00,203.91
23/06/2016,12:00:00,189.09
23/06/2016,14:00:00,144.52
23/06/2016,15:00:00,103.14
23/06/2016,16:00:00,23.90
23/06/2016,17:00:00,26.24
23/06/2016,18:00:00,149.40
23/06/2016,19:00:00,209.88
23/06/2016,20:00:00,257.25
23/06/2016,21:00:00,275.45
23/06/2016,22:00:00,259.18
23/06/2016,23:00:00,186.64
24/06/2016,00:00:00,220.43
24/06/2016,01:00:00,201.44
24/06/2016,02:00:00,280.54
24/06/2016,03:00:00,261.29
24/06/2016,04:00:00,272.98
24/06/2016,05:00:00,233.42
24/06/2016,06:00:00,243.11
24/06/2016,07:00:00,246.68
24/06/2016,08:00:00,240.79
24/06/2016,09:00:00,250.85
24/06/2016,10:00:00,256.38
24/06/2016,11:00:00,249.35
24/06/2016,12:00:00,262.77
24/06/2016,13:00:00,324.53
24/06/2016,14:00:00,322.35
24/06/2016,15:00:00,319.96
27/06/2016,08:00:00,110.65
27/06/2016,09:00:00,109.57
27/06/2016,10:00:00,103.64
27/06/2016,11:00:00,87.86
27/06/2016,12:00:00,102.39
27/06/2016,13:00:00,85.30
27/06/2016,17:00:00,152.98
27/06/2016,18:00:00,129.78
27/06/2016,19:00:00,98.17
27/06/2016,20:00:00,227.80
27/06/2016,21:00:00,318.90
27/06/2016,22:00:00,326.73
27/06/2016,23:00:00,128.79
28/06/2016,00:00:00,109.72
28/06/2016,01:00:00,139.18
28/06/2016,02:00:00,94.94
28/06/2016,03:00:00,84.51
28/06/2016,04:00:00,77.52
28/06/2016,05:00:00,67.47
28/06/2016,06:00:00,108.11
28/06/2016,07:00:00,292.75
28/06/2016,08:00:00,210.36
28/06/2016,09:00:00,179.62
28/06/2016,10:00:00,303.52
28/06/2016,11:00:00,154.39
28/06/2016,12:00:00,46.93
28/06/2016,13:00:00,278.11
28/06/2016,14:00:00,247.25
28/06/2016,15:00:00,260.38
28/06/2016,16:00:00,208.59
28/06/2016,17:00:00,182.75
