Date,Time,Values
24/05/2016,16:00:00,0.95
24/05/2016,17:00:00,0.93
26/05/2016,15:00:00,0.75
26/05/2016,16:00:00,0.92
26/05/2016,17:00:00,0.89
26/05/2016,18:00:00,0.40
26/05/2016,19:00:00,0.13
26/05/2016,21:00:00,0.25
26/05/2016,22:00:00,0.18
27/05/2016,11:00:00,1.11
27/05/2016,12:00:00,0.96
27/05/2016,13:00:00,1.00
27/05/2016,14:00:00,1.45
27/05/2016,15:00:00,0.61
27/05/2016,16:00:00,0.67
27/05/2016,17:00:00,0.54
27/05/2016,18:00:00,0.26
27/05/2016,19:00:00,0.17
27/05/2016,20:00:00,0.15
27/05/2016,21:00:00,0.12
27/05/2016,23:00:00,0.31
28/05/2016,00:00:00,0.17
28/05/2016,01:00:00,0.14
28/05/2016,02:00:00,0.03
28/05/2016,03:00:00,0.11
28/05/2016,04:00:00,0.16
28/05/2016,05:00:00,0.17
28/05/2016,06:00:00,0.31
28/05/2016,07:00:00,0.23
28/05/2016,08:00:00,0.47
28/05/2016,09:00:00,0.62
28/05/2016,10:00:00,0.50
28/05/2016,11:00:00,0.45
28/05/2016,12:00:00,0.46
28/05/2016,13:00:00,0.46
28/05/2016,14:00:00,0.40
28/05/2016,15:00:00,0.27
28/05/2016,16:00:00,0.41
28/05/2016,17:00:00,0.40
28/05/2016,18:00:00,0.20
28/05/2016,19:00:00,0.09
28/05/2016,20:00:00,0.05
28/05/2016,21:00:00,0.03
30/05/2016,16:00:00,0.56
30/05/2016,17:00:00,0.36
31/05/2016,05:00:00,0.21
31/05/2016,19:00:00,0.26
31/05/2016,20:00:00,0.32
01/06/2016,16:00:00,0.51
01/06/2016,17:00:00,0.48
01/06/2016,18:00:00,0.14
01/06/2016,19:00:00,0.20
01/06/2016,20:00:00,0.35
01/06/2016,21:00:00,0.22
01/06/2016,22:00:00,0.16
01/06/2016,23:00:00,0.09
02/06/2016,00:00:00,0.11
02/06/2016,01:00:00,0.11
02/06/2016,02:00:00,0.11
02/06/2016,03:00:00,0.19
02/06/2016,04:00:00,0.14
02/06/2016,05:00:00,0.17
02/06/2016,06:00:00,0.18
02/06/2016,07:00:00,0.26
02/06/2016,08:00:00,0.19
02/06/2016,09:00:00,0.27
02/06/2016,10:00:00,0.34
02/06/2016,11:00:00,0.53
02/06/2016,12:00:00,0.50
02/06/2016,13:00:00,0.58
02/06/2016,14:00:00,0.59
02/06/2016,15:00:00,0.72
03/06/2016,14:00:00,0.72
03/06/2016,15:00:00,0.98
03/06/2016,18:00:00,0.31
03/06/2016,14:00:00,0.72
03/06/2016,15:00:00,0.98
03/06/2016,18:00:00,0.31
04/06/2016,01:00:00,0.15
04/06/2016,03:00:00,0.16
04/06/2016,04:00:00,0.14
04/06/2016,06:00:00,0.22
04/06/2016,07:00:00,0.11
04/06/2016,08:00:00,0.40
04/06/2016,09:00:00,0.34
04/06/2016,10:00:00,0.23
04/06/2016,11:00:00,0.18
04/06/2016,12:00:00,0.33
15/06/2016,12:00:00,0.28
15/06/2016,13:00:00,0.43
15/06/2016,14:00:00,0.42
15/06/2016,15:00:00,0.46
15/06/2016,17:00:00,0.42
15/06/2016,18:00:00,0.51
15/06/2016,19:00:00,1.55
15/06/2016,20:00:00,1.21
15/06/2016,21:00:00,1.18
15/06/2016,22:00:00,1.25
15/06/2016,23:00:00,1.63
16/06/2016,00:00:00,1.65
16/06/2016,01:00:00,1.27
16/06/2016,02:00:00,1.16
16/06/2016,03:00:00,0.93
16/06/2016,04:00:00,1.11
16/06/2016,05:00:00,1.09
16/06/2016,06:00:00,1.37
16/06/2016,07:00:00,1.64
16/06/2016,08:00:00,1.57
16/06/2016,09:00:00,1.19
16/06/2016,10:00:00,1.22
16/06/2016,12:00:00,1.54
16/06/2016,13:00:00,1.57
16/06/2016,14:00:00,1.27
16/06/2016,15:00:00,0.90
16/06/2016,16:00:00,0.95
16/06/2016,17:00:00,0.70
16/06/2016,18:00:00,0.61
16/06/2016,19:00:00,0.79
16/06/2016,20:00:00,1.02
16/06/2016,21:00:00,1.17
16/06/2016,22:00:00,1.36
16/06/2016,23:00:00,1.23
17/06/2016,00:00:00,1.19
17/06/2016,01:00:00,1.10
17/06/2016,02:00:00,1.56
17/06/2016,03:00:00,1.32
17/06/2016,04:00:00,1.02
17/06/2016,05:00:00,0.75
17/06/2016,06:00:00,0.42
17/06/2016,07:00:00,0.55
17/06/2016,08:00:00,0.73
17/06/2016,09:00:00,0.73
17/06/2016,10:00:00,0.87
17/06/2016,11:00:00,0.66
17/06/2016,12:00:00,0.72
17/06/2016,13:00:00,0.71
17/06/2016,14:00:00,1.13
17/06/2016,15:00:00,0.84
17/06/2016,16:00:00,0.72
17/06/2016,17:00:00,1.25
17/06/2016,18:00:00,1.93
17/06/2016,19:00:00,0.38
17/06/2016,20:00:00,0.32
17/06/2016,21:00:00,0.18
17/06/2016,22:00:00,0.22
17/06/2016,23:00:00,0.59
18/06/2016,00:00:00,0.92
18/06/2016,01:00:00,0.93
18/06/2016,02:00:00,1.18
18/06/2016,03:00:00,1.15
18/06/2016,04:00:00,1.20
18/06/2016,05:00:00,1.10
18/06/2016,06:00:00,0.99
18/06/2016,07:00:00,1.42
18/06/2016,08:00:00,1.26
18/06/2016,09:00:00,1.55
18/06/2016,10:00:00,1.96
18/06/2016,11:00:00,1.79
18/06/2016,12:00:00,1.30
18/06/2016,13:00:00,1.19
18/06/2016,14:00:00,0.97
18/06/2016,15:00:00,0.87
18/06/2016,16:00:00,0.92
18/06/2016,17:00:00,1.50
18/06/2016,18:00:00,1.56
18/06/2016,19:00:00,1.47
18/06/2016,20:00:00,1.84
18/06/2016,21:00:00,1.70
18/06/2016,22:00:00,1.83
18/06/2016,23:00:00,1.79
19/06/2016,00:00:00,1.88
19/06/2016,01:00:00,2.17
19/06/2016,02:00:00,1.76
19/06/2016,03:00:00,1.30
19/06/2016,04:00:00,1.23
19/06/2016,05:00:00,1.53
19/06/2016,06:00:00,1.17
19/06/2016,07:00:00,1.95
19/06/2016,08:00:00,1.87
19/06/2016,09:00:00,1.58
19/06/2016,10:00:00,1.30
19/06/2016,11:00:00,1.19
19/06/2016,12:00:00,1.29
19/06/2016,13:00:00,0.91
19/06/2016,14:00:00,1.11
19/06/2016,15:00:00,1.48
19/06/2016,16:00:00,2.01
19/06/2016,17:00:00,1.84
19/06/2016,18:00:00,1.49
19/06/2016,19:00:00,1.39
19/06/2016,20:00:00,1.47
19/06/2016,21:00:00,1.08
19/06/2016,22:00:00,1.11
19/06/2016,23:00:00,1.22
20/06/2016,00:00:00,1.38
20/06/2016,01:00:00,1.32
20/06/2016,02:00:00,1.55
20/06/2016,03:00:00,1.39
20/06/2016,04:00:00,0.80
20/06/2016,05:00:00,0.73
20/06/2016,06:00:00,0.76
20/06/2016,07:00:00,0.86
20/06/2016,08:00:00,0.95
20/06/2016,09:00:00,1.26
20/06/2016,10:00:00,1.13
20/06/2016,11:00:00,0.72
20/06/2016,15:00:00,2.04
20/06/2016,16:00:00,1.80
20/06/2016,17:00:00,1.84
20/06/2016,18:00:00,1.37
20/06/2016,19:00:00,1.23
20/06/2016,20:00:00,1.00
20/06/2016,21:00:00,1.42
20/06/2016,22:00:00,1.19
20/06/2016,23:00:00,0.75
21/06/2016,00:00:00,0.71
21/06/2016,01:00:00,0.54
21/06/2016,02:00:00,1.05
21/06/2016,03:00:00,0.81
21/06/2016,04:00:00,1.00
21/06/2016,05:00:00,0.65
21/06/2016,06:00:00,1.00
21/06/2016,07:00:00,1.03
21/06/2016,08:00:00,1.10
21/06/2016,09:00:00,1.20
21/06/2016,10:00:00,1.11
21/06/2016,11:00:00,0.79
21/06/2016,12:00:00,0.86
21/06/2016,13:00:00,1.04
21/06/2016,14:00:00,1.06
21/06/2016,15:00:00,2.00
21/06/2016,16:00:00,2.56
21/06/2016,17:00:00,2.40
21/06/2016,18:00:00,2.02
21/06/2016,19:00:00,1.97
21/06/2016,20:00:00,2.06
21/06/2016,21:00:00,1.23
21/06/2016,22:00:00,1.34
21/06/2016,23:00:00,1.13
22/06/2016,00:00:00,1.15
22/06/2016,01:00:00,1.33
22/06/2016,02:00:00,1.55
22/06/2016,03:00:00,1.26
22/06/2016,04:00:00,0.91
22/06/2016,05:00:00,1.15
22/06/2016,06:00:00,1.37
22/06/2016,07:00:00,1.35
22/06/2016,08:00:00,1.68
22/06/2016,09:00:00,1.12
22/06/2016,10:00:00,1.51
22/06/2016,11:00:00,1.35
22/06/2016,12:00:00,1.04
22/06/2016,13:00:00,0.83
22/06/2016,14:00:00,0.85
22/06/2016,15:00:00,0.52
22/06/2016,16:00:00,0.58
22/06/2016,17:00:00,2.25
22/06/2016,18:00:00,1.07
22/06/2016,19:00:00,0.58
22/06/2016,20:00:00,0.73
22/06/2016,21:00:00,0.55
22/06/2016,22:00:00,0.91
22/06/2016,23:00:00,0.97
23/06/2016,00:00:00,0.75
23/06/2016,01:00:00,0.63
23/06/2016,02:00:00,0.90
23/06/2016,03:00:00,1.18
23/06/2016,04:00:00,0.93
23/06/2016,05:00:00,0.78
23/06/2016,06:00:00,1.15
23/06/2016,07:00:00,1.16
23/06/2016,08:00:00,0.77
23/06/2016,09:00:00,0.67
23/06/2016,10:00:00,0.57
23/06/2016,11:00:00,0.50
23/06/2016,12:00:00,0.41
23/06/2016,13:00:00,0.62
23/06/2016,14:00:00,0.42
23/06/2016,15:00:00,0.48
23/06/2016,16:00:00,0.50
23/06/2016,17:00:00,0.46
23/06/2016,18:00:00,0.15
23/06/2016,19:00:00,0.74
23/06/2016,20:00:00,1.09
23/06/2016,21:00:00,0.64
23/06/2016,22:00:00,0.35
23/06/2016,23:00:00,0.18
24/06/2016,00:00:00,0.18
24/06/2016,01:00:00,0.20
24/06/2016,02:00:00,0.23
24/06/2016,03:00:00,0.33
24/06/2016,04:00:00,0.44
24/06/2016,05:00:00,0.51
24/06/2016,06:00:00,0.48
24/06/2016,07:00:00,0.86
24/06/2016,08:00:00,1.10
24/06/2016,09:00:00,1.05
24/06/2016,10:00:00,1.04
24/06/2016,11:00:00,1.02
24/06/2016,12:00:00,0.93
24/06/2016,13:00:00,1.05
24/06/2016,14:00:00,0.98
24/06/2016,15:00:00,1.24
27/06/2016,08:00:00,2.01
27/06/2016,09:00:00,1.71
27/06/2016,10:00:00,1.34
27/06/2016,11:00:00,1.16
27/06/2016,12:00:00,1.22
27/06/2016,13:00:00,1.14
27/06/2016,17:00:00,0.51
27/06/2016,18:00:00,0.36
27/06/2016,19:00:00,0.48
27/06/2016,20:00:00,0.50
27/06/2016,21:00:00,0.87
27/06/2016,22:00:00,0.93
27/06/2016,23:00:00,0.32
28/06/2016,00:00:00,1.44
28/06/2016,01:00:00,1.67
28/06/2016,02:00:00,0.60
28/06/2016,03:00:00,0.31
28/06/2016,04:00:00,0.53
28/06/2016,05:00:00,0.36
28/06/2016,06:00:00,0.52
28/06/2016,07:00:00,0.42
28/06/2016,08:00:00,0.13
28/06/2016,09:00:00,0.20
28/06/2016,10:00:00,0.40
28/06/2016,11:00:00,0.21
28/06/2016,12:00:00,0.49
28/06/2016,13:00:00,0.64
28/06/2016,14:00:00,0.86
28/06/2016,15:00:00,0.62
28/06/2016,16:00:00,0.52
28/06/2016,17:00:00,0.42
28/06/2016,18:00:00,0.77
28/06/2016,19:00:00,0.73
28/06/2016,20:00:00,0.46
28/06/2016,21:00:00,0.41
28/06/2016,23:00:00,0.78
29/06/2016,00:00:00,0.82
29/06/2016,01:00:00,0.85
29/06/2016,02:00:00,1.12
29/06/2016,03:00:00,1.22
29/06/2016,04:00:00,0.72
29/06/2016,05:00:00,0.78
29/06/2016,06:00:00,0.75
29/06/2016,07:00:00,0.73
29/06/2016,08:00:00,0.91
29/06/2016,09:00:00,1.54
29/06/2016,10:00:00,1.50
29/06/2016,11:00:00,1.26
29/06/2016,12:00:00,1.32
29/06/2016,13:00:00,1.13
29/06/2016,14:00:00,1.20
29/06/2016,15:00:00,1.16
29/06/2016,16:00:00,1.01
29/06/2016,17:00:00,1.14
29/06/2016,18:00:00,0.75
29/06/2016,19:00:00,0.72
29/06/2016,20:00:00,0.56
29/06/2016,21:00:00,0.64
29/06/2016,22:00:00,0.43
29/06/2016,23:00:00,0.39
30/06/2016,00:00:00,0.47
30/06/2016,01:00:00,0.53
30/06/2016,02:00:00,0.76
30/06/2016,03:00:00,0.66
30/06/2016,04:00:00,0.63
30/06/2016,05:00:00,0.70
30/06/2016,06:00:00,0.67
30/06/2016,07:00:00,0.69
30/06/2016,08:00:00,0.75
30/06/2016,09:00:00,0.62
30/06/2016,10:00:00,0.73
30/06/2016,11:00:00,0.86
30/06/2016,12:00:00,0.73
30/06/2016,13:00:00,0.44
30/06/2016,14:00:00,0.61
30/06/2016,15:00:00,0.42
30/06/2016,16:00:00,0.54
30/06/2016,17:00:00,0.69
30/06/2016,18:00:00,0.63
30/06/2016,19:00:00,1.17
30/06/2016,20:00:00,0.74
30/06/2016,21:00:00,0.93
30/06/2016,22:00:00,1.58
30/06/2016,23:00:00,0.87
01/07/2016,00:00:00,0.44
01/07/2016,01:00:00,1.12
01/07/2016,02:00:00,1.66
01/07/2016,03:00:00,1.18
01/07/2016,04:00:00,0.37
01/07/2016,05:00:00,0.41
01/07/2016,06:00:00,0.57
01/07/2016,07:00:00,0.88
01/07/2016,08:00:00,0.97
01/07/2016,09:00:00,1.26
01/07/2016,10:00:00,1.25
01/07/2016,12:00:00,1.07
01/07/2016,13:00:00,0.94
01/07/2016,16:00:00,0.37
01/07/2016,17:00:00,0.65
01/07/2016,18:00:00,0.78
