Date,Time,Values
05/04/2016,14:00:00,6.95
05/04/2016,15:00:00,5.43
05/04/2016,16:00:00,8.29
05/04/2016,17:00:00,6.47
05/04/2016,18:00:00,6.93
05/04/2016,19:00:00,5.01
05/04/2016,20:00:00,10.45
05/04/2016,21:00:00,4.82
05/04/2016,22:00:00,26.27
05/04/2016,23:00:00,5.46
06/04/2016,00:00:00,5.44
06/04/2016,01:00:00,7.62
06/04/2016,02:00:00,6.48
06/04/2016,03:00:00,4.33
06/04/2016,04:00:00,6.00
06/04/2016,05:00:00,13.25
06/04/2016,06:00:00,4.85
06/04/2016,07:00:00,4.90
06/04/2016,08:00:00,30.54
06/04/2016,09:00:00,5.45
08/04/2016,13:00:00,1.88
08/04/2016,14:00:00,6.13
08/04/2016,15:00:00,4.05
08/04/2016,16:00:00,8.98
08/04/2016,17:00:00,3.44
08/04/2016,18:00:00,12.95
08/04/2016,19:00:00,20.82
08/04/2016,20:00:00,25.57
08/04/2016,21:00:00,23.56
08/04/2016,22:00:00,27.03
08/04/2016,23:00:00,32.05
09/04/2016,00:00:00,6.42
09/04/2016,01:00:00,9.49
09/04/2016,02:00:00,5.29
09/04/2016,03:00:00,5.95
09/04/2016,04:00:00,2.35
09/04/2016,05:00:00,4.42
09/04/2016,06:00:00,8.35
09/04/2016,07:00:00,8.78
09/04/2016,08:00:00,12.26
09/04/2016,09:00:00,10.40
09/04/2016,10:00:00,8.70
09/04/2016,11:00:00,3.96
09/04/2016,12:00:00,3.80
09/04/2016,13:00:00,7.12
09/04/2016,14:00:00,8.12
09/04/2016,15:00:00,3.47
09/04/2016,16:00:00,6.90
09/04/2016,17:00:00,5.17
09/04/2016,18:00:00,30.56
09/04/2016,19:00:00,19.35
09/04/2016,20:00:00,11.93
09/04/2016,21:00:00,8.13
09/04/2016,22:00:00,8.95
09/04/2016,23:00:00,6.29
10/04/2016,00:00:00,7.73
10/04/2016,01:00:00,4.34
10/04/2016,02:00:00,4.93
10/04/2016,03:00:00,5.00
10/04/2016,04:00:00,3.34
10/04/2016,05:00:00,5.45
10/04/2016,06:00:00,4.53
10/04/2016,07:00:00,6.36
10/04/2016,08:00:00,13.26
10/04/2016,09:00:00,7.28
10/04/2016,10:00:00,3.98
10/04/2016,11:00:00,4.00
10/04/2016,12:00:00,6.45
10/04/2016,13:00:00,4.96
10/04/2016,14:00:00,6.52
10/04/2016,15:00:00,8.11
10/04/2016,16:00:00,6.75
10/04/2016,17:00:00,4.91
10/04/2016,18:00:00,4.82
10/04/2016,19:00:00,60.53
10/04/2016,20:00:00,13.64
10/04/2016,21:00:00,10.77
10/04/2016,22:00:00,7.31
10/04/2016,23:00:00,5.49
11/04/2016,00:00:00,8.64
11/04/2016,01:00:00,5.58
11/04/2016,02:00:00,5.38
11/04/2016,03:00:00,3.74
11/04/2016,04:00:00,24.93
11/04/2016,05:00:00,6.73
11/04/2016,06:00:00,8.73
11/04/2016,07:00:00,9.01
11/04/2016,08:00:00,5.65
12/04/2016,10:00:00,8.68
12/04/2016,11:00:00,7.04
12/04/2016,12:00:00,5.94
12/04/2016,13:00:00,8.54
12/04/2016,14:00:00,5.44
12/04/2016,15:00:00,4.96
12/04/2016,16:00:00,4.29
12/04/2016,17:00:00,6.75
12/04/2016,18:00:00,5.63
12/04/2016,19:00:00,10.25
12/04/2016,20:00:00,5.92
12/04/2016,21:00:00,5.81
12/04/2016,22:00:00,38.23
12/04/2016,23:00:00,5.24
13/04/2016,10:00:00,6.30
13/04/2016,11:00:00,4.78
13/04/2016,12:00:00,7.42
18/04/2016,13:00:00,5.90
18/04/2016,14:00:00,5.22
18/04/2016,15:00:00,7.14
18/04/2016,16:00:00,9.70
18/04/2016,17:00:00,27.43
18/04/2016,18:00:00,17.27
18/04/2016,19:00:00,21.16
18/04/2016,20:00:00,17.01
18/04/2016,21:00:00,24.07
18/04/2016,22:00:00,15.12
18/04/2016,23:00:00,5.61
19/04/2016,00:00:00,18.64
19/04/2016,01:00:00,43.25
19/04/2016,02:00:00,13.07
19/04/2016,03:00:00,15.61
19/04/2016,04:00:00,22.23
19/04/2016,05:00:00,16.75
19/04/2016,06:00:00,7.87
19/04/2016,07:00:00,34.24
19/04/2016,08:00:00,7.23
19/04/2016,09:00:00,14.89
19/04/2016,10:00:00,6.83
19/04/2016,11:00:00,3.68
27/04/2016,10:00:00,9.00
27/04/2016,11:00:00,6.33
27/04/2016,12:00:00,3.77
27/04/2016,13:00:00,3.47
27/04/2016,14:00:00,14.15
27/04/2016,15:00:00,7.64
